"Sex","Month","Sub_occupation","Employment_status","Count","Main_occupation"
"Females",1986 Aug,"Arts and Media Professionals","Full time",9.07769495,"Professionals"
"Females",1986 Aug,"Arts and Media Professionals","Part time",4.74290134,"Professionals"
"Females",1986 Aug,"Automotive and Engineering Trades Workers","Full time",5.82228068,"Technicians and Trades Workers"
"Females",1986 Aug,"Automotive and Engineering Trades Workers","Part time",1.00132904,"Technicians and Trades Workers"
"Females",1986 Aug,"Business, Human Resource and Marketing Professionals","Full time",37.7564679,"Professionals"
"Females",1986 Aug,"Business, Human Resource and Marketing Professionals","Part time",10.79444651,"Professionals"
"Females",1986 Aug,"Carers and Aides","Full time",39.13855306,"Community and Personal Service Workers"
"Females",1986 Aug,"Carers and Aides","Part time",44.49177929,"Community and Personal Service Workers"
"Females",1986 Aug,"Chief Executives, General Managers and Legislators","Full time",4.37614342,"Managers"
"Females",1986 Aug,"Chief Executives, General Managers and Legislators","Part time",0.73880101,"Managers"
"Females",1986 Aug,"Cleaners and Laundry Workers","Full time",37.61178531,"Labourers"
"Females",1986 Aug,"Cleaners and Laundry Workers","Part time",93.13831854,"Labourers"
"Females",1986 Aug,"Clerical and Office Support Workers","Full time",49.87877007,"Sales Workers"
"Females",1986 Aug,"Clerical and Office Support Workers","Part time",18.99856061,"Sales Workers"
"Females",1986 Aug,"Construction Trades Workers","Full time",1.99625015,"Technicians and Trades Workers"
"Females",1986 Aug,"Construction Trades Workers","Part time",0.68033491,"Technicians and Trades Workers"
"Females",1986 Aug,"Construction and Mining Labourers","Full time",3.92376493,"Labourers"
"Females",1986 Aug,"Construction and Mining Labourers","Part time",1.72886061,"Labourers"
"Females",1986 Aug,"Design, Engineering, Science and Transport Professionals","Full time",14.7249952,"Professionals"
"Females",1986 Aug,"Design, Engineering, Science and Transport Professionals","Part time",4.23419685,"Professionals"
"Females",1986 Aug,"Education Professionals","Full time",135.33132929,"Professionals"
"Females",1986 Aug,"Education Professionals","Part time",55.13437326,"Professionals"
"Females",1986 Aug,"Electrotechnology and Telecommunications Trades Workers","Full time",2.92141174,"Technicians and Trades Workers"
"Females",1986 Aug,"Electrotechnology and Telecommunications Trades Workers","Part time",0.51238847,"Technicians and Trades Workers"
"Females",1986 Aug,"Engineering, ICT and Science Technicians","Full time",19.73578927,"Technicians and Trades Workers"
"Females",1986 Aug,"Engineering, ICT and Science Technicians","Part time",5.14177165,"Technicians and Trades Workers"
"Females",1986 Aug,"Factory Process Workers","Full time",61.3501994,"Labourers"
"Females",1986 Aug,"Factory Process Workers","Part time",17.25909456,"Labourers"
"Females",1986 Aug,"Farm, Forestry and Garden Workers","Full time",15.71020173,"Labourers"
"Females",1986 Aug,"Farm, Forestry and Garden Workers","Part time",15.1592388,"Labourers"
"Females",1986 Aug,"Farmers and Farm Managers","Full time",34.38886323,"Managers"
"Females",1986 Aug,"Farmers and Farm Managers","Part time",35.56238022,"Managers"
"Females",1986 Aug,"Food Preparation Assistants","Full time",20.08899589,"Labourers"
"Females",1986 Aug,"Food Preparation Assistants","Part time",36.03292513,"Labourers"
"Females",1986 Aug,"Food Trades Workers","Full time",13.53424996,"Technicians and Trades Workers"
"Females",1986 Aug,"Food Trades Workers","Part time",8.80111661,"Technicians and Trades Workers"
"Females",1986 Aug,"General Clerical Workers","Full time",119.59280672,"Clerical and Administrative Workers"
"Females",1986 Aug,"General Clerical Workers","Part time",44.03019313,"Clerical and Administrative Workers"
"Females",1986 Aug,"Health Professionals","Full time",98.79552913,"Professionals"
"Females",1986 Aug,"Health Professionals","Part time",54.09313877,"Professionals"
"Females",1986 Aug,"Health and Welfare Support Workers","Full time",25.9583562,"Community and Personal Service Workers"
"Females",1986 Aug,"Health and Welfare Support Workers","Part time",14.75691402,"Community and Personal Service Workers"
"Females",1986 Aug,"Hospitality Workers","Full time",24.08371161,"Community and Personal Service Workers"
"Females",1986 Aug,"Hospitality Workers","Part time",54.74536739,"Community and Personal Service Workers"
