Level,Description,1,2,3,4,5,6,7,8,9,10,11,12
1,Aggregated,11536.0126953125,11665.912109375,11637.599609375,11777.6318359375,11840.439453125,11924.1396484375,11908.5517578125,12063.3623046875,12138.4443359375,12190.15234375,12158.763671875,12285.974609375
2,Clerical and Administrative Workers,1370.5230712890625,1382.5130615234375,1386.0667724609375,1407.245361328125,1421.04052734375,1422.432861328125,1431.2811279296875,1449.565673828125,1455.432373046875,1461.6875,1467.6807861328125,1472.7509765625
2,Community and Personal Service Workers,1102.669921875,1106.6781005859375,1113.3568115234375,1124.2945556640625,1131.339111328125,1140.0177001953125,1143.389404296875,1157.2171630859375,1154.070068359375,1170.03173828125,1167.3372802734375,1176.69677734375
2,Labourers,1163.3104248046875,1166.93603515625,1174.01953125,1184.5098876953125,1200.751953125,1208.6416015625,1208.4066162109375,1220.9178466796875,1231.5341796875,1243.97705078125,1238.2833251953125,1251.117919921875
2,Machinery Operators and Drivers,766.5960693359375,775.5023193359375,778.4983520507812,790.1932373046875,788.4219360351562,795.2511596679688,798.9487915039062,808.7000122070312,804.35205078125,816.85302734375,817.6245727539062,830.7879028320312
2,Managers,1457.068603515625,1478.5528564453125,1483.7867431640625,1498.72607421875,1520.067138671875,1538.88427734375,1543.1697998046875,1550.70166015625,1571.8778076171875,1591.884033203125,1588.9134521484375,1601.362548828125
2,Professionals,2620.271240234375,2655.133056640625,2671.108642578125,2702.418701171875,2751.391357421875,2777.68310546875,2785.6484375,2811.81689453125,2847.4990234375,2867.545654296875,2859.701904296875,2881.16259765625
2,Sales Workers,1412.7132568359375,1425.9808349609375,1432.4786376953125,1452.4849853515625,1464.07275390625,1471.1978759765625,1481.3482666015625,1495.0419921875,1512.7969970703125,1519.1199951171875,1524.4454345703125,1542.1563720703125
2,Technicians and Trades Workers,1705.928955078125,1724.7354736328125,1725.0556640625,1744.6199951171875,1781.3634033203125,1790.96484375,1786.0345458984375,1813.0941162109375,1837.087646484375,1843.67919921875,1841.5660400390625,1857.684814453125
3,Clerical and Administrative Workers-Full time,867.4158325195312,879.1798095703125,876.3243408203125,890.3640747070312,903.5592651367188,915.6671752929688,915.9942016601562,928.8740234375,950.22314453125,955.6184692382812,957.7322387695312,977.5104370117188
3,Clerical and Administrative Workers-Part time,503.54156494140625,517.8530883789062,520.8815307617188,531.1986083984375,531.4720458984375,541.133544921875,545.0908813476562,552.8372802734375,553.8037719726562,566.4849853515625,571.2236938476562,583.359375
3,Community and Personal Service Workers-Full time,520.0420532226562,520.8734741210938,525.8272705078125,546.3556518554688,548.33056640625,550.1445922851562,557.1683959960938,568.3960571289062,562.7925415039062,578.3482666015625,581.9989624023438,596.4158935546875
3,Community and Personal Service Workers-Part time,574.1986083984375,603.099609375,599.7615356445312,603.4564208984375,598.3639526367188,618.9757690429688,617.0714111328125,633.9022216796875,636.9200439453125,661.5196533203125,653.8867797851562,666.580810546875
3,Labourers-Full time,665.9486083984375,666.4412841796875,675.1051025390625,682.1851806640625,693.6798706054688,695.9091796875,700.3622436523438,715.1654663085938,725.2644653320312,738.2650146484375,741.74072265625,750.927734375
3,Labourers-Part time,503.82012939453125,520.4141845703125,519.2379760742188,525.7296752929688,526.4330444335938,547.55859375,548.868408203125,552.5541381835938,561.0642700195312,581.8845825195312,582.60888671875,582.9337768554688
3,Machinery Operators and Drivers-Full time,677.4785766601562,682.056640625,683.3773803710938,695.294189453125,700.086669921875,709.017578125,712.1732177734375,729.879150390625,726.574951171875,743.15673828125,747.4923095703125,761.8515625
3,Machinery Operators and Drivers-Part time,97.62214660644531,103.07154083251953,104.30609130859375,105.94754791259766,103.86651611328125,109.97022247314453,109.2964859008789,112.28962707519531,109.95092010498047,117.26282501220703,117.43729400634766,120.7881851196289
3,Managers-Full time,1300.693359375,1315.90478515625,1313.4359130859375,1334.5081787109375,1357.406494140625,1372.5899658203125,1374.263916015625,1399.0931396484375,1424.7413330078125,1430.563232421875,1432.654296875,1460.3514404296875
3,Managers-Part time,175.98289489746094,193.61407470703125,192.41958618164062,189.43331909179688,188.66653442382812,203.68772888183594,204.81356811523438,205.58909606933594,203.23353576660156,212.3636932373047,214.52076721191406,213.97364807128906
3,Professionals-Full time,2011.647705078125,2013.703369140625,2023.0936279296875,2038.934326171875,2099.1162109375,2092.33203125,2092.753173828125,2119.833984375,2169.327392578125,2171.9189453125,2163.498779296875,2200.4853515625
3,Professionals-Part time,590.23583984375,623.1845703125,616.209716796875,615.3931274414062,616.8988647460938,650.589599609375,640.1449584960938,651.5747680664062,651.0947265625,671.2874755859375,675.578857421875,678.2723388671875
3,Sales Workers-Full time,722.1375122070312,727.99462890625,734.6732788085938,743.7208251953125,750.9252319335938,753.8579711914062,762.1332397460938,777.7569580078125,788.8262329101562,794.5840454101562,799.9010009765625,824.671630859375
3,Sales Workers-Part time,695.1569213867188,706.454345703125,704.9061889648438,712.5254516601562,727.9032592773438,733.9833374023438,735.6343994140625,747.2930297851562,754.5286865234375,767.0020141601562,774.2147827148438,791.11328125
3,Technicians and Trades Workers-Full time,1487.3753662109375,1483.663818359375,1489.9127197265625,1516.6416015625,1550.0635986328125,1543.3804931640625,1546.150146484375,1561.818359375,1611.780517578125,1601.6402587890625,1608.0882568359375,1635.540283203125
3,Technicians and Trades Workers-Part time,234.20559692382812,241.95863342285156,236.17611694335938,248.7808380126953,246.95997619628906,258.60540771484375,251.88677978515625,260.7995300292969,259.3664245605469,269.65484619140625,269.0209655761719,274.24053955078125
