Level,Description,1,2,3,4,5,6,7,8,9,10,11,12
1,Aggregated,35449.36328125,28684.216796875,30037.248046875,30037.248046875,25166.34375,25978.16015625,32202.09375,25166.34375,27872.400390625,34908.15234375,28684.216796875,27331.189453125
2,NSW,16791.126953125,7038.705078125,9328.404296875,11363.6923828125,7886.7421875,8225.9560546875,10685.263671875,8904.3857421875,9922.0302734375,11109.28125,9667.619140625,9158.796875
2,NT,465.9969177246094,195.2149200439453,302.26824951171875,434.5106201171875,598.2392578125,730.4816284179688,799.75146484375,969.77734375,812.345947265625,730.4816284179688,528.9694213867188,321.1600341796875
2,QLD,10595.49609375,5504.154296875,5916.96533203125,8462.63671875,6948.99462890625,6948.99462890625,9563.4677734375,9150.65625,9013.0517578125,9288.2607421875,8806.646484375,7637.01416015625
2,SA,3560.109375,1413.8233642578125,2044.081787109375,2742.4765625,1669.33349609375,1498.993408203125,2027.0478515625,1379.75537109375,1669.33349609375,2095.18408203125,2061.11572265625,1856.7078857421875
2,TAS,1937.53759765625,1017.207275390625,1057.5726318359375,1372.4224853515625,799.2342529296875,766.9420166015625,548.968994140625,492.45751953125,500.53057861328125,920.3303833007812,936.4765014648438,807.307373046875
2,VIC,11862.2109375,4508.71337890625,6548.36962890625,7192.47119140625,4938.1142578125,5260.16552734375,6065.29296875,5260.16552734375,5206.490234375,6709.39501953125,6333.66845703125,5850.5927734375
2,WA,5362.68017578125,2585.578125,3447.437255859375,4277.3759765625,3064.388671875,2777.102294921875,3575.120361328125,3064.388671875,3351.675048828125,3894.32763671875,3670.88232421875,3351.675048828125
3,NSW-Blue Mountains,318.5146789550781,162.22486877441406,195.85684204101562,284.8826904296875,201.79190063476562,203.77024841308594,271.03424072265625,205.74859619140625,209.70530700683594,243.33729553222656,205.74859619140625,223.55377197265625
3,NSW-Canberra,886.0548706054688,510.32275390625,588.8339233398438,768.2881469726562,605.6577758789062,616.8737182617188,745.8563232421875,667.3450927734375,622.4816284179688,757.072265625,577.6180419921875,583.2260131835938
3,NSW-Capital Country,491.2077331542969,189.8387451171875,242.0443878173828,329.8448181152344,234.92543029785156,232.5524444580078,277.63916015625,213.56857299804688,256.28228759765625,353.57464599609375,261.0282897949219,268.147216796875
3,NSW-Central Coast,888.9946899414062,279.814697265625,306.0473327636719,393.48944091796875,241.9231414794922,233.17893981933594,253.58209228515625,174.88418579101562,215.69052124023438,332.27996826171875,311.8768005371094,311.8768005371094
3,NSW-Central NSW,896.9442138671875,481.2871398925781,579.732177734375,700.0540161132812,541.447998046875,525.0404663085938,639.89306640625,574.2630004882812,607.0780639648438,760.2149047851562,579.732177734375,601.6089477539062
3,NSW-Hunter,1365.0093994140625,682.5046997070312,788.6720581054688,1084.424072265625,765.9219360351562,765.9219360351562,864.5059814453125,796.2554321289062,819.005615234375,985.840087890625,803.8388061523438,834.1724243164062
3,NSW-New England North West,482.6382141113281,226.34068298339844,289.58294677734375,416.06744384765625,322.8683166503906,332.85394287109375,472.652587890625,399.4247131347656,439.3671875,509.26654052734375,339.5110168457031,296.2400207519531
3,NSW-North Coast NSW,3873.2666015625,1365.1676025390625,1476.2860107421875,1841.388916015625,1333.4195556640625,1317.5455322265625,1603.2783203125,1508.0340576171875,1555.6561279296875,1952.50732421875,1714.396484375,1762.018798828125
3,NSW-Outback NSW,95.00753021240234,46.870384216308594,60.8048210144043,121.6096420288086,143.14468383789062,150.74526977539062,211.5500946044922,155.81236267089844,168.48001098632812,155.81236267089844,89.94046020507812,69.67219543457031
3,NSW-Riverina,363.18310546875,170.9097137451172,213.6371307373047,286.27374267578125,198.6825408935547,196.54615783691406,222.18260192871094,185.8643035888672,215.77349853515625,269.1827697753906,226.45535278320312,228.5917205810547
3,NSW-Snowy Mountains,387.4749450683594,123.50763702392578,130.7727813720703,256.7021484375,217.95465087890625,217.95465087890625,421.3789978027344,455.2830505371094,334.1971435546875,283.3410339355469,174.3637237548828,167.09857177734375
3,NSW-South Coast,2357.208984375,841.2000122070312,998.3472290039062,1303.3978271484375,776.4923095703125,711.78466796875,868.9319458007812,767.2483520507812,785.7362670898438,1137.0067138671875,1007.59130859375,989.103271484375
3,NSW-Sydney,3632.815185546875,1983.5615234375,2295.58251953125,2540.74169921875,2206.43359375,2362.444091796875,2540.74169921875,2451.593017578125,2518.45458984375,2674.46484375,2473.880126953125,2384.731201171875
3,NSW-The Murray,410.3732604980469,194.75341796875,259.6712341308594,359.3664245605469,227.21231079101562,229.5308074951172,264.3081970214844,215.61985778808594,243.44175720214844,299.0856018066406,238.80477905273438,250.39723205566406
3,NT-Alice Springs,37.05316162109375,28.735103607177734,30.247478485107422,56.71402359008789,65.03207397460938,80.91200256347656,116.45278930664062,128.55177307128906,96.79193115234375,83.1805648803711,40.07790756225586,33.2722282409668
3,NT-Barkly,3.9359986782073975,4.0765700340271,7.169140338897705,11.667424201965332,15.181708335876465,17.009136199951172,29.098276138305664,14.900566101074219,15.74399471282959,16.44685173034668,7.450283050537109,4.7794270515441895
3,NT-Darwin,281.5908203125,177.67037963867188,211.193115234375,348.63623046875,325.17034912109375,442.49981689453125,673.8065795898438,586.6475219726562,512.8975219726562,402.2725830078125,234.6590118408203,224.60218811035156
3,NT-Katherine Daly,27.32006072998047,20.130571365356445,30.914804458618164,60.3917121887207,79.80333709716797,109.28024291992188,177.5803985595703,145.22769165039062,95.62020874023438,66.14330291748047,41.699039459228516,22.287418365478516
3,NT-Lasseter,11.325706481933594,18.876178741455078,21.03345489501953,32.89848327636719,56.62853240966797,78.20130920410156,108.94251251220703,99.2347640991211,99.77407836914062,86.29109954833984,22.11209487915039,11.325706481933594
3,NT-Litchfield Kakadu Arnhem,27.317073822021484,18.655563354492188,30.64842414855957,45.30636978149414,71.95716857910156,70.62462615966797,103.27186584472656,92.61154174804688,92.61154174804688,87.94764709472656,48.63771438598633,27.317073822021484
3,NT-MacDonnell,0.4947456419467926,2.59741473197937,3.09216046333313,8.410676002502441,9.15279483795166,20.77931785583496,37.35329818725586,30.05579948425293,23.62410545349121,19.542451858520508,5.936947822570801,2.2263553142547607
3,QLD-Brisbane,2804.344482421875,1393.8753662109375,1576.40673828125,1858.5006103515625,1675.96923828125,1609.59423828125,1858.5006103515625,1841.9068603515625,1958.06298828125,1974.65673828125,1808.7193603515625,1758.93798828125
3,QLD-Bundaberg,236.66659545898438,94.36705780029297,103.35440063476562,197.72145080566406,160.27420043945312,160.27420043945312,205.21090698242188,170.7594451904297,184.24046325683594,214.1982421875,166.26577758789062,152.78475952148438
3,QLD-Capricorn,312.93896484375,171.2307586669922,174.18299865722656,330.6524963378906,307.0344543457031,309.9866943359375,501.88323974609375,419.2201232910156,436.93365478515625,454.6471862792969,295.2254333496094,280.46417236328125
3,QLD-Fraser Coast,311.356689453125,114.49890899658203,106.4638900756836,206.9015350341797,190.83151245117188,180.78775024414062,267.1640930175781,309.3479309082031,295.2866516113281,343.4967041015625,208.9102783203125,184.8052520751953
3,QLD-Gladstone,101.25337219238281,53.470882415771484,70.53605651855469,118.31854248046875,111.49246978759766,117.18086242675781,158.1372833251953,144.4851531982422,144.4851531982422,160.4126434326172,121.73157501220703,103.52872467041016
3,QLD-Gold Coast,1837.2054443359375,951.0240478515625,1069.9019775390625,1199.587158203125,994.2523803710938,1113.13037109375,1286.0438232421875,1167.165771484375,1167.165771484375,1415.7288818359375,1091.5162353515625,1145.5516357421875
3,QLD-Mackay,433.7300720214844,205.45108032226562,199.74411010742188,331.0045166015625,279.6417541503906,291.0556945800781,348.1254577636719,373.80682373046875,348.1254577636719,442.29052734375,293.9091796875,276.78826904296875
3,QLD-Outback Queensland,208.1543426513672,155.2897491455078,165.2018585205078,264.3229675292969,323.7956237792969,303.9714050292969,545.1661376953125,548.4701538085938,601.334716796875,479.0853576660156,277.53912353515625,251.1068115234375
3,QLD-Southern Queensland Country,621.3045043945312,336.5399169921875,470.2929992675781,655.8214111328125,431.4614562988281,465.9783630371094,560.89990234375,478.9222412109375,526.3829956054688,599.7314453125,478.9222412109375,509.12451171875
3,QLD-Sunshine Coast,1701.0078125,714.6245727539062,845.4713745117188,1056.839111328125,905.8621826171875,885.73193359375,1117.2301025390625,1117.2301025390625,1147.4254150390625,1318.53271484375,1076.9693603515625,1026.643798828125
3,QLD-Townsville,390.3812255859375,177.44602966308594,238.7455596923828,335.5342712402344,322.6291198730469,345.213134765625,525.885498046875,429.0967102050781,451.6807861328125,500.07513427734375,312.95025634765625,267.78216552734375
3,QLD-Tropical North Queensland,742.6279296875,500.4666442871094,492.3946228027344,734.5558471679688,734.5558471679688,847.564453125,1291.52685546875,1251.1666259765625,1251.1666259765625,1477.1837158203125,782.9880981445312,637.6913452148438
3,QLD-Whitsundays,322.89910888671875,100.41374969482422,118.13381958007812,218.54757690429688,202.79638671875,173.262939453125,224.4542694091797,246.1121368408203,287.4589538574219,301.2412414550781,179.1696319580078,189.0141143798828
3,SA-Adelaide,1149.100341796875,585.1246948242188,726.1185913085938,895.3113403320312,669.7210693359375,655.6217041015625,789.56591796875,747.2677001953125,789.56591796875,895.3113403320312,761.3670654296875,782.5162353515625
3,SA-Adelaide Hills,40.01173782348633,21.673025131225586,30.342235565185547,46.01350021362305,40.67860412597656,38.678016662597656,45.346641540527344,31.00909996032715,32.00939178466797,36.67742919921875,26.67449378967285,24.34047508239746
3,SA-Barossa,59.54911804199219,27.513200759887695,47.86543273925781,61.433589935302734,35.42795944213867,35.80485153198242,30.905241012573242,24.498056411743164,28.64388084411621,44.473392486572266,42.9658203125,32.412811279296875
3,SA-Clare Valley,28.737382888793945,16.537551879882812,20.87527084350586,28.466276168823242,29.279598236083984,26.29741859436035,29.550708770751953,23.315235137939453,24.670772552490234,34.97285461425781,28.737382888793945,30.09292221069336
3,SA-Eyre Peninsula,180.89120483398438,113.80572509765625,116.2016372680664,194.06871032714844,128.18118286132812,131.77505493164062,135.36891174316406,104.22209167480469,120.99345397949219,152.14028930664062,131.77505493164062,119.79550170898438
3,SA-Fleurieu Peninsula,516.099609375,160.6304168701172,159.14309692382812,176.9909210205078,102.625,99.65035247802734,111.54891204833984,72.87861633300781,92.2137680053711,147.2445526123047,151.70651245117188,145.75723266601562
3,SA-Flinders Ranges and Outback,169.8266143798828,104.16031646728516,124.53952026367188,233.22854614257812,242.28594970703125,260.4007873535156,373.6185302734375,319.2740173339844,326.06707763671875,332.8601379394531,194.7344970703125,153.97613525390625
3,SA-Kangaroo Island,48.50737762451172,17.994670867919922,29.730327606201172,37.03251266479492,23.992895126342773,17.473085403442383,21.906557083129883,12.257240295410156,21.906557083129883,34.68537902832031,25.81844139099121,24.514480590820312
3,SA-Limestone Coast,247.01783752441406,135.334228515625,190.51907348632812,203.65830993652344,123.50891876220703,119.567138671875,105.11397552490234,91.97472381591797,106.42789459228516,137.9620819091797,139.2760009765625,135.334228515625
