,ts_name,error_metric,error,level
0,Aggregated,MSE,3375.2888854207563,1
1,Aggregated,MAE,44.89325692914963,1
2,Aggregated,SMAPE,0.37530116253035894,1
3,Clerical and Administrative Workers,MSE,165.44676201506306,2
4,Clerical and Administrative Workers,MAE,10.446380439027507,2
5,Clerical and Administrative Workers,SMAPE,0.7750693454150683,2
6,Community and Personal Service Workers,MSE,1375.5536270102477,2
7,Community and Personal Service Workers,MAE,27.32614749492501,2
8,Community and Personal Service Workers,SMAPE,2.1628004793069975,2
9,Labourers,MSE,894.1592112063731,2
10,Labourers,MAE,28.652218515509958,2
11,Labourers,SMAPE,2.491670122178467,2
12,Machinery Operators and Drivers,MSE,633.8007255940172,2
13,Machinery Operators and Drivers,MAE,23.40753530378427,2
14,Machinery Operators and Drivers,SMAPE,3.130176938055159,2
15,Managers,MSE,915.1866096480253,2
16,Managers,MAE,21.565778523744996,2
17,Managers,SMAPE,1.4015533289977171,2
18,Professionals,MSE,265.31433474850166,2
19,Professionals,MAE,14.383604708654957,2
20,Professionals,SMAPE,0.5159814667180314,2
21,Sales Workers,MSE,1536.7888943963244,2
22,Sales Workers,MAE,36.19432803152256,2
23,Sales Workers,SMAPE,2.496958495692835,2
24,Technicians and Trades Workers,MSE,4676.31377397759,2
25,Technicians and Trades Workers,MAE,61.119085747007546,2
26,Technicians and Trades Workers,SMAPE,3.581462835624707,2
27,Clerical and Administrative Workers-Full time,MSE,174.17405069985796,3
28,Clerical and Administrative Workers-Full time,MAE,11.593197264621239,3
29,Clerical and Administrative Workers-Full time,SMAPE,1.4042954164638837,3
30,Clerical and Administrative Workers-Part time,MSE,80.94301841095414,3
31,Clerical and Administrative Workers-Part time,MAE,8.385869276596253,3
32,Clerical and Administrative Workers-Part time,SMAPE,1.6130539727816777,3
33,Community and Personal Service Workers-Full time,MSE,601.2165398877663,3
34,Community and Personal Service Workers-Full time,MAE,19.28873953501798,3
35,Community and Personal Service Workers-Full time,SMAPE,3.3851280737376923,3
36,Community and Personal Service Workers-Part time,MSE,258.6692477200187,3
37,Community and Personal Service Workers-Part time,MAE,13.85484435801979,3
38,Community and Personal Service Workers-Part time,SMAPE,1.9998758253144282,3
39,Labourers-Full time,MSE,210.36016480935552,3
40,Labourers-Full time,MAE,13.976931656509038,3
41,Labourers-Full time,SMAPE,2.2451908545744064,3
42,Labourers-Part time,MSE,536.5528840110626,3
43,Labourers-Part time,MAE,21.527743831167527,3
44,Labourers-Part time,SMAPE,4.070395442009693,3
45,Machinery Operators and Drivers-Full time,MSE,185.08161071023346,3
46,Machinery Operators and Drivers-Full time,MAE,11.038789367668699,3
47,Machinery Operators and Drivers-Full time,SMAPE,1.7755305645007875,3
48,Machinery Operators and Drivers-Part time,MSE,420.4044631272819,3
49,Machinery Operators and Drivers-Part time,MAE,17.541633125058244,3
50,Machinery Operators and Drivers-Part time,SMAPE,13.788608598011242,3
51,Managers-Full time,MSE,702.6176473109277,3
52,Managers-Full time,MAE,17.69248121398749,3
53,Managers-Full time,SMAPE,1.3265273257470493,3
54,Managers-Part time,MSE,24.893888886630464,3
55,Managers-Part time,MAE,4.219805456616257,3
56,Managers-Part time,SMAPE,2.061788091414777,3
57,Professionals-Full time,MSE,809.5873346954291,3
58,Professionals-Full time,MAE,23.322263780617448,3
59,Professionals-Full time,SMAPE,1.136007592566083,3
60,Professionals-Part time,MSE,716.0779615707521,3
61,Professionals-Part time,MAE,20.489077464693963,3
62,Professionals-Part time,SMAPE,2.9025430756711863,3
63,Sales Workers-Full time,MSE,273.5474302761616,3
64,Sales Workers-Full time,MAE,12.82708713956373,3
65,Sales Workers-Full time,SMAPE,1.7535202067285889,3
66,Sales Workers-Part time,MSE,774.2711554773327,3
67,Sales Workers-Part time,MAE,26.184372232642517,3
68,Sales Workers-Part time,SMAPE,3.631793421136447,3
69,Technicians and Trades Workers-Full time,MSE,5903.7699964479225,3
70,Technicians and Trades Workers-Full time,MAE,67.41098996813503,3
71,Technicians and Trades Workers-Full time,SMAPE,4.639005330219599,3
72,Technicians and Trades Workers-Part time,MSE,108.56195325059437,3
73,Technicians and Trades Workers-Part time,MAE,9.71395936416225,3
74,Technicians and Trades Workers-Part time,SMAPE,3.865979330151189,3
75,Clerical and Administrative Workers-Full time-Females,MSE,128.65436842138004,4
76,Clerical and Administrative Workers-Full time-Females,MAE,9.271950564864511,4
77,Clerical and Administrative Workers-Full time-Females,SMAPE,1.5170591830634417,4
78,Clerical and Administrative Workers-Full time-Males,MSE,162.70565097101573,4
79,Clerical and Administrative Workers-Full time-Males,MAE,10.797469038216747,4
80,Clerical and Administrative Workers-Full time-Males,SMAPE,5.033746937910603,4
81,Clerical and Administrative Workers-Part time-Females,MSE,115.09975353657845,4
82,Clerical and Administrative Workers-Part time-Females,MAE,8.817538844516008,4
83,Clerical and Administrative Workers-Part time-Females,SMAPE,1.840127587040156,4
