,ts_name,error_metric,error,level
0,Aggregated,MSE,2674.6363917654285,1
1,Aggregated,MAE,42.41002747499988,1
2,Aggregated,SMAPE,0.354590778649887,1
3,Clerical and Administrative Workers,MSE,283.9062216786094,2
4,Clerical and Administrative Workers,MAE,13.308294324999906,2
5,Clerical and Administrative Workers,SMAPE,0.9895582795886886,2
6,Community and Personal Service Workers,MSE,866.9604620741302,2
7,Community and Personal Service Workers,MAE,25.265973612499977,2
8,Community and Personal Service Workers,SMAPE,1.9957602892856356,2
9,Labourers,MSE,1229.3498840882428,2
10,Labourers,MAE,33.98862814500001,2
11,Labourers,SMAPE,2.9633409322079296,2
12,Machinery Operators and Drivers,MSE,641.1963755474226,2
13,Machinery Operators and Drivers,MAE,23.6263872575,2
14,Machinery Operators and Drivers,SMAPE,3.1595584432811052,2
15,Managers,MSE,915.4126260380206,2
16,Managers,MAE,22.060733734999985,2
17,Managers,SMAPE,1.4334575904816869,2
18,Professionals,MSE,279.0996385069025,2
19,Professionals,MAE,15.97795917999997,2
20,Professionals,SMAPE,0.5747649830763525,2
21,Sales Workers,MSE,1415.562477867864,2
22,Sales Workers,MAE,35.15538972750005,2
23,Sales Workers,SMAPE,2.42586886417815,2
24,Technicians and Trades Workers,MSE,3388.3646605224953,2
25,Technicians and Trades Workers,MAE,50.06617730750003,2
26,Technicians and Trades Workers,SMAPE,2.946005828866185,2
27,Clerical and Administrative Workers-Full time,MSE,158.7542901593622,3
28,Clerical and Administrative Workers-Full time,MAE,10.995281169999998,3
29,Clerical and Administrative Workers-Full time,SMAPE,1.3314389901467234,3
30,Clerical and Administrative Workers-Part time,MSE,192.652360618171,3
31,Clerical and Administrative Workers-Part time,MAE,13.49061101000001,3
32,Clerical and Administrative Workers-Part time,SMAPE,2.609042824365273,3
33,Community and Personal Service Workers-Full time,MSE,531.8591740164497,3
34,Community and Personal Service Workers-Full time,MAE,17.848071360000006,3
35,Community and Personal Service Workers-Full time,SMAPE,3.126516020454712,3
36,Community and Personal Service Workers-Part time,MSE,120.26515929585375,3
37,Community and Personal Service Workers-Part time,MAE,10.064242117500015,3
38,Community and Personal Service Workers-Part time,SMAPE,1.4389762186182036,3
39,Labourers-Full time,MSE,308.6932854435759,3
40,Labourers-Full time,MAE,16.658590059999995,3
41,Labourers-Full time,SMAPE,2.679241616078249,3
42,Labourers-Part time,MSE,546.5903978220247,3
43,Labourers-Part time,MAE,21.790803820000008,3
44,Labourers-Part time,SMAPE,4.121601573987287,3
45,Machinery Operators and Drivers-Full time,MSE,205.0116395152799,3
46,Machinery Operators and Drivers-Full time,MAE,11.654525034999978,3
47,Machinery Operators and Drivers-Full time,SMAPE,1.8724771630669015,3
48,Machinery Operators and Drivers-Part time,MSE,488.97070773986206,3
49,Machinery Operators and Drivers-Part time,MAE,19.00472267249999,3
50,Machinery Operators and Drivers-Part time,SMAPE,15.060017291407767,3
51,Managers-Full time,MSE,659.9484011950987,3
52,Managers-Full time,MAE,17.72587963000001,3
53,Managers-Full time,SMAPE,1.329336723717753,3
54,Managers-Part time,MSE,27.273768854566864,3
55,Managers-Part time,MAE,4.3348391050000075,3
56,Managers-Part time,SMAPE,2.1179735848329453,3
57,Professionals-Full time,MSE,777.9660257169065,3
58,Professionals-Full time,MAE,22.43589770499989,3
59,Professionals-Full time,SMAPE,1.092419048589923,3
60,Professionals-Part time,MSE,934.2206979787674,3
61,Professionals-Part time,MAE,23.052501389999975,3
62,Professionals-Part time,SMAPE,3.2554899961239925,3
63,Sales Workers-Full time,MSE,252.49966852640696,3
64,Sales Workers-Full time,MAE,12.483905382499955,3
65,Sales Workers-Full time,SMAPE,1.7063624337055106,3
66,Sales Workers-Part time,MSE,718.2979359954269,3
67,Sales Workers-Part time,MAE,25.86065210000001,3
68,Sales Workers-Part time,SMAPE,3.588972638329539,3
69,Technicians and Trades Workers-Full time,MSE,4980.211124270402,3
70,Technicians and Trades Workers-Full time,MAE,60.60895997000006,3
71,Technicians and Trades Workers-Full time,SMAPE,4.1838913677539304,3
72,Technicians and Trades Workers-Part time,MSE,180.2611448959218,3
73,Technicians and Trades Workers-Part time,MAE,11.964452947500007,3
74,Technicians and Trades Workers-Part time,SMAPE,4.768645095250631,3
75,Clerical and Administrative Workers-Full time-Females,MSE,103.42072871294931,4
76,Clerical and Administrative Workers-Full time-Females,MAE,8.332569794999984,4
77,Clerical and Administrative Workers-Full time-Females,SMAPE,1.3646598445119573,4
78,Clerical and Administrative Workers-Full time-Males,MSE,162.85317780238282,4
79,Clerical and Administrative Workers-Full time-Males,MAE,10.929487510000008,4
80,Clerical and Administrative Workers-Full time-Males,SMAPE,5.097639842523679,4
81,Clerical and Administrative Workers-Part time-Females,MSE,205.11184891246992,4
82,Clerical and Administrative Workers-Part time-Females,MAE,12.972537290000005,4
83,Clerical and Administrative Workers-Part time-Females,SMAPE,2.7201190959059125,4
84,Clerical and Administrative Workers-Part time-Males,MSE,20.295318814815307,4
85,Clerical and Administrative Workers-Part time-Males,MAE,3.848172495000002,4
86,Clerical and Administrative Workers-Part time-Males,SMAPE,9.825070660493285,4
87,Community and Personal Service Workers-Full time-Females,MSE,183.80895302950515,4
88,Community and Personal Service Workers-Full time-Females,MAE,11.658890522500002,4
89,Community and Personal Service Workers-Full time-Females,SMAPE,3.5549784462505514,4
90,Community and Personal Service Workers-Full time-Males,MSE,125.26696321065971,4
91,Community and Personal Service Workers-Full time-Males,MAE,8.066360327500007,4
92,Community and Personal Service Workers-Full time-Males,SMAPE,3.320405860777135,4
93,Community and Personal Service Workers-Part time-Females,MSE,268.9584181056481,4
94,Community and Personal Service Workers-Part time-Females,MAE,15.345205574999966,4
95,Community and Personal Service Workers-Part time-Females,SMAPE,2.8298794368817335,4
96,Community and Personal Service Workers-Part time-Males,MSE,398.4596663988402,4
97,Community and Personal Service Workers-Part time-Males,MAE,16.021886367500002,4
98,Community and Personal Service Workers-Part time-Males,SMAPE,10.399012794503228,4
99,Labourers-Full time-Females,MSE,77.49153415309937,4
100,Labourers-Full time-Females,MAE,6.5310324449999975,4
101,Labourers-Full time-Females,SMAPE,4.979355040599294,4
102,Labourers-Full time-Males,MSE,158.8444783571664,4
103,Labourers-Full time-Males,MAE,12.090227055,4
104,Labourers-Full time-Males,SMAPE,2.4743810423447865,4
105,Labourers-Part time-Females,MSE,95.14341102824213,4
106,Labourers-Part time-Females,MAE,7.513039364999997,4
107,Labourers-Part time-Females,SMAPE,3.038023609836803,4
108,Labourers-Part time-Males,MSE,292.1641989259654,4
109,Labourers-Part time-Males,MAE,15.000636009999994,4
110,Labourers-Part time-Males,SMAPE,5.280455402995373,4
111,Machinery Operators and Drivers-Full time-Females,MSE,73.65490794344102,4
112,Machinery Operators and Drivers-Full time-Females,MAE,7.474531850000002,4
113,Machinery Operators and Drivers-Full time-Females,SMAPE,15.114381887756887,4
114,Machinery Operators and Drivers-Full time-Males,MSE,95.3452005899585,4
115,Machinery Operators and Drivers-Full time-Males,MAE,7.853368164999978,4
116,Machinery Operators and Drivers-Full time-Males,SMAPE,1.374104793102821,4
117,Machinery Operators and Drivers-Part time-Females,MSE,58.610856387773744,4
118,Machinery Operators and Drivers-Part time-Females,MAE,6.4349146125,4
119,Machinery Operators and Drivers-Part time-Females,SMAPE,25.77203492113096,4
120,Machinery Operators and Drivers-Part time-Males,MSE,211.68074932165544,4
121,Machinery Operators and Drivers-Part time-Males,MAE,12.690329424999998,4
122,Machinery Operators and Drivers-Part time-Males,SMAPE,12.548004675476948,4
123,Managers-Full time-Females,MSE,292.4125979108744,4
124,Managers-Full time-Females,MAE,14.420235257499982,4
125,Managers-Full time-Females,SMAPE,3.3757589394664924,4
126,Managers-Full time-Males,MSE,277.8431217771006,4
127,Managers-Full time-Males,MAE,13.628717187500058,4
128,Managers-Full time-Males,SMAPE,1.4924661545761466,4
129,Managers-Part time-Females,MSE,18.495526307234925,4
130,Managers-Part time-Females,MAE,3.8628676625000047,4
131,Managers-Part time-Females,SMAPE,2.996934011836046,4
132,Managers-Part time-Males,MSE,38.17380898041511,4
133,Managers-Part time-Males,MAE,4.315874737500003,4
134,Managers-Part time-Males,SMAPE,5.555303772947836,4
135,Professionals-Full time-Females,MSE,631.7071257400396,4
136,Professionals-Full time-Females,MAE,21.111810300000002,4
137,Professionals-Full time-Females,SMAPE,2.196278379707102,4
138,Professionals-Full time-Males,MSE,31.810509631248436,4
139,Professionals-Full time-Males,MAE,4.671714785000006,4
140,Professionals-Full time-Males,SMAPE,0.4285961752096297,4
141,Professionals-Part time-Females,MSE,741.8616487840623,4
142,Professionals-Part time-Females,MAE,22.936727322500005,4
143,Professionals-Part time-Females,SMAPE,4.203640783306366,4
144,Professionals-Part time-Males,MSE,121.99880624160174,4
145,Professionals-Part time-Males,MAE,9.503589827499994,4
146,Professionals-Part time-Males,SMAPE,5.569082525155835,4
147,Sales Workers-Full time-Females,MSE,56.76628337888748,4
148,Sales Workers-Full time-Females,MAE,6.9016129500000005,4
149,Sales Workers-Full time-Females,SMAPE,2.1169971632247417,4
150,Sales Workers-Full time-Males,MSE,182.88872191822674,4
151,Sales Workers-Full time-Males,MAE,12.1611097025,4
152,Sales Workers-Full time-Males,SMAPE,3.0091319825595697,4
153,Sales Workers-Part time-Females,MSE,606.5573461046224,4
154,Sales Workers-Part time-Females,MAE,20.25461230750001,4
155,Sales Workers-Part time-Females,SMAPE,3.9381474995195327,4
156,Sales Workers-Part time-Males,MSE,80.63360843543505,4
157,Sales Workers-Part time-Males,MAE,6.984834402500006,4
158,Sales Workers-Part time-Males,SMAPE,3.4093110942767964,4
159,Technicians and Trades Workers-Full time-Females,MSE,34.532323287285294,4
160,Technicians and Trades Workers-Full time-Females,MAE,5.526751862499999,4
161,Technicians and Trades Workers-Full time-Females,SMAPE,3.773643647553742,4
162,Technicians and Trades Workers-Full time-Males,MSE,4409.4510490772,4
163,Technicians and Trades Workers-Full time-Males,MAE,58.762184007500025,4
164,Technicians and Trades Workers-Full time-Males,SMAPE,4.499799245083586,4
165,Technicians and Trades Workers-Part time-Females,MSE,15.969132035393354,4
166,Technicians and Trades Workers-Part time-Females,MAE,3.5971259874999966,4
167,Technicians and Trades Workers-Part time-Females,SMAPE,3.3895595355702564,4
168,Technicians and Trades Workers-Part time-Males,MSE,119.2064369618989,4
169,Technicians and Trades Workers-Part time-Males,MAE,8.948961860000011,4
170,Technicians and Trades Workers-Part time-Males,SMAPE,6.171116545761714,4
