,ts_name,error_metric,error,level
0,Aggregated,MSE,81875.74084796758,1
1,Aggregated,MAE,248.05504391750023,1
2,Aggregated,SMAPE,2.022477474357723,1
3,Clerical and Administrative Workers,MSE,1885.8147957805784,2
4,Clerical and Administrative Workers,MAE,35.651287104999994,2
5,Clerical and Administrative Workers,SMAPE,2.643735600359492,2
6,Community and Personal Service Workers,MSE,2146.922010193,2
7,Community and Personal Service Workers,MAE,39.11684404499997,2
8,Community and Personal Service Workers,SMAPE,3.026776405402856,2
9,Labourers,MSE,8708.998958403126,2
10,Labourers,MAE,88.51071079750005,2
11,Labourers,SMAPE,7.605147087219212,2
12,Machinery Operators and Drivers,MSE,3298.5108994168572,2
13,Machinery Operators and Drivers,MAE,49.44148216583335,2
14,Machinery Operators and Drivers,SMAPE,6.398683919419872,2
15,Managers,MSE,612.470399219317,2
16,Managers,MAE,22.252142642500036,2
17,Managers,SMAPE,1.4358617519433454,2
18,Professionals,MSE,8607.348816466056,2
19,Professionals,MAE,80.19730452416668,2
20,Professionals,SMAPE,2.764047897410909,2
21,Sales Workers,MSE,1189.1754668526762,2
22,Sales Workers,MAE,31.948120833333366,2
23,Sales Workers,SMAPE,2.193199748264718,2
24,Technicians and Trades Workers,MSE,2828.8230995364725,2
25,Technicians and Trades Workers,MAE,48.426413944166654,2
26,Technicians and Trades Workers,SMAPE,2.7887915293539596,2
27,Clerical and Administrative Workers-Full time,MSE,1340.7031498273159,3
28,Clerical and Administrative Workers-Full time,MAE,29.339484184999993,3
29,Clerical and Administrative Workers-Full time,SMAPE,3.537465174745308,3
30,Clerical and Administrative Workers-Part time,MSE,350.21531608166197,3
31,Clerical and Administrative Workers-Part time,MAE,16.061264911666672,3
32,Clerical and Administrative Workers-Part time,SMAPE,3.0989663837168275,3
33,Community and Personal Service Workers-Full time,MSE,1107.5540406516789,3
34,Community and Personal Service Workers-Full time,MAE,26.716429585000004,3
35,Community and Personal Service Workers-Full time,SMAPE,4.612628695024356,3
36,Community and Personal Service Workers-Part time,MSE,413.7748867220257,3
37,Community and Personal Service Workers-Part time,MAE,16.45891525833333,3
38,Community and Personal Service Workers-Part time,SMAPE,2.3043005162092425,3
39,Labourers-Full time,MSE,1791.1496997834086,3
40,Labourers-Full time,MAE,38.60640248833334,3
41,Labourers-Full time,SMAPE,6.175700364329341,3
42,Labourers-Part time,MSE,2908.8146919457304,3
