,ts_name,error_metric,error,level
0,Aggregated,MSE,3063707.668562875,1
1,Aggregated,MAE,1390.1593750000002,1
2,Aggregated,SMAPE,3.7160530896654684,1
3,ACT,MSE,2158.064526476488,2
4,ACT,MAE,39.92520125000001,2
5,ACT,SMAPE,10.373469673098208,2
6,NSW,MSE,2172055.4478934994,2
7,NSW,MAE,1345.4374999999998,2
8,NSW,SMAPE,11.589177735893719,2
9,NT,MSE,5952.7627783525,2
10,NT,MAE,60.703149999999994,2
11,NT,SMAPE,3.6417376407018502,2
12,QLD,MSE,91722.72725953502,2
13,QLD,MAE,259.79864999999995,2
14,QLD,SMAPE,3.4400458018877087,2
15,SA,MSE,9080.367404078755,2
16,SA,MAE,81.5370375,2
17,SA,SMAPE,2.8930189391597603,2
18,TAS,MSE,7362.7852412456,2
19,TAS,MAE,76.45805,2
20,TAS,SMAPE,15.133761840638396,2
21,VIC,MSE,192939.5299918675,2
22,VIC,MAE,410.70500000000004,2
23,VIC,SMAPE,6.202031469071756,2
24,WA,MSE,158857.0542299875,2
25,WA,MAE,300.71310000000005,2
26,WA,SMAPE,5.11567337744893,2
27,ACT-Female,MSE,17.90918044646563,3
28,ACT-Female,MAE,3.7705493750000003,3
29,ACT-Female,SMAPE,16.58085332326041,3
30,ACT-Male,MSE,2079.9691636377624,3
31,ACT-Male,MAE,39.38205375,3
32,ACT-Male,SMAPE,10.925363657440744,3
33,NSW-Female,MSE,36409.44616182739,3
34,NSW-Female,MAE,177.97623875,3
35,NSW-Female,SMAPE,21.60665733037943,3
36,NSW-Male,MSE,1650197.964247625,3
37,NSW-Male,MAE,1167.461375,3
38,NSW-Male,SMAPE,10.822926521593118,3
39,NT-Female,MSE,331.8619473805501,3
40,NT-Female,MAE,16.2163125,3
41,NT-Female,SMAPE,11.880348864165308,3
42,NT-Male,MSE,5056.475746213744,3
43,NT-Male,MAE,57.29296249999996,3
44,NT-Male,SMAPE,3.7531675526861457,3
45,QLD-Female,MSE,3232.048782612173,3
46,QLD-Female,MAE,54.53535249999999,3
47,QLD-Female,SMAPE,7.716494611662444,3
48,QLD-Male,MSE,104213.06802133755,3
49,QLD-Male,MAE,265.32517500000006,3
50,QLD-Male,SMAPE,3.8712780648059413,3
51,SA-Female,MSE,780.3170424937001,3
52,SA-Female,MAE,23.39157,3
53,SA-Female,SMAPE,13.021858951902592,3
54,SA-Male,MSE,4876.845789846246,3
55,SA-Male,MAE,61.809462499999995,3
56,SA-Male,SMAPE,2.3339728432831173,3
57,TAS-Female,MSE,315.6633880031534,3
58,TAS-Female,MAE,14.594070375,3
59,TAS-Female,SMAPE,38.071783055589094,3
60,TAS-Male,MSE,4760.058687195475,3
