,ts_name,error_metric,error,level
0,Aggregated,MSE,5393954.64283363,1
1,Aggregated,MAE,1994.1181250000009,1
2,Aggregated,SMAPE,5.401352538427513,1
3,ACT,MSE,2138.698852425462,2
4,ACT,MAE,39.54327125,2
5,ACT,SMAPE,10.266324440086724,2
6,NSW,MSE,2758532.571807907,2
7,NSW,MAE,1546.8884375000002,2
8,NSW,SMAPE,13.45903431005765,2
9,NT,MSE,4354.393942764998,2
10,NT,MAE,54.697900000000004,2
11,NT,SMAPE,3.304239490079967,2
12,QLD,MSE,133874.86458277624,2
13,QLD,MAE,281.75553750000006,2
14,QLD,SMAPE,3.737145372277756,2
15,SA,MSE,5148.518210272515,2
16,SA,MAE,61.29232500000006,2
17,SA,SMAPE,2.1539571015594188,2
18,TAS,MSE,9794.544970522362,2
19,TAS,MAE,91.20477624999998,2
20,TAS,SMAPE,18.377091291500353,2
21,VIC,MSE,109307.44646901623,2
22,VIC,MAE,303.5817125,2
23,VIC,SMAPE,4.630480697747166,2
24,WA,MSE,232618.5105923412,2
25,WA,MAE,380.88081249999993,2
26,WA,SMAPE,6.55869053618018,2
27,ACT-Female,MSE,41.36426148047,3
28,ACT-Female,MAE,5.365856000000001,3
29,ACT-Female,SMAPE,24.800838757224103,3
30,ACT-Male,MSE,1668.1341158807118,3
31,ACT-Male,MAE,35.86629874999999,3
32,ACT-Male,SMAPE,9.899803418604781,3
33,NSW-Female,MSE,52086.84233806953,3
34,NSW-Female,MAE,217.04504999999997,3
35,NSW-Female,SMAPE,27.064788370405168,3
36,NSW-Male,MSE,2057167.5544332494,3
37,NSW-Male,MAE,1329.8439999999998,3
38,NSW-Male,SMAPE,12.43700653769583,3
39,NT-Female,MSE,482.49382211980304,3
40,NT-Female,MAE,18.635149374999997,3
41,NT-Female,SMAPE,13.998407321723944,3
42,NT-Male,MSE,3990.8276039224984,3
43,NT-Male,MAE,51.73162499999998,3
44,NT-Male,SMAPE,3.3998709318478135,3
45,QLD-Female,MSE,1578.2136290162744,3
46,QLD-Female,MAE,36.2986775,3
47,QLD-Female,SMAPE,5.2156237840077,3
48,QLD-Male,MSE,149044.5785146575,3
49,QLD-Male,MAE,298.33624999999995,3
50,QLD-Male,SMAPE,4.369055331723234,3
51,SA-Female,MSE,401.81128668085023,3
52,SA-Female,MAE,17.626412500000004,3
53,SA-Female,SMAPE,10.053055917057632,3
54,SA-Male,MSE,3340.348055352509,3
55,SA-Male,MAE,50.17272500000007,3
56,SA-Male,SMAPE,1.8787683867217415,3
57,TAS-Female,MSE,368.7260926841558,3
58,TAS-Female,MAE,16.40784925,3
59,TAS-Female,SMAPE,44.47505675817835,3
60,TAS-Male,MSE,6502.372712889239,3
61,TAS-Male,MAE,74.79692875,3
62,TAS-Male,SMAPE,16.25369992612144,3
63,VIC-Female,MSE,432.53308067956283,3
64,VIC-Female,MAE,19.865583750000006,3
65,VIC-Female,SMAPE,4.4906924732523485,3
66,VIC-Male,MSE,96368.35973518495,3
67,VIC-Male,MAE,283.71624999999995,3
68,VIC-Male,SMAPE,4.641184397375217,3
69,WA-Female,MSE,2500.616366341662,3
70,WA-Female,MAE,35.973723750000005,3
71,WA-Female,SMAPE,6.364987266328356,3
72,WA-Male,MSE,190397.9761741138,3
73,WA-Male,MAE,349.93168750000007,3
74,WA-Male,SMAPE,6.675341317734198,3
75,ACT-Female-Remanded,MSE,31.961740740115587,4
76,ACT-Female-Remanded,MAE,5.14904955,4
77,ACT-Female-Remanded,SMAPE,66.7748760345274,4
78,ACT-Female-Sentenced,MSE,6.961925098363656,4
79,ACT-Female-Sentenced,MAE,2.1131215625,4
80,ACT-Female-Sentenced,SMAPE,16.719583101262227,4
81,ACT-Male-Remanded,MSE,1109.0904659522373,4
82,ACT-Male-Remanded,MAE,29.972301249999997,4
83,ACT-Male-Remanded,SMAPE,28.019095440847163,4
84,ACT-Male-Sentenced,MSE,330.5667548281001,4
85,ACT-Male-Sentenced,MAE,15.464982500000005,4
86,ACT-Male-Sentenced,SMAPE,6.299750171858685,4
87,NSW-Female-Remanded,MSE,23262.1158849982,4
88,NSW-Female-Remanded,MAE,141.7121275,4
89,NSW-Female-Remanded,SMAPE,48.785540905636815,4
90,NSW-Female-Sentenced,MSE,6582.930858947725,4
91,NSW-Female-Sentenced,MAE,75.33291249999999,4
92,NSW-Female-Sentenced,SMAPE,14.605944551460109,4
93,NSW-Male-Remanded,MSE,798889.93843426,4
94,NSW-Male-Remanded,MAE,844.8593250000001,4
95,NSW-Male-Remanded,SMAPE,26.470035262217067,4
96,NSW-Male-Sentenced,MSE,297911.2001884262,4
97,NSW-Male-Sentenced,MAE,485.9361375,4
98,NSW-Male-Sentenced,SMAPE,6.474352761429085,4
99,NT-Female-Remanded,MSE,45.99922958404923,4
100,NT-Female-Remanded,MAE,6.179374249999999,4
101,NT-Female-Remanded,SMAPE,13.498010754837143,4
102,NT-Female-Sentenced,MSE,320.7270034120188,4
103,NT-Female-Sentenced,MAE,14.632213750000002,4
104,NT-Female-Sentenced,SMAPE,16.726574750491086,4
105,NT-Male-Remanded,MSE,1728.8463393288257,4
106,NT-Male-Remanded,MAE,38.03190500000001,4
107,NT-Male-Remanded,SMAPE,8.640872939330322,4
108,NT-Male-Sentenced,MSE,755.5781881875007,4
109,NT-Male-Sentenced,MAE,24.951925000000017,4
110,NT-Male-Sentenced,SMAPE,2.310927397135043,4
111,QLD-Female-Remanded,MSE,1682.183282213375,4
112,QLD-Female-Remanded,MAE,34.7725425,4
113,QLD-Female-Remanded,SMAPE,17.91877859457661,4
114,QLD-Female-Sentenced,MSE,5512.001165475211,4
115,QLD-Female-Sentenced,MAE,67.55304625,4
116,QLD-Female-Sentenced,SMAPE,13.192217147516217,4
117,QLD-Male-Remanded,MSE,115383.52084496002,4
118,QLD-Male-Remanded,MAE,272.542275,4
119,QLD-Male-Remanded,SMAPE,15.421175071204848,4
120,QLD-Male-Sentenced,MSE,9820.854041106264,4
121,QLD-Male-Sentenced,MAE,76.9335125,4
122,QLD-Male-Sentenced,SMAPE,1.5246556171942534,4
123,SA-Female-Remanded,MSE,486.01163535309456,4
124,SA-Female-Remanded,MAE,17.362607125,4
125,SA-Female-Remanded,SMAPE,21.235646606817156,4
126,SA-Female-Sentenced,MSE,200.6100866328101,4
127,SA-Female-Sentenced,MAE,13.715807374999999,4
128,SA-Female-Sentenced,SMAPE,14.090044660828305,4
129,SA-Male-Remanded,MSE,20416.11981223807,4
130,SA-Male-Remanded,MAE,120.10251999999998,4
131,SA-Male-Remanded,SMAPE,12.345177004611338,4
132,SA-Male-Sentenced,MSE,8762.780883541249,4
133,SA-Male-Sentenced,MAE,81.7339125,4
134,SA-Male-Sentenced,SMAPE,4.740018438378993,4
135,TAS-Female-Remanded,MSE,87.27316301254372,4
136,TAS-Female-Remanded,MAE,8.859783225000001,4
137,TAS-Female-Remanded,SMAPE,121.63594741117345,4
138,TAS-Female-Sentenced,MSE,118.00273434097849,4
139,TAS-Female-Sentenced,MAE,8.6447015,4
140,TAS-Female-Sentenced,SMAPE,28.854902573012243,4
141,TAS-Male-Remanded,MSE,1848.5060625371623,4
142,TAS-Male-Remanded,MAE,40.88565625,4
143,TAS-Male-Remanded,SMAPE,37.17035031618165,4
144,TAS-Male-Sentenced,MSE,1575.9713520253124,4
145,TAS-Male-Sentenced,MAE,33.91127875,4
146,TAS-Male-Sentenced,SMAPE,9.62212999918097,4
147,VIC-Female-Remanded,MSE,738.711836143116,4
148,VIC-Female-Remanded,MAE,22.941494375000005,4
149,VIC-Female-Remanded,SMAPE,15.876464782124938,4
150,VIC-Female-Sentenced,MSE,2136.590874749863,4
151,VIC-Female-Sentenced,MAE,41.39082625,4
152,VIC-Female-Sentenced,SMAPE,13.761572737055266,4
153,VIC-Male-Remanded,MSE,69801.39389788751,4
154,VIC-Male-Remanded,MAE,209.87622500000003,4
155,VIC-Male-Remanded,SMAPE,13.53046461448992,4
156,VIC-Male-Sentenced,MSE,269017.66819876264,4
157,VIC-Male-Sentenced,MAE,471.8357500000002,4
158,VIC-Male-Sentenced,SMAPE,10.09714334301887,4
159,WA-Female-Remanded,MSE,1713.8634078644623,4
160,WA-Female-Remanded,MAE,30.72714875,4
161,WA-Female-Remanded,SMAPE,17.550731990160568,4
162,WA-Female-Sentenced,MSE,181.06827566396225,4
163,WA-Female-Sentenced,MAE,11.810348749999996,4
164,WA-Female-Sentenced,SMAPE,3.0944225449108407,4
165,WA-Male-Remanded,MSE,82117.56088496126,4
166,WA-Male-Remanded,MAE,231.7211375,4
167,WA-Male-Remanded,SMAPE,17.365993450801696,4
168,WA-Male-Sentenced,MSE,23683.212304515015,4
169,WA-Male-Sentenced,MAE,122.206775,4
