,ts_name,error_metric,error,level
0,Aggregated,MSE,1102699.8642482494,1
1,Aggregated,MAE,934.0827499999996,1
2,Aggregated,SMAPE,2.6106844154840947,1
3,ACT,MSE,574.701894030825,2
4,ACT,MAE,19.049052500000002,2
5,ACT,SMAPE,5.234792298009137,2
6,NSW,MSE,1417846.60688475,2
7,NSW,MAE,1103.17675,2
8,NSW,SMAPE,9.834076546105116,2
9,NT,MSE,3667.6197972149985,2
10,NT,MAE,43.646950000000004,2
11,NT,SMAPE,2.7137022963604975,2
12,QLD,MSE,6748.757139402524,2
13,QLD,MAE,67.63282500000014,2
14,QLD,SMAPE,0.9295027680892871,2
15,SA,MSE,3021.6897770825044,2
16,SA,MAE,46.13462500000003,2
17,SA,SMAPE,1.6940037609904917,2
18,TAS,MSE,4659.820743963749,2
19,TAS,MAE,63.82814499999999,2
20,TAS,SMAPE,13.403959902180226,2
21,VIC,MSE,128118.0904263125,2
22,VIC,MAE,302.04937500000005,2
23,VIC,SMAPE,4.703736652936528,2
24,WA,MSE,8777.815334602477,2
25,WA,MAE,72.64747499999999,2
26,WA,SMAPE,1.3011583584098922,2
27,ACT-Female,MSE,2.816392978656248,3
28,ACT-Female,MAE,1.4357897499999996,3
29,ACT-Female,SMAPE,7.549105949065105,3
30,ACT-Male,MSE,613.3512918388003,3
31,ACT-Male,MAE,20.418459999999996,3
32,ACT-Male,SMAPE,5.939099856146721,3
33,NSW-Female,MSE,30291.2900143149,3
34,NSW-Female,MAE,169.559535,3
35,NSW-Female,SMAPE,22.118192766478007,3
36,NSW-Male,MSE,1040743.2366282498,3
37,NSW-Male,MAE,933.6172499999998,3
38,NSW-Male,SMAPE,8.930730510430823,3
39,NT-Female,MSE,1051.0943660348792,3
40,NT-Female,MAE,31.3442915,3
41,NT-Female,SMAPE,23.600324315532976,3
42,NT-Male,MSE,2276.728518177502,3
43,NT-Male,MAE,43.758825,3
44,NT-Male,SMAPE,2.9615611838815457,3
45,QLD-Female,MSE,870.2349396483252,3
46,QLD-Female,MAE,26.985822500000012,3
47,QLD-Female,SMAPE,3.963195950071827,3
48,QLD-Male,MSE,8630.45739529251,3
49,QLD-Male,MAE,74.76142499999992,3
50,QLD-Male,SMAPE,1.1305595599455749,3
51,SA-Female,MSE,710.3239731245001,3
52,SA-Female,MAE,25.337229999999998,3
53,SA-Female,SMAPE,14.801355571872932,3
54,SA-Male,MSE,1406.9613436675077,3
55,SA-Male,MAE,35.89982500000008,3
56,SA-Male,SMAPE,1.396339388419809,3
57,TAS-Female,MSE,84.97731127381726,3
58,TAS-Female,MAE,6.4729937500000005,3
59,TAS-Female,SMAPE,19.26500925022535,3
60,TAS-Male,MSE,3718.1817129822234,3
61,TAS-Male,MAE,57.35515749999999,3
62,TAS-Male,SMAPE,12.896820936621642,3
63,VIC-Female,MSE,1103.0241581642254,3
64,VIC-Female,MAE,29.622167500000003,3
65,VIC-Female,SMAPE,6.673987348166446,3
66,VIC-Male,MSE,106056.30282577002,3
67,VIC-Male,MAE,275.01784999999995,3
68,VIC-Male,SMAPE,4.600945959216126,3
69,WA-Female,MSE,890.9408440158006,3
70,WA-Female,MAE,28.039800000000014,3
71,WA-Female,SMAPE,5.233671741189934,3
72,WA-Male,MSE,13115.109162374947,3
73,WA-Male,MAE,82.46324999999979,3
74,WA-Male,SMAPE,1.6298073026723678,3
75,ACT-Female-Remanded,MSE,15.698868966461752,4
76,ACT-Female-Remanded,MAE,3.494077775,4
77,ACT-Female-Remanded,SMAPE,52.864782987908264,4
78,ACT-Female-Sentenced,MSE,13.676195392159752,4
79,ACT-Female-Sentenced,MAE,2.93392275,4
80,ACT-Female-Sentenced,SMAPE,24.73414309527619,4
81,ACT-Male-Remanded,MSE,583.36441293495,4
82,ACT-Male-Remanded,MAE,22.37015,4
83,ACT-Male-Remanded,SMAPE,22.796852390239962,4
84,ACT-Male-Sentenced,MSE,587.3278251259251,4
85,ACT-Male-Sentenced,MAE,21.836062500000004,4
86,ACT-Male-Sentenced,SMAPE,9.140882146638681,4
87,NSW-Female-Remanded,MSE,10245.857637755924,4
88,NSW-Female-Remanded,MAE,101.13120249999999,4
89,NSW-Female-Remanded,SMAPE,40.09761651442593,4
90,NSW-Female-Sentenced,MSE,5907.8630904735255,4
91,NSW-Female-Sentenced,MAE,68.4283475,4
92,NSW-Female-Sentenced,SMAPE,13.195957061770331,4
93,NSW-Male-Remanded,MSE,469060.81985483493,4
94,NSW-Male-Remanded,MAE,653.16185,4
95,NSW-Male-Remanded,SMAPE,21.66205383871254,4
96,NSW-Male-Sentenced,MSE,124554.93254228996,4
97,NSW-Male-Sentenced,MAE,288.92644999999993,4
98,NSW-Male-Sentenced,SMAPE,3.871198572714582,4
99,NT-Female-Remanded,MSE,96.20090720246924,4
100,NT-Female-Remanded,MAE,8.866504749999999,4
101,NT-Female-Remanded,SMAPE,19.468261760846843,4
102,NT-Female-Sentenced,MSE,579.3733877843248,4
103,NT-Female-Sentenced,MAE,22.477782499999996,4
104,NT-Female-Sentenced,SMAPE,25.36255379943246,4
105,NT-Male-Remanded,MSE,834.4567283255253,4
106,NT-Male-Remanded,MAE,25.119822499999998,4
107,NT-Male-Remanded,SMAPE,5.884488584925538,4
108,NT-Male-Sentenced,MSE,945.7644176350026,4
109,NT-Male-Sentenced,MAE,26.26335000000006,4
110,NT-Male-Sentenced,SMAPE,2.4830524756879306,4
111,QLD-Female-Remanded,MSE,421.0898599072248,4
112,QLD-Female-Remanded,MAE,17.889517499999997,4
113,QLD-Female-Remanded,SMAPE,10.300870608172739,4
114,QLD-Female-Sentenced,MSE,2193.49151747125,4
115,QLD-Female-Sentenced,MAE,41.56784999999999,4
116,QLD-Female-Sentenced,SMAPE,8.149577105681512,4
117,QLD-Male-Remanded,MSE,18170.066580127506,4
118,QLD-Male-Remanded,MAE,109.46567500000003,4
119,QLD-Male-Remanded,SMAPE,6.814734627765182,4
120,QLD-Male-Sentenced,MSE,7494.6426675225175,4
121,QLD-Male-Sentenced,MAE,76.61757499999999,4
122,QLD-Male-Sentenced,SMAPE,1.5308339336792438,4
123,SA-Female-Remanded,MSE,104.193152440789,4
124,SA-Female-Remanded,MAE,8.396828499999998,4
125,SA-Female-Remanded,SMAPE,11.62244040385746,4
126,SA-Female-Sentenced,MSE,341.70103870390534,4
127,SA-Female-Sentenced,MAE,18.241319750000002,4
128,SA-Female-Sentenced,SMAPE,18.595557354743274,4
129,SA-Male-Remanded,MSE,4430.531892967851,4
130,SA-Male-Remanded,MAE,51.54372000000001,4
131,SA-Male-Remanded,SMAPE,5.699363553668399,4
132,SA-Male-Sentenced,MSE,2410.3621131225004,4
133,SA-Male-Sentenced,MAE,45.37287500000002,4
134,SA-Male-Sentenced,SMAPE,2.658645215075197,4
135,TAS-Female-Remanded,MSE,40.50159941476949,4
136,TAS-Female-Remanded,MAE,5.75539,4
137,TAS-Female-Remanded,SMAPE,76.57262163984694,4
138,TAS-Female-Sentenced,MSE,17.986072129934993,4
139,TAS-Female-Sentenced,MAE,3.205549499999999,4
140,TAS-Female-Sentenced,SMAPE,12.928885557295525,4
141,TAS-Male-Remanded,MSE,1139.8062042015063,4
142,TAS-Male-Remanded,MAE,31.34900875,4
143,TAS-Male-Remanded,SMAPE,29.601370626679426,4
144,TAS-Male-Sentenced,MSE,854.9760944647493,4
145,TAS-Male-Sentenced,MAE,26.00614499999999,4
146,TAS-Male-Sentenced,SMAPE,7.628953134542389,4
147,VIC-Female-Remanded,MSE,33.94152927767506,4
148,VIC-Female-Remanded,MAE,3.4121225000000095,4
149,VIC-Female-Remanded,SMAPE,2.451352143765298,4
150,VIC-Female-Sentenced,MSE,1423.9740112457243,4
151,VIC-Female-Sentenced,MAE,33.03428749999999,4
152,VIC-Female-Sentenced,SMAPE,10.75197116223924,4
153,VIC-Male-Remanded,MSE,4026.412737032497,4
154,VIC-Male-Remanded,MAE,59.580224999999984,4
155,VIC-Male-Remanded,SMAPE,4.396697614130091,4
156,VIC-Male-Sentenced,MSE,106663.56917724994,4
157,VIC-Male-Sentenced,MAE,285.02874999999995,4
158,VIC-Male-Sentenced,SMAPE,6.156911932702061,4
159,WA-Female-Remanded,MSE,131.35915155299983,4
160,WA-Female-Remanded,MAE,8.823769999999996,4
161,WA-Female-Remanded,SMAPE,5.796068351403407,4
162,WA-Female-Sentenced,MSE,497.9110047843502,4
163,WA-Female-Sentenced,MAE,19.216044999999994,4
164,WA-Female-Sentenced,SMAPE,5.065903770644567,4
165,WA-Male-Remanded,MSE,9015.772478974994,4
166,WA-Male-Remanded,MAE,69.52184999999997,4
167,WA-Male-Remanded,SMAPE,5.839118606320115,4
168,WA-Male-Sentenced,MSE,392.1990489299985,4
169,WA-Male-Sentenced,MAE,15.197949999999992,4
170,WA-Male-Sentenced,SMAPE,0.3932061525597594,4
171,ACT-Female-Remanded-ATSI,MSE,10.00218383867069,5
