,ts_name,error_metric,error,level
0,Aggregated,MSE,6931171.449399482,1
1,Aggregated,MAE,2293.837373058332,1
2,Aggregated,SMAPE,6.829500361461267,1
3,NSW,MSE,911498.5101721919,2
4,NSW,MAE,802.8296260833328,2
5,NSW,SMAPE,7.54071781683343,2
6,NT,MSE,17065.15573036717,2
7,NT,MAE,115.96915534166669,2
8,NT,SMAPE,16.226749436569648,2
9,QLD,MSE,889730.001497243,2
10,QLD,MAE,743.0339307166665,2
11,QLD,SMAPE,8.738275170899062,2
12,SA,MSE,63214.7704776705,2
13,SA,MAE,188.46543605,2
14,SA,SMAPE,8.522073747100679,2
15,TAS,MSE,38524.87872828447,2
16,TAS,MAE,169.72717763333333,2
17,TAS,SMAPE,17.578239717691385,2
18,VIC,MSE,381639.61931650806,2
19,VIC,MAE,531.8260648000002,2
20,VIC,SMAPE,8.427572284911099,2
21,WA,MSE,361825.63335665624,2
22,WA,MAE,466.6971892666666,2
23,WA,SMAPE,11.394924655966898,2
24,NSW-Blue Mountains,MSE,3067.293049635084,3
25,NSW-Blue Mountains,MAE,43.56990732500001,3
26,NSW-Blue Mountains,SMAPE,17.620106584388534,3
27,NSW-Canberra,MSE,43172.44504566569,3
28,NSW-Canberra,MAE,158.19867341666668,3
29,NSW-Canberra,SMAPE,21.994479700065856,3
30,NSW-Capital Country,MSE,5853.741642045269,3
31,NSW-Capital Country,MAE,56.317816825,3
32,NSW-Capital Country,SMAPE,17.566219056673237,3
33,NSW-Central Coast,MSE,12007.589266941759,3
34,NSW-Central Coast,MAE,85.59387079999999,3
35,NSW-Central Coast,SMAPE,22.354060516892577,3
36,NSW-Central NSW,MSE,33615.674885469816,3
37,NSW-Central NSW,MAE,158.73504363333333,3
38,NSW-Central NSW,SMAPE,25.599058492266213,3
39,NSW-Hunter,MSE,54435.04195525862,3
40,NSW-Hunter,MAE,174.08009835,3
41,NSW-Hunter,SMAPE,15.919049507891922,3
42,NSW-New England North West,MSE,8704.768175890296,3
