,ts_name,error_metric,error,level
0,Aggregated,MSE,10107692.409512846,1
1,Aggregated,MAE,2759.7429563916653,1
2,Aggregated,SMAPE,8.144754704587527,1
3,NSW,MSE,1067160.9561776158,2
4,NSW,MAE,870.1562094166665,2
5,NSW,SMAPE,8.112712003955762,2
6,NT,MSE,20150.68298141693,2
7,NT,MAE,126.36085580833337,2
8,NT,SMAPE,17.794478049681846,2
9,QLD,MSE,1101544.0063820642,2
10,QLD,MAE,837.7871038166664,2
11,QLD,SMAPE,9.80660064983292,2
12,SA,MSE,109288.21262859202,2
13,SA,MAE,256.82791115000003,2
14,SA,SMAPE,11.27395446772847,2
15,TAS,MSE,44990.57471591471,2
16,TAS,MAE,179.74065679999998,2
17,TAS,SMAPE,18.131306181257628,2
18,VIC,MSE,427954.34886988235,2
19,VIC,MAE,597.7065147999999,2
20,VIC,SMAPE,9.394405237553395,2
21,WA,MSE,437224.7079731306,2
22,WA,MAE,500.4349080166665,2
23,WA,SMAPE,12.437506450487179,2
24,NSW-Blue Mountains,MSE,3082.3248249436333,3
25,NSW-Blue Mountains,MAE,42.012630775,3
26,NSW-Blue Mountains,SMAPE,17.168629683024115,3
27,NSW-Canberra,MSE,43614.115800536056,3
28,NSW-Canberra,MAE,160.78441841666665,3
29,NSW-Canberra,SMAPE,22.40045895672796,3
30,NSW-Capital Country,MSE,5551.486679807017,3
31,NSW-Capital Country,MAE,55.83185499166666,3
32,NSW-Capital Country,SMAPE,17.589976301186596,3
33,NSW-Central Coast,MSE,12552.936864769918,3
34,NSW-Central Coast,MAE,87.6618133,3
35,NSW-Central Coast,SMAPE,22.79882042969028,3
36,NSW-Central NSW,MSE,32182.899513039723,3
37,NSW-Central NSW,MAE,157.4074478,3
38,NSW-Central NSW,SMAPE,25.525452381187012,3
39,NSW-Hunter,MSE,57612.63978863687,3
40,NSW-Hunter,MAE,175.81805835,3
41,NSW-Hunter,SMAPE,16.030228961000088,3
42,NSW-New England North West,MSE,8215.083410005793,3
43,NSW-New England North West,MAE,72.21436330833335,3
44,NSW-New England North West,SMAPE,19.070763069485658,3
45,NSW-North Coast NSW,MSE,164506.06067855528,3
46,NSW-North Coast NSW,MAE,365.86144785833335,3
47,NSW-North Coast NSW,SMAPE,20.472442963177876,3
48,NSW-Outback NSW,MSE,3219.0501087038083,3
49,NSW-Outback NSW,MAE,46.45339815,3
50,NSW-Outback NSW,SMAPE,29.552628105656527,3
51,NSW-Riverina,MSE,5138.724131839782,3
52,NSW-Riverina,MAE,54.37734391666667,3
53,NSW-Riverina,SMAPE,22.951541069383328,3
54,NSW-Snowy Mountains,MSE,14647.912612632053,3
55,NSW-Snowy Mountains,MAE,100.12572640833332,3
56,NSW-Snowy Mountains,SMAPE,37.613672374157275,3
57,NSW-South Coast,MSE,102368.19835999946,3
58,NSW-South Coast,MAE,240.775623225,3
59,NSW-South Coast,SMAPE,22.756014104720443,3
60,NSW-Sydney,MSE,194287.4074612941,3
61,NSW-Sydney,MAE,341.6467237,3
62,NSW-Sydney,SMAPE,11.825618748301064,3
