,ts_name,error_metric,error,level
0,Aggregated,MSE,10192298.52534063,1
1,Aggregated,MAE,2806.690428146891,1
2,Aggregated,SMAPE,8.37165831747783,1
3,NSW,MSE,1109119.1313366487,2
4,NSW,MAE,892.7308052713006,2
5,NSW,SMAPE,8.369287341875001,2
6,NT,MSE,7519.058348980015,2
7,NT,MAE,72.76970717660568,2
8,NT,SMAPE,9.915707238429166,2
9,QLD,MSE,1055334.090678028,2
10,QLD,MAE,830.7036952632349,2
11,QLD,SMAPE,9.83867176636257,2
12,SA,MSE,138188.32006387596,2
13,SA,MAE,302.2498833827291,2
14,SA,SMAPE,14.108057156863588,2
15,TAS,MSE,45527.80380041975,2
16,TAS,MAE,172.48200890651637,2
17,TAS,SMAPE,17.09940438635694,2
18,VIC,MSE,326192.7615788728,2
19,VIC,MAE,507.3355914988451,2
20,VIC,SMAPE,7.976887092517207,2
21,WA,MSE,401057.6716361295,2
22,WA,MAE,505.3651721486132,2
23,WA,SMAPE,12.53205156200163,2
24,NSW-Blue Mountains,MSE,2442.0987319905294,3
25,NSW-Blue Mountains,MAE,37.88718756277034,3
26,NSW-Blue Mountains,SMAPE,15.645643937979681,3
27,NSW-Canberra,MSE,50594.23450175761,3
28,NSW-Canberra,MAE,175.87508195379647,3
29,NSW-Canberra,SMAPE,24.87045353540679,3
30,NSW-Capital Country,MSE,6259.545547754787,3
31,NSW-Capital Country,MAE,58.16633106478091,3
32,NSW-Capital Country,SMAPE,18.053935010345544,3
33,NSW-Central Coast,MSE,20445.84970036029,3
34,NSW-Central Coast,MAE,107.18988822072227,3
35,NSW-Central Coast,SMAPE,28.50411406293497,3
36,NSW-Central NSW,MSE,32813.021920466555,3
37,NSW-Central NSW,MAE,160.4119156640983,3
38,NSW-Central NSW,SMAPE,25.784637228447703,3
39,NSW-Hunter,MSE,71811.2527663775,3
40,NSW-Hunter,MAE,192.6035709548531,3
41,NSW-Hunter,SMAPE,17.794298111794326,3
42,NSW-New England North West,MSE,11554.191255121359,3
43,NSW-New England North West,MAE,82.41960510356235,3
44,NSW-New England North West,SMAPE,21.391300925775504,3
45,NSW-North Coast NSW,MSE,81448.0440914408,3
46,NSW-North Coast NSW,MAE,236.69345172983085,3
47,NSW-North Coast NSW,SMAPE,11.884618397685184,3
48,NSW-Outback NSW,MSE,3247.7448036228366,3
49,NSW-Outback NSW,MAE,44.945889596313236,3
50,NSW-Outback NSW,SMAPE,27.539410169726846,3
51,NSW-Riverina,MSE,5519.130348162166,3
52,NSW-Riverina,MAE,59.07171243270593,3
53,NSW-Riverina,SMAPE,24.595502680555203,3
