,ts_name,error_metric,error,level
0,Aggregated,MSE,15595149.808199152,1
1,Aggregated,MAE,3556.65348904279,1
2,Aggregated,SMAPE,10.749341522383235,1
3,NSW,MSE,1443800.7414760788,2
4,NSW,MAE,1038.4091772052036,2
5,NSW,SMAPE,9.819858739079468,2
6,NT,MSE,8952.310601315316,2
7,NT,MAE,77.05590672544066,2
8,NT,SMAPE,9.97180192249991,2
9,QLD,MSE,1602251.5749302825,2
10,QLD,MAE,1065.6153622407007,2
11,QLD,SMAPE,12.867427987123992,2
12,SA,MSE,181795.10799412968,2
13,SA,MAE,360.24648796682663,2
14,SA,SMAPE,16.992280037736904,2
15,TAS,MSE,65297.39647759518,2
16,TAS,MAE,199.89794943629636,2
17,TAS,SMAPE,19.56593356777315,2
18,VIC,MSE,432034.3065090969,2
19,VIC,MAE,585.0940721396801,2
20,VIC,SMAPE,9.188312951267113,2
21,WA,MSE,446984.3559273291,2
22,WA,MAE,527.74347532911,2
23,WA,SMAPE,13.224952327467895,2
24,NSW-Blue Mountains,MSE,2489.7715249191374,3
25,NSW-Blue Mountains,MAE,37.28620481671043,3
26,NSW-Blue Mountains,SMAPE,15.445530487674409,3
27,NSW-Canberra,MSE,47634.97856641499,3
28,NSW-Canberra,MAE,168.30181469537567,3
29,NSW-Canberra,SMAPE,23.600441382397825,3
30,NSW-Capital Country,MSE,6857.076472560569,3
31,NSW-Capital Country,MAE,59.94380603726125,3
32,NSW-Capital Country,SMAPE,19.00264304343366,3
33,NSW-Central Coast,MSE,18923.26358945679,3
34,NSW-Central Coast,MAE,102.67686244205892,3
35,NSW-Central Coast,SMAPE,27.073981835276932,3
36,NSW-Central NSW,MSE,30853.134219883097,3
37,NSW-Central NSW,MAE,153.3655141744154,3
38,NSW-Central NSW,SMAPE,24.93726528909774,3
39,NSW-Hunter,MSE,67746.97981926425,3
40,NSW-Hunter,MAE,187.84915660436627,3
41,NSW-Hunter,SMAPE,17.19749966353078,3
42,NSW-New England North West,MSE,9063.666744384329,3
43,NSW-New England North West,MAE,75.41530441699267,3
44,NSW-New England North West,SMAPE,20.053102662671172,3
45,NSW-North Coast NSW,MSE,125374.95841639869,3
46,NSW-North Coast NSW,MAE,311.34319038048494,3
47,NSW-North Coast NSW,SMAPE,16.709510049086624,3
48,NSW-Outback NSW,MSE,2507.8016324899213,3
49,NSW-Outback NSW,MAE,38.683149666461674,3
50,NSW-Outback NSW,SMAPE,23.790490625957556,3
51,NSW-Riverina,MSE,4938.372943959251,3
52,NSW-Riverina,MAE,50.466740044580426,3
53,NSW-Riverina,SMAPE,21.256710749614747,3
54,NSW-Snowy Mountains,MSE,10119.864395458657,3
