,ts_name,error_metric,error,level
0,Aggregated,MSE,3712445.8837304586,1
1,Aggregated,MAE,1649.9052856083329,1
2,Aggregated,SMAPE,4.853188529560696,1
3,NSW,MSE,578583.5017392967,2
4,NSW,MAE,573.4102094166668,2
5,NSW,SMAPE,5.287512893438129,2
6,NT,MSE,30662.406902689636,2
7,NT,MAE,161.97859982500003,2
8,NT,SMAPE,22.76749680917868,2
9,QLD,MSE,661488.2690702016,2
10,QLD,MAE,611.51123765,2
11,QLD,SMAPE,7.27144619713895,2
12,SA,MSE,63947.631470441214,2
13,SA,MAE,201.8877577166667,2
14,SA,SMAPE,8.810776598314263,2
15,TAS,MSE,49779.995784918516,2
16,TAS,MAE,206.59560513333327,2
17,TAS,SMAPE,21.581728598012113,2
18,VIC,MSE,243572.7339832701,2
19,VIC,MAE,398.6679471499999,2
20,VIC,SMAPE,6.039598864154483,2
21,WA,MSE,321437.1009490053,2
22,WA,MAE,459.7585725999999,2
23,WA,SMAPE,11.22389739607075,2
24,NSW-Blue Mountains,MSE,4882.31421521438,3
25,NSW-Blue Mountains,MAE,61.41158394166666,3
26,NSW-Blue Mountains,SMAPE,23.69749246589419,3
27,NSW-Canberra,MSE,39161.83840258374,3
28,NSW-Canberra,MAE,149.42081991666666,3
29,NSW-Canberra,SMAPE,20.64718805108192,3
30,NSW-Capital Country,MSE,6049.184064710392,3
31,NSW-Capital Country,MAE,57.61403849166666,3
32,NSW-Capital Country,SMAPE,17.665771691854854,3
33,NSW-Central Coast,MSE,10574.808821383465,3
34,NSW-Central Coast,MAE,85.34157996666666,3
35,NSW-Central Coast,SMAPE,22.467958534411707,3
36,NSW-Central NSW,MSE,39418.33652263767,3
37,NSW-Central NSW,MAE,172.44666441666666,3
38,NSW-Central NSW,SMAPE,27.303364186390258,3
39,NSW-Hunter,MSE,51261.30570839004,3
40,NSW-Hunter,MAE,172.56315751666668,3
41,NSW-Hunter,SMAPE,15.83681058232915,3
42,NSW-New England North West,MSE,9709.834707480533,3
43,NSW-New England North West,MAE,80.43831195833336,3
44,NSW-New England North West,SMAPE,20.45103062122282,3
45,NSW-North Coast NSW,MSE,147887.92066425798,3
46,NSW-North Coast NSW,MAE,348.7916061916667,3
47,NSW-North Coast NSW,SMAPE,19.38151482315054,3
48,NSW-Outback NSW,MSE,5279.273219613362,3
49,NSW-Outback NSW,MAE,58.762239833333325,3
50,NSW-Outback NSW,SMAPE,36.16754639383865,3
51,NSW-Riverina,MSE,7482.756785440798,3
52,NSW-Riverina,MAE,73.92322645,3
53,NSW-Riverina,SMAPE,29.79880958984871,3
54,NSW-Snowy Mountains,MSE,20565.415402547573,3
55,NSW-Snowy Mountains,MAE,120.03262332500002,3
56,NSW-Snowy Mountains,SMAPE,43.061281989968855,3
57,NSW-South Coast,MSE,94694.5664369496,3
58,NSW-South Coast,MAE,224.32438989166667,3
59,NSW-South Coast,SMAPE,21.034774921193183,3
60,NSW-Sydney,MSE,180204.69181675208,3
61,NSW-Sydney,MAE,324.42498871666675,3
62,NSW-Sydney,SMAPE,11.195477634068814,3
63,NSW-The Murray,MSE,4623.747201655783,3
64,NSW-The Murray,MAE,55.87522241666665,3
65,NSW-The Murray,SMAPE,19.062042297566677,3
66,NT-Alice Springs,MSE,4742.080953388823,3
67,NT-Alice Springs,MAE,55.451083774999994,3
68,NT-Alice Springs,SMAPE,57.84849299925095,3
69,NT-Barkly,MSE,711.1093722858305,3
70,NT-Barkly,MAE,23.848304533333334,3
71,NT-Barkly,SMAPE,96.10618867444568,3
72,NT-Darwin,MSE,10992.007279831398,3
73,NT-Darwin,MAE,88.86324144166667,3
74,NT-Darwin,SMAPE,27.691564387861927,3
75,NT-Katherine Daly,MSE,3964.7930626612365,3
76,NT-Katherine Daly,MAE,52.74788168333333,3
77,NT-Katherine Daly,SMAPE,75.80884885104858,3
78,NT-Lasseter,MSE,1168.225774712061,3
79,NT-Lasseter,MAE,27.087912675000002,3
80,NT-Lasseter,SMAPE,48.40349592917918,3
81,NT-Litchfield Kakadu Arnhem,MSE,2808.8840112692355,3
82,NT-Litchfield Kakadu Arnhem,MAE,45.761957725,3
83,NT-Litchfield Kakadu Arnhem,SMAPE,54.42368273747452,3
84,NT-MacDonnell,MSE,594.8058351972339,3
85,NT-MacDonnell,MAE,21.179677291666668,3
86,NT-MacDonnell,SMAPE,84.63856513052716,3
87,QLD-Brisbane,MSE,48992.80360898155,3
88,QLD-Brisbane,MAE,162.55203537499997,3
89,QLD-Brisbane,SMAPE,8.25379756296947,3
90,QLD-Bundaberg,MSE,5815.239420076378,3
91,QLD-Bundaberg,MAE,68.52971215833334,3
92,QLD-Bundaberg,SMAPE,30.54237402051623,3
93,QLD-Capricorn,MSE,18115.23018500685,3
94,QLD-Capricorn,MAE,102.83642326666667,3
95,QLD-Capricorn,SMAPE,27.31410387139607,3
96,QLD-Fraser Coast,MSE,12388.162523243513,3
97,QLD-Fraser Coast,MAE,92.94477803333332,3
98,QLD-Fraser Coast,SMAPE,36.60132834555362,3
99,QLD-Gladstone,MSE,11292.95214253165,3
100,QLD-Gladstone,MAE,96.94751341666665,3
101,QLD-Gladstone,SMAPE,55.11571937058737,3
102,QLD-Gold Coast,MSE,163151.14188552552,3
