,ts_name,error_metric,error,level
0,Aggregated,MSE,16563390.153528951,1
1,Aggregated,MAE,3566.215806838182,1
2,Aggregated,SMAPE,10.568815484653038,1
3,NSW,MSE,1330046.0927712203,2
4,NSW,MAE,953.5368100634164,2
5,NSW,SMAPE,8.616257059520535,2
6,NT,MSE,4773.8345583374,2
7,NT,MAE,54.680049738019825,2
8,NT,SMAPE,8.77252055847003,2
9,QLD,MSE,1550229.7277966866,2
10,QLD,MAE,1144.6194965340317,2
11,QLD,SMAPE,14.908294758240048,2
12,SA,MSE,232780.62715029612,2
13,SA,MAE,416.8192348169168,2
14,SA,SMAPE,18.921358231584858,2
15,TAS,MSE,63258.4654446733,2
16,TAS,MAE,213.83430796104372,2
17,TAS,SMAPE,17.48755035774573,2
18,VIC,MSE,644936.8162610019,2
19,VIC,MAE,755.0004347435685,2
20,VIC,SMAPE,11.528217293309947,2
21,WA,MSE,232656.5458831498,2
22,WA,MAE,328.36868244811325,2
23,WA,SMAPE,8.395160828549985,2
24,NSW-Blue Mountains,MSE,1097.0912046703752,3
25,NSW-Blue Mountains,MAE,26.66603088521185,3
26,NSW-Blue Mountains,SMAPE,11.283275294583571,3
27,NSW-Canberra,MSE,14980.185519691737,3
28,NSW-Canberra,MAE,106.1630454742155,3
29,NSW-Canberra,SMAPE,17.55267506717315,3
30,NSW-Capital Country,MSE,11852.297469196166,3
31,NSW-Capital Country,MAE,81.423771026569,3
32,NSW-Capital Country,SMAPE,24.751054030772533,3
33,NSW-Central Coast,MSE,29810.378427753676,3
34,NSW-Central Coast,MAE,140.0258505437607,3
35,NSW-Central Coast,SMAPE,32.63711201655665,3
36,NSW-Central NSW,MSE,41204.99139532279,3
37,NSW-Central NSW,MAE,192.03402618801465,3
38,NSW-Central NSW,SMAPE,31.189781365867585,3
39,NSW-Hunter,MSE,103168.65421999445,3
40,NSW-Hunter,MAE,239.6037795112267,3
41,NSW-Hunter,SMAPE,20.434633438073444,3
42,NSW-New England North West,MSE,9911.702788207416,3
43,NSW-New England North West,MAE,80.33912413442984,3
44,NSW-New England North West,SMAPE,21.500467699264902,3
45,NSW-North Coast NSW,MSE,176969.9762234462,3
46,NSW-North Coast NSW,MAE,371.2566017348916,3
47,NSW-North Coast NSW,SMAPE,18.394876924449477,3
48,NSW-Outback NSW,MSE,2534.4312064303895,3
49,NSW-Outback NSW,MAE,36.72029364762853,3
50,NSW-Outback NSW,SMAPE,25.66855419854881,3
51,NSW-Riverina,MSE,2378.5029054890692,3
52,NSW-Riverina,MAE,35.26394918508067,3
53,NSW-Riverina,SMAPE,17.928333769670573,3
54,NSW-Snowy Mountains,MSE,7131.620300314349,3
55,NSW-Snowy Mountains,MAE,69.76643464387882,3
56,NSW-Snowy Mountains,SMAPE,36.24020330762947,3
57,NSW-South Coast,MSE,40548.68413586628,3
58,NSW-South Coast,MAE,164.29379561020016,3
59,NSW-South Coast,SMAPE,14.358322975443333,3
60,NSW-Sydney,MSE,161210.1421828822,3
61,NSW-Sydney,MAE,324.474508954755,3
62,NSW-Sydney,SMAPE,10.996106990622552,3
63,NSW-The Murray,MSE,7187.771823703234,3
64,NSW-The Murray,MAE,59.87140348185951,3
65,NSW-The Murray,SMAPE,20.239591510180652,3
66,NT-Alice Springs,MSE,3152.7121035499713,3
67,NT-Alice Springs,MAE,46.40597144737735,3
68,NT-Alice Springs,SMAPE,67.36528495351665,3
69,NT-Barkly,MSE,169.65446579306544,3
70,NT-Barkly,MAE,11.887679284929966,3
71,NT-Barkly,SMAPE,81.01393952414179,3
72,NT-Darwin,MSE,13951.109586169872,3
73,NT-Darwin,MAE,92.419663512782,3
74,NT-Darwin,SMAPE,30.16974404289487,3
75,NT-Katherine Daly,MSE,4158.584125464389,3
76,NT-Katherine Daly,MAE,59.980492932232664,3
77,NT-Katherine Daly,SMAPE,105.6830208014274,3
78,NT-Lasseter,MSE,1537.6489741327002,3
79,NT-Lasseter,MAE,30.191936774500306,3
80,NT-Lasseter,SMAPE,46.85530987465309,3
81,NT-Litchfield Kakadu Arnhem,MSE,4257.282473980557,3
82,NT-Litchfield Kakadu Arnhem,MAE,47.49439549276443,3
83,NT-Litchfield Kakadu Arnhem,SMAPE,57.319728342819204,3
84,NT-MacDonnell,MSE,98.61911439414679,3
85,NT-MacDonnell,MAE,7.818911087875283,3
86,NT-MacDonnell,SMAPE,75.41052661357911,3
87,QLD-Brisbane,MSE,38727.28746915582,3
88,QLD-Brisbane,MAE,161.6907024333766,3
89,QLD-Brisbane,SMAPE,9.00154082725242,3
90,QLD-Bundaberg,MSE,13670.69277465009,3
91,QLD-Bundaberg,MAE,99.98007735337568,3
92,QLD-Bundaberg,SMAPE,44.68923894965921,3
93,QLD-Capricorn,MSE,6427.518351952766,3
94,QLD-Capricorn,MAE,75.34520897804784,3
95,QLD-Capricorn,SMAPE,27.113667431240152,3
96,QLD-Fraser Coast,MSE,4818.516617591976,3
97,QLD-Fraser Coast,MAE,54.908654128199835,3
98,QLD-Fraser Coast,SMAPE,24.049089626483966,3
99,QLD-Gladstone,MSE,13207.705383690025,3
100,QLD-Gladstone,MAE,79.92068361617383,3
101,QLD-Gladstone,SMAPE,44.3979441445363,3
102,QLD-Gold Coast,MSE,283580.79108849686,3
103,QLD-Gold Coast,MAE,404.0393302897707,3
104,QLD-Gold Coast,SMAPE,29.034753616342517,3
105,QLD-Mackay,MSE,26664.971825863435,3
106,QLD-Mackay,MAE,122.10872550144417,3
107,QLD-Mackay,SMAPE,31.5399290870118,3
108,QLD-Outback Queensland,MSE,162012.67883186482,3
109,QLD-Outback Queensland,MAE,193.90917370169814,3
110,QLD-Outback Queensland,SMAPE,31.72755143709764,3
111,QLD-Southern Queensland Country,MSE,7817.717384103808,3
112,QLD-Southern Queensland Country,MAE,77.32361148628617,3
113,QLD-Southern Queensland Country,SMAPE,16.407317999036884,3
114,QLD-Sunshine Coast,MSE,17766.056129151228,3
115,QLD-Sunshine Coast,MAE,117.39825296749014,3
116,QLD-Sunshine Coast,SMAPE,11.233254751594117,3
117,QLD-Townsville,MSE,8898.909034693754,3
118,QLD-Townsville,MAE,75.67235945099002,3
119,QLD-Townsville,SMAPE,23.56673369283218,3
120,QLD-Tropical North Queensland,MSE,21167.20336967459,3
121,QLD-Tropical North Queensland,MAE,124.08214591329649,3
122,QLD-Tropical North Queensland,SMAPE,20.667907051299323,3
123,QLD-Whitsundays,MSE,3522.353155716078,3
124,QLD-Whitsundays,MAE,54.029867050896996,3
125,QLD-Whitsundays,SMAPE,31.515523283974414,3
126,SA-Adelaide,MSE,87699.84990738158,3
127,SA-Adelaide,MAE,240.8800125901345,3
128,SA-Adelaide,SMAPE,25.874120830522276,3
