,ts_name,error_metric,error,level
0,Aggregated,MSE,22733481.1066282,1
1,Aggregated,MAE,4191.050572717867,1
2,Aggregated,SMAPE,12.57727714714286,1
3,NSW,MSE,1658725.2430597886,2
4,NSW,MAE,1097.1780607880762,2
5,NSW,SMAPE,10.09338938662978,2
6,NT,MSE,4505.162726915319,2
7,NT,MAE,50.86548877285816,2
8,NT,SMAPE,8.183067217705252,2
9,QLD,MSE,2026323.0573476783,2
10,QLD,MAE,1314.2425129051248,2
11,QLD,SMAPE,17.3350689557891,2
12,SA,MSE,319720.1346933324,2
13,SA,MAE,507.8899720368451,2
14,SA,SMAPE,23.467822475136067,2
15,TAS,MSE,87248.5657740985,2
16,TAS,MAE,251.1402578931261,2
17,TAS,SMAPE,21.31840540190831,2
18,VIC,MSE,854422.1004384258,2
19,VIC,MAE,879.2388587497048,2
20,VIC,SMAPE,13.44287242442704,2
21,WA,MSE,289652.6384173676,2
22,WA,MAE,361.92375897492497,2
23,WA,SMAPE,9.466608177948984,2
24,NSW-Blue Mountains,MSE,1601.3189109521502,3
25,NSW-Blue Mountains,MAE,33.803179006224674,3
26,NSW-Blue Mountains,SMAPE,14.342040346919113,3
27,NSW-Canberra,MSE,14151.989239911347,3
28,NSW-Canberra,MAE,105.57596451807564,3
29,NSW-Canberra,SMAPE,17.567612854846274,3
30,NSW-Capital Country,MSE,13298.11749186407,3
31,NSW-Capital Country,MAE,91.94183763836601,3
32,NSW-Capital Country,SMAPE,29.780657559028185,3
33,NSW-Central Coast,MSE,28150.28028805584,3
34,NSW-Central Coast,MAE,135.31575108230416,3
35,NSW-Central Coast,SMAPE,31.492212953871707,3
36,NSW-Central NSW,MSE,33049.7139086575,3
37,NSW-Central NSW,MAE,165.908801726781,3
38,NSW-Central NSW,SMAPE,27.794424149080406,3
39,NSW-Hunter,MSE,97940.2149115125,3
40,NSW-Hunter,MAE,233.8811521688101,3
41,NSW-Hunter,SMAPE,19.914860468807525,3
42,NSW-New England North West,MSE,7731.871819519068,3
43,NSW-New England North West,MAE,72.87390800539983,3
44,NSW-New England North West,SMAPE,20.070143692566788,3
45,NSW-North Coast NSW,MSE,197366.06085106055,3
46,NSW-North Coast NSW,MAE,400.26951951101165,3
47,NSW-North Coast NSW,SMAPE,20.42811421517841,3
48,NSW-Outback NSW,MSE,2297.8727675781074,3
49,NSW-Outback NSW,MAE,33.64436981869422,3
50,NSW-Outback NSW,SMAPE,23.297115496555996,3
51,NSW-Riverina,MSE,2440.5255829804664,3
52,NSW-Riverina,MAE,38.6729013661095,3
