,ts_name,error_metric,error,level
0,Aggregated,MSE,5960438.760207531,1
1,Aggregated,MAE,1949.9507039416665,1
2,Aggregated,SMAPE,5.948056185847696,1
3,NSW,MSE,1172858.702607713,2
4,NSW,MAE,883.4424006166661,2
5,NSW,SMAPE,8.872165258428836,2
6,NT,MSE,33830.847605626026,2
7,NT,MAE,158.70171849166664,2
8,NT,SMAPE,20.912261003882925,2
9,QLD,MSE,650659.0095151017,2
10,QLD,MAE,667.1711538166666,2
11,QLD,SMAPE,7.916185637607987,2
12,SA,MSE,99618.2958200776,2
13,SA,MAE,222.32955031666668,2
14,SA,SMAPE,9.825833004331196,2
15,TAS,MSE,25177.90275098888,2
16,TAS,MAE,132.1298672,2
17,TAS,SMAPE,14.28797786372234,2
18,VIC,MSE,141022.38155264713,2
19,VIC,MAE,306.7130348000001,2
20,VIC,SMAPE,4.648717698648466,2
21,WA,MSE,388446.2555674824,2
22,WA,MAE,518.4595996833333,2
23,WA,SMAPE,12.49240813474323,2
24,NSW-Blue Mountains,MSE,1600.0944254482795,3
25,NSW-Blue Mountains,MAE,31.735038991666674,3
26,NSW-Blue Mountains,SMAPE,12.916241944116415,3
27,NSW-Canberra,MSE,52524.03360598528,3
28,NSW-Canberra,MAE,172.18180946666666,3
29,NSW-Canberra,SMAPE,24.0389232157299,3
30,NSW-Capital Country,MSE,5580.049177529683,3
31,NSW-Capital Country,MAE,52.38713619166666,3
32,NSW-Capital Country,SMAPE,16.291196497442073,3
33,NSW-Central Coast,MSE,9487.850211437348,3
34,NSW-Central Coast,MAE,68.84065608333334,3
35,NSW-Central Coast,SMAPE,18.164051112828588,3
36,NSW-Central NSW,MSE,15010.357031739493,3
37,NSW-Central NSW,MAE,101.58146591666667,3
38,NSW-Central NSW,SMAPE,16.85758182919957,3
39,NSW-Hunter,MSE,34300.52755023551,3
40,NSW-Hunter,MAE,141.87478106666666,3
41,NSW-Hunter,SMAPE,13.562901538746221,3
42,NSW-New England North West,MSE,13292.600082359242,3
43,NSW-New England North West,MAE,82.91752934166666,3
44,NSW-New England North West,SMAPE,21.360606917692536,3
45,NSW-North Coast NSW,MSE,88154.09955390029,3
46,NSW-North Coast NSW,MAE,263.520934125,3
47,NSW-North Coast NSW,SMAPE,14.096956143741478,3
48,NSW-Outback NSW,MSE,6661.115187432723,3
49,NSW-Outback NSW,MAE,54.78318108333334,3
50,NSW-Outback NSW,SMAPE,32.598856629408246,3
51,NSW-Riverina,MSE,6640.107911357841,3
52,NSW-Riverina,MAE,69.68282068333333,3
53,NSW-Riverina,SMAPE,27.099354194418712,3
54,NSW-Snowy Mountains,MSE,7672.657043582313,3
55,NSW-Snowy Mountains,MAE,66.18624609166667,3
56,NSW-Snowy Mountains,SMAPE,28.43995612930866,3
57,NSW-South Coast,MSE,78616.57119413737,3
58,NSW-South Coast,MAE,187.5250783583333,3
59,NSW-South Coast,SMAPE,16.737140747217683,3
60,NSW-Sydney,MSE,244843.64749979545,3
61,NSW-Sydney,MAE,398.33733285,3
62,NSW-Sydney,SMAPE,13.993273022769865,3
63,NSW-The Murray,MSE,4869.873213817696,3
64,NSW-The Murray,MAE,53.979276950000006,3
65,NSW-The Murray,SMAPE,17.496225995997662,3
66,NT-Alice Springs,MSE,2374.3852566614405,3
67,NT-Alice Springs,MAE,44.149376091666674,3
68,NT-Alice Springs,SMAPE,50.71942705992732,3
69,NT-Barkly,MSE,562.1325953924122,3
70,NT-Barkly,MAE,20.7526372,3
71,NT-Barkly,SMAPE,90.67521749378756,3
72,NT-Darwin,MSE,19114.8739631569,3
73,NT-Darwin,MAE,104.455880525,3
74,NT-Darwin,SMAPE,29.436458393812867,3
75,NT-Katherine Daly,MSE,4704.65624874814,3
76,NT-Katherine Daly,MAE,62.296168566666665,3
77,NT-Katherine Daly,SMAPE,81.52765899160599,3
78,NT-Lasseter,MSE,849.8372322259405,3
79,NT-Lasseter,MAE,24.692009058333337,3
80,NT-Lasseter,SMAPE,47.36193242472794,3
81,NT-Litchfield Kakadu Arnhem,MSE,2454.3701262969207,3
82,NT-Litchfield Kakadu Arnhem,MAE,40.332158225,3
83,NT-Litchfield Kakadu Arnhem,SMAPE,49.825604093579685,3
84,NT-MacDonnell,MSE,871.2777258737411,3
85,NT-MacDonnell,MAE,27.016716108333338,3
86,NT-MacDonnell,SMAPE,92.95549580629388,3
87,QLD-Brisbane,MSE,46821.82725726965,3
88,QLD-Brisbane,MAE,178.71381950833333,3
