,ts_name,error_metric,error,level
0,Aggregated,MSE,7328146.949235953,1
1,Aggregated,MAE,2189.833094675,1
2,Aggregated,SMAPE,6.717329272952131,1
3,NSW,MSE,1224792.512017924,2
4,NSW,MAE,920.0345384666665,2
5,NSW,SMAPE,9.092025265994339,2
6,NT,MSE,18101.79310215631,2
7,NT,MAE,103.35451164166669,2
8,NT,SMAPE,13.986043172959084,2
9,QLD,MSE,642963.6503808638,2
10,QLD,MAE,673.8807954833333,2
11,QLD,SMAPE,8.146581817490485,2
12,SA,MSE,114725.311111919,2
13,SA,MAE,260.9981292666667,2
14,SA,SMAPE,11.891488604995242,2
15,TAS,MSE,28347.302046731886,2
16,TAS,MAE,134.78623323333338,2
17,TAS,SMAPE,14.129953017183253,2
18,VIC,MSE,141348.28030073724,2
19,VIC,MAE,316.9369810000001,2
20,VIC,SMAPE,4.636876170792509,2
21,WA,MSE,411606.3540802423,2
22,WA,MAE,535.0792663499998,2
23,WA,SMAPE,12.857191956569839,2
24,NSW-Blue Mountains,MSE,2120.841628332056,3
25,NSW-Blue Mountains,MAE,34.41392732500001,3
26,NSW-Blue Mountains,SMAPE,13.405299628886734,3
27,NSW-Canberra,MSE,54788.51781774859,3
28,NSW-Canberra,MAE,175.13976196666667,3
29,NSW-Canberra,SMAPE,24.39404395666693,3
30,NSW-Capital Country,MSE,6538.342141566288,3
31,NSW-Capital Country,MAE,55.565923091666654,3
32,NSW-Capital Country,SMAPE,17.040583486984094,3
33,NSW-Central Coast,MSE,9591.962880746813,3
34,NSW-Central Coast,MAE,69.95420275000002,3
35,NSW-Central Coast,SMAPE,18.15876222065752,3
36,NSW-Central NSW,MSE,16678.188992890442,3
37,NSW-Central NSW,MAE,103.2734575,3
38,NSW-Central NSW,SMAPE,16.996673635780503,3
39,NSW-Hunter,MSE,32600.47211383862,3
40,NSW-Hunter,MAE,138.8821719,3
41,NSW-Hunter,SMAPE,13.378943084211603,3
42,NSW-New England North West,MSE,14643.827217759079,3
43,NSW-New England North West,MAE,85.43636120833332,3
44,NSW-New England North West,SMAPE,21.694347063719754,3
45,NSW-North Coast NSW,MSE,86885.5882756131,3
46,NSW-North Coast NSW,MAE,262.7736174583334,3
47,NSW-North Coast NSW,SMAPE,14.147388400449467,3
48,NSW-Outback NSW,MSE,6688.276203856693,3
49,NSW-Outback NSW,MAE,56.59719483333334,3
50,NSW-Outback NSW,SMAPE,34.20139949382346,3
51,NSW-Riverina,MSE,7328.984507592992,3
52,NSW-Riverina,MAE,71.94120818333334,3
53,NSW-Riverina,SMAPE,27.743367129526806,3
54,NSW-Snowy Mountains,MSE,7945.917137744986,3
55,NSW-Snowy Mountains,MAE,67.9292310916667,3
56,NSW-Snowy Mountains,SMAPE,29.15014335078176,3
57,NSW-South Coast,MSE,78467.68801049834,3
58,NSW-South Coast,MAE,189.5721731916667,3
59,NSW-South Coast,SMAPE,16.765446667497923,3
60,NSW-Sydney,MSE,241728.08960826028,3
61,NSW-Sydney,MAE,397.3715245166666,3
62,NSW-Sydney,SMAPE,13.98815396904751,3
63,NSW-The Murray,MSE,5482.465029477683,3
64,NSW-The Murray,MAE,57.67369528333332,3
65,NSW-The Murray,SMAPE,18.39212494975478,3
66,NT-Alice Springs,MSE,2379.412940239967,3
67,NT-Alice Springs,MAE,43.81699840833334,3
68,NT-Alice Springs,SMAPE,49.93935873484367,3
69,NT-Barkly,MSE,304.64189549965596,3
70,NT-Barkly,MAE,16.37556325,3
71,NT-Barkly,SMAPE,86.39633798424433,3
72,NT-Darwin,MSE,18185.306354181335,3
73,NT-Darwin,MAE,101.022430525,3
74,NT-Darwin,SMAPE,28.918178754295198,3
75,NT-Katherine Daly,MSE,3975.8302587754297,3
76,NT-Katherine Daly,MAE,55.456693816666665,3
77,NT-Katherine Daly,SMAPE,77.0059092805583,3
78,NT-Lasseter,MSE,1151.710862007725,3
79,NT-Lasseter,MAE,28.87929785833333,3
80,NT-Lasseter,SMAPE,54.3289959543096,3
81,NT-Litchfield Kakadu Arnhem,MSE,2226.889143037463,3
82,NT-Litchfield Kakadu Arnhem,MAE,38.669022958333336,3
83,NT-Litchfield Kakadu Arnhem,SMAPE,49.11770254803753,3
84,NT-MacDonnell,MSE,499.153137918255,3
85,NT-MacDonnell,MAE,19.728934691666666,3
86,NT-MacDonnell,SMAPE,83.40187547815307,3
87,QLD-Brisbane,MSE,48923.23213121414,3
88,QLD-Brisbane,MAE,183.7101278416667,3
89,QLD-Brisbane,SMAPE,9.344420259741247,3
90,QLD-Bundaberg,MSE,5418.802813786467,3
91,QLD-Bundaberg,MAE,60.33473132500001,3
92,QLD-Bundaberg,SMAPE,28.037468916536852,3
93,QLD-Capricorn,MSE,14192.031887858133,3
94,QLD-Capricorn,MAE,78.39910363333333,3
95,QLD-Capricorn,SMAPE,19.801551752918492,3
96,QLD-Fraser Coast,MSE,9139.961645090278,3
97,QLD-Fraser Coast,MAE,79.45106020000001,3
98,QLD-Fraser Coast,SMAPE,30.641961983817918,3
99,QLD-Gladstone,MSE,7135.511193576823,3
100,QLD-Gladstone,MAE,74.12447258333334,3
101,QLD-Gladstone,SMAPE,45.21398112247628,3
102,QLD-Gold Coast,MSE,101022.37792493273,3
103,QLD-Gold Coast,MAE,248.2784234666667,3
104,QLD-Gold Coast,SMAPE,18.051744252765552,3
105,QLD-Mackay,MSE,19898.183556052376,3
106,QLD-Mackay,MAE,106.19406614166667,3
107,QLD-Mackay,SMAPE,29.147660771632154,3
108,QLD-Outback Queensland,MSE,80880.76270202083,3
109,QLD-Outback Queensland,MAE,138.60619604166664,3
110,QLD-Outback Queensland,SMAPE,25.99369703602808,3
111,QLD-Southern Queensland Country,MSE,11894.5158677398,3
112,QLD-Southern Queensland Country,MAE,83.95772549166666,3
113,QLD-Southern Queensland Country,SMAPE,16.201651727393184,3
114,QLD-Sunshine Coast,MSE,25883.766128192237,3
115,QLD-Sunshine Coast,MAE,138.85103124166665,3
116,QLD-Sunshine Coast,SMAPE,11.68698238657266,3
117,QLD-Townsville,MSE,30211.419961406496,3
118,QLD-Townsville,MAE,130.603852675,3
119,QLD-Townsville,SMAPE,32.5394237078368,3
120,QLD-Tropical North Queensland,MSE,33535.91275714823,3
121,QLD-Tropical North Queensland,MAE,133.519724475,3
122,QLD-Tropical North Queensland,SMAPE,15.725234954385202,3
123,QLD-Whitsundays,MSE,11264.814493602571,3
124,QLD-Whitsundays,MAE,91.21614416666667,3
125,QLD-Whitsundays,SMAPE,37.382843225166425,3
126,SA-Adelaide,MSE,52859.45832698036,3
127,SA-Adelaide,MAE,165.4393160666667,3
128,SA-Adelaide,SMAPE,18.293945281900715,3
129,SA-Adelaide Hills,MSE,575.7840948529634,3
130,SA-Adelaide Hills,MAE,19.333990808333333,3
131,SA-Adelaide Hills,SMAPE,47.638475964984785,3
132,SA-Barossa,MSE,431.91063288733017,3
133,SA-Barossa,MAE,17.136756924999997,3
134,SA-Barossa,SMAPE,32.60827407210014,3
135,SA-Clare Valley,MSE,525.9850890122598,3
136,SA-Clare Valley,MAE,18.754170158333334,3
137,SA-Clare Valley,SMAPE,44.60266446140706,3
138,SA-Eyre Peninsula,MSE,8341.527633833402,3
139,SA-Eyre Peninsula,MAE,62.40719634999999,3
140,SA-Eyre Peninsula,SMAPE,37.65856068414903,3
141,SA-Fleurieu Peninsula,MSE,6515.822067302361,3
142,SA-Fleurieu Peninsula,MAE,49.053323766666665,3
143,SA-Fleurieu Peninsula,SMAPE,21.981874755596866,3
144,SA-Flinders Ranges and Outback,MSE,25997.652307230976,3
145,SA-Flinders Ranges and Outback,MAE,112.34818635833331,3
146,SA-Flinders Ranges and Outback,SMAPE,35.27836562455839,3
147,SA-Kangaroo Island,MSE,235.74847088263087,3
148,SA-Kangaroo Island,MAE,11.033586600000001,3
149,SA-Kangaroo Island,SMAPE,27.740414725054684,3
150,SA-Limestone Coast,MSE,4382.405789943093,3
