,ts_name,error_metric,error,level
0,Aggregated,MSE,19254321.1638151,1
1,Aggregated,MAE,3990.8568642249998,1
2,Aggregated,SMAPE,12.470740490812974,1
3,NSW,MSE,2444595.0731692077,2
4,NSW,MAE,1425.510025616666,2
5,NSW,SMAPE,14.66045900503638,2
6,NT,MSE,15690.714660138889,2
7,NT,MAE,86.79497572500001,2
8,NT,SMAPE,11.238153427423553,2
9,QLD,MSE,1434677.523460661,2
10,QLD,MAE,1069.5588871500001,2
11,QLD,SMAPE,13.043461949995455,2
12,SA,MSE,175372.01870870413,2
13,SA,MAE,358.70720281666655,2
14,SA,SMAPE,16.842817240512087,2
15,TAS,MSE,42261.751673547995,2
16,TAS,MAE,162.66952870000003,2
17,TAS,SMAPE,16.502196530717068,2
18,VIC,MSE,676151.8074484897,2
19,VIC,MAE,779.6034780166665,2
20,VIC,SMAPE,12.332267661605938,2
21,WA,MSE,500130.30617459276,2
22,WA,MAE,594.6258235333332,2
23,WA,SMAPE,14.907809977145194,2
24,NSW-Blue Mountains,MSE,2088.770516185845,3
25,NSW-Blue Mountains,MAE,40.744765391666675,3
26,NSW-Blue Mountains,SMAPE,17.33822259644241,3
27,NSW-Canberra,MSE,61708.134718724636,3
28,NSW-Canberra,MAE,187.21286671666664,3
29,NSW-Canberra,SMAPE,26.690836814774713,3
30,NSW-Capital Country,MSE,9235.320838481655,3
31,NSW-Capital Country,MAE,75.65677879166667,3
32,NSW-Capital Country,SMAPE,26.232000319414333,3
33,NSW-Central Coast,MSE,15588.149780438323,3
34,NSW-Central Coast,MAE,97.43951943333333,3
35,NSW-Central Coast,SMAPE,27.135930904295083,3
36,NSW-Central NSW,MSE,10918.678961824675,3
37,NSW-Central NSW,MAE,79.12075705000001,3
38,NSW-Central NSW,SMAPE,13.573625013140004,3
39,NSW-Hunter,MSE,46216.862266202574,3
40,NSW-Hunter,MAE,171.52132098333334,3
41,NSW-Hunter,SMAPE,17.002157538456554,3
42,NSW-New England North West,MSE,13547.164155467386,3
43,NSW-New England North West,MAE,94.35741560833334,3
44,NSW-New England North West,SMAPE,25.1476168871721,3
45,NSW-North Coast NSW,MSE,107825.0167212116,3
46,NSW-North Coast NSW,MAE,293.464089525,3
47,NSW-North Coast NSW,SMAPE,15.990272024447387,3
48,NSW-Outback NSW,MSE,5609.397652914195,3
49,NSW-Outback NSW,MAE,51.68193641666667,3
50,NSW-Outback NSW,SMAPE,32.26231285562412,3
51,NSW-Riverina,MSE,4919.534528289031,3
52,NSW-Riverina,MAE,50.06691358333334,3
53,NSW-Riverina,SMAPE,19.89861805636487,3
54,NSW-Snowy Mountains,MSE,4965.870528963668,3
55,NSW-Snowy Mountains,MAE,52.54370244166666,3
56,NSW-Snowy Mountains,SMAPE,22.95262461658719,3
57,NSW-South Coast,MSE,93374.51824548644,3
58,NSW-South Coast,MAE,215.22446434166667,3
59,NSW-South Coast,SMAPE,20.106705127733665,3
60,NSW-Sydney,MSE,277264.0353055239,3
61,NSW-Sydney,MAE,434.1773745166667,3
62,NSW-Sydney,SMAPE,15.395706414053068,3
63,NSW-The Murray,MSE,8248.035416586386,3
64,NSW-The Murray,MAE,67.94204978333333,3
65,NSW-The Murray,SMAPE,23.54757665053355,3
66,NT-Alice Springs,MSE,2454.1163771917986,3
67,NT-Alice Springs,MAE,43.843395491666676,3
68,NT-Alice Springs,SMAPE,49.88757179353698,3
69,NT-Barkly,MSE,265.7023463330609,3
70,NT-Barkly,MAE,14.00690275,3
71,NT-Barkly,SMAPE,81.0601445317079,3
72,NT-Darwin,MSE,18331.61573254122,3
73,NT-Darwin,MAE,101.20016937499999,3
74,NT-Darwin,SMAPE,29.532593642482084,3
75,NT-Katherine Daly,MSE,3463.060696847251,3
76,NT-Katherine Daly,MAE,50.93538173333332,3
77,NT-Katherine Daly,SMAPE,73.59078972776878,3
78,NT-Lasseter,MSE,1449.5814140101957,3
