,ts_name,error_metric,error,level
0,Aggregated,MSE,11781797.654582268,1
1,Aggregated,MAE,2700.9456562,1
2,Aggregated,SMAPE,8.539378641639145,1
3,NSW,MSE,1154507.0543354633,2
4,NSW,MAE,880.7405068833336,2
5,NSW,SMAPE,9.257573590624766,2
6,NT,MSE,5160.231662171642,2
7,NT,MAE,53.82664833333333,2
8,NT,SMAPE,9.49923219662373,2
9,QLD,MSE,871955.5851254747,2
10,QLD,MAE,841.4407931166667,2
11,QLD,SMAPE,11.224410923375537,2
12,SA,MSE,188592.50334929393,2
13,SA,MAE,352.32081841666667,2
14,SA,SMAPE,16.080427363663336,2
15,TAS,MSE,28420.161323173797,2
16,TAS,MAE,120.91204905000001,2
17,TAS,SMAPE,10.429468382611793,2
18,VIC,MSE,496983.3462217807,2
19,VIC,MAE,606.0176530499998,2
20,VIC,SMAPE,9.402161955871623,2
21,WA,MSE,225529.95532447923,2
22,WA,MAE,385.5058632833333,2
23,WA,SMAPE,9.48503566963195,2
24,NSW-Blue Mountains,MSE,2284.1998324020005,3
25,NSW-Blue Mountains,MAE,43.114407400000005,3
26,NSW-Blue Mountains,SMAPE,16.95227491292748,3
27,NSW-Canberra,MSE,33631.70644777463,3
28,NSW-Canberra,MAE,136.31322973333334,3
29,NSW-Canberra,SMAPE,21.97386090127025,3
30,NSW-Capital Country,MSE,12728.825559924895,3
31,NSW-Capital Country,MAE,84.77422573333334,3
32,NSW-Capital Country,SMAPE,27.200372369431367,3
33,NSW-Central Coast,MSE,20783.4568923874,3
34,NSW-Central Coast,MAE,110.82648113333335,3
35,NSW-Central Coast,SMAPE,27.821291809665794,3
36,NSW-Central NSW,MSE,17119.3043157503,3
37,NSW-Central NSW,MAE,94.52960451666667,3
38,NSW-Central NSW,SMAPE,16.200981615965254,3
39,NSW-Hunter,MSE,39326.424922169164,3
40,NSW-Hunter,MAE,169.89100995000004,3
41,NSW-Hunter,SMAPE,16.016644609988926,3
42,NSW-New England North West,MSE,15687.533711724549,3
43,NSW-New England North West,MAE,89.40845798333334,3
44,NSW-New England North West,SMAPE,22.34247568449262,3
45,NSW-North Coast NSW,MSE,114015.99300928997,3
46,NSW-North Coast NSW,MAE,283.80713603333345,3
47,NSW-North Coast NSW,SMAPE,14.202637593196755,3
48,NSW-Outback NSW,MSE,2762.520980257918,3
49,NSW-Outback NSW,MAE,42.60491795,3
50,NSW-Outback NSW,SMAPE,32.72045133254622,3
51,NSW-Riverina,MSE,4638.038343193357,3
52,NSW-Riverina,MAE,54.83781476666667,3
53,NSW-Riverina,SMAPE,23.062267650615325,3
54,NSW-Snowy Mountains,MSE,3680.6448074603145,3
55,NSW-Snowy Mountains,MAE,53.123945416666665,3
56,NSW-Snowy Mountains,SMAPE,30.02638445544779,3
57,NSW-South Coast,MSE,36513.93618609153,3
58,NSW-South Coast,MAE,130.59848748333337,3
