,ts_name,error_metric,error,level
0,Aggregated,MSE,2493427.942533098,1
1,Aggregated,MAE,1382.087737148233,1
2,Aggregated,SMAPE,4.424686183142813,1
3,NSW,MSE,326149.3368863552,2
4,NSW,MAE,459.4403580474288,2
5,NSW,SMAPE,4.501829796681109,2
6,NT,MSE,72205.12218478281,2
7,NT,MAE,249.65360107951733,2
8,NT,SMAPE,36.708121874047464,2
9,QLD,MSE,992139.0193173001,2
10,QLD,MAE,894.4278005274517,2
11,QLD,SMAPE,12.392405713183889,2
12,SA,MSE,103309.60279988857,2
13,SA,MAE,254.79811592877843,2
14,SA,SMAPE,10.656300924893614,2
15,TAS,MSE,167874.31054217633,2
16,TAS,MAE,313.3554404005362,2
17,TAS,SMAPE,25.45665875723231,2
18,VIC,MSE,550523.546964679,2
19,VIC,MAE,615.7665843695585,2
20,VIC,SMAPE,7.448925533964333,2
21,WA,MSE,1150102.9068095807,2
22,WA,MAE,743.4481860687332,2
23,WA,SMAPE,19.699364526480135,2
24,NSW-Blue Mountains,MSE,15887.136367671448,3
25,NSW-Blue Mountains,MAE,86.13958327950435,3
26,NSW-Blue Mountains,SMAPE,26.85292612247157,3
27,NSW-Canberra,MSE,19696.784608084345,3
28,NSW-Canberra,MAE,111.35496915721798,3
29,NSW-Canberra,SMAPE,22.612573260103847,3
30,NSW-Capital Country,MSE,36117.45018523832,3
31,NSW-Capital Country,MAE,148.22108994638165,3
32,NSW-Capital Country,SMAPE,37.26423794092312,3
33,NSW-Central Coast,MSE,38383.67917340286,3
34,NSW-Central Coast,MAE,167.28019697523084,3
35,NSW-Central Coast,SMAPE,39.92784045381859,3
36,NSW-Central NSW,MSE,70948.18673487638,3
37,NSW-Central NSW,MAE,227.74927681840185,3
38,NSW-Central NSW,SMAPE,34.97649551748198,3
39,NSW-Hunter,MSE,231395.73713238325,3
40,NSW-Hunter,MAE,307.3998634683124,3
41,NSW-Hunter,SMAPE,25.686776528352198,3
