,ts_name,error_metric,error,level
0,Aggregated,MSE,15351311.987936988,1
1,Aggregated,MAE,3209.009984905766,1
2,Aggregated,SMAPE,10.111916033584986,1
3,NSW,MSE,1286534.6016961976,2
4,NSW,MAE,954.9905313479131,2
5,NSW,SMAPE,9.988149899399787,2
6,NT,MSE,10465.635068120044,2
7,NT,MAE,71.50541903418399,2
8,NT,SMAPE,12.695402943070805,2
9,QLD,MSE,1340649.4342494388,2
10,QLD,MAE,1037.3758489616248,2
11,QLD,SMAPE,13.48739095036656,2
12,SA,MSE,228855.4698891395,2
13,SA,MAE,401.41192110819503,2
14,SA,SMAPE,18.043208484489288,2
15,TAS,MSE,34424.50428128134,2
16,TAS,MAE,135.8499003376203,2
17,TAS,SMAPE,11.97690537961352,2
18,VIC,MSE,753633.1495418899,2
19,VIC,MAE,805.6413401481751,2
20,VIC,SMAPE,12.34949565124202,2
21,WA,MSE,239627.74855851033,2
22,WA,MAE,341.25550117581315,2
23,WA,SMAPE,8.825399644656367,2
24,NSW-Blue Mountains,MSE,1852.723062886288,3
25,NSW-Blue Mountains,MAE,38.63110314153685,3
26,NSW-Blue Mountains,SMAPE,16.467658486792377,3
27,NSW-Canberra,MSE,34115.62451078131,3
28,NSW-Canberra,MAE,142.76547677057533,3
29,NSW-Canberra,SMAPE,23.154425360563593,3
30,NSW-Capital Country,MSE,13600.951469518246,3
31,NSW-Capital Country,MAE,89.39121411610115,3
32,NSW-Capital Country,SMAPE,30.096733081228653,3
33,NSW-Central Coast,MSE,22863.725521416312,3
34,NSW-Central Coast,MAE,117.34297874043216,3
35,NSW-Central Coast,SMAPE,29.33160621540143,3
36,NSW-Central NSW,MSE,16278.842867309633,3
37,NSW-Central NSW,MAE,89.73393569168549,3
38,NSW-Central NSW,SMAPE,15.4926657292366,3
39,NSW-Hunter,MSE,39453.95320617848,3
40,NSW-Hunter,MAE,170.23574077517134,3
41,NSW-Hunter,SMAPE,16.147785661522185,3
42,NSW-New England North West,MSE,14134.400532459962,3
43,NSW-New England North West,MAE,86.46069602534283,3
44,NSW-New England North West,SMAPE,22.261962336320856,3
45,NSW-North Coast NSW,MSE,93216.9888727368,3
46,NSW-North Coast NSW,MAE,256.08972401267835,3
47,NSW-North Coast NSW,SMAPE,13.054809460688373,3
48,NSW-Outback NSW,MSE,2582.1346110443014,3
49,NSW-Outback NSW,MAE,40.24236300125179,3
50,NSW-Outback NSW,SMAPE,31.496461221037492,3
51,NSW-Riverina,MSE,2961.985273343266,3
52,NSW-Riverina,MAE,43.420054228485846,3
53,NSW-Riverina,SMAPE,19.131582248972208,3
54,NSW-Snowy Mountains,MSE,2427.2392100186476,3
55,NSW-Snowy Mountains,MAE,42.804716385735674,3
56,NSW-Snowy Mountains,SMAPE,25.31244359948745,3
57,NSW-South Coast,MSE,36297.812512322336,3
58,NSW-South Coast,MAE,134.49663497853118,3
59,NSW-South Coast,SMAPE,10.600750037348107,3
60,NSW-Sydney,MSE,156678.59435664606,3
61,NSW-Sydney,MAE,320.23103537176326,3
62,NSW-Sydney,SMAPE,11.124214022360936,3
63,NSW-The Murray,MSE,5700.3012116098935,3
64,NSW-The Murray,MAE,55.473621212950356,3
65,NSW-The Murray,SMAPE,18.639764820674245,3
66,NT-Alice Springs,MSE,1556.085733112555,3
67,NT-Alice Springs,MAE,36.80713874371691,3
68,NT-Alice Springs,SMAPE,62.627102177613615,3
69,NT-Barkly,MSE,175.16061852289408,3
70,NT-Barkly,MAE,11.065747441147607,3
71,NT-Barkly,SMAPE,78.1952577261752,3
72,NT-Darwin,MSE,17964.185305751507,3
73,NT-Darwin,MAE,83.80242953123349,3
74,NT-Darwin,SMAPE,28.458426523309893,3
75,NT-Katherine Daly,MSE,4438.512451015555,3
76,NT-Katherine Daly,MAE,60.68706517490646,3
77,NT-Katherine Daly,SMAPE,103.56724442826695,3
78,NT-Lasseter,MSE,1843.0487846767808,3
79,NT-Lasseter,MAE,34.35337335590808,3
80,NT-Lasseter,SMAPE,58.417431912931335,3
81,NT-Litchfield Kakadu Arnhem,MSE,2802.083080103297,3
82,NT-Litchfield Kakadu Arnhem,MAE,38.98836554690693,3
83,NT-Litchfield Kakadu Arnhem,SMAPE,44.136748225336824,3
84,NT-MacDonnell,MSE,252.53083886333027,3
85,NT-MacDonnell,MAE,13.547393391826118,3
86,NT-MacDonnell,SMAPE,87.54157473536449,3
87,QLD-Brisbane,MSE,41773.3466050406,3
88,QLD-Brisbane,MAE,176.22250638260826,3
89,QLD-Brisbane,SMAPE,9.578831826522517,3
90,QLD-Bundaberg,MSE,16196.073658982117,3
91,QLD-Bundaberg,MAE,108.78245278455682,3
92,QLD-Bundaberg,SMAPE,52.64681512121025,3
93,QLD-Capricorn,MSE,1362.4547674421358,3
94,QLD-Capricorn,MAE,33.107910265945,3
95,QLD-Capricorn,SMAPE,12.06969224257457,3
96,QLD-Fraser Coast,MSE,2751.5390720910104,3
97,QLD-Fraser Coast,MAE,43.12008034569774,3
98,QLD-Fraser Coast,SMAPE,23.756848146669878,3
99,QLD-Gladstone,MSE,12444.566451446835,3
100,QLD-Gladstone,MAE,81.27562567542634,3
101,QLD-Gladstone,SMAPE,45.270791481567734,3
102,QLD-Gold Coast,MSE,188874.10973515082,3
103,QLD-Gold Coast,MAE,336.43955325698215,3
104,QLD-Gold Coast,SMAPE,23.76813669379703,3
105,QLD-Mackay,MSE,38382.98562361704,3
106,QLD-Mackay,MAE,155.19651953581985,3
107,QLD-Mackay,SMAPE,43.07868539827612,3
108,QLD-Outback Queensland,MSE,169465.46824239695,3
109,QLD-Outback Queensland,MAE,215.7163567355668,3
110,QLD-Outback Queensland,SMAPE,38.55188450521326,3
111,QLD-Southern Queensland Country,MSE,4196.43152234365,3
112,QLD-Southern Queensland Country,MAE,56.00898528662632,3
113,QLD-Southern Queensland Country,SMAPE,11.465333920909371,3
114,QLD-Sunshine Coast,MSE,16459.96617372423,3
115,QLD-Sunshine Coast,MAE,105.50022495841127,3
116,QLD-Sunshine Coast,SMAPE,10.233861169492895,3
117,QLD-Townsville,MSE,10618.73828060728,3
118,QLD-Townsville,MAE,77.45078576814117,3
119,QLD-Townsville,SMAPE,22.410461338476484,3
120,QLD-Tropical North Queensland,MSE,18064.000644855358,3
121,QLD-Tropical North Queensland,MAE,111.72701975468651,3
122,QLD-Tropical North Queensland,SMAPE,17.81083571777078,3
123,QLD-Whitsundays,MSE,3209.353054546964,3
124,QLD-Whitsundays,MAE,51.040814748216,3
125,QLD-Whitsundays,SMAPE,29.19626887929319,3
126,SA-Adelaide,MSE,82328.42487835458,3
127,SA-Adelaide,MAE,217.39049372443597,3
128,SA-Adelaide,SMAPE,23.28331184114565,3
129,SA-Adelaide Hills,MSE,218.8610736805496,3
130,SA-Adelaide Hills,MAE,13.264205327281632,3
131,SA-Adelaide Hills,SMAPE,30.99716250453629,3
132,SA-Barossa,MSE,456.6706948308197,3
133,SA-Barossa,MAE,17.317069998565767,3
134,SA-Barossa,SMAPE,36.59392198317692,3
135,SA-Clare Valley,MSE,671.8611749084492,3
136,SA-Clare Valley,MAE,19.23301036589503,3
137,SA-Clare Valley,SMAPE,51.06722721554297,3
138,SA-Eyre Peninsula,MSE,16857.802220443325,3
139,SA-Eyre Peninsula,MAE,92.32685745090875,3
140,SA-Eyre Peninsula,SMAPE,45.231333982527104,3
141,SA-Fleurieu Peninsula,MSE,12963.422698806442,3
142,SA-Fleurieu Peninsula,MAE,67.90201599641819,3
143,SA-Fleurieu Peninsula,SMAPE,21.083106495841157,3
144,SA-Flinders Ranges and Outback,MSE,20316.746274644967,3
145,SA-Flinders Ranges and Outback,MAE,84.68605341569368,3
146,SA-Flinders Ranges and Outback,SMAPE,31.29223192202785,3
147,SA-Kangaroo Island,MSE,463.23328172805424,3
148,SA-Kangaroo Island,MAE,19.227449714027347,3
149,SA-Kangaroo Island,SMAPE,44.18661683946803,3
150,SA-Limestone Coast,MSE,5405.48206781402,3
151,SA-Limestone Coast,MAE,51.627548041182344,3
152,SA-Limestone Coast,SMAPE,24.004294273550137,3
153,"SA-Murray River, Lakes and Coorong",MSE,6550.841774908884,3
