,ts_name,error_metric,error,level
0,Aggregated,MSE,17151450.81061067,1
1,Aggregated,MAE,3636.592437505449,1
2,Aggregated,SMAPE,11.386197342175722,1
3,NSW,MSE,1835135.5481214176,2
4,NSW,MAE,1199.6908088881858,2
5,NSW,SMAPE,12.270560495988923,2
6,NT,MSE,16613.204225576595,2
7,NT,MAE,99.55349261915728,2
8,NT,SMAPE,13.684380977712058,2
9,QLD,MSE,1402213.5359322957,2
10,QLD,MAE,1058.463665987745,2
11,QLD,SMAPE,12.84590346372079,2
12,SA,MSE,185540.37381055995,2
13,SA,MAE,366.0240875303616,2
14,SA,SMAPE,17.2286712403539,2
15,TAS,MSE,41496.34489454931,2
16,TAS,MAE,151.32584774633418,2
17,TAS,SMAPE,15.56981743307419,2
18,VIC,MSE,638925.3712308141,2
19,VIC,MAE,756.5552707699168,2
20,VIC,SMAPE,12.097718026478613,2
21,WA,MSE,498058.79252868687,2
22,WA,MAE,563.0198480341556,2
23,WA,SMAPE,14.170689294225381,2
24,NSW-Blue Mountains,MSE,2207.3255511620573,3
25,NSW-Blue Mountains,MAE,41.70859980907893,3
26,NSW-Blue Mountains,SMAPE,17.771649611280203,3
27,NSW-Canberra,MSE,60529.64683117526,3
28,NSW-Canberra,MAE,184.1454909889785,3
29,NSW-Canberra,SMAPE,26.01295044574249,3
30,NSW-Capital Country,MSE,9364.463505696087,3
31,NSW-Capital Country,MAE,76.45365790010034,3
32,NSW-Capital Country,SMAPE,26.406796140205515,3
33,NSW-Central Coast,MSE,14507.818854510018,3
34,NSW-Central Coast,MAE,90.60480384239675,3
35,NSW-Central Coast,SMAPE,25.207545730199413,3
36,NSW-Central NSW,MSE,13117.182458689816,3
37,NSW-Central NSW,MAE,87.46865224633666,3
38,NSW-Central NSW,SMAPE,14.691810816411243,3
39,NSW-Hunter,MSE,37631.250475126784,3
40,NSW-Hunter,MAE,150.4945485346245,3
41,NSW-Hunter,SMAPE,14.718468395016247,3
42,NSW-New England North West,MSE,13991.488367209096,3
43,NSW-New England North West,MAE,93.17760001528717,3
44,NSW-New England North West,SMAPE,24.583797306159234,3
45,NSW-North Coast NSW,MSE,77960.59353388874,3
46,NSW-North Coast NSW,MAE,249.70175350136333,3
47,NSW-North Coast NSW,SMAPE,13.574128444417179,3
48,NSW-Outback NSW,MSE,5563.73423046145,3
49,NSW-Outback NSW,MAE,48.66656181575315,3
50,NSW-Outback NSW,SMAPE,30.295859618935033,3
51,NSW-Riverina,MSE,5119.429558461901,3
52,NSW-Riverina,MAE,51.853840765922506,3
53,NSW-Riverina,SMAPE,20.52406705160092,3
54,NSW-Snowy Mountains,MSE,5252.6932037422,3
55,NSW-Snowy Mountains,MAE,54.01111551077951,3
56,NSW-Snowy Mountains,SMAPE,23.493635959576885,3
57,NSW-South Coast,MSE,79598.33922477435,3
58,NSW-South Coast,MAE,196.0657777350717,3
59,NSW-South Coast,SMAPE,17.26231853443313,3
60,NSW-Sydney,MSE,204683.02986727442,3
61,NSW-Sydney,MAE,358.8085699882792,3
62,NSW-Sydney,SMAPE,12.61228746105355,3
63,NSW-The Murray,MSE,8082.931410137261,3
64,NSW-The Murray,MAE,68.06219524743301,3
65,NSW-The Murray,SMAPE,23.31195130565744,3
