,0,1,2,3,4,5,6,7,8,9,10,11
Aggregated,11948.495,11998.781,12013.328,12075.338,12123.007,12170.106,12200.223,12244.546,12284.876,12334.94,12368.065,12406.285
Clerical and Administrative Workers,1335.1594,1339.1182,1337.3125,1343.8726,1350.3247,1349.2083,1350.6505,1352.631,1359.9943,1360.1257,1363.3478,1366.1533
Community and Personal Service Workers,1244.2454,1245.2656,1254.517,1267.1588,1273.6259,1279.9471,1290.1012,1299.5396,1303.3394,1311.0454,1317.9584,1325.8302
Labourers,1130.0426,1125.8931,1129.1228,1138.6719,1138.2925,1133.5076,1137.9927,1143.5837,1143.6835,1142.0718,1143.9949,1145.3593
Machinery Operators and Drivers,738.4968,743.7421,739.0603,736.92145,736.1367,741.29596,744.2593,744.8544,742.00494,743.162,744.8132,746.168
Managers,1541.9897,1549.2526,1556.4686,1560.8931,1567.4037,1573.1179,1576.8341,1583.8004,1589.7133,1594.984,1601.353,1606.1578
Professionals,2754.1047,2783.674,2792.398,2810.3777,2831.336,2862.0789,2867.2705,2881.954,2896.5276,2929.3257,2938.3687,2949.6355
Sales Workers,1466.0312,1469.8787,1465.98,1474.0048,1477.2573,1482.6852,1484.1846,1488.7404,1493.2124,1498.2466,1500.2606,1505.3125
Technicians and Trades Workers,1738.4248,1741.959,1738.4689,1743.437,1748.6313,1748.2662,1748.9309,1749.4425,1756.4014,1755.9789,1757.9669,1761.6686
Clerical and Administrative Workers-Full time,826.9002,826.01215,822.9693,825.4177,828.558,827.172,825.9276,826.9879,830.51965,829.1813,828.14246,829.26373
Clerical and Administrative Workers-Part time,508.2592,513.106,514.34326,518.45483,521.7667,522.0362,524.7229,525.6431,529.4747,530.94446,535.2054,536.8896
Community and Personal Service Workers-Full time,559.49414,555.83276,555.87744,559.5126,563.91394,566.03,568.0767,570.8684,573.89075,576.6566,579.0581,582.09845
Community and Personal Service Workers-Part time,684.75116,689.433,698.6395,707.64624,709.71185,713.9171,722.0245,728.67114,729.44867,734.38873,738.90027,743.7318
Labourers-Full time,617.8704,611.6729,611.26575,619.91907,617.57837,611.11194,613.7676,617.70905,616.39087,613.4186,613.4121,613.17645
