,0,1,2,3,4,5,6,7,8,9,10,11
Aggregated,11904.666,12001.024,11985.862,12069.661,12056.12,12152.827,12137.622,12221.278,12207.548,12304.631,12289.392,12372.942
Clerical and Administrative Workers,1335.9601,1340.7822,1336.1605,1338.7388,1346.5452,1351.3511,1346.7245,1349.3174,1357.1342,1361.9297,1357.2933,1359.9076
Community and Personal Service Workers,1224.6101,1248.4636,1249.2448,1256.815,1251.055,1274.9049,1275.6748,1283.2617,1277.5029,1301.3478,1302.1031,1309.7137
Labourers,1119.5117,1122.415,1107.1309,1129.6073,1125.4998,1128.3931,1113.1108,1135.5757,1131.4756,1134.3657,1119.092,1141.544
Machinery Operators and Drivers,736.853,737.3389,737.8188,738.66833,739.3488,739.8239,740.30365,741.16583,741.84656,742.3163,742.7873,743.66846
Managers,1549.6582,1551.2217,1556.4957,1570.8464,1572.755,1574.3115,1579.5768,1593.9407,1595.8557,1597.4055,1602.6683,1617.043
Professionals,2733.344,2787.4434,2802.1272,2804.9731,2794.4868,2848.9976,2863.6523,2866.3367,2855.618,2910.5464,2925.176,2927.7026
Sales Workers,1452.1346,1464.0994,1460.5173,1480.9062,1468.0997,1480.0652,1476.4922,1496.8588,1484.0624,1496.0216,1492.4635,1512.8187
Technicians and Trades Workers,1752.5933,1749.2606,1736.3679,1749.108,1758.3286,1754.9795,1742.0872,1754.822,1764.0541,1760.6995,1747.8079,1760.5443
Clerical and Administrative Workers-Full time,831.86865,826.51874,822.91284,825.451,832.01086,826.6546,823.0447,825.58856,832.1556,826.7925,823.17847,825.73145
Clerical and Administrative Workers-Part time,504.09146,514.2634,513.2477,513.2878,514.5343,524.6965,523.67993,523.72876,524.97864,535.13727,534.11487,534.1761
Community and Personal Service Workers-Full time,552.29645,554.9042,557.5122,560.3989,563.2132,565.8121,568.4178,571.3144,574.13214,576.7267,579.32446,582.23566
Community and Personal Service Workers-Part time,672.3137,693.5595,691.73254,696.416,687.8419,709.09283,707.25696,711.9473,703.37085,724.6212,722.7787,727.47815
Labourers-Full time,615.16986,607.8946,596.0254,610.34534,614.9315,607.6524,595.7899,610.0968,614.686,607.4058,595.55286,609.84717
Labourers-Part time,504.34192,514.5204,511.10553,519.2619,510.56815,520.7407,517.32086,525.47894,516.78955,526.95996,523.53925,531.69666
Machinery Operators and Drivers-Full time,622.77875,622.63995,622.4661,622.7572,622.86176,622.7142,622.5412,622.83966,622.9441,622.79346,622.6161,622.92365
Machinery Operators and Drivers-Part time,114.074265,114.69894,115.35266,115.91115,116.48707,117.109726,117.76242,118.3262,118.902466,119.522835,120.17116,120.74479
