,0,1,2,3,4,5,6,7,8,9,10,11
Aggregated,11885.923,11983.843,11969.845,12052.027,12036.946,12135.253,12121.194,12203.232,12187.932,12286.618,12272.44,12354.351
Clerical and Administrative Workers,1333.8281,1338.9862,1334.6241,1336.7896,1344.3767,1349.535,1345.1746,1347.3488,1354.9186,1360.0857,1355.7219,1357.906
Community and Personal Service Workers,1220.0471,1243.7969,1244.698,1252.0188,1246.2028,1269.9343,1270.8206,1278.1471,1272.321,1296.0665,1296.9443,1304.264
Labourers,1123.0269,1125.9452,1110.3713,1133.4227,1129.4106,1132.3289,1116.7639,1139.8248,1135.7842,1138.7147,1123.1575,1146.2227
Machinery Operators and Drivers,736.1443,736.8059,737.40436,738.05176,738.5997,739.2529,739.852,740.4901,741.0598,741.6995,742.27057,742.927
Managers,1547.2135,1549.1964,1554.7975,1568.6901,1570.256,1572.2411,1577.8268,1591.7303,1593.3241,1595.2498,1600.7743,1614.7162
Professionals,2725.111,2779.524,2794.7212,2796.758,2785.7598,2840.6003,2855.7556,2857.6235,2846.404,2901.6675,2916.7898,2918.4875
Sales Workers,1453.0784,1465.0554,1461.2117,1482.0441,1469.2474,1481.2339,1477.3918,1498.2101,1485.4492,1497.4111,1493.5765,1514.3862
Technicians and Trades Workers,1747.4742,1744.5323,1732.0168,1744.252,1753.092,1750.1267,1737.6097,1749.856,1758.6718,1755.7231,1743.2057,1755.4406
Clerical and Administrative Workers-Full time,829.04834,823.90186,820.5266,822.66504,829.03046,823.8837,820.5005,822.64355,829.00555,823.86365,820.46686,822.6196
Clerical and Administrative Workers-Part time,504.7798,515.0844,514.09753,514.1246,515.3462,525.65125,524.6741,524.7052,525.913,536.222,535.2552,535.2863
Community and Personal Service Workers-Full time,551.2584,553.966,556.6251,559.3911,562.0819,564.7794,567.41895,570.1878,572.8978,575.58765,578.209,580.98145
Community and Personal Service Workers-Part time,668.7887,689.8309,688.0729,692.6277,684.1208,705.1548,703.4016,707.9594,699.4231,720.47894,718.7354,723.2826
Labourers-Full time,617.481,610.1179,597.9728,612.7865,617.481,610.1179,597.9728,612.7912,617.4725,610.1179,597.9728,612.7929
Labourers-Part time,505.54587,515.8273,512.3986,520.6362,511.92963,522.21094,518.791,527.0336,518.3117,528.5968,525.18463,533.42975
Machinery Operators and Drivers-Full time,621.4073,621.39874,621.3827,621.3888,621.38,621.3837,621.36847,621.362,621.38043,621.3669,621.3586,621.3462
Machinery Operators and Drivers-Part time,114.73697,115.40715,116.0217,116.66295,117.21969,117.869194,118.483505,119.1281,119.67939,120.33267,120.911964,121.580795
Managers-Full time,1343.7356,1345.3804,1350.5682,1364.0381,1365.154,1366.8203,1371.9844,1385.4595,1386.6532,1388.2236,1393.3066,1406.8452
Managers-Part time,203.4779,203.81607,204.2293,204.65204,205.10193,205.4208,205.84235,206.27084,206.67093,207.02612,207.46774,207.87102
Professionals-Full time,2025.8177,2034.6708,2043.5143,2052.361,2061.236,2070.0894,2078.934,2087.7803,2096.643,2105.5063,2114.3606,2123.1963
Professionals-Part time,699.2932,744.85315,751.2069,744.39703,724.5237,770.511,776.8216,769.84326,749.761,796.16125,802.4293,795.2913
Sales Workers-Full time,736.9689,733.55383,729.2124,740.1465,736.9817,733.57623,729.23535,740.16473,737.02515,733.5995,729.25806,740.19275
Sales Workers-Part time,716.10956,731.5016,731.99927,741.8976,732.26587,747.6576,748.15643,758.0452,748.4241,763.81165,764.3185,774.1935
Technicians and Trades Workers-Full time,1505.8798,1496.389,1484.0164,1495.4666,1505.929,1496.4148,1484.0405,1495.5044,1505.9352,1496.4425,1484.0679,1495.5214
Technicians and Trades Workers-Part time,241.59448,248.14325,248.00053,248.78539,247.16315,253.71194,253.56921,254.3515,252.73663,259.28064,259.1379,259.91922
Clerical and Administrative Workers-Full time-Females,617.3055,617.3055,617.3055,617.29156,617.3055,617.3055,617.3055,617.29517,617.2987,617.3055,617.3055,617.2965
Clerical and Administrative Workers-Full time-Males,211.74287,206.5964,203.22112,205.37347,211.72496,206.57826,203.19502,205.3484,211.70685,206.55818,203.16139,205.32315
Clerical and Administrative Workers-Part time-Females,465.90555,473.77457,473.5367,473.48053,475.45816,483.32767,483.10645,483.04956,485.01123,492.88525,492.69067,492.6191
Clerical and Administrative Workers-Part time-Males,38.87423,41.309856,40.560802,40.644024,39.888027,42.323593,41.567627,41.65566,40.901768,43.336742,42.56449,42.667233
Community and Personal Service Workers-Full time-Females,318.40854,320.1994,321.94183,323.786,325.56525,327.3461,329.0689,330.91724,332.71194,334.48752,336.1787,338.04465
Community and Personal Service Workers-Full time-Males,232.84988,233.76659,234.68327,235.60512,236.51666,237.43332,238.35004,239.27055,240.18588,241.1001,242.03024,242.93678
Community and Personal Service Workers-Part time-Females,518.40356,535.1186,533.5389,537.7286,530.12164,546.8284,545.24817,549.44165,541.8099,558.5372,556.95734,561.146
Community and Personal Service Workers-Part time-Males,150.38513,154.71228,154.53398,154.89912,153.99913,158.32637,158.15343,158.51775,157.61325,161.94179,161.77809,162.13657
Labourers-Full time-Females,126.40599,124.780754,123.34625,128.01443,126.40599,124.780754,123.34625,128.01189,126.41071,124.780754,123.34625,128.01094
Labourers-Full time-Males,491.07504,485.3372,474.62653,484.7721,491.07504,485.3372,474.62653,484.7793,491.06174,485.3372,474.62653,484.78195
Labourers-Part time-Females,238.07288,240.77502,236.62292,240.96933,238.13145,240.83359,236.69833,241.04543,238.18849,240.89545,236.78539,241.12038
Labourers-Part time-Males,267.473,275.05225,275.7757,279.6669,273.79816,281.37732,282.0927,285.9882,280.12323,287.70132,288.39926,292.3094
Machinery Operators and Drivers-Full time-Females,53.827988,53.822956,53.80668,53.820644,53.814056,53.808865,53.793163,53.801174,53.799976,53.79326,53.78528,53.781532
Machinery Operators and Drivers-Full time-Males,567.5793,567.5758,567.576,567.5682,567.566,567.5749,567.5753,567.56085,567.58044,567.5736,567.5733,567.56464
Machinery Operators and Drivers-Part time-Females,21.934803,21.995068,21.999708,21.999325,21.977867,22.017462,22.021862,22.033092,21.982567,22.041286,22.010664,22.049212
Machinery Operators and Drivers-Part time-Males,92.80216,93.41208,94.02199,94.66363,95.24182,95.85173,96.46165,97.095,97.69682,98.29139,98.9013,99.531586
Managers-Full time-Females,434.86743,433.77444,436.22473,446.92267,445.3352,444.26376,446.69012,457.40234,455.86722,454.71646,457.06174,467.84085
Managers-Full time-Males,908.86816,911.6059,914.3435,917.11536,919.8189,922.5565,925.2942,928.0571,930.786,933.50714,936.2449,939.0044
Managers-Part time-Females,131.07082,130.99942,130.99236,131.0236,131.06244,130.9716,130.9637,131.00475,130.9989,130.9429,130.9362,130.96707
Managers-Part time-Males,72.40708,72.81666,73.23694,73.628426,74.03948,74.44921,74.878654,75.266106,75.67203,76.08321,76.53154,76.903946
