,loss_run_1,loss_run_2,loss_run_3,loss_run_4,loss_run_5
0,19701.845703125,22081.966796875,20287.830078125,20657.30078125,19943.603515625
1,18526.015625,19652.482421875,19859.8046875,18675.40234375,19746.298828125
2,18063.9453125,17338.6875,17828.572265625,18305.662109375,19111.853515625
3,18700.056640625,17347.3515625,17199.9921875,18142.203125,17716.8828125
4,18071.732421875,16156.837890625,18524.5625,17505.94140625,17096.8046875
5,16596.0234375,16907.2265625,18639.671875,16383.208984375,17626.515625
6,16626.484375,17418.62890625,16968.021484375,16703.794921875,17254.1171875
7,16688.806640625,17139.56640625,16869.00390625,17458.580078125,16741.94921875
8,16768.13671875,16398.599609375,16851.404296875,16456.50390625,16401.9375
9,16332.6796875,16672.533203125,16159.0126953125,16942.119140625,16355.126953125
10,16554.69921875,16311.2626953125,16943.51171875,16742.5859375,16744.08203125
11,16536.931640625,16606.349609375,16354.5458984375,17324.162109375,16548.20703125
12,16368.5927734375,17021.978515625,16406.9453125,16589.93359375,16068.4833984375
13,16080.6474609375,16307.494140625,16009.0341796875,16596.853515625,16576.32421875
14,16366.021484375,16566.923828125,16609.970703125,16796.876953125,16621.599609375
15,16520.783203125,16631.517578125,16750.904296875,16474.1171875,16725.66015625
16,16384.66015625,16327.8193359375,15982.47265625,16420.98046875,16146.9775390625
17,16393.318359375,16280.5537109375,16217.884765625,16424.203125,16798.173828125
18,16067.7626953125,16141.5771484375,16391.259765625,16346.611328125,16527.111328125
19,15989.9521484375,16184.7841796875,16274.3828125,15713.6162109375,16090.478515625
20,16469.3203125,16016.806640625,16704.314453125,16430.99609375,16405.083984375
21,16491.31640625,16188.5224609375,16232.3408203125,16506.68359375,16048.33984375
22,16337.724609375,16530.61328125,16096.451171875,16170.380859375,15816.6591796875
23,15959.0595703125,16339.962890625,16149.1396484375,16150.9921875,15991.751953125
24,16307.591796875,16253.0,16159.412109375,16441.955078125,16582.39453125
25,15804.205078125,16328.8466796875,16688.96484375,16099.6787109375,16136.3369140625
26,16339.576171875,16120.2119140625,16767.4140625,16034.0517578125,16767.3984375
27,16176.3056640625,16394.74609375,16248.814453125,16548.921875,16288.8408203125
28,15736.3115234375,15846.4248046875,16452.35546875,16124.3642578125,16273.564453125
29,16641.34765625,16283.908203125,15906.9404296875,16116.6083984375,16087.7568359375
30,15632.5400390625,16290.646484375,15974.9443359375,16377.7890625,16229.5830078125
31,16069.5,16225.134765625,16344.896484375,16429.716796875,16428.013671875
32,15987.8818359375,16158.90234375,16011.76171875,15804.6396484375,16237.064453125
33,16569.419921875,15996.439453125,16322.44921875,16241.4873046875,16058.982421875
34,15943.525390625,15852.5869140625,16014.48046875,16615.904296875,16441.796875
35,15948.0537109375,15876.2294921875,16198.5322265625,16281.6318359375,15780.6455078125
36,16064.3056640625,15611.525390625,16159.9287109375,15786.4716796875,16004.34765625
37,15703.8212890625,16164.75,15925.537109375,16092.7177734375,16266.53515625
38,15050.6787109375,15474.11328125,15889.248046875,16034.5927734375,15919.3837890625
39,16171.216796875,16322.53515625,15845.2314453125,15604.486328125,15323.6337890625
40,16112.2998046875,16307.6533203125,15835.384765625,16015.15625,16132.8662109375
41,15721.2177734375,15560.8984375,16266.0,16287.642578125,15664.115234375
42,15452.3681640625,15447.16015625,15918.1767578125,15304.033203125,14750.98046875
43,16070.7021484375,16329.0283203125,16106.486328125,16013.376953125,16750.0234375
44,15283.6552734375,16054.8935546875,16282.75390625,16050.6904296875,15927.998046875
45,16155.701171875,15585.9267578125,15686.919921875,16080.5419921875,15928.5791015625
46,16202.08984375,15832.74609375,15406.1962890625,15781.7939453125,16118.9365234375
47,15971.41796875,15866.41015625,16100.1904296875,16030.6318359375,16562.92578125
48,16041.11328125,15488.9091796875,16364.7509765625,15582.8525390625,16171.8408203125
49,15820.4599609375,15249.1162109375,16116.5244140625,16052.787109375,15711.7724609375
50,15746.6474609375,16475.0390625,15752.4775390625,15920.4267578125,16150.6181640625
51,15951.66796875,16121.314453125,16501.037109375,15883.1748046875,16300.6806640625
52,16018.9052734375,15902.2373046875,15957.8681640625,15632.396484375,16424.046875
53,15881.33203125,16064.294921875,16025.4482421875,15568.0634765625,15739.6171875
54,15916.9716796875,16313.3525390625,15784.228515625,15974.1875,15495.2197265625
55,15760.64453125,15384.05078125,16194.427734375,17318.568359375,15795.892578125
56,15875.65234375,16040.751953125,15955.2353515625,16431.02734375,15678.208984375
57,15715.912109375,16357.9658203125,15780.6748046875,16076.53515625,15572.306640625
58,15502.0009765625,15877.423828125,16450.126953125,15939.8017578125,16152.7958984375
59,15597.0546875,15838.71484375,15641.564453125,15853.5419921875,15827.8564453125
60,15639.2392578125,15646.509765625,15504.83203125,16014.1064453125,15862.873046875
61,15081.125,15468.310546875,16544.2421875,15755.37109375,15821.3046875
62,15958.3232421875,15879.361328125,16034.1318359375,15796.763671875,16426.958984375
63,15513.5341796875,15843.7509765625,16116.044921875,15193.6083984375,15959.8671875
64,16149.193359375,15642.20703125,15935.994140625,15789.076171875,15964.4267578125
65,15447.96875,16083.240234375,15693.0068359375,15872.1005859375,15279.0283203125
66,16042.1806640625,15116.4521484375,15495.5498046875,15816.0517578125,15816.0322265625
67,15144.923828125,15272.529296875,16307.669921875,16017.8037109375,15697.849609375
68,15102.6416015625,15758.7587890625,15901.1259765625,15477.2841796875,15341.5029296875
69,15944.4970703125,15164.00390625,15684.7841796875,15014.5341796875,15979.99609375
70,14852.7333984375,15974.5400390625,16390.00390625,15603.8505859375,15981.3212890625
71,15785.9267578125,15731.5810546875,16273.8056640625,16354.2490234375,15847.9775390625
72,16075.4619140625,15715.49609375,15901.2919921875,15980.9443359375,15658.90234375
73,15213.4580078125,15674.09765625,15528.0654296875,15824.662109375,15849.2783203125
74,15813.5537109375,15371.4287109375,15749.951171875,16120.0927734375,15633.1630859375
75,15642.6796875,15884.662109375,15434.76171875,15287.353515625,15651.693359375
76,15991.2841796875,16037.03125,16222.32421875,15567.1630859375,15251.326171875
77,15881.138671875,16512.138671875,15935.0625,16723.876953125,15908.107421875
78,16465.623046875,15129.0732421875,15789.740234375,15596.37890625,16048.798828125
79,16119.2646484375,15426.8837890625,16109.6005859375,15227.2021484375,16115.1337890625
80,15707.388671875,14866.8115234375,15918.947265625,16599.013671875,16063.7841796875
81,15387.6015625,15199.2744140625,15617.1376953125,16146.7021484375,16115.0166015625
82,15872.9853515625,15261.0849609375,16193.1396484375,15682.845703125,16025.3603515625
83,15265.9365234375,15256.3271484375,16309.6953125,15824.8017578125,15303.6552734375
84,15867.3916015625,15846.4599609375,16297.037109375,15904.607421875,15375.9365234375
85,15887.498046875,15590.9794921875,16033.7197265625,16106.9130859375,15512.7001953125
86,15348.4541015625,15546.3193359375,16172.5947265625,15906.3037109375,15574.87109375
87,15461.115234375,15243.1279296875,15789.2900390625,15596.78125,15165.0322265625
88,16179.6533203125,15470.2021484375,15280.8310546875,15915.3408203125,15180.35546875
89,15764.9873046875,14953.55078125,15461.396484375,15495.9609375,15791.9453125
90,15342.2802734375,16456.849609375,15289.7216796875,15756.8193359375,15021.1953125
91,15278.236328125,15901.0390625,15640.681640625,15521.8505859375,15507.2216796875
92,15691.2890625,15826.7724609375,16307.650390625,15172.064453125,15380.9609375
93,15842.517578125,15739.7470703125,16116.177734375,16691.400390625,15371.7783203125
94,15168.021484375,16129.673828125,15731.26171875,15504.9169921875,15473.9306640625
95,15891.15234375,15559.611328125,15321.2373046875,15512.865234375,15483.1767578125
96,15669.7705078125,15326.8857421875,15501.92578125,15603.8251953125,15019.5419921875
97,15667.603515625,15673.212890625,15885.08984375,15217.1748046875,15413.5859375
98,15818.3271484375,16107.4921875,15879.7294921875,15809.701171875,15595.1435546875
99,15607.52734375,15674.595703125,15765.8095703125,15680.3095703125,15711.0966796875
100,14662.6591796875,15715.298828125,16288.3681640625,15482.7314453125,15301.46875
101,15532.3974609375,15836.5732421875,15684.400390625,16106.03125,15670.2880859375
102,15607.884765625,15533.1630859375,15372.794921875,15801.2421875,15371.423828125
103,15539.212890625,16639.328125,15717.4287109375,15412.8642578125,15531.935546875
104,15916.65625,15907.3271484375,15667.619140625,15506.87109375,15468.439453125
105,15908.3720703125,15938.8515625,15462.68359375,15939.353515625,15301.66015625
