,loss_run_1,loss_run_2,loss_run_3,loss_run_4,loss_run_5
0,17192.1640625,18445.400390625,16017.697265625,15212.0751953125,17888.26171875
1,14788.0546875,15130.5078125,13804.986328125,19075.61328125,23921.490234375
2,13455.333984375,14988.0078125,15999.796875,18483.19140625,14784.943359375
3,14641.7314453125,13536.025390625,12845.171875,13379.1748046875,15389.333984375
4,13810.1904296875,12702.779296875,12602.888671875,13114.955078125,13924.912109375
5,14145.095703125,13509.509765625,12863.26171875,12342.5595703125,14242.681640625
6,11501.560546875,14856.107421875,13485.8701171875,12509.814453125,13817.794921875
7,13375.5341796875,10367.0810546875,14090.662109375,15422.5576171875,13892.4111328125
8,11795.5048828125,14505.935546875,12181.0751953125,11478.716796875,13597.595703125
9,11090.4443359375,12215.0576171875,11993.322265625,11677.7822265625,11738.2314453125
10,11349.34375,13111.552734375,12323.0185546875,13741.8154296875,11597.2294921875
11,13054.625,13976.0625,12135.90234375,13281.96875,14674.986328125
12,11268.9462890625,13619.6220703125,13775.4814453125,12977.103515625,12194.9423828125
13,13904.279296875,11876.798828125,16242.3779296875,13429.796875,12482.96875
14,13972.708984375,12610.193359375,11593.0400390625,12045.20703125,11179.720703125
15,14368.611328125,13697.3173828125,12650.380859375,13346.537109375,12009.0380859375
16,12152.142578125,12441.3642578125,11461.3369140625,12258.751953125,12533.2158203125
17,11414.291015625,11619.611328125,12715.18359375,13451.060546875,11079.7216796875
18,14107.693359375,10107.134765625,15110.240234375,11747.6748046875,12062.427734375
19,11807.462890625,11557.625,11271.96875,12525.228515625,11332.859375
20,11215.9345703125,10444.513671875,12803.224609375,12363.306640625,10069.576171875
21,12085.841796875,13956.9345703125,12544.453125,11072.4013671875,10782.8125
22,12342.5751953125,11436.61328125,11478.19140625,11613.716796875,12750.8759765625
23,13014.7392578125,10914.1796875,10382.908203125,11945.4697265625,11344.6796875
24,12215.5732421875,11072.248046875,12572.744140625,13150.4716796875,10037.162109375
25,11710.396484375,13146.3046875,14879.1748046875,11886.763671875,8994.64453125
26,13362.6923828125,13289.279296875,10227.75,14235.123046875,13104.89453125
27,9552.0,11563.888671875,10846.052734375,12169.408203125,9870.03125
28,11263.189453125,11126.505859375,12100.7470703125,10780.857421875,10010.9169921875
29,11989.8408203125,11352.3408203125,12988.6728515625,10732.6416015625,9889.544921875
30,14316.8251953125,12746.5234375,10179.5546875,11592.3359375,8955.111328125
