,loss_run_1,loss_run_2,loss_run_3,loss_run_4,loss_run_5
0,2466126.25,2464989.25,2466254.75,2461344.25,2465997.75
1,2381836.25,2384662.25,2372416.0,2363550.0,2368102.0
2,2286268.5,2297425.5,2252341.25,2256959.5,2260159.0
3,2173635.5,2181398.75,2122800.25,2120668.75,2135617.0
4,2054525.625,2076858.5,2027184.25,1999678.75,2018799.0
5,1942427.625,1991497.25,1911000.5,1887360.375,1912383.375
6,1850961.5,1882590.875,1838989.875,1806665.625,1848614.625
7,1762467.0,1808968.625,1731456.0,1721678.375,1752432.125
8,1693142.125,1715081.875,1723446.375,1697226.0,1704598.125
9,1686192.875,1693796.625,1693219.875,1683024.625,1655206.75
10,1623478.25,1652555.5,1652742.375,1637212.125,1622316.625
11,1595040.75,1640640.375,1610891.875,1595643.625,1581641.375
12,1573841.5,1554561.875,1574750.5,1546436.125,1530977.0
13,1531370.125,1551967.0,1530136.25,1518915.125,1493388.625
14,1485745.375,1530287.75,1504609.5,1488666.75,1500206.0
15,1459562.875,1471520.875,1454423.5,1436697.125,1436333.0
16,1421188.625,1432025.0,1452901.625,1424681.25,1383634.5
17,1383448.875,1429801.25,1388246.125,1391646.875,1336324.375
18,1341684.375,1381047.375,1358594.0,1341602.5,1295498.375
19,1313625.125,1380231.375,1341305.5,1337614.375,1302914.125
20,1329347.5,1310888.625,1304811.0,1279749.5,1272478.125
21,1313901.75,1268910.75,1294611.75,1262313.625,1255780.375
22,1246063.25,1265511.875,1269198.0,1257524.25,1213951.75
23,1225319.875,1232785.125,1213287.0,1226040.375,1181388.5
24,1222279.375,1240474.125,1176614.75,1214074.75,1192520.25
25,1216775.875,1217130.375,1178554.125,1169090.125,1160669.5
26,1193225.375,1181485.75,1181842.125,1175606.75,1140771.125
27,1170323.75,1171842.375,1196277.75,1196609.875,1113978.375
28,1167099.0,1144084.125,1147794.125,1127133.375,1128337.125
29,1139056.5,1110142.125,1114832.625,1174807.0,1121111.375
30,1125550.75,1163688.875,1117195.375,1119762.625,1102135.5
31,1136905.125,1092309.375,1150257.75,1124777.375,1096697.0
32,1115341.0,1088012.375,1068851.875,1100447.125,1104562.875
33,1066214.125,1063602.875,1094275.25,1071162.875,1042272.0
34,1077545.75,1069820.25,1084053.875,1048718.0,1074670.0
35,1033528.4375,1051846.0,1031481.875,1088021.875,1068301.0
36,1023412.0,1064893.5,1044224.3125,1040019.4375,1044577.75
37,1039214.5625,1085308.25,1030262.1875,1036881.5625,1005829.9375
38,1017116.375,1018411.9375,1013028.5,1041123.6875,1022428.5
