,loss_run_1,loss_run_2,loss_run_3,loss_run_4,loss_run_5
0,14941859840.0,14941246464.0,14940830720.0,14941542400.0,14944737280.0
1,14874487808.0,14872159232.0,14873206784.0,14871042048.0,14872871936.0
2,14793158656.0,14781190144.0,14790487040.0,14786132992.0,14794521600.0
3,14703211520.0,14688929792.0,14706252800.0,14695251968.0,14702406656.0
4,14606972928.0,14590050304.0,14583930880.0,14583413760.0,14605129728.0
5,14491445248.0,14477811712.0,14490838016.0,14472709120.0,14491630592.0
6,14381898752.0,14372641792.0,14365469696.0,14367188992.0,14379470848.0
7,14254002176.0,14240057344.0,14251927552.0,14233573376.0,14269996032.0
8,14138814464.0,14123239424.0,14129363968.0,14117959680.0,14150511616.0
9,14011553792.0,14010610688.0,14016571392.0,13997050880.0,14022289408.0
10,13871373312.0,13857251328.0,13883485184.0,13867737088.0,13895579648.0
11,13735691264.0,13744429056.0,13744577536.0,13747763200.0,13768212480.0
