,loss_run_1,loss_run_2,loss_run_3,loss_run_4,loss_run_5
0,16668881920.0,16668173312.0,16668383232.0,16667471872.0,16667884544.0
1,16660170752.0,16660277248.0,16660843520.0,16658964480.0,16658336768.0
2,16649464832.0,16650954752.0,16651290624.0,16648309760.0,16647474176.0
3,16638090240.0,16641992704.0,16641027072.0,16637021184.0,16634718208.0
4,16622836736.0,16628273152.0,16628862976.0,16624892928.0,16619750400.0
5,16609816576.0,16613389312.0,16616372224.0,16606999552.0,16606001152.0
6,16589399040.0,16594776064.0,16600760320.0,16592277504.0,16590443520.0
7,16572600320.0,16575645696.0,16583175168.0,16577367040.0,16577735680.0
8,16552767488.0,16549655552.0,16566643712.0,16557888512.0,16554309632.0
9,16526106624.0,16523284480.0,16547966976.0,16538543104.0,16538231808.0
10,16509308928.0,16505109504.0,16526530560.0,16512487424.0,16514863104.0
11,16480774144.0,16469346304.0,16506748928.0,16483501056.0,16493472768.0
12,16462602240.0,16428506112.0,16483837952.0,16463594496.0,16457527296.0
13,16427422720.0,16412855296.0,16467352576.0,16430294016.0,16432036864.0
14,16388455424.0,16364534784.0,16430068736.0,16382092288.0,16413830144.0
15,16356704256.0,16325359616.0,16411015168.0,16353913856.0,16386125824.0
16,16328354816.0,16291121152.0,16376274944.0,16324338688.0,16355630080.0
17,16282201088.0,16244506624.0,16354119680.0,16277427200.0,16331280384.0
18,16251492352.0,16234122240.0,16328769536.0,16269697024.0,16306674688.0
19,16237359104.0,16166325248.0,16299472896.0,16249736192.0,16265348096.0
20,16179090432.0,16132295680.0,16273475584.0,16171510784.0,16230992896.0
21,16148002816.0,16076487680.0,16245236736.0,16120764416.0,16196197376.0
22,16115706880.0,16071169024.0,16208598016.0,16104790016.0,16183863296.0
23,16055218176.0,16003362816.0,16186690560.0,16060794880.0,16150788096.0
24,16078612480.0,16001032192.0,16152412160.0,16062203904.0,16112081920.0
25,16015952896.0,15945157632.0,16126801920.0,15972957184.0,16099768320.0
26,15997154304.0,15987098624.0,16071953408.0,15965797376.0,16065922048.0
