,loss_run_1,loss_run_2,loss_run_3,loss_run_4,loss_run_5
0,5765485568.0,5765528064.0,5765467648.0,5765472768.0,5765540352.0
1,5765102592.0,5765032960.0,5764971520.0,5764824064.0,5765044224.0
2,5764177408.0,5764217856.0,5764073984.0,5763873280.0,5764248064.0
3,5763492352.0,5763225088.0,5763068416.0,5763259392.0,5763528704.0
4,5763256320.0,5762910720.0,5761757184.0,5762594304.0,5761264640.0
5,5761373696.0,5760656384.0,5762039808.0,5762252800.0,5761380352.0
6,5760935424.0,5760023552.0,5758632960.0,5761283072.0,5758785024.0
7,5761888768.0,5760548864.0,5759681024.0,5758182400.0,5757592576.0
8,5757001728.0,5755975168.0,5757766144.0,5761319424.0,5753829888.0
9,5755620352.0,5756509696.0,5753767936.0,5758212608.0,5754104832.0
10,5757198336.0,5748510208.0,5752395776.0,5753699840.0,5752842752.0
11,5757179904.0,5749399040.0,5745623552.0,5755872768.0,5752846336.0
12,5754606080.0,5753488384.0,5750488576.0,5753688064.0,5751389184.0
13,5754314752.0,5749332480.0,5746965504.0,5754123264.0,5748421632.0
14,5752220160.0,5742702080.0,5748402176.0,5750415360.0,5745028096.0
15,5745422336.0,5738870784.0,5746059776.0,5749816832.0,5730065920.0
16,5750285824.0,5748174336.0,5738860032.0,5746277888.0,5748528128.0
17,5749255680.0,5747694592.0,5746893312.0,5738672128.0,5740410368.0
18,5735751168.0,5738147840.0,5729607680.0,5738788864.0,5731254784.0
19,5737963008.0,5738095104.0,5737260032.0,5737499136.0,5735503360.0
20,5736864768.0,5735941632.0,5733956096.0,5734956032.0,5729812992.0
21,5740620288.0,5738787328.0,5739038208.0,5738303488.0,5733976064.0
22,5716256768.0,5726064128.0,5716991488.0,5738932224.0,5706507776.0
23,5730619392.0,5729223680.0,5722756096.0,5725639680.0,5717353984.0
24,5717645312.0,5720975360.0,5713244160.0,5727368192.0,5737270784.0
25,5707678720.0,5728391680.0,5733619712.0,5722184192.0,5733072384.0
26,5716276224.0,5725935616.0,5724021248.0,5725357056.0,5701812224.0
27,5716963840.0,5711289856.0,5711949312.0,5722157568.0,5720114688.0
28,5724373504.0,5710272000.0,5717636096.0,5715231744.0,5703276032.0
29,5687665664.0,5692977152.0,5702808064.0,5699990016.0,5679733248.0
30,5701390848.0,5704239104.0,5703987712.0,5705951744.0,5701042176.0
31,5730940416.0,5709425152.0,5701312512.0,5708955136.0,5683598848.0
32,5721665536.0,5705063424.0,5680466944.0,5711742976.0,5693486080.0
33,5682828288.0,5673902080.0,5682130432.0,5696950784.0,5669947392.0
34,5701963776.0,5666659840.0,5702797312.0,5686127616.0,5688685568.0
35,5678471168.0,5696322048.0,5676320768.0,5675961856.0,5618853888.0
36,5673718272.0,5680512000.0,5705213952.0,5682928128.0,5710135296.0
37,5697870336.0,5676943360.0,5649114624.0,5718581248.0,5684661248.0
38,5681372160.0,5661242368.0,5680255488.0,5657118720.0,5675264512.0
39,5653194240.0,5684955648.0,5606395392.0,5661364224.0,5691033088.0
40,5658044416.0,5676691456.0,5668689408.0,5673352192.0,5673005568.0
41,5661640704.0,5643026432.0,5651568128.0,5671005696.0,5634828800.0
42,5634182656.0,5660573696.0,5663410688.0,5659159040.0,5652980736.0
43,5646169600.0,5644912640.0,5643930624.0,5644950528.0,5620402688.0
44,5668112896.0,5606866944.0,5683191808.0,5663761920.0,5648597504.0
