,0,1,2,3,4,5,6,7,8,9,10,11
Aggregated,9483.286,9494.288,9517.596,9553.917,9569.415,9609.881,9639.287,9681.345,9697.531,9741.688,9776.573,9815.462
Clerical and Administrative Workers,1237.437,1236.7427,1234.9303,1233.826,1237.392,1241.6427,1242.9381,1251.3945,1254.5334,1257.027,1260.2407,1264.4446
Community and Personal Service Workers,812.3248,807.2254,812.1835,825.8361,830.65485,837.6921,840.0159,843.66846,852.3653,859.80005,865.4726,870.99133
Labourers,1106.8237,1104.9369,1106.1654,1113.8114,1118.6715,1116.3281,1116.8984,1124.3245,1130.2369,1126.364,1126.6599,1134.4957
Machinery Operators and Drivers,621.21356,620.01514,620.9644,624.3191,623.28064,623.9517,624.9173,625.1598,626.62134,626.85675,627.5071,628.7595
Managers,1151.3158,1144.4917,1145.826,1152.6086,1161.3203,1156.3768,1158.7241,1168.7324,1173.8672,1170.6853,1171.2212,1180.5436
Professionals,1849.0774,1879.8395,1900.9443,1898.79,1888.5273,1923.011,1943.9828,1949.4167,1934.9592,1973.2594,1994.2993,1996.8019
Sales Workers,1287.8226,1289.4572,1289.2201,1302.0271,1307.5425,1311.7815,1314.4617,1322.2843,1328.2172,1332.2158,1335.9059,1342.9315
Technicians and Trades Workers,1417.273,1411.5793,1407.3623,1402.698,1402.0259,1399.0958,1397.3488,1396.3635,1396.7313,1395.4802,1395.2672,1396.4943
Clerical and Administrative Workers-Full time,771.11505,766.10913,760.66656,755.7925,756.022,757.4374,755.27075,760.3971,759.93176,759.59375,759.6036,760.13904
Clerical and Administrative Workers-Part time,466.3219,470.63348,474.26364,478.03357,481.37003,484.20538,487.6673,490.99744,494.60175,497.4333,500.63718,504.30548
Community and Personal Service Workers-Full time,400.57266,401.06628,403.90448,406.78473,409.3261,411.3343,413.9768,416.46295,419.26105,421.2719,423.66187,426.46356
Community and Personal Service Workers-Part time,411.7521,406.15918,408.27893,419.05142,421.3287,426.35776,426.03912,427.2055,433.10425,438.5281,441.81073,444.52777
Labourers-Full time,656.5635,653.0824,649.23566,653.9123,659.9766,655.06274,652.5836,657.5581,662.2914,656.8336,654.6306,659.7509
Labourers-Part time,450.26022,451.8545,456.92978,459.8991,458.69485,461.26544,464.3148,466.76642,467.94553,469.5304,472.0293,474.7448
Machinery Operators and Drivers-Full time,524.04724,523.7656,524.0565,524.37854,524.4831,524.2713,524.4169,524.54376,524.7505,524.55493,524.5567,524.8412
Machinery Operators and Drivers-Part time,97.16634,96.249504,96.9079,99.9405,98.797554,99.68041,100.50046,100.61604,101.87085,102.301834,102.95036,103.91836
Managers-Full time,1026.4124,1020.02747,1021.0203,1027.4144,1036.1128,1031.4132,1033.572,1043.4799,1048.392,1045.435,1045.9592,1054.938
Managers-Part time,124.90355,124.464294,124.80566,125.1942,125.20747,124.9637,125.152084,125.25258,125.475266,125.25023,125.262024,125.60566
Professionals-Full time,1455.386,1455.2704,1462.5923,1467.2675,1479.4269,1483.4094,1490.2363,1503.0455,1510.7101,1518.8899,1527.1721,1534.198
Professionals-Part time,393.6914,424.5691,438.35202,431.52258,409.10037,439.6016,453.74655,446.37115,424.24918,454.36945,467.12723,462.60388
Sales Workers-Full time,673.47644,674.2582,667.64526,675.2606,675.7464,675.80835,673.38495,676.2102,676.88794,676.60474,675.53174,677.16394
Sales Workers-Part time,614.3462,615.199,621.5748,626.7665,631.79614,635.9731,641.07666,646.0741,651.32916,655.6111,660.37415,665.7676
Technicians and Trades Workers-Full time,1266.992,1258.3395,1252.8556,1248.8364,1244.8892,1240.8047,1238.3954,1236.3999,1235.1432,1232.9755,1231.695,1231.4498
Technicians and Trades Workers-Part time,150.28094,153.23993,154.50674,153.86162,157.13663,158.2911,158.95343,159.9636,161.5881,162.50478,163.57224,165.0444
Clerical and Administrative Workers-Full time-Females,588.8161,590.2534,586.78577,578.9911,578.8956,581.1385,579.2551,584.3718,583.61017,583.42554,583.435,583.74023
Clerical and Administrative Workers-Full time-Males,182.29893,175.85568,173.8808,176.80138,177.12633,176.29887,176.01561,176.02527,176.32162,176.1682,176.1686,176.39877
Clerical and Administrative Workers-Part time-Females,439.24026,443.489,446.69278,449.9841,452.98157,455.678,458.7745,461.77292,464.94864,467.64337,470.57178,473.7931
Clerical and Administrative Workers-Part time-Males,27.081635,27.144472,27.570864,28.049475,28.388464,28.527372,28.892796,29.224533,29.653095,29.789917,30.065409,30.512403
Community and Personal Service Workers-Full time-Females,215.64441,216.85509,218.6689,220.49948,222.11163,223.45897,225.15862,226.76553,228.53764,229.89384,231.45099,233.23445
Community and Personal Service Workers-Full time-Males,184.92825,184.21118,185.2356,186.28523,187.21448,187.8753,188.81818,189.69742,190.72339,191.37807,192.21089,193.22911
Community and Personal Service Workers-Part time-Females,332.92535,329.4567,329.82437,337.19495,341.2317,343.83353,343.38623,344.6002,349.17792,352.41833,355.47003,358.58188
Community and Personal Service Workers-Part time-Males,78.82675,76.70247,78.45457,81.85647,80.09702,82.52423,82.652885,82.60532,83.926346,86.10977,86.34069,85.94591
Labourers-Full time-Females,147.39111,150.55637,149.08623,147.86671,149.82616,151.05362,150.77216,150.33817,151.1292,151.46362,151.36133,151.3203
Labourers-Full time-Males,509.17233,502.526,500.14944,506.0456,510.15045,504.00912,501.81146,507.21997,511.1622,505.37003,503.2693,508.43063
Labourers-Part time-Females,232.35559,231.91711,232.13098,232.4981,232.56805,232.31508,232.44463,232.55507,232.78072,232.55046,232.54723,232.84879
Labourers-Part time-Males,217.90463,219.9374,224.7988,227.401,226.1268,228.95038,231.87016,234.21136,235.16481,236.97993,239.48207,241.89604
Machinery Operators and Drivers-Full time-Females,42.488686,42.39175,42.512047,42.627895,42.684998,42.60704,42.658405,42.713093,42.80092,42.72609,42.726257,42.839775
Machinery Operators and Drivers-Full time-Males,481.55853,481.37387,481.5445,481.75067,481.7981,481.66428,481.75848,481.8307,481.94955,481.82883,481.83044,482.00143
Machinery Operators and Drivers-Part time-Females,27.51608,27.408583,27.492228,27.570595,27.56915,27.503946,27.549269,27.577868,27.621964,27.567272,27.573288,27.64443
Machinery Operators and Drivers-Part time-Males,69.65026,68.84092,69.41567,72.3699,71.2284,72.17647,72.95119,73.03818,74.248886,74.73456,75.377075,76.273926
