,0,1,2,3,4,5,6,7,8,9,10,11
Aggregated,9458.422,9526.838,9523.056,9600.586,9576.245,9644.174,9640.224,9717.863,9693.468,9760.966,9756.856,9834.604
Clerical and Administrative Workers,1245.8998,1245.438,1244.509,1250.8047,1258.699,1258.2097,1257.2765,1263.578,1271.4857,1270.9789,1270.0457,1276.3442
Community and Personal Service Workers,793.4637,811.2319,813.8861,822.59174,817.98975,835.7347,838.38495,847.09717,842.5125,860.23645,862.88367,871.6017
Labourers,1098.8738,1101.4442,1090.3866,1112.254,1106.4415,1109.0349,1097.9817,1119.836,1114.0026,1116.6223,1105.574,1127.4182
Machinery Operators and Drivers,616.3217,617.61475,619.0825,620.66394,618.727,620.0004,621.46423,623.0471,621.1321,622.37915,623.843,625.4272
Managers,1152.7592,1147.7499,1149.4575,1161.6775,1158.4814,1153.182,1154.7603,1167.0482,1163.6631,1158.1035,1159.5565,1171.9183
Professionals,1842.5326,1885.3342,1897.2374,1898.2815,1883.1033,1925.826,1937.7117,1938.7789,1923.657,1966.3055,1978.1747,1979.2559
Sales Workers,1284.5908,1289.0334,1279.4287,1303.7944,1304.0848,1308.5138,1298.906,1323.278,1323.5715,1327.9945,1318.3799,1342.7651
Technicians and Trades Workers,1423.9806,1428.9921,1429.0681,1430.5187,1428.7197,1433.673,1433.7377,1435.2,1433.4434,1438.3447,1438.3993,1439.873
Clerical and Administrative Workers-Full time,779.2053,773.3369,770.2803,773.7918,779.3253,773.43896,770.3788,773.89343,779.43414,773.53766,770.4779,773.9891
Clerical and Administrative Workers-Part time,466.69443,472.1011,474.2288,477.01297,479.37363,484.77066,486.8977,489.68463,492.05157,497.44125,499.56775,502.3551
Community and Personal Service Workers-Full time,400.6597,403.14636,405.67523,408.30084,410.93158,413.41055,415.93738,418.56378,421.20227,423.6717,426.19855,428.82434
Community and Personal Service Workers-Part time,392.804,408.08548,408.21085,414.29083,407.0581,422.32416,422.44757,428.5334,421.3102,436.56473,436.6851,442.7773
Labourers-Full time,656.5118,652.71594,640.9861,653.24786,656.618,652.84326,641.1171,653.3677,656.7193,652.96796,641.24506,653.48566
Labourers-Part time,442.36197,448.72827,449.4005,459.00616,449.82355,456.19168,456.8645,466.46832,457.2833,463.6543,464.32892,473.93246
Machinery Operators and Drivers-Full time,523.9504,523.93195,523.88544,523.923,523.9323,523.8991,523.8494,523.88885,523.91455,523.8619,523.8128,523.8531
Machinery Operators and Drivers-Part time,92.37132,93.682785,95.19709,96.74095,94.794685,96.10136,97.61482,99.15826,97.21751,98.51726,100.03024,101.57408
Managers-Full time,1027.0743,1022.0737,1023.7765,1035.9844,1032.7747,1027.4799,1029.0532,1041.3317,1037.9355,1032.3746,1033.8259,1046.1768
Managers-Part time,125.68483,125.67613,125.68103,125.69318,125.70674,125.70216,125.70709,125.71658,125.72755,125.72887,125.7305,125.74159
Professionals-Full time,1447.2076,1454.7141,1462.2748,1470.3901,1478.3518,1485.8121,1493.3615,1501.4907,1509.4863,1516.901,1524.4413,1532.5769
Professionals-Part time,395.3249,430.62012,434.96268,427.89142,404.7515,440.0139,444.35025,437.28824,414.17072,449.40448,453.73334,446.679
Sales Workers-Full time,680.16223,671.4997,661.452,674.7313,680.2783,671.61584,661.56824,674.8479,680.39087,671.7329,661.6812,674.968
Sales Workers-Part time,604.42865,617.5338,617.97675,629.0631,623.80646,636.8979,637.33777,648.43005,643.1807,656.2616,656.6986,667.79706
Technicians and Trades Workers-Full time,1276.3457,1275.7977,1275.5338,1276.1726,1276.5896,1276.001,1275.7284,1276.3759,1276.8226,1276.1973,1275.9172,1276.5735
Technicians and Trades Workers-Part time,147.63492,153.1943,153.53438,154.34602,152.13007,157.67198,158.00931,158.82404,156.62064,162.14745,162.48209,163.29962
Clerical and Administrative Workers-Full time-Females,593.13007,592.91956,592.838,593.0507,593.2101,592.9872,592.90326,593.1184,593.2841,593.0531,592.969,593.1833
