,0,1,2,3,4,5,6,7,8,9,10,11
Aggregated,9415.538,9476.862,9471.448,9548.518,9531.325,9590.994,9587.732,9661.869,9645.056,9706.247,9703.562,9776.466
Clerical and Administrative Workers,1239.0924,1237.2417,1236.127,1242.182,1250.7938,1249.2817,1248.4539,1254.3082,1262.8029,1261.4708,1260.7991,1266.3259
Community and Personal Service Workers,791.22595,807.14484,808.97546,818.67725,815.40424,830.9959,833.15137,842.4829,839.4275,854.92236,857.2722,866.27576
Labourers,1093.1034,1097.4109,1086.7864,1107.311,1100.9819,1105.2462,1094.7238,1115.247,1108.9089,1113.1741,1102.618,1123.221
Machinery Operators and Drivers,614.13196,614.49097,615.89594,617.7898,616.53546,616.7313,618.167,619.62256,618.8259,619.0034,620.44293,621.8356
Managers,1152.6139,1149.3971,1151.4517,1162.9088,1159.1697,1155.1982,1157.7051,1168.972,1165.2288,1161.0591,1163.5029,1174.7305
Professionals,1834.3837,1873.3542,1884.9579,1886.5509,1874.6089,1912.4683,1924.6864,1924.6759,1913.8783,1952.2412,1964.4766,1964.2249
Sales Workers,1275.4957,1278.0151,1268.0701,1292.1863,1293.8402,1296.784,1286.9417,1310.7185,1312.1344,1315.6094,1305.8304,1329.464
Technicians and Trades Workers,1415.4904,1419.8074,1419.1843,1420.912,1419.9902,1424.288,1423.9026,1425.8422,1423.8502,1428.7659,1428.6185,1430.3883
Clerical and Administrative Workers-Full time,773.1412,766.0471,762.77014,766.1182,772.3115,765.411,762.4208,765.5595,771.69904,764.9195,762.0885,764.89105
Clerical and Administrative Workers-Part time,465.9512,471.19452,473.3568,476.06372,478.48236,483.87076,486.03308,488.74866,491.1037,496.5512,498.71054,501.4348
Community and Personal Service Workers-Full time,399.14423,399.7658,401.49493,405.0512,408.9466,409.31204,411.28723,414.55087,418.66223,418.86096,421.10385,424.0849
Community and Personal Service Workers-Part time,392.08176,407.37897,407.48053,413.62604,406.4576,421.6839,421.86417,427.9321,420.76523,436.06146,436.16833,442.19086
Labourers-Full time,652.42224,650.4853,639.1717,650.2337,652.95526,650.9906,639.7234,650.8677,653.5656,651.53357,640.2289,651.42163
Labourers-Part time,440.68115,446.92566,447.61475,457.07736,448.02667,454.2556,455.0003,464.37933,455.34332,461.6405,462.38913,471.79935
Machinery Operators and Drivers-Full time,521.5746,520.76587,520.71906,520.94714,521.466,520.5694,520.55536,520.39136,521.3716,520.41815,520.40875,520.20593
Machinery Operators and Drivers-Part time,92.55736,93.72512,95.17687,96.84265,95.06946,96.16195,97.61167,99.231186,97.454346,98.58526,100.03418,101.62963
Managers-Full time,1026.8813,1023.4652,1025.4633,1037.0232,1033.325,1029.1912,1031.5068,1042.9993,1039.2388,1034.8375,1037.0344,1048.5188
Managers-Part time,125.73245,125.93181,125.988434,125.88562,125.84466,126.007095,126.1983,125.972725,125.99005,126.221504,126.468544,126.21178
Professionals-Full time,1441.51,1444.896,1452.2281,1460.9053,1472.0901,1474.7039,1482.6384,1489.7228,1501.7861,1505.1721,1513.1234,1520.0149
Professionals-Part time,392.8737,428.45822,432.72977,425.64563,402.51874,437.76437,442.04797,434.9532,412.09213,447.0691,451.3532,444.21
Sales Workers-Full time,674.6467,665.15076,654.9811,667.90564,674.1214,664.94,654.7642,667.5497,673.54315,664.7073,654.54224,667.2519
Sales Workers-Part time,600.84894,612.86444,613.089,624.28076,619.71875,631.84406,632.1775,643.1689,638.5913,650.90216,651.2882,662.2121
Technicians and Trades Workers-Full time,1268.3983,1267.4147,1266.5374,1267.3461,1268.3895,1267.4669,1266.8206,1267.8967,1267.8998,1267.5184,1267.1138,1268.0532
Technicians and Trades Workers-Part time,147.09212,152.39265,152.64703,153.56586,151.60068,156.82104,157.08202,157.94536,155.95044,161.24748,161.50476,162.33508
Clerical and Administrative Workers-Full time-Females,589.31573,588.45087,588.3064,588.4991,588.912,588.03094,588.0586,588.0847,588.61456,587.73175,587.82294,587.6338
Clerical and Administrative Workers-Full time-Males,183.82545,177.59628,174.46378,177.61916,183.39957,177.38007,174.36218,177.4748,183.08446,177.18774,174.26556,177.25728
Clerical and Administrative Workers-Part time-Females,440.2747,443.22263,446.1553,449.0312,451.95938,454.9006,457.83334,460.71378,463.64417,466.5807,469.51205,472.397
Clerical and Administrative Workers-Part time-Males,25.676506,27.971897,27.201492,27.032547,26.522984,28.970146,28.199732,28.034876,27.459545,29.970526,29.198488,29.037802
Community and Personal Service Workers-Full time-Females,215.22157,215.93532,217.17267,219.39977,221.74095,222.37306,223.65883,225.81644,228.24886,228.81532,230.14221,232.25317
Community and Personal Service Workers-Full time-Males,183.92267,183.83049,184.32227,185.65143,187.20566,186.93898,187.6284,188.73444,190.41338,190.04565,190.96164,191.83171
Community and Personal Service Workers-Part time-Females,315.91193,330.39932,329.705,335.0006,326.95523,341.43802,340.79324,346.04205,337.99802,352.532,351.88843,357.1067
Community and Personal Service Workers-Part time-Males,76.16982,76.97965,77.775536,78.62543,79.50239,80.24587,81.070915,81.89004,82.76721,83.529434,84.2799,85.08415
Labourers-Full time-Females,145.30042,146.08363,146.29994,145.75787,145.5733,146.34515,146.58409,146.0835,145.90219,146.62616,146.84534,146.37326
Labourers-Full time-Males,507.1218,504.40164,492.87177,504.47583,507.38196,504.64548,493.1393,504.78418,507.66342,504.9074,493.3835,505.0484
Labourers-Part time-Females,227.63814,229.41957,225.26979,232.37021,227.57426,229.33624,225.24277,232.2458,227.46907,229.3105,225.21852,232.22177
Labourers-Part time-Males,213.043,217.5061,222.34497,224.70715,220.4524,224.91936,229.75752,232.13353,227.87427,232.32999,237.17061,239.57758
Machinery Operators and Drivers-Full time-Females,41.27705,40.806362,40.749073,40.86206,41.171303,40.794224,40.73692,40.78955,41.083855,40.782104,40.72569,40.716736
Machinery Operators and Drivers-Full time-Males,480.29752,479.9595,479.97,480.0851,480.2947,479.77518,479.81842,479.60178,480.28775,479.63605,479.68304,479.4892
