,0,1,2,3,4,5,6,7,8,9,10,11
Aggregated,10228.891,10290.299,10329.945,10355.715,10341.866,10428.364,10456.925,10480.153,10476.357,10558.185,10588.192,10610.432
Clerical and Administrative Workers,1282.1514,1288.045,1293.2062,1307.7009,1303.308,1307.0552,1305.8577,1303.351,1307.4846,1310.3792,1313.1577,1315.9307
Community and Personal Service Workers,865.3016,890.1122,892.71295,901.4795,886.03973,912.94574,915.29395,923.9164,908.47125,935.4598,937.7866,945.80945
Labourers,1125.717,1127.7097,1129.2366,1130.9323,1132.6036,1134.1143,1135.7734,1137.4346,1139.1124,1140.609,1142.2583,1143.9105
Machinery Operators and Drivers,700.1011,699.8578,700.0703,699.968,700.1118,700.31586,700.47253,700.6241,700.7438,700.96655,701.1117,701.25574
Managers,1327.568,1315.9276,1324.3079,1333.1865,1338.7101,1336.2106,1345.6855,1359.4182,1366.0623,1360.6255,1367.5728,1375.2185
Professionals,2038.7029,2073.7808,2086.601,2080.9124,2074.915,2121.4353,2132.4624,2132.585,2125.9255,2171.0547,2183.0483,2182.416
Sales Workers,1315.6262,1313.1234,1322.9818,1321.8834,1323.5955,1326.1455,1331.9082,1334.2544,1337.1857,1340.6263,1345.2495,1348.6061
Technicians and Trades Workers,1573.7228,1581.7418,1580.8293,1579.6521,1582.5828,1590.1414,1589.4708,1588.5708,1591.3726,1598.4646,1598.0073,1597.2844
Clerical and Administrative Workers-Full time,816.36926,812.7166,815.1736,826.96906,819.86194,820.98285,817.0859,811.8875,813.30865,813.5713,813.6527,813.7307
Clerical and Administrative Workers-Part time,465.7821,475.32837,478.03256,480.7318,483.44595,486.0723,488.77185,491.46353,494.176,496.80783,499.50494,502.19992
Community and Personal Service Workers-Full time,435.336,432.25922,434.914,443.997,442.67255,440.055,442.55865,450.99442,449.8177,447.4562,449.8177,457.63812
Community and Personal Service Workers-Part time,429.96564,457.853,457.799,457.4825,443.36716,472.89075,472.73523,472.922,458.65363,488.0036,487.96896,488.17133
Labourers-Full time,642.76733,642.6157,642.56635,642.49243,642.4647,642.2576,642.20166,642.13495,642.1009,641.89655,641.8336,641.76904
Labourers-Part time,482.9497,485.09396,486.67017,488.43985,490.13898,491.8566,493.57178,495.29962,497.01154,498.71246,500.42468,502.14148
Machinery Operators and Drivers-Full time,607.8115,606.6755,605.9015,605.3651,604.8811,604.6588,604.26294,603.89307,603.4585,603.2326,602.84644,602.4603
Machinery Operators and Drivers-Part time,92.28958,93.18231,94.16881,94.60291,95.23072,95.65705,96.209595,96.73101,97.28526,97.73399,98.26524,98.795364
Managers-Full time,1178.6667,1166.8984,1175.1345,1183.6289,1188.8569,1185.9761,1195.1306,1208.5342,1214.8749,1209.0676,1215.6924,1223.0157
Managers-Part time,148.90134,149.02922,149.1733,149.5576,149.85306,150.23457,150.5549,150.88394,151.18745,151.55783,151.88034,152.20276
Professionals-Full time,1571.9084,1569.8457,1580.0669,1582.3372,1589.9907,1599.1082,1606.2954,1614.3579,1621.36,1629.105,1637.2595,1644.5891
Professionals-Part time,466.79443,503.93512,506.53412,498.5753,484.9243,522.32715,526.167,518.2269,504.56567,541.94977,545.7887,537.82684
Sales Workers-Full time,689.5016,686.74927,690.62085,686.65796,683.7776,682.777,684.3923,682.8784,681.7701,681.3567,681.9989,681.4004
Sales Workers-Part time,626.1247,626.374,632.361,635.22546,639.81793,643.3685,647.5159,651.3761,655.4156,659.2696,663.25055,667.2056
Technicians and Trades Workers-Full time,1383.6669,1384.2153,1384.3586,1384.5422,1384.6144,1385.1688,1385.3236,1385.5266,1385.5823,1386.1135,1386.2742,1386.4406
Technicians and Trades Workers-Part time,190.05592,197.52646,196.47073,195.10991,197.96834,204.9725,204.14728,203.04416,205.79037,212.35104,211.73306,210.84398
Clerical and Administrative Workers-Full time-Females,625.05237,624.99286,628.31525,639.6469,632.07526,632.8964,628.98987,623.7878,625.2189,625.3293,625.3618,625.39465
Clerical and Administrative Workers-Full time-Males,191.31688,187.72375,186.85835,187.32216,187.78668,188.08644,188.09601,188.09973,188.0898,188.242,188.2909,188.33604
Clerical and Administrative Workers-Part time-Females,438.53625,447.89505,450.35535,452.81067,455.27206,457.70584,460.1627,462.6141,465.07428,467.5127,469.96848,472.4211
Clerical and Administrative Workers-Part time-Males,27.245834,27.433308,27.677229,27.92114,28.173893,28.366455,28.609158,28.849417,29.10171,29.295135,29.536457,29.778816
Community and Personal Service Workers-Full time-Females,243.92284,240.8354,242.80469,251.19699,249.19453,245.85596,247.67332,255.41405,253.56403,250.48701,252.16362,259.29593
Community and Personal Service Workers-Full time-Males,191.41316,191.4238,192.1093,192.80003,193.47801,194.19902,194.88531,195.58037,196.25365,196.9692,197.65407,198.34221
Community and Personal Service Workers-Part time-Females,344.20212,370.02487,369.15378,368.47617,353.28702,381.80304,380.93143,380.25357,365.06174,393.5726,392.6993,392.01834
Community and Personal Service Workers-Part time-Males,85.763504,87.82813,88.645226,89.006355,90.08015,91.0877,91.80382,92.66842,93.59187,94.43099,95.26966,96.15298
Labourers-Full time-Females,158.29893,158.2397,158.21849,158.18253,158.16986,158.08281,158.05878,158.03035,158.0128,157.92818,157.9003,157.87088
Labourers-Full time-Males,484.4684,484.37604,484.34787,484.30988,484.29483,484.17484,484.14285,484.1046,484.0881,483.96838,483.93332,483.8982
Labourers-Part time-Females,253.77951,254.17226,254.0291,254.08253,254.06355,254.05418,254.04991,254.05516,254.05388,254.03328,254.02945,254.02954
Labourers-Part time-Males,229.1702,230.9217,232.64105,234.35732,236.07542,237.80241,239.52187,241.24446,242.95766,244.67917,246.39525,248.11195
Machinery Operators and Drivers-Full time-Females,42.346466,41.0813,40.275593,39.702118,39.20124,38.85906,38.428753,38.01446,37.568264,37.23523,36.814053,36.392673
Machinery Operators and Drivers-Full time-Males,565.4651,565.5942,565.6259,565.66296,565.6799,565.79974,565.83417,565.8786,565.89026,565.9974,566.0324,566.0676
Machinery Operators and Drivers-Part time-Females,25.046465,25.931929,26.108986,26.137255,26.140707,26.104975,26.095652,26.08539,26.08179,26.039503,26.028538,26.018044
Machinery Operators and Drivers-Part time-Males,67.24312,67.25038,68.05982,68.46566,69.09001,69.55208,70.113945,70.64562,71.203476,71.69449,72.23671,72.77732
Managers-Full time-Females,363.40652,348.52927,354.8232,360.96323,364.0443,358.7425,365.6747,376.8322,380.98462,372.78778,377.17963,382.27127
Managers-Full time-Males,815.2602,818.36914,820.3113,822.6657,824.8126,827.2336,829.45593,831.702,833.89026,836.2798,838.5127,840.74445
Managers-Part time-Females,95.26713,95.94971,95.78041,95.84182,95.83027,95.871376,95.87918,95.892525,95.892136,95.926674,95.93594,95.94485
Managers-Part time-Males,53.634212,53.079517,53.392883,53.71578,54.02278,54.363197,54.675728,54.991425,55.29532,55.631165,55.944405,56.25791
Professionals-Full time-Females,692.5027,685.8572,696.50714,699.31256,703.436,708.89526,713.44995,718.9015,722.485,726.759,731.66675,735.7568
Professionals-Full time-Males,879.4057,883.98846,883.5597,883.0246,886.5547,890.2129,892.8454,895.4565,898.875,902.34595,905.5927,908.8323
Professionals-Part time-Females,354.36447,377.84485,384.20422,377.49728,369.36346,392.83,399.19022,392.49335,384.3542,407.80853,414.16766,407.459
Professionals-Part time-Males,112.429955,126.09029,122.32989,121.077995,115.56082,129.49715,126.97678,125.733574,120.21149,134.14124,131.62102,130.36783
Sales Workers-Full time-Females,300.17923,298.1116,302.4177,298.7328,296.0312,295.18646,296.88354,295.42218,294.34637,293.99472,294.659,294.07462
Sales Workers-Full time-Males,389.32236,388.6377,388.2032,387.9252,387.74643,387.59048,387.50873,387.45624,387.4237,387.362,387.33987,387.32574
Sales Workers-Part time-Females,469.0194,467.9101,472.51517,473.99924,477.20413,479.4108,482.1804,484.6658,487.3195,489.82968,492.43286,495.0107
Sales Workers-Part time-Males,157.10529,158.46394,159.84586,161.22623,162.61378,163.95776,165.33553,166.71027,168.09612,169.43991,170.81769,172.19492
Technicians and Trades Workers-Full time-Females,138.03223,138.30655,138.37785,138.46825,138.50356,138.77878,138.85457,138.95482,138.98105,139.24387,139.32309,139.40512
Technicians and Trades Workers-Full time-Males,1245.6346,1245.9088,1245.9808,1246.074,1246.1108,1246.39,1246.469,1246.5718,1246.6012,1246.8696,1246.951,1247.0354
Technicians and Trades Workers-Part time-Females,82.54098,83.23773,83.85157,84.47858,85.07946,85.77915,86.39735,87.0264,87.62211,88.31364,88.93331,89.554
Technicians and Trades Workers-Part time-Males,107.514946,114.28872,112.619156,110.63133,112.88888,119.19336,117.74992,116.01777,118.16826,124.037415,122.79976,121.28998
