,0,1,2,3,4,5,6,7,8,9,10,11
Aggregated,10211.453,10281.514,10277.256,10353.51,10339.876,10409.295,10404.956,10481.74,10468.251,10536.587,10532.147,10609.171
Clerical and Administrative Workers,1282.2961,1281.0498,1281.6519,1286.8607,1292.8395,1291.4373,1292.0007,1297.3014,1303.402,1301.706,1302.232,1307.6141
Community and Personal Service Workers,866.5615,884.4097,886.31433,895.43066,886.45123,904.25995,906.187,915.2612,906.32666,924.038,925.9908,935.00934
Labourers,1129.7388,1132.7214,1120.0972,1134.0056,1136.2473,1139.3153,1126.8383,1140.5438,1142.7295,1146.002,1133.5673,1147.2821
Machinery Operators and Drivers,698.80664,698.0812,698.00824,698.94495,699.548,698.6334,698.58057,699.4907,700.1494,699.0954,699.0445,699.9696
Managers,1311.3251,1303.5823,1309.7771,1327.0818,1326.0125,1317.6234,1323.9489,1341.9602,1340.785,1331.7302,1338.2421,1356.752
Professionals,2032.5457,2076.3477,2088.326,2092.3376,2081.1345,2125.2146,2137.0234,2140.915,2129.5798,2173.8267,2185.5186,2189.1758
Sales Workers,1321.762,1329.2579,1317.1666,1340.6198,1337.7251,1345.1127,1333.0544,1356.5404,1353.7485,1360.9545,1348.9443,1372.4236
Technicians and Trades Workers,1568.4187,1576.0647,1575.9138,1578.2297,1579.9191,1587.6996,1587.3241,1589.7263,1591.5295,1599.2327,1598.6073,1600.9456
Clerical and Administrative Workers-Full time,819.2288,813.81165,812.515,815.92065,819.29913,813.81433,812.49915,815.9554,819.41565,813.7703,812.434,815.94855
Clerical and Administrative Workers-Part time,463.0674,467.23807,469.13684,470.94006,473.54044,477.623,479.5015,481.34607,483.98624,487.93567,489.79807,491.6656
Community and Personal Service Workers-Full time,430.90155,431.68777,433.13007,434.90616,436.84933,437.59552,439.0322,440.829,442.81622,443.45062,444.90564,446.69702
Community and Personal Service Workers-Part time,435.65997,452.72195,453.18427,460.52454,449.60187,466.66446,467.15485,474.43225,463.51044,480.5874,481.08514,488.31232
Labourers-Full time,649.8218,646.6321,636.7186,642.69916,649.5251,646.35565,636.5179,642.39087,649.19604,646.0997,636.3114,642.15295
Labourers-Part time,479.917,486.08936,483.37854,491.30646,486.72223,492.9596,490.3203,498.153,493.53342,499.90228,497.25586,505.12915
Machinery Operators and Drivers-Full time,605.7347,604.8698,604.5585,605.12384,605.4083,604.41394,604.11304,604.71924,605.0834,603.98474,603.698,604.31213
Machinery Operators and Drivers-Part time,93.07195,93.21135,93.44978,93.82114,94.13966,94.21952,94.46756,94.77147,95.06608,95.11061,95.34652,95.65745
Managers-Full time,1162.3627,1154.7408,1161.0878,1178.0479,1176.8389,1168.6492,1175.1433,1192.7084,1191.3894,1182.6133,1189.258,1207.3292
Managers-Part time,148.96243,148.84149,148.68927,149.03395,149.1737,148.97415,148.80556,149.25183,149.39558,149.11688,148.98404,149.4228
Professionals-Full time,1572.5392,1578.1719,1585.7664,1594.6295,1603.581,1609.0626,1616.5706,1625.4982,1634.5486,1639.7749,1647.2249,1656.1836
Professionals-Part time,460.00653,498.17587,502.55957,497.70807,477.5534,516.1521,520.45276,515.417,495.03125,534.0518,538.29376,532.9921
Sales Workers-Full time,705.1782,695.4929,686.4143,701.5801,705.10425,695.3436,686.2995,701.46497,705.0443,695.22284,686.17993,701.36865
Sales Workers-Part time,616.5837,633.7651,630.7523,639.0396,632.62085,649.76904,646.755,655.07544,648.7042,665.7316,662.7644,671.05493
Technicians and Trades Workers-Full time,1380.359,1377.8042,1377.3254,1379.1531,1380.6952,1377.8872,1377.3208,1379.3798,1381.1105,1377.9078,1377.2823,1379.4044
Technicians and Trades Workers-Part time,188.05971,198.26047,198.58838,199.07663,199.22388,209.81241,210.00336,210.3466,210.41907,221.3248,221.32497,221.54117
Clerical and Administrative Workers-Full time-Females,622.28375,621.9196,621.8795,622.04156,622.2989,621.9113,621.8749,622.0381,622.3399,621.88666,621.8294,622.0374
Clerical and Administrative Workers-Full time-Males,196.94505,191.892,190.6355,193.87907,197.00023,191.90302,190.62424,193.91728,197.07574,191.88367,190.6046,193.91112
Clerical and Administrative Workers-Part time-Females,436.27792,438.39853,440.77115,443.1014,445.67624,447.76016,450.10406,452.47876,455.06378,457.08133,459.3939,461.81833
Clerical and Administrative Workers-Part time-Males,26.789482,28.839548,28.365707,27.838642,27.864183,29.86283,29.397419,28.867311,28.922445,30.854336,30.40418,29.847263
Community and Personal Service Workers-Full time-Females,243.8567,244.98079,246.45937,248.06409,249.74916,250.8584,252.34502,253.95259,255.64445,256.7098,258.20444,259.79794
Community and Personal Service Workers-Full time-Males,187.04486,186.70699,186.67068,186.84207,187.10017,186.7371,186.68718,186.87642,187.17175,186.7408,186.70122,186.89906
Community and Personal Service Workers-Part time-Females,347.39618,363.56546,363.13937,369.64075,357.86694,374.0362,373.61758,380.0845,368.3196,384.49738,384.0528,390.54108
Community and Personal Service Workers-Part time-Males,88.263794,89.1565,90.04491,90.88379,91.734924,92.62826,93.53725,94.34775,95.19082,96.09002,97.03234,97.77123
Labourers-Full time-Females,158.91026,159.37047,159.51765,158.97993,158.75357,159.23024,159.4258,158.80911,158.55823,159.10226,159.31046,158.7161
Labourers-Full time-Males,490.91153,487.26163,477.20096,483.71924,490.7715,487.12543,477.0921,483.58173,490.6378,486.9974,477.00092,483.43683
Labourers-Part time-Females,246.84076,250.9167,246.34053,252.8574,246.70158,250.8001,246.26231,252.72359,246.53967,250.69734,246.15587,252.65169
Labourers-Part time-Males,233.07625,235.17264,237.03802,238.44905,240.02065,242.1595,244.058,245.42943,246.99374,249.20493,251.1,252.47745
Machinery Operators and Drivers-Full time-Females,40.93322,40.484707,40.28704,40.486473,40.507236,40.056995,39.86351,40.08805,40.130318,39.65969,39.474934,39.68473
Machinery Operators and Drivers-Full time-Males,564.80145,564.38513,564.2714,564.6374,564.90106,564.35693,564.2495,564.63116,564.95306,564.3251,564.2231,564.6274
Machinery Operators and Drivers-Part time-Females,26.468801,26.37312,26.30682,26.433361,26.46886,26.375189,26.325888,26.413853,26.451128,26.34128,26.297508,26.419502
Machinery Operators and Drivers-Part time-Males,66.60315,66.838234,67.14296,67.38778,67.67081,67.84433,68.14167,68.35761,68.61495,68.76933,69.04901,69.237946
Managers-Full time-Females,351.54993,344.33835,350.84402,367.35,365.86523,358.15555,364.80005,381.87823,380.24823,372.03082,378.80563,396.39297
Managers-Full time-Males,810.81274,810.4025,810.2438,810.6978,810.97363,810.4936,810.34326,810.83014,811.1412,810.58246,810.45245,810.9363
Managers-Part time-Females,96.015434,95.98698,95.969315,96.01097,96.09772,95.99812,96.00195,96.07597,96.17957,96.0592,96.08167,96.149796
Managers-Part time-Males,52.947,52.854523,52.71996,53.022976,53.075985,52.976036,52.803604,53.175854,53.216015,53.05768,52.902363,53.27301
Professionals-Full time-Females,688.48206,691.80817,695.97046,700.63464,705.3769,708.6478,712.7961,717.44775,722.23676,725.4254,729.5638,734.23346
Professionals-Full time-Males,884.0571,886.36365,889.7959,893.9949,898.2042,900.4148,903.77454,908.0504,912.31177,914.3495,917.66113,921.95013
Professionals-Part time-Females,351.2453,372.77585,377.679,378.2588,365.19678,386.66125,391.53085,392.14505,379.1097,400.48032,405.3433,405.9465
