,0,1,2,3,4,5,6,7,8,9,10,11
Aggregated,10217.185,10291.902,10287.958,10363.268,10345.392,10421.197,10417.157,10492.572,10473.45,10550.232,10546.161,10621.562
Clerical and Administrative Workers,1282.736,1282.0996,1282.6373,1287.9894,1293.3549,1292.7974,1293.3375,1298.6964,1304.0054,1303.4835,1304.0225,1309.3849
Community and Personal Service Workers,865.626,883.4053,885.25867,894.36774,885.2449,903.08527,904.93774,914.0588,904.8458,922.75525,924.61127,933.7193
Labourers,1132.2163,1133.7738,1120.9634,1135.5632,1138.679,1140.3505,1127.5444,1141.9895,1145.0781,1146.9541,1134.1346,1148.4099
Machinery Operators and Drivers,699.3017,699.0266,699.06696,699.6159,699.9253,699.705,699.7405,700.31665,700.55286,700.3526,700.38,700.98236
Managers,1313.9698,1306.998,1313.6759,1330.1891,1328.5182,1321.2114,1328.0092,1344.9646,1343.0524,1335.3799,1342.3087,1359.7104
Professionals,2029.9991,2075.9048,2087.8823,2091.3267,2078.7063,2125.1992,2137.1155,2140.4158,2127.4136,2174.4539,2186.328,2189.4897
Sales Workers,1322.7015,1330.5834,1318.2585,1342.2319,1338.6724,1346.5854,1334.2577,1358.224,1354.5532,1362.5327,1350.2223,1374.1332
Technicians and Trades Workers,1570.6343,1580.1118,1580.2156,1581.9843,1582.292,1592.2628,1592.2135,1593.907,1593.9491,1604.3198,1604.1548,1605.732
Clerical and Administrative Workers-Full time,821.0995,816.17883,814.8964,818.26794,821.3063,816.4388,815.1559,818.5317,821.5537,816.68054,815.39966,818.7887
Clerical and Administrative Workers-Part time,461.63647,465.92075,467.7409,469.72147,472.04855,476.35867,478.1816,480.16467,482.45157,486.80298,488.6228,490.59622
Community and Personal Service Workers-Full time,430.97638,431.80353,433.18982,435.07816,436.8163,437.67303,439.05753,440.9739,442.64856,443.52115,444.91455,446.83673
Community and Personal Service Workers-Part time,434.6496,451.60175,452.06888,459.28955,448.4286,465.41223,465.8802,473.08487,462.1973,479.23416,479.69666,486.88254
Labourers-Full time,651.9546,647.9906,637.90186,644.43713,651.6913,647.7827,637.6937,644.1322,651.3738,647.5794,637.48474,643.8182
Labourers-Part time,480.26178,485.78326,483.0615,491.12616,486.98767,492.5677,489.85065,497.85724,493.7044,499.3747,496.6499,504.59174
Machinery Operators and Drivers-Full time,606.6079,606.1333,605.8915,606.2978,606.33704,605.90686,605.67865,606.1383,606.15466,605.72363,605.5094,606.0246
Machinery Operators and Drivers-Part time,92.69382,92.89329,93.17551,93.31809,93.5883,93.79816,94.06186,94.178345,94.39819,94.62894,94.87064,94.957794
Managers-Full time,1164.7217,1157.7935,1164.4619,1180.8782,1179.1722,1171.8936,1178.6821,1195.5615,1193.6272,1185.9624,1192.8829,1210.2339
Managers-Part time,149.24823,149.20456,149.21399,149.31088,149.34598,149.31787,149.32698,149.40305,149.42516,149.4175,149.42578,149.47653
Professionals-Full time,1570.802,1577.6022,1585.1487,1593.7981,1601.9612,1608.767,1616.3062,1625.0349,1633.1348,1639.9014,1647.4481,1656.2556
Professionals-Part time,459.19714,498.30255,502.7337,497.5286,476.74515,516.4322,520.8093,515.381,494.27878,534.55255,538.8799,533.2343
Sales Workers-Full time,707.17487,697.78174,688.573,704.09094,707.2124,697.8333,688.62036,704.12286,707.1986,697.84357,688.6405,704.1096
Sales Workers-Part time,615.5266,632.80164,629.68555,638.141,631.46,648.75214,645.63727,654.1012,647.3546,664.6892,661.5818,670.02356
Technicians and Trades Workers-Full time,1383.2639,1382.128,1381.818,1383.3679,1383.8676,1382.7211,1382.3997,1384.0276,1384.4781,1383.2297,1382.9321,1384.6111
Technicians and Trades Workers-Part time,187.37045,197.98375,198.39752,198.6163,198.42441,209.54176,209.81389,209.87943,209.47104,221.09009,221.22266,221.12099
Clerical and Administrative Workers-Full time-Females,623.5444,623.43304,623.41644,623.6015,623.66113,623.57947,623.5616,623.74994,623.8,623.7141,623.69727,623.89545
Clerical and Administrative Workers-Full time-Males,197.5551,192.74576,191.47998,194.66641,197.64517,192.8593,191.59431,194.78175,197.75374,192.96646,191.70236,194.89326
Clerical and Administrative Workers-Part time-Females,435.55594,437.8067,440.16562,442.52554,444.93018,447.1926,449.55408,451.91287,454.29852,456.58215,458.94247,461.29272
Clerical and Administrative Workers-Part time-Males,26.08055,28.114058,27.5753,27.195923,27.11838,29.16607,28.627527,28.251808,28.153036,30.220821,29.680332,29.303484
Community and Personal Service Workers-Full time-Females,243.86855,245.03183,246.47534,248.14319,249.75075,250.93619,252.37967,254.0542,255.62675,256.82794,258.2766,259.94754
Community and Personal Service Workers-Full time-Males,187.10782,186.77171,186.71446,186.93497,187.06557,186.73686,186.67786,186.91971,187.02179,186.6932,186.63794,186.88918
Community and Personal Service Workers-Part time-Females,347.18353,363.25638,362.81042,369.33514,357.61624,373.69385,373.2487,379.7715,368.04092,384.13477,383.6871,390.206
Community and Personal Service Workers-Part time-Males,87.46606,88.34536,89.25845,89.95439,90.81234,91.7184,92.63151,93.31335,94.156364,95.09939,96.00957,96.67655
Labourers-Full time-Females,159.32896,159.44458,159.54208,159.23653,159.18762,159.33313,159.43163,159.07764,159.01848,159.22374,159.3204,158.9134
Labourers-Full time-Males,492.62564,488.54602,478.3598,485.20062,492.50366,488.44955,478.26212,485.0546,492.35532,488.35568,478.16434,484.9048
Labourers-Part time-Females,247.331,250.94746,246.37347,253.00418,247.16225,250.8088,246.23666,252.84067,246.99117,250.68135,246.10547,252.67989
Labourers-Part time-Males,232.93079,234.83578,236.68802,238.12196,239.82544,241.7589,243.614,245.01657,246.71323,248.69336,250.54442,251.91185
Machinery Operators and Drivers-Full time-Females,41.456917,41.151512,40.97066,41.093624,41.05336,40.784416,40.618057,40.772797,40.722404,40.471333,40.317715,40.502827
Machinery Operators and Drivers-Full time-Males,565.151,564.9818,564.92084,565.20416,565.2837,565.12244,565.0606,565.36554,565.43225,565.2523,565.1917,565.5218
Machinery Operators and Drivers-Part time-Females,25.939476,25.90587,25.919027,25.864122,25.876606,25.857609,25.871237,25.813555,25.810917,25.810823,25.823317,25.761135
Machinery Operators and Drivers-Part time-Males,66.75434,66.98742,67.25648,67.45397,67.71169,67.94055,68.19062,68.36479,68.58727,68.818115,69.047325,69.196655
Managers-Full time-Females,352.67047,345.83502,352.4841,368.7292,366.96255,359.74228,366.51538,383.2417,381.25623,373.63324,380.53653,397.74997
Managers-Full time-Males,812.05115,811.95844,811.9778,812.149,812.20966,812.1513,812.1668,812.31976,812.37103,812.32916,812.3464,812.4839
Managers-Part time-Females,96.60808,96.61203,96.61824,96.65009,96.6558,96.66399,96.67001,96.69338,96.698006,96.71111,96.716415,96.72939
Managers-Part time-Males,52.64016,52.59253,52.595745,52.66079,52.690174,52.65388,52.656963,52.709663,52.727154,52.70638,52.709366,52.74714
Professionals-Full time-Females,687.9765,691.7155,695.8249,700.4871,704.90295,708.6448,712.751,717.45294,721.83905,725.56036,729.66907,734.41187
Professionals-Full time-Males,882.8255,885.88666,889.3238,893.3109,897.05817,900.1222,903.5551,907.582,911.2958,914.34106,917.77905,921.84375
Professionals-Part time-Females,351.0415,373.06863,377.96454,378.42935,365.02237,387.07617,391.96954,392.43143,378.99826,401.0786,405.9721,406.43466
Professionals-Part time-Males,108.15565,125.23391,124.76915,119.09924,111.722786,129.35603,128.8398,122.949554,115.280525,133.47392,132.90778,126.79967
Sales Workers-Full time-Females,310.682,306.9032,301.7201,311.9603,310.69568,306.93405,301.74936,311.97568,310.68372,306.94662,301.7664,311.96866
Sales Workers-Full time-Males,396.49286,390.8785,386.85287,392.13068,396.51675,390.89926,386.87097,392.1472,396.5149,390.89694,386.8741,392.141
Sales Workers-Part time-Females,462.82092,473.6563,471.61298,477.4629,473.3854,484.22223,482.17963,488.03793,483.9298,494.78036,492.74124,498.59302
Sales Workers-Part time-Males,152.70567,159.14534,158.07254,160.67813,158.07462,164.52992,163.45764,166.06328,163.42484,169.90887,168.84055,171.43054
Technicians and Trades Workers-Full time-Females,137.6622,137.12617,136.96799,137.73929,137.97424,137.4285,137.26357,138.075,138.2905,137.68684,137.53448,138.37141
Technicians and Trades Workers-Full time-Males,1245.6017,1245.0018,1244.85,1245.6287,1245.8933,1245.2926,1245.1361,1245.9526,1246.1876,1245.5428,1245.3977,1246.2396
Technicians and Trades Workers-Part time-Females,82.828186,83.82019,84.96129,86.31709,87.57745,88.574646,89.71546,91.07922,92.31902,93.32363,94.46573,95.82821
Technicians and Trades Workers-Part time-Males,104.54226,114.16356,113.436226,112.29921,110.84696,120.96712,120.09843,118.8002,117.15202,127.766464,126.756935,125.29278
