,0,1,2,3,4,5,6,7,8,9,10,11
Aggregated,10830.445,10919.141,10911.728,10988.533,10991.38,11083.107,11074.833,11150.65,11151.297,11246.687,11236.41,11312.967
Clerical and Administrative Workers,1297.1443,1295.0452,1294.9357,1300.1738,1309.7336,1307.562,1307.4097,1312.6089,1321.885,1319.9991,1319.5563,1325.0554
Community and Personal Service Workers,997.1741,1025.5605,1021.6102,1032.9646,1028.7347,1057.4395,1053.1797,1064.5714,1060.2764,1089.6228,1084.8313,1096.35
Labourers,1153.7327,1155.9412,1150.9474,1160.9275,1160.8801,1163.3142,1158.2969,1168.3308,1168.0863,1170.6625,1165.387,1175.7441
Machinery Operators and Drivers,673.6328,674.16284,674.4098,675.19244,675.6404,676.3173,676.3765,677.2204,677.7858,678.3292,678.16064,679.19635
Managers,1441.113,1439.6144,1448.6248,1465.7328,1469.7861,1468.5897,1478.0907,1494.6855,1498.162,1498.0322,1507.4491,1523.8906
Professionals,2319.2104,2360.2688,2369.8242,2382.1086,2378.6487,2420.125,2429.3384,2441.7524,2437.9138,2479.8274,2489.1472,2501.4976
Sales Workers,1366.1368,1379.0135,1367.269,1386.4626,1377.0513,1390.2583,1378.3024,1397.1698,1387.5492,1400.9814,1388.7314,1407.7428
Technicians and Trades Workers,1582.3013,1589.5344,1584.1072,1584.9696,1590.9059,1599.502,1593.8378,1594.3114,1599.6389,1609.2316,1603.148,1603.4889
Clerical and Administrative Workers-Full time,799.81305,793.0388,790.7384,793.2587,799.7255,792.84906,790.5454,793.04,799.18695,792.6649,790.114,792.90894
Clerical and Administrative Workers-Part time,497.33115,502.0064,504.1972,506.91513,510.00806,514.71295,516.8643,519.5689,522.6981,527.33417,529.4422,532.1465
Community and Personal Service Workers-Full time,483.00897,482.31183,483.0025,488.96124,495.33167,494.50256,495.25702,501.1309,507.55414,506.74316,507.1314,513.28723
Community and Personal Service Workers-Part time,514.16516,543.2487,538.60767,544.00336,533.4031,562.9368,557.92267,563.44055,552.72217,582.8796,577.6998,583.0627
