,0,1,2,3,4,5,6,7,8,9,10,11
Aggregated,11397.89,11476.577,11507.236,11558.14,11560.206,11654.65,11673.466,11710.118,11723.073,11819.641,11843.208,11873.881
Clerical and Administrative Workers,1360.4553,1356.5702,1364.839,1361.9807,1361.2356,1361.0089,1364.4203,1367.509,1366.8987,1371.0591,1372.1526,1376.0159
Community and Personal Service Workers,1096.4888,1119.2021,1119.8875,1126.5347,1133.7183,1145.2024,1150.4791,1157.5549,1165.3955,1174.2958,1181.0928,1188.4724
Labourers,1149.8243,1152.3717,1153.4803,1155.2451,1156.7612,1158.1859,1159.5386,1160.8628,1162.1779,1163.5038,1164.8125,1166.1138
Machinery Operators and Drivers,760.3075,759.6892,759.4851,763.4099,764.8481,765.266,765.6823,766.0961,766.513,766.93207,767.3485,767.76245
Managers,1435.8618,1441.7676,1449.3701,1455.5833,1457.5024,1470.0005,1476.684,1478.18,1483.5481,1494.2389,1502.4099,1504.552
Professionals,2538.308,2586.5579,2596.281,2615.859,2606.3762,2671.8926,2669.7537,2677.8484,2675.9905,2743.6296,2745.519,2746.3774
Sales Workers,1386.2659,1386.9622,1388.4043,1402.0092,1400.2101,1401.5128,1403.2931,1416.4187,1414.869,1416.2747,1418.1345,1430.8103
Technicians and Trades Workers,1670.3782,1673.4563,1675.4899,1677.5208,1679.5548,1681.5813,1683.6144,1685.6475,1687.6802,1689.7057,1691.7396,1693.7749
Clerical and Administrative Workers-Full time,856.5445,847.8041,852.4575,846.6527,843.3176,840.68744,841.80585,842.6594,839.83954,841.8062,840.7167,842.40393
Clerical and Administrative Workers-Part time,503.91083,508.7662,512.3816,515.32794,517.918,520.3214,522.6144,524.8497,527.05914,529.25287,531.436,533.6119
Community and Personal Service Workers-Full time,516.3904,521.685,524.60114,527.52563,530.4442,533.3635,536.28284,539.19836,542.1189,545.037,547.95966,550.8755
Community and Personal Service Workers-Part time,580.0984,597.5171,595.28625,599.009,603.2741,611.83887,614.1963,618.3566,623.2766,629.2588,633.13306,637.5969
Labourers-Full time,648.61334,649.84235,649.64246,650.1024,650.3179,650.42004,650.468,650.49115,650.5017,650.5068,650.50964,650.51135
Labourers-Part time,501.21106,502.52933,503.8379,505.14267,506.44333,507.76587,509.07047,510.37158,511.67618,512.997,514.3029,515.6025
Machinery Operators and Drivers-Full time,660.322,659.2884,658.6688,662.17847,663.20166,663.20435,663.2053,663.2029,663.2048,663.20825,663.20953,663.2076
Machinery Operators and Drivers-Part time,99.98546,100.40082,100.8163,101.23145,101.64641,102.061676,102.47699,102.89326,103.30826,103.72384,104.13901,104.55485
Managers-Full time,1259.9629,1265.2646,1271.2087,1276.917,1282.7129,1288.4757,1294.2502,1300.0195,1305.7921,1311.5632,1317.3351,1323.1057
Managers-Part time,175.8989,176.50302,178.16139,178.66621,174.78947,181.52478,182.43369,178.16046,177.756,182.67572,185.07484,181.44626
Professionals-Full time,1968.1533,1962.0745,1971.1035,2001.8918,2011.436,2021.324,2034.2712,2048.5767,2062.26,2075.1987,2087.4067,2098.7405
Professionals-Part time,570.1548,624.4834,625.1776,613.96704,594.9402,650.5686,635.4823,629.2716,613.73047,668.431,658.1122,647.63696
Sales Workers-Full time,700.94055,698.636,696.8334,706.9321,701.63916,699.4446,697.72797,707.3537,702.3078,700.2162,698.57874,707.7559
Sales Workers-Part time,685.3253,688.3261,691.57086,695.07697,698.57086,702.06824,705.5651,709.06494,712.5612,716.05835,719.5557,723.05444
Technicians and Trades Workers-Full time,1432.2567,1433.3059,1433.3079,1433.3087,1433.3093,1433.3085,1433.3093,1433.3097,1433.31,1433.3082,1433.3103,1433.3119
Technicians and Trades Workers-Part time,238.12152,240.15039,242.18207,244.21204,246.24542,248.27286,250.30507,252.33783,254.37012,256.3975,258.4293,260.46307
Clerical and Administrative Workers-Full time-Females,657.2812,648.5409,653.19525,647.3901,644.0573,641.42645,642.5467,643.4013,640.5837,642.54926,641.46173,643.1496
Clerical and Administrative Workers-Full time-Males,199.2633,199.26321,199.26227,199.2626,199.26028,199.26097,199.25917,199.25815,199.25586,199.25696,199.25496,199.25435
Clerical and Administrative Workers-Part time-Females,467.45215,471.99677,475.3023,477.94186,480.22125,482.31366,484.29742,486.22498,488.12424,490.0073,491.88074,493.7484
Clerical and Administrative Workers-Part time-Males,36.45868,36.769444,37.079273,37.386097,37.696774,38.007763,38.31696,38.624695,38.934887,39.24556,39.555218,39.863476
Community and Personal Service Workers-Full time-Females,290.0929,294.28607,296.09747,297.907,299.71783,301.53174,303.34253,305.15225,306.96347,308.77768,310.59067,312.39902
Community and Personal Service Workers-Full time-Males,226.29749,227.39894,228.50368,229.61862,230.72636,231.8318,232.94034,234.04614,235.15544,236.25932,237.36899,238.47644
Community and Personal Service Workers-Part time-Females,456.80154,468.0115,469.03455,473.59848,475.03116,480.41153,483.4205,487.25186,490.35605,494.37903,497.84955,501.51138
Community and Personal Service Workers-Part time-Males,123.296875,129.5056,126.251724,125.41047,128.24295,131.42734,130.77577,131.10477,132.9206,134.87975,135.28351,136.08554
Labourers-Full time-Females,151.24579,150.41487,149.24367,149.24358,149.24434,149.24452,149.24551,149.24638,149.24759,149.24748,149.24916,149.25082
Labourers-Full time-Males,497.36755,499.4275,500.3988,500.85886,501.07355,501.17554,501.22247,501.24478,501.25415,501.25928,501.2605,501.26056
Labourers-Part time-Females,255.34592,255.34798,255.35066,255.35115,255.35349,255.35397,255.35593,255.35728,255.35876,255.35913,255.36076,255.36208
Labourers-Part time-Males,245.86513,247.18135,248.48721,249.79152,251.08984,252.4119,253.71454,255.0143,256.3174,257.63788,258.94214,260.2404
Machinery Operators and Drivers-Full time-Females,46.30667,47.13947,48.40441,45.30767,46.330227,46.330486,46.330566,46.33011,46.330708,46.331036,46.33128,46.331078
Machinery Operators and Drivers-Full time-Males,614.0154,612.1489,610.2644,616.8708,616.87146,616.87384,616.87476,616.87274,616.8741,616.8772,616.87823,616.8765
Machinery Operators and Drivers-Part time-Females,22.475658,22.475883,22.47602,22.475828,22.475315,22.475037,22.47491,22.476349,22.475302,22.475105,22.474571,22.475252
Machinery Operators and Drivers-Part time-Males,77.5098,77.924934,78.34028,78.75562,79.17109,79.58664,80.00208,80.41691,80.832954,81.24873,81.66444,82.0796
Managers-Full time-Females,389.0991,391.7763,394.4536,397.13074,399.80798,402.48526,405.16232,407.83972,410.5168,413.19373,415.87094,418.54813
Managers-Full time-Males,870.86383,873.4883,876.7551,879.78625,882.90497,885.9904,889.08795,892.17975,895.27527,898.36945,901.4641,904.5576
Managers-Part time-Females,110.17104,110.17169,110.1696,110.16999,110.170235,110.171265,110.171104,110.169876,110.17112,110.171524,110.17184,110.170746
Managers-Part time-Males,65.72785,66.33132,67.99179,68.49622,64.61924,71.35352,72.26257,67.99058,67.58488,72.50419,74.90301,71.275505
Professionals-Full time-Females,883.36993,885.1663,889.3405,897.8747,904.30853,909.3079,915.58514,922.1941,928.15405,934.123,940.3774,946.5604
Professionals-Full time-Males,1084.7833,1076.9082,1081.763,1104.0171,1107.1276,1112.0161,1118.686,1126.3827,1134.106,1141.0758,1147.0293,1152.18
Professionals-Part time-Females,435.0012,466.18195,468.65488,463.98618,453.8841,490.63776,482.37073,477.24597,465.94058,499.85336,497.0629,492.1707
Professionals-Part time-Males,135.15358,158.30145,156.5227,149.98085,141.05609,159.93083,153.11157,152.02563,147.7899,168.57765,161.04929,155.4663
Sales Workers-Full time-Females,315.48904,313.18488,311.38174,321.4806,316.1878,313.9931,312.27664,321.9028,316.85745,314.76514,313.1286,322.3068
Sales Workers-Full time-Males,385.45148,385.45108,385.45163,385.45154,385.4514,385.45148,385.45132,385.4509,385.45035,385.45105,385.45013,385.44913
Sales Workers-Part time-Females,509.47476,511.22778,513.2257,515.48376,517.7304,519.9816,522.2314,524.4824,526.7319,528.9827,531.2328,533.48334
Sales Workers-Part time-Males,175.85057,177.09834,178.34517,179.59322,180.84045,182.08658,183.33374,184.58252,185.82933,187.07564,188.32294,189.5711
Technicians and Trades Workers-Full time-Females,129.02316,130.07368,130.0744,130.07399,130.07436,130.07405,130.074,130.07309,130.0729,130.07242,130.07253,130.07199
Technicians and Trades Workers-Full time-Males,1303.2335,1303.2322,1303.2334,1303.2347,1303.235,1303.2344,1303.2354,1303.2366,1303.2372,1303.2358,1303.2378,1303.2399
Technicians and Trades Workers-Part time-Females,101.150444,101.93583,102.72317,103.50948,104.299034,105.08242,105.870636,106.65883,107.447,108.22999,109.01793,109.807274
Technicians and Trades Workers-Part time-Males,136.97107,138.21457,139.4589,140.70256,141.94638,143.19044,144.43443,145.679,146.92313,148.1675,149.41136,150.65579
