,0,1,2,3,4,5,6,7,8,9,10,11
Aggregated,11397.751,11475.285,11505.228,11557.85,11559.528,11652.885,11671.6045,11708.728,11721.491,11817.236,11840.591,11871.761
Clerical and Administrative Workers,1360.1232,1356.1606,1364.306,1361.6237,1360.8212,1360.4598,1363.8461,1366.9783,1366.3533,1370.4171,1371.4749,1375.3877
Community and Personal Service Workers,1097.273,1119.745,1120.2793,1127.287,1134.3514,1145.7263,1150.9785,1158.1133,1165.9366,1174.8032,1181.5769,1188.9971
Labourers,1149.3113,1151.7451,1152.8031,1154.7981,1156.2156,1157.5304,1158.844,1160.2632,1161.5178,1162.7466,1163.9736,1165.3624
Machinery Operators and Drivers,760.3365,759.62866,759.3912,763.3952,764.85156,765.1569,765.5583,766.03674,766.4165,766.76056,767.14417,767.66125
Managers,1435.4039,1441.1973,1448.7191,1455.0645,1456.9331,1469.2206,1475.8986,1477.4207,1482.7585,1493.2697,1501.4142,1503.5864
Professionals,2538.6143,2586.608,2596.123,2616.1467,2606.5498,2671.8926,2669.7256,2677.9111,2676.0405,2743.5625,2745.4438,2746.4312
Sales Workers,1385.8206,1386.417,1387.823,1401.5363,1399.7794,1401.0132,1402.7976,1415.9536,1414.431,1415.7426,1417.6028,1430.2781
Technicians and Trades Workers,1670.8674,1673.7827,1675.7814,1677.9995,1680.0245,1681.8845,1683.9567,1686.0519,1688.0371,1689.9353,1691.9626,1694.0553
Clerical and Administrative Workers-Full time,857.0301,848.2736,852.8872,847.1582,843.78735,841.11926,842.24744,843.091,840.2796,842.2523,841.1618,842.83636
Clerical and Administrative Workers-Part time,503.09308,507.88702,511.41873,514.46545,517.0337,519.34064,521.59863,523.8874,526.0737,528.16473,530.3131,532.5513
Community and Personal Service Workers-Full time,516.8772,522.00867,524.8451,527.90375,530.76843,533.61975,536.53815,539.4651,542.385,545.24286,548.16223,551.0867
Community and Personal Service Workers-Part time,580.39575,597.7363,595.4342,599.38324,603.583,612.10657,614.4403,618.64825,623.55176,629.56036,633.4147,637.9104
Labourers-Full time,648.1938,649.31683,649.08453,649.7149,649.8632,649.9044,649.95825,650.02466,650.00446,649.9911,649.9769,650.0202
Labourers-Part time,501.11746,502.4283,503.71857,505.0832,506.35236,507.62604,508.8857,510.23853,511.51328,512.75543,513.9967,515.34216
Machinery Operators and Drivers-Full time,660.8033,659.6789,659.0309,662.6258,663.64795,663.5549,663.54926,663.5929,663.583,663.49524,663.46875,663.5101
Machinery Operators and Drivers-Part time,99.533195,99.94977,100.36029,100.76943,101.20361,101.60201,102.00899,102.44383,102.83344,103.26534,103.67542,104.151184
Managers-Full time,1259.5636,1264.8601,1270.7769,1276.543,1282.3162,1287.987,1293.7666,1299.5242,1305.283,1310.9498,1316.7227,1322.4941
Managers-Part time,175.8404,176.33713,177.94226,178.5214,174.61694,181.23358,182.13205,177.8964,177.47552,182.31989,184.69156,181.09235
Professionals-Full time,1968.6752,1962.4592,1971.3762,2002.469,2011.9329,2021.7097,2034.6404,2049.004,2062.657,2075.5083,2087.7354,2099.1687
Professionals-Part time,569.9391,624.1486,624.7467,613.6778,594.6169,650.1829,635.0851,628.9073,613.38336,668.0541,657.7086,647.2626
Sales Workers-Full time,700.8009,698.4603,696.6368,706.7523,701.46875,699.25073,697.5414,707.18036,702.14307,700.02454,698.3932,707.5597
Sales Workers-Part time,685.01965,687.9567,691.18616,694.78394,698.31067,701.7624,705.2562,708.7732,712.28796,715.71814,719.2096,722.71826
Technicians and Trades Workers-Full time,1432.5997,1433.6082,1433.6158,1433.6305,1433.6431,1433.6462,1433.6729,1433.6558,1433.6517,1433.6792,1433.6765,1433.6831
Technicians and Trades Workers-Part time,238.2677,240.17459,242.16553,244.36902,246.38155,248.23824,250.28381,252.39604,254.3854,256.2561,258.28604,260.37213
Clerical and Administrative Workers-Full time-Females,657.4833,648.74744,653.3808,647.5841,644.2297,641.55664,642.6802,643.53455,640.7139,642.6899,641.59686,643.25916
Clerical and Administrative Workers-Full time-Males,199.54681,199.52617,199.50638,199.57408,199.55766,199.5626,199.56723,199.55644,199.56566,199.56244,199.56493,199.57721
Clerical and Administrative Workers-Part time-Females,467.08636,471.5855,474.81927,477.46182,479.75165,481.79166,483.7445,485.693,487.5927,489.4078,491.2457,493.14087
Clerical and Administrative Workers-Part time-Males,36.006702,36.301525,36.599445,37.003613,37.282055,37.549007,37.85414,38.194378,38.48099,38.7569,39.06742,39.41038
Community and Personal Service Workers-Full time-Females,290.2648,294.42273,296.18854,298.06485,299.84558,301.6225,303.42358,305.23898,307.03986,308.81284,310.6194,312.43698
Community and Personal Service Workers-Full time-Males,226.61243,227.58592,228.65654,229.8389,230.92285,231.99728,233.11455,234.22607,235.34512,236.43004,237.54288,238.64967
Community and Personal Service Workers-Part time-Females,457.0971,468.27988,469.2727,473.9827,475.3814,480.71732,483.7317,487.60992,490.70563,494.67688,498.15845,501.87253
Community and Personal Service Workers-Part time-Males,123.298615,129.45647,126.16153,125.40053,128.20157,131.38925,130.70862,131.03831,132.8461,134.88348,135.2562,136.03789
Labourers-Full time-Females,151.29297,150.38332,149.20813,149.2788,149.24951,149.2073,149.21576,149.24832,149.23259,149.1926,149.18013,149.21048
Labourers-Full time-Males,496.90082,498.93353,499.8764,500.43613,500.6137,500.69714,500.74246,500.77634,500.77185,500.79846,500.79678,500.80972
Labourers-Part time-Females,255.41374,255.43478,255.44424,255.44759,255.45784,255.45352,255.44354,255.43973,255.43863,255.40137,255.37117,255.37547
Labourers-Part time-Males,245.70372,246.99353,248.27432,249.6356,250.89452,252.1725,253.44217,254.79881,256.07465,257.35406,258.62552,259.9667
Machinery Operators and Drivers-Full time-Females,46.559822,47.35316,48.610985,45.554077,46.579987,46.53484,46.53485,46.575188,46.563873,46.509933,46.500607,46.543053
Machinery Operators and Drivers-Full time-Males,614.24347,612.32574,610.4199,617.0717,617.068,617.02,617.0144,617.0177,617.01917,616.9853,616.96814,616.96704
Machinery Operators and Drivers-Part time-Females,22.147577,22.108772,22.096567,22.143572,22.161686,22.104662,22.09934,22.134232,22.114294,22.085518,22.081438,22.154335
Machinery Operators and Drivers-Part time-Males,77.38562,77.840996,78.263725,78.62586,79.04192,79.49735,79.909645,80.3096,80.71915,81.179825,81.59399,81.99685
Managers-Full time-Females,389.05573,391.71802,394.3879,397.0999,399.7674,402.3855,405.0692,407.73886,410.41553,413.04007,415.71875,418.40472
Managers-Full time-Males,870.5079,873.1421,876.389,879.44305,882.5488,885.6015,888.6973,891.78534,894.86743,897.9097,901.0039,904.0895
Managers-Part time-Females,109.95337,109.82494,109.78809,109.89839,109.87071,109.75978,109.75701,109.80038,109.773544,109.6801,109.666245,109.695335
Managers-Part time-Males,65.88702,66.51218,68.15416,68.623,64.74623,71.47381,72.375046,68.09602,67.70197,72.639786,75.02531,71.39702
Professionals-Full time-Females,883.47217,885.2106,889.3282,897.99976,904.4139,909.3525,915.6103,922.2303,928.183,934.1249,940.38684,946.6297
Professionals-Full time-Males,1085.203,1077.2487,1082.0481,1104.4692,1107.519,1112.3572,1119.0302,1126.7737,1134.474,1141.3834,1147.3484,1152.5391
Professionals-Part time-Females,434.97513,466.05222,468.457,463.91,453.7839,490.4774,482.20966,477.10007,465.81067,499.68185,496.8826,492.00977
Professionals-Part time-Males,134.96399,158.09639,156.28967,149.76778,140.83298,159.70552,152.8754,151.8072,147.57268,168.37222,160.82605,155.25279
Sales Workers-Full time-Females,315.45782,313.1395,311.33676,321.4248,316.1418,313.94034,312.2325,321.83716,316.80093,314.70648,313.0754,322.23688
Sales Workers-Full time-Males,385.34308,385.3208,385.30002,385.32755,385.32697,385.3104,385.3089,385.3432,385.34213,385.31805,385.3178,385.32278
Sales Workers-Part time-Females,509.2418,510.89505,512.86804,515.2374,517.5073,519.6886,521.943,524.2202,526.486,528.6718,530.91064,533.18585
Sales Workers-Part time-Males,175.7779,177.06168,178.31808,179.54652,180.80338,182.0738,183.31326,184.55296,185.80193,187.04631,188.29893,189.53242
Technicians and Trades Workers-Full time-Females,129.1453,130.17729,130.20024,130.17667,130.18933,130.20033,130.21713,130.19572,130.20364,130.2505,130.23572,130.24689
Technicians and Trades Workers-Full time-Males,1303.4545,1303.4309,1303.4156,1303.4539,1303.4537,1303.4459,1303.4557,1303.4601,1303.4481,1303.4287,1303.4408,1303.4362
Technicians and Trades Workers-Part time-Females,101.09877,101.81919,102.5841,103.43008,104.22269,104.901566,105.70155,106.52339,107.30302,107.99779,108.78778,109.6019
Technicians and Trades Workers-Part time-Males,137.16893,138.3554,139.58142,140.93893,142.15886,143.33667,144.58226,145.87265,147.08238,148.2583,149.49826,150.77022
