,0,1,2,3,4,5,6,7,8,9,10,11
Aggregated,11404.759,11475.523,11504.362,11561.399,11564.292,11652.0205,11671.092,11710.576,11723.923,11814.37,11838.028,11871.513
Clerical and Administrative Workers,1361.7382,1356.5292,1364.4747,1362.6337,1362.0275,1360.6818,1364.1328,1367.6726,1367.121,1370.2306,1371.3373,1375.6702
Community and Personal Service Workers,1098.5874,1122.8223,1123.9705,1129.2523,1136.2579,1149.0615,1154.2811,1160.8285,1168.597,1178.7771,1185.5452,1192.2844
Labourers,1149.1111,1151.108,1152.1162,1154.2799,1155.8411,1156.8185,1158.1842,1159.6857,1161.0259,1161.9645,1163.2782,1164.7214
Machinery Operators and Drivers,762.5594,761.8367,761.6543,765.6388,767.07837,767.4282,767.8579,768.3098,768.7358,769.13293,769.56067,769.9919
Managers,1433.7415,1438.93,1446.3461,1453.0503,1455.048,1466.9806,1473.6743,1475.3689,1480.7567,1490.8955,1499.0631,1501.4523
Professionals,2539.2234,2583.8838,2592.6963,2615.261,2606.184,2668.51,2666.4917,2675.979,2674.309,2739.0269,2740.955,2743.214
Sales Workers,1386.2402,1388.0771,1389.8403,1402.4166,1400.4736,1402.8551,1404.5966,1417.246,1415.637,1418.02,1419.87,1432.0612
Technicians and Trades Workers,1673.5586,1672.3357,1673.2643,1678.8673,1681.3799,1679.6859,1681.873,1685.4865,1687.7385,1686.3226,1688.4178,1692.1177
Clerical and Administrative Workers-Full time,858.7453,848.4647,852.7687,848.12744,844.9641,841.0237,842.1853,843.6005,840.8578,841.642,840.56396,842.7845
Clerical and Administrative Workers-Part time,502.99295,508.0644,511.706,514.50616,517.06335,519.6582,521.9475,524.072,526.2632,528.58856,530.7733,532.88574
Community and Personal Service Workers-Full time,517.18805,522.4825,525.4276,528.29926,531.21387,534.1418,537.0586,539.9812,542.9005,545.8499,548.7665,551.6605
Community and Personal Service Workers-Part time,581.39935,600.33984,598.54285,600.95306,605.044,614.9197,617.22253,620.8472,625.6966,632.9271,636.7786,640.6239
Labourers-Full time,646.90295,647.35004,646.9364,648.1003,648.39996,647.8025,647.8786,648.1989,648.25085,647.6002,647.61554,647.9248
Labourers-Part time,502.20807,503.75803,505.1798,506.1797,507.4411,509.01596,510.3056,511.48676,512.77496,514.36426,515.66266,516.79663
Machinery Operators and Drivers-Full time,662.57605,661.2871,660.647,664.32574,665.37354,665.17395,665.18665,665.28204,665.2995,665.1595,665.1669,665.23395
Machinery Operators and Drivers-Part time,99.98332,100.54956,101.00734,101.31306,101.7048,102.25424,102.671265,103.0278,103.43628,103.973465,104.39381,104.75792
Managers-Full time,1258.6737,1263.388,1269.1748,1275.3167,1281.1754,1286.4696,1292.2579,1298.1953,1303.9877,1309.3062,1315.0806,1321.0627
Managers-Part time,175.0677,175.54211,177.17133,177.73361,173.87251,180.51093,181.41638,177.17352,176.76904,181.58936,183.98256,180.38953
Professionals-Full time,1968.8613,1960.3352,1968.7594,2001.5713,2011.3993,2019.1035,2032.129,2047.3926,2061.2085,2072.1782,2084.4087,2096.6768
Professionals-Part time,570.36206,623.5486,623.937,613.6897,594.7848,649.4065,634.3629,628.58636,613.1006,666.84875,656.5465,646.53735
Sales Workers-Full time,699.89166,697.95105,696.2419,705.97314,700.64233,698.7979,697.0585,706.5116,701.44336,699.65393,698.00415,707.0156
Sales Workers-Part time,686.34863,690.1261,693.5984,696.4435,699.8312,704.05725,707.5382,710.7344,714.19354,718.3661,721.8659,725.04553
Technicians and Trades Workers-Full time,1436.0284,1433.7188,1432.894,1435.6052,1435.9791,1433.1085,1433.2253,1434.4434,1434.6119,1431.991,1432.0369,1433.2954
Technicians and Trades Workers-Part time,237.53018,238.61697,240.37015,243.26213,245.4007,246.5774,248.64764,251.04317,253.12659,254.33173,256.38098,258.8223
Clerical and Administrative Workers-Full time-Females,659.19434,649.4894,653.92786,648.84174,645.6136,642.1642,643.31,644.5129,641.7415,642.97125,641.8892,643.90656
Clerical and Administrative Workers-Full time-Males,199.55095,198.97537,198.84079,199.28572,199.35052,198.85947,198.8753,199.08765,199.11624,198.67079,198.67477,198.87793
Clerical and Administrative Workers-Part time-Females,466.64,471.38898,474.73386,477.21234,479.4663,481.74005,483.71738,485.5417,487.4253,489.45874,491.33093,493.12167
Clerical and Administrative Workers-Part time-Males,36.352924,36.675415,36.972134,37.29381,37.597076,37.91812,38.230145,38.53034,38.837894,39.129807,39.44238,39.7641
Community and Personal Service Workers-Full time-Females,290.2912,294.33093,296.10953,298.04004,299.86758,301.54892,303.3666,305.23654,307.05707,308.7539,310.5682,312.43503
Community and Personal Service Workers-Full time-Males,226.89685,228.15154,229.31805,230.25922,231.34627,232.59288,233.692,234.74466,235.84346,237.09602,238.19827,239.22546
Community and Personal Service Workers-Part time-Females,457.56653,469.87598,471.20352,474.82642,476.13254,482.46167,485.43155,488.86963,491.92044,496.83194,500.28625,503.51056
Community and Personal Service Workers-Part time-Males,123.83284,130.46387,127.33931,126.126656,128.91145,132.45802,131.79102,131.97762,133.77614,136.09521,136.49237,137.11331
Labourers-Full time-Females,149.9454,148.85774,147.60039,147.85243,147.88028,147.64171,147.65096,147.75107,147.76378,147.5255,147.52971,147.64377
Labourers-Full time-Males,496.95752,498.4923,499.33603,500.24786,500.51968,500.16077,500.22763,500.44785,500.48706,500.07474,500.08585,500.28107
Labourers-Part time-Females,256.41504,256.31396,256.31744,256.35175,256.35358,256.2928,256.2923,256.31738,256.32117,256.28497,256.28427,256.28116
Labourers-Part time-Males,245.79303,247.44406,248.86237,249.82793,251.08751,252.72318,254.0133,255.16937,256.4538,258.07928,259.3784,260.51544
Machinery Operators and Drivers-Full time-Females,46.624245,47.3397,48.58752,45.586624,46.62279,46.522312,46.529057,46.575397,46.584354,46.510365,46.514324,46.55358
