,0,1,2,3,4,5,6,7,8,9,10,11
Aggregated,11386.252,11464.286,11494.677,11545.697,11547.758,11641.565,11660.302,11696.926,11709.829,11805.786,11829.228,11859.897
Clerical and Administrative Workers,1359.9276,1356.0326,1364.2988,1361.449,1360.7063,1360.472,1363.8861,1366.9768,1366.3666,1370.5194,1371.6156,1375.4803
Community and Personal Service Workers,1096.5588,1119.2622,1119.9445,1126.5867,1133.7689,1145.2393,1150.5122,1157.5881,1165.424,1174.3115,1181.1018,1188.4817
Labourers,1147.6594,1150.103,1151.1653,1152.8933,1154.4119,1155.6829,1157.0195,1158.3468,1159.659,1160.8435,1162.108,1163.4052
Machinery Operators and Drivers,760.1371,759.51715,759.31354,763.24005,764.67773,765.093,765.50836,765.9237,766.33905,766.7544,767.16974,767.5851
Managers,1433.2452,1439.0278,1446.5841,1452.8392,1454.7585,1467.1481,1473.8207,1475.3147,1480.6735,1491.2573,1499.412,1501.5597
Professionals,2537.6296,2585.8872,2595.6094,2615.185,2605.7007,2671.2212,2669.0798,2677.1746,2675.3152,2742.9626,2744.8499,2745.707
Sales Workers,1380.4865,1380.7687,1382.042,1395.7542,1393.9521,1394.8967,1396.6304,1409.7257,1408.1444,1409.2013,1411.0022,1423.6788
Technicians and Trades Workers,1670.6069,1673.6882,1675.7195,1677.7507,1679.782,1681.8131,1683.8444,1685.8756,1687.9069,1689.9381,1691.9692,1694.0005
Clerical and Administrative Workers-Full time,856.713,847.9684,852.6196,846.8197,843.4855,840.85254,841.9723,842.82446,840.0062,841.96704,840.8801,842.5664
Clerical and Administrative Workers-Part time,503.2147,508.06418,511.6793,514.6293,517.2209,519.61945,521.9139,524.1523,526.3605,528.55237,530.7355,532.9139
Community and Personal Service Workers-Full time,516.8391,522.1357,525.0524,527.96924,530.88605,533.80286,536.7196,539.6364,542.5532,545.47,548.38684,551.3036
Community and Personal Service Workers-Part time,579.71967,597.12646,594.892,598.6175,602.88293,611.43634,613.79266,617.95166,622.8708,628.84155,632.7149,637.1782
Labourers-Full time,647.7107,648.93915,648.7374,649.1986,649.4153,649.48395,649.5269,649.54663,649.5542,649.50415,649.49854,649.50116
Labourers-Part time,499.94867,501.16394,502.42786,503.69464,504.99658,506.19897,507.49258,508.8001,510.10483,511.33936,512.6095,513.904
Machinery Operators and Drivers-Full time,660.45636,659.4211,658.8021,662.3133,663.33563,663.33563,663.33563,663.33563,663.33563,663.33563,663.33563,663.33563
Machinery Operators and Drivers-Part time,99.68074,100.09608,100.51141,100.92676,101.342094,101.75743,102.172775,102.58811,103.00345,103.418785,103.83413,104.249466
Managers-Full time,1257.9169,1263.0958,1268.9926,1274.7428,1280.5394,1286.1964,1291.9608,1297.7252,1303.4907,1309.1577,1314.9143,1320.6884
Managers-Part time,175.32837,175.93199,177.59161,178.0965,174.21909,180.95166,181.85995,177.58955,177.1828,182.09964,184.49771,180.8714
Professionals-Full time,1968.0935,1962.0225,1971.0525,2001.8384,2011.3823,2021.2761,2034.2219,2048.5261,2062.2092,2075.1577,2087.365,2098.6963
Professionals-Part time,569.536,623.86475,624.5569,613.3466,594.31836,649.9452,634.85803,628.6484,613.1059,667.805,657.4849,647.0106
Sales Workers-Full time,698.8614,696.3988,694.5279,704.64557,699.3467,697.0109,695.2688,704.8783,699.8124,697.5865,695.92017,705.09375
Sales Workers-Part time,681.6251,684.3699,687.51404,691.1086,694.60547,697.8858,701.3616,704.8474,708.332,711.61487,715.08203,718.585
Technicians and Trades Workers-Full time,1432.8966,1433.9468,1433.9468,1433.9468,1433.9468,1433.9468,1433.9468,1433.9468,1433.9468,1433.9468,1433.9468,1433.9468
Technicians and Trades Workers-Part time,237.71028,239.74152,241.77274,243.80396,245.83514,247.86636,249.89761,251.92883,253.96005,255.99124,258.02246,260.0537
Clerical and Administrative Workers-Full time-Females,657.5635,648.81885,653.4701,647.67017,644.33594,641.70306,642.82275,643.6749,640.85675,642.8175,641.73065,643.41693
Clerical and Administrative Workers-Full time-Males,199.1495,199.1495,199.1495,199.1495,199.1495,199.1495,199.1495,199.1495,199.1495,199.1495,199.1495,199.1495
Clerical and Administrative Workers-Part time-Females,466.9638,471.50378,474.8094,477.44986,479.73196,481.82098,483.8059,485.7348,487.63348,489.51587,491.3895,493.2584
Clerical and Administrative Workers-Part time-Males,36.250874,36.560387,36.8699,37.179417,37.48893,37.79844,38.107952,38.417465,38.72698,39.036488,39.346004,39.655514
Community and Personal Service Workers-Full time-Females,290.29892,294.4899,296.30112,298.11234,299.92358,301.7348,303.54602,305.35724,307.16846,308.97968,310.79092,312.6021
Community and Personal Service Workers-Full time-Males,226.54018,227.64577,228.75133,229.85692,230.96246,232.06804,233.17361,234.27919,235.38477,236.49033,237.59592,238.70148
Community and Personal Service Workers-Part time-Females,457.03607,468.24734,469.274,473.8339,475.26645,480.6463,483.65515,487.4866,490.58987,494.6122,498.0825,501.7443
Community and Personal Service Workers-Part time-Males,122.6836,128.8791,125.61806,124.7836,127.6165,130.79005,130.13751,130.46507,132.28093,134.22935,134.63242,135.4339
Labourers-Full time-Females,150.85379,150.02164,148.84723,148.84918,148.84918,148.81548,148.8101,148.8071,148.80386,148.74876,148.74072,148.74223
Labourers-Full time-Males,496.8569,498.9175,499.8902,500.3494,500.56613,500.6685,500.7168,500.73956,500.75037,500.7554,500.75784,500.75894
Labourers-Part time-Females,254.19165,254.10121,254.05942,254.0205,254.01674,253.91342,253.90132,253.90314,253.9021,253.83093,253.79533,253.78413
Labourers-Part time-Males,245.75702,247.06271,248.36844,249.67416,250.97986,252.28557,253.59126,254.89699,256.20273,257.50842,258.81415,260.11984
