,0,1,2,3,4,5,6,7,8,9,10,11
Aggregated,11405.704,11466.671,11457.2,11532.764,11555.631,11617.383,11607.584,11683.096,11705.564,11768.024,11757.903,11833.381
Clerical and Administrative Workers,1349.3195,1356.6396,1352.2255,1355.697,1359.7068,1367.0203,1362.613,1366.082,1370.1022,1377.4088,1373.0023,1376.4774
Community and Personal Service Workers,1068.2288,1102.0079,1098.5718,1112.0753,1097.8484,1132.3909,1128.6794,1142.1238,1127.4568,1162.7643,1158.7751,1172.1636
Labourers,1156.8086,1148.8474,1145.8591,1151.6991,1162.4506,1154.4935,1151.5027,1157.34,1168.1295,1160.1508,1157.1584,1162.9995
Machinery Operators and Drivers,777.55176,778.0845,778.5226,779.00586,779.4091,779.9442,780.3708,780.8672,781.2821,781.79956,782.23114,782.73114
Managers,1441.9346,1442.9332,1449.133,1461.3438,1464.998,1466.0165,1472.2162,1484.4512,1488.1327,1489.1414,1495.3341,1507.5955
Professionals,2541.9812,2579.192,2589.9773,2599.3943,2606.259,2643.4932,2654.2876,2663.6965,2670.5508,2707.814,2718.6145,2728.0222
Sales Workers,1385.1362,1385.1527,1383.0084,1398.2167,1395.3308,1395.3246,1393.1323,1408.3176,1405.38,1405.3494,1403.1179,1418.2784
Technicians and Trades Workers,1684.7445,1673.8137,1659.9004,1675.332,1689.6262,1678.7015,1664.7809,1680.2179,1694.5321,1683.5967,1669.671,1685.1138
Clerical and Administrative Workers-Full time,854.87195,846.8377,844.72675,848.2061,854.8081,846.77374,844.6639,848.13715,854.74805,846.71106,844.6039,848.0758
Clerical and Administrative Workers-Part time,494.44748,509.80203,507.49872,507.49088,504.89868,520.2465,517.94916,517.9449,515.354,530.6977,528.39844,528.40155
Community and Personal Service Workers-Full time,498.8714,497.581,500.8507,512.82074,510.5092,509.21167,512.4883,524.4538,522.1422,520.83887,524.1157,536.08325
Community and Personal Service Workers-Part time,569.3573,604.427,597.721,599.2545,587.3392,623.1792,616.1911,617.67004,605.3145,641.9254,634.6595,636.0803
Labourers-Full time,653.9418,644.5442,640.13245,644.55615,653.8776,644.48,640.0663,644.4885,653.8346,644.42004,640.0035,644.4288
Labourers-Part time,502.86676,504.30316,505.72665,507.1429,508.57297,510.01355,511.43646,512.85144,514.29486,515.7307,517.155,518.57074
Machinery Operators and Drivers-Full time,676.97876,677.0513,677.0446,677.062,677.00464,677.0934,677.084,677.1023,677.04474,677.14136,677.14355,677.16113
Machinery Operators and Drivers-Part time,100.573006,101.03323,101.477936,101.943825,102.404465,102.8508,103.286835,103.7649,104.237335,104.65822,105.087585,105.56996
Managers-Full time,1262.8885,1263.9136,1270.1267,1282.4243,1286.0708,1287.0925,1293.2964,1305.6016,1309.2677,1310.2705,1316.4645,1328.7855
Managers-Part time,179.04602,179.01964,179.00627,178.91943,178.92719,178.9239,178.91972,178.84955,178.86502,178.87079,178.86964,178.8099
Professionals-Full time,1959.3508,1961.15,1964.1309,1982.5557,2004.5139,2006.3281,2009.3121,2027.7332,2049.6882,2051.517,2054.5044,2072.923
Professionals-Part time,582.6304,618.0418,625.8464,616.8385,601.7453,637.165,644.9755,635.9634,620.8626,656.2969,664.11005,655.09906
Sales Workers-Full time,703.8976,701.2977,696.5454,709.2362,703.83813,701.2512,696.4927,709.18713,703.7821,701.1979,696.43616,709.13257
Sales Workers-Part time,681.23865,683.855,686.4631,688.98035,691.4927,694.07336,696.6395,699.13043,701.59784,704.15137,706.68164,709.1459
Technicians and Trades Workers-Full time,1447.8401,1435.6373,1420.4598,1434.7042,1447.8113,1435.6293,1420.4501,1434.6958,1447.8026,1435.6344,1420.4515,1434.6948
Technicians and Trades Workers-Part time,236.90445,238.17647,239.44046,240.62782,241.81488,243.07222,244.33078,245.5221,246.72952,247.96237,249.21947,250.41895
Clerical and Administrative Workers-Full time-Females,650.59875,650.54016,650.5228,650.5379,650.56384,650.5044,650.48834,650.49646,650.5358,650.46625,650.4517,650.4603
Clerical and Administrative Workers-Full time-Males,204.2732,196.29755,194.20393,197.66821,204.2443,196.26935,194.17555,197.64069,204.21219,196.2448,194.15215,197.6155
Clerical and Administrative Workers-Part time-Females,458.77158,470.90454,469.81378,469.92355,467.93118,480.05463,478.96518,479.08,477.09442,489.21124,488.12192,488.24313
Clerical and Administrative Workers-Part time-Males,35.67589,38.897495,37.684948,37.56732,36.96751,40.19187,38.98396,38.8649,38.259605,41.486423,40.276505,40.158394
Community and Personal Service Workers-Full time-Females,281.1879,279.05292,281.39465,292.3872,289.07104,286.92377,289.26834,300.26068,296.94357,294.79086,297.13773,308.13214
Community and Personal Service Workers-Full time-Males,217.68352,218.52809,219.45607,220.43352,221.43814,222.2879,223.21996,224.19313,225.19861,226.04803,226.97803,227.95111
Community and Personal Service Workers-Part time-Females,447.67227,476.6305,470.8182,472.4822,461.28995,491.0153,484.92126,486.52893,474.89902,505.39578,499.01807,500.56845
Community and Personal Service Workers-Part time-Males,121.68502,127.7965,126.90281,126.7723,126.04922,132.1639,131.26985,131.14111,130.41548,136.52963,135.6414,135.51189
Labourers-Full time-Females,147.98997,148.00461,148.0174,147.99486,147.95534,147.96852,147.98022,147.95769,147.93443,147.93285,147.94237,147.92174
Labourers-Full time-Males,505.9518,496.53958,492.11508,496.56128,505.9223,496.51147,492.08603,496.53085,505.90018,496.4872,492.06113,496.50702
Labourers-Part time-Females,255.161,255.2175,255.22334,255.16571,255.12177,255.1894,255.19417,255.1377,255.09453,255.16904,255.17075,255.11737
Labourers-Part time-Males,247.70578,249.08568,250.50331,251.9772,253.4512,254.82416,256.2423,257.71375,259.20035,260.56165,261.9843,263.45337
Machinery Operators and Drivers-Full time-Females,47.99906,48.05631,48.060913,48.06009,48.017853,48.087982,48.089138,48.09066,48.042828,48.120514,48.122307,48.126892
Machinery Operators and Drivers-Full time-Males,628.9797,628.99493,628.9837,629.0019,628.9868,629.0054,628.9949,629.01166,629.0019,629.0209,629.02124,629.03424
Machinery Operators and Drivers-Part time-Females,22.382872,22.385218,22.393368,22.395376,22.391893,22.388218,22.392225,22.401377,22.404118,22.388012,22.384405,22.39927
Machinery Operators and Drivers-Part time-Males,78.19013,78.64802,79.08457,79.54845,80.01257,80.462585,80.89461,81.363525,81.83322,82.2702,82.70318,83.17069
Managers-Full time-Females,387.64755,385.49863,388.52335,397.64758,398.0984,395.94254,398.9587,408.08752,408.55417,406.38995,409.39877,418.5392
Managers-Full time-Males,875.241,878.4149,881.60333,884.7767,887.9724,891.14996,894.33765,897.5141,900.71356,903.88055,907.0657,910.24634
Managers-Part time-Females,115.32877,115.31895,115.29745,115.2512,115.22446,115.230705,115.22064,115.18428,115.162605,115.17466,115.16886,115.13808
Managers-Part time-Males,63.717255,63.700695,63.708824,63.668236,63.702736,63.6932,63.69908,63.66527,63.702423,63.69612,63.700787,63.671825
Professionals-Full time-Females,875.82495,881.57996,887.3629,893.1972,899.0726,904.8367,910.61584,916.4545,922.32526,928.09827,933.8799,939.7178
Professionals-Full time-Males,1083.5259,1079.5701,1076.768,1089.3584,1105.4414,1101.4915,1098.6963,1111.2787,1127.363,1123.4188,1120.6246,1133.2053
Professionals-Part time-Females,441.21393,462.98276,471.3965,464.9997,455.0855,476.86185,485.27643,478.88013,468.96072,490.7433,499.15698,492.76086
Professionals-Part time-Males,141.41641,155.05904,154.44987,151.83879,146.65977,160.30312,159.69908,157.08325,151.90189,165.55362,164.95308,162.3382
