,0,1,2,3,4,5,6,7,8,9,10,11
Aggregated,11954.246,12001.705,12045.456,12074.018,12102.384,12173.612,12219.626,12252.149,12277.357,12347.611,12394.939,12431.258
Clerical and Administrative Workers,1337.2299,1348.6097,1347.227,1349.8835,1353.0228,1355.1764,1354.8851,1357.8364,1362.07,1364.71,1364.8201,1367.2955
Community and Personal Service Workers,1246.7394,1240.1625,1255.4746,1261.3611,1262.5747,1265.2196,1272.0741,1277.5813,1281.8871,1286.4401,1292.1589,1297.5707
Labourers,1137.4976,1134.145,1136.0709,1137.6741,1139.1216,1139.8809,1141.1355,1142.496,1144.0841,1144.964,1146.1791,1147.486
Machinery Operators and Drivers,737.6447,737.36127,735.0665,736.55304,736.6578,737.26,737.68256,738.29297,738.90594,739.34064,739.85565,740.4072
Managers,1549.605,1558.1741,1564.9719,1571.3848,1580.6406,1588.5704,1597.0017,1605.7972,1613.7692,1621.8721,1630.0105,1638.0743
Professionals,2742.5127,2779.7244,2795.8315,2795.8396,2801.1404,2848.5972,2867.213,2870.0342,2867.104,2911.0383,2932.2253,2940.4749
Sales Workers,1457.5042,1454.6941,1454.3735,1457.8142,1461.4462,1464.4487,1468.0428,1471.7264,1475.6488,1478.949,1482.552,1486.2157
Technicians and Trades Workers,1745.5142,1748.8328,1756.4385,1763.5078,1767.781,1774.4575,1781.5918,1788.3848,1793.8864,1800.2972,1807.138,1813.7336
Clerical and Administrative Workers-Full time,828.3209,835.63806,831.2339,831.49335,832.5707,832.8422,830.7654,831.98303,834.5107,835.4597,833.8869,834.6836
Clerical and Administrative Workers-Part time,508.909,512.9717,515.99316,518.39026,520.45215,522.33417,524.11975,525.8534,527.5593,529.25024,530.9332,532.61194
Community and Personal Service Workers-Full time,562.5366,561.1581,563.4993,559.469,561.6598,561.39734,561.8949,561.0355,561.48804,561.44775,561.56146,561.3812
Community and Personal Service Workers-Part time,684.2027,679.0043,691.97534,701.8921,700.9149,703.8224,710.1792,716.5458,720.39905,724.9923,730.59753,736.1895
Labourers-Full time,627.1021,622.4331,623.0424,623.329,623.45996,622.9028,622.8409,622.88477,623.1564,622.7197,622.6183,622.6086
Labourers-Part time,510.3954,511.7119,513.02844,514.34503,515.66156,516.9781,518.2946,519.6112,520.92773,522.24426,523.5608,524.8774
Machinery Operators and Drivers-Full time,624.4418,623.72314,620.88367,621.8169,621.3692,621.4181,621.27747,621.33746,621.4105,621.2668,621.21655,621.21484
Machinery Operators and Drivers-Part time,113.202965,113.63817,114.182846,114.736115,115.28856,115.84192,116.405106,116.95553,117.49542,118.07385,118.639114,119.19238
Managers-Full time,1346.7871,1354.1581,1360.3274,1367.0989,1373.6792,1380.1174,1386.6895,1393.3328,1400.0228,1406.5161,1413.1361,1419.7656
Managers-Part time,202.81787,204.01605,204.6445,204.28587,206.96143,208.45294,210.31226,212.46443,213.7464,215.35596,216.87447,218.30878
Professionals-Full time,2030.012,2032.8369,2049.1975,2058.8455,2069.41,2079.8633,2091.0771,2102.1838,2113.4302,2123.929,2134.8323,2145.8381
Professionals-Part time,712.5006,746.8876,746.63416,736.99414,731.73035,768.7341,776.13586,767.85046,753.6741,787.10944,797.39307,794.63666
Sales Workers-Full time,728.0417,726.54443,726.5779,726.9944,727.5908,727.89325,728.51953,729.1915,729.9791,730.4895,731.1372,731.8098
Sales Workers-Part time,729.46246,728.14954,727.7957,730.8199,733.8553,736.5556,739.52344,742.5349,745.66974,748.45953,751.4147,754.4058
Technicians and Trades Workers-Full time,1497.9008,1498.0259,1502.558,1507.1234,1511.6467,1515.6274,1520.0787,1524.646,1529.5071,1533.5173,1537.9336,1542.4467
Technicians and Trades Workers-Part time,247.61343,250.80685,253.88043,256.3844,256.1343,258.83014,261.51306,263.7387,264.37924,266.7799,269.20422,271.28693
Clerical and Administrative Workers-Full time-Females,616.15814,619.99316,618.6501,619.1681,619.11707,618.6863,618.6214,618.6564,618.8557,618.5378,618.46576,618.459
Clerical and Administrative Workers-Full time-Males,212.16281,215.64488,212.58377,212.32527,213.45364,214.15594,212.14395,213.32669,215.65498,216.92197,215.42116,216.22462
Clerical and Administrative Workers-Part time-Females,468.5187,472.4009,475.11954,477.21375,478.97278,480.55194,482.03464,483.46542,484.8685,486.2566,487.6367,489.01254
Clerical and Administrative Workers-Part time-Males,40.3903,40.570786,40.87365,41.176506,41.47937,41.78223,42.085087,42.38795,42.690807,42.99367,43.29653,43.59939
Community and Personal Service Workers-Full time-Females,326.29852,326.34305,326.36703,326.37445,326.37827,326.43158,326.43826,326.4342,326.4235,326.4501,326.4598,326.46075
Community and Personal Service Workers-Full time-Males,236.2381,234.81503,237.1323,233.09453,235.2815,234.96576,235.45662,234.6013,235.06456,234.99768,235.10167,234.92047
Community and Personal Service Workers-Part time-Females,526.6086,522.3001,529.69257,537.2156,536.7974,538.25507,543.1897,548.1451,550.59595,553.74365,557.9233,562.09546
Community and Personal Service Workers-Part time-Males,157.5941,156.70418,162.28275,164.67653,164.11746,165.5673,166.98947,168.40068,169.80312,171.24864,172.67426,174.09404
Labourers-Full time-Females,126.673706,128.40657,129.0096,129.25018,129.36143,129.07748,129.04922,129.07266,129.20993,128.9891,128.9375,128.93256
Labourers-Full time-Males,500.4284,494.02655,494.03284,494.07883,494.0985,493.8253,493.79166,493.81213,493.94647,493.73062,493.6808,493.67603
Labourers-Part time-Females,239.66685,239.66685,239.66685,239.66685,239.66685,239.66685,239.66685,239.66685,239.66685,239.66685,239.66685,239.66685
Labourers-Part time-Males,270.72855,272.04507,273.3616,274.67816,275.9947,277.31125,278.62778,279.94434,281.26086,282.57742,283.89395,285.2105
Machinery Operators and Drivers-Full time-Females,56.090527,55.371864,52.5324,53.46564,53.017918,53.158436,53.028217,53.081924,53.085114,53.036144,53.001076,53.00085
Machinery Operators and Drivers-Full time-Males,568.35126,568.35126,568.35126,568.35126,568.35126,568.25964,568.24927,568.25555,568.32544,568.23065,568.21545,568.214
Machinery Operators and Drivers-Part time-Females,21.176104,21.175932,21.173449,21.173925,21.17412,21.18359,21.191965,21.19088,21.181986,21.201601,21.211353,21.212349
Machinery Operators and Drivers-Part time-Males,92.02686,92.462234,93.0094,93.56219,94.11444,94.65833,95.21314,95.76465,96.31344,96.87225,97.42776,97.980034
Managers-Full time-Females,437.68698,440.59256,443.76358,446.9668,450.177,453.23102,456.40137,459.61697,462.86917,465.9903,469.20786,472.4255
Managers-Full time-Males,909.1001,913.56555,916.5638,920.13214,923.50226,926.8864,930.288,933.71576,937.1537,940.52576,943.9283,947.3401
Managers-Part time-Females,130.51309,131.39359,131.47852,130.54736,132.64407,133.60095,134.87474,136.44139,137.13785,138.16188,139.09486,139.94365
Managers-Part time-Males,72.30479,72.62246,73.16599,73.73851,74.31736,74.852,75.43752,76.02304,76.60856,77.19408,77.7796,78.36513
Professionals-Full time-Females,939.0549,938.86285,944.90814,950.99774,957.1077,962.7959,968.8047,974.8609,981.0416,986.8659,992.8604,998.8946
Professionals-Full time-Males,1090.9572,1093.9741,1104.2894,1107.8477,1112.3021,1117.0674,1122.2725,1127.3229,1132.3885,1137.063,1141.9719,1146.9435
Professionals-Part time-Females,534.8889,559.34485,563.88074,556.66046,547.40295,572.506,577.616,570.905,562.09924,587.6031,593.06854,586.673
Professionals-Part time-Males,177.61171,187.54272,182.75345,180.33368,184.32738,196.22809,198.51987,196.94542,191.57481,199.50636,204.3245,207.96368
