,0,1,2,3,4,5,6,7,8,9,10,11
Aggregated,11911.766,11985.919,11986.113,12056.658,12094.05,12167.869,12167.419,12238.224,12276.1045,12349.606,12348.506,12419.572
Clerical and Administrative Workers,1325.9844,1326.653,1327.3088,1327.9624,1328.5952,1329.2424,1329.8794,1330.5035,1331.1123,1331.7394,1332.3584,1332.9585
Community and Personal Service Workers,1231.7063,1257.0822,1257.9775,1269.6157,1265.9523,1291.3206,1292.2158,1303.8552,1300.1904,1325.5637,1326.463,1338.0968
Labourers,1131.5117,1122.9336,1118.0072,1125.9829,1137.0388,1128.4597,1123.532,1131.5127,1142.568,1133.9877,1129.0621,1137.0415
Machinery Operators and Drivers,734.59985,735.17084,735.7435,736.3208,736.9015,737.4732,738.0472,738.6258,739.2032,739.7784,740.3535,740.9292
Managers,1544.9312,1552.7977,1560.6729,1568.5457,1576.3944,1584.2284,1592.0715,1599.9158,1607.7357,1615.5385,1623.3514,1631.174
Professionals,2739.5852,2786.904,2792.595,2797.5234,2811.1592,2858.3147,2863.5286,2868.587,2882.7288,2929.7202,2934.4626,2939.6387
Sales Workers,1452.4407,1453.1313,1453.4805,1468.7367,1465.4155,1466.1051,1466.4557,1481.71,1478.3889,1479.0778,1479.4272,1494.6852
Technicians and Trades Workers,1751.0055,1751.2466,1740.3289,1761.9702,1772.592,1772.7246,1761.6881,1783.5138,1794.177,1794.2002,1783.0272,1805.0466
Clerical and Administrative Workers-Full time,822.31537,822.6065,822.88965,823.17285,823.4459,823.7143,823.97864,824.2325,824.4817,824.72925,824.97424,825.20483
Clerical and Administrative Workers-Part time,503.66895,504.0465,504.4191,504.7896,505.1493,505.52808,505.90085,506.271,506.6306,507.01007,507.3841,507.75372
Community and Personal Service Workers-Full time,559.10846,555.1096,558.5362,570.5779,571.53986,567.53625,570.96326,583.0054,583.96643,579.96643,583.3973,595.43427
Community and Personal Service Workers-Part time,672.5979,701.97253,699.4413,699.03796,694.41235,723.78436,721.25256,720.8499,716.22394,745.59717,743.06573,742.66254
Labourers-Full time,619.79504,609.82733,603.5081,610.1061,619.7787,609.8103,603.489,610.09216,619.7674,609.7991,603.4766,610.0827
Labourers-Part time,511.7167,513.1062,514.4991,515.87683,517.26013,518.6495,520.04285,521.4205,522.80066,524.18866,525.5856,526.95886
Machinery Operators and Drivers-Full time,620.626,620.6233,620.6228,620.6218,620.6239,620.6219,620.6212,620.62195,620.6236,620.62317,620.6224,620.62396
Machinery Operators and Drivers-Part time,113.97389,114.54756,115.1207,115.699005,116.27759,116.85134,117.42595,118.00383,118.57959,119.15518,119.731125,120.305275
Managers-Full time,1348.3242,1355.1703,1362.0247,1368.8728,1375.7177,1382.5632,1389.4175,1396.2678,1403.1152,1409.9581,1416.8097,1423.667
Managers-Part time,196.60696,197.62741,198.64825,199.67282,200.67679,201.66516,202.65402,203.64796,204.62039,205.58032,206.5418,207.50696
Professionals-Full time,2048.417,2055.0593,2050.7793,2066.657,2096.2812,2102.7573,2098.0059,2114.01,2144.1394,2150.4546,2145.232,2161.353
Professionals-Part time,691.168,731.8446,741.81555,730.86646,714.87805,755.5571,765.5226,754.5769,738.58923,779.2656,789.23083,778.28564
Sales Workers-Full time,731.4529,728.9011,726.0011,738.0099,731.4471,728.8949,725.995,738.0044,731.4415,728.8888,725.9888,737.9996
Sales Workers-Part time,720.98773,724.23016,727.4794,730.72687,733.9685,737.2102,740.4607,743.70557,746.94745,750.18896,753.4385,756.68555
Technicians and Trades Workers-Full time,1506.1166,1498.2059,1487.8354,1511.7101,1522.537,1514.519,1504.0286,1528.0846,1538.9575,1530.829,1520.2092,1544.4586
Technicians and Trades Workers-Part time,244.88885,253.04065,252.49341,250.2601,250.0551,258.2055,257.6596,255.42926,255.21945,263.37115,262.81796,260.588
Clerical and Administrative Workers-Full time-Females,616.9509,616.9509,616.95026,616.9509,616.9503,616.95026,616.95087,616.9491,616.9483,616.9483,616.9488,616.9468
Clerical and Administrative Workers-Full time-Males,205.36446,205.65558,205.93939,206.22195,206.49562,206.76405,207.02774,207.2834,207.53336,207.78094,208.02542,208.25807
Clerical and Administrative Workers-Part time-Females,463.2928,463.30267,463.30756,463.3089,463.29996,463.3103,463.31488,463.31598,463.30685,463.31732,463.3224,463.32278
Clerical and Administrative Workers-Part time-Males,40.376167,40.74382,41.11153,41.480705,41.84935,42.21777,42.585968,42.95502,43.323746,43.692738,44.06171,44.43094
Community and Personal Service Workers-Full time-Females,325.5823,320.54156,322.92557,333.91617,333.83658,328.79605,331.1805,342.17145,342.09094,337.05182,339.4375,350.42804
Community and Personal Service Workers-Full time-Males,233.52617,234.56804,235.61061,236.66173,237.70326,238.74023,239.78271,240.83391,241.87547,242.91464,243.95978,245.00621
Community and Personal Service Workers-Part time-Females,521.55225,543.5697,540.4227,540.1114,535.8883,557.9035,554.75635,554.4453,550.2218,572.2381,569.0906,568.779
Community and Personal Service Workers-Part time-Males,151.04567,158.40282,159.01859,158.92657,158.52403,165.88084,166.49622,166.4046,166.00214,173.3591,173.97517,173.88356
Labourers-Full time-Females,128.72244,128.72237,128.72473,128.71933,128.71823,128.7182,128.71866,128.71806,128.71976,128.7198,128.71867,128.72124
Labourers-Full time-Males,491.07263,481.10495,474.7834,481.38675,491.06042,481.0921,474.7704,481.3741,491.04764,481.07928,474.75797,481.36148
Labourers-Part time-Females,240.28409,240.28401,240.28572,240.27986,240.27637,240.27618,240.27817,240.27171,240.26718,240.26564,240.26959,240.2627
Labourers-Part time-Males,271.43262,272.8222,274.21335,275.597,276.9838,278.3733,279.7647,281.14874,282.53348,283.923,285.31595,286.69614
Machinery Operators and Drivers-Full time-Females,53.215904,53.215878,53.21668,53.216133,53.216885,53.21691,53.216522,53.217487,53.218758,53.218792,53.217945,53.219475
Machinery Operators and Drivers-Full time-Males,567.4101,567.4074,567.4061,567.4057,567.40704,567.40497,567.40466,567.4045,567.40485,567.40436,567.4044,567.4045
Machinery Operators and Drivers-Part time-Females,21.511559,21.509333,21.508034,21.507599,21.508965,21.50679,21.506521,21.506445,21.506638,21.50639,21.506325,21.506132
Machinery Operators and Drivers-Part time-Males,92.46233,93.03823,93.61266,94.19141,94.76862,95.34455,95.919426,96.49738,97.07295,97.64879,98.2248,98.79914
Managers-Full time-Females,438.55228,442.06418,445.57993,449.08228,452.58936,456.10104,459.61673,463.1212,466.63083,470.14096,473.6547,477.16434
Managers-Full time-Males,909.772,913.10614,916.4447,919.7906,923.1283,926.46216,929.8007,933.1466,936.4844,939.81714,943.15497,946.5027
