,0,1,2,3,4,5,6,7,8,9,10,11
Aggregated,11942.126,11992.012,12000.638,12062.618,12110.266,12157.435,12185.54,12229.47,12268.802,12319.89,12351.025,12389.069
Clerical and Administrative Workers,1337.7432,1342.6741,1339.171,1345.497,1353.0048,1352.4733,1352.835,1353.9734,1362.0614,1362.8958,1365.2404,1368.0776
Community and Personal Service Workers,1241.532,1240.9595,1248.5686,1261.9194,1269.7559,1273.8286,1283.9381,1292.9753,1297.9216,1304.1185,1311.4565,1319.4105
Labourers,1132.7397,1130.7477,1129.4896,1142.5276,1141.522,1136.8898,1140.9799,1146.3666,1147.1501,1146.4548,1147.5282,1149.2217
Machinery Operators and Drivers,745.08276,751.04156,745.64545,743.62573,744.432,748.1479,750.8052,750.5523,749.372,749.30585,751.17163,753.11847
Managers,1544.7098,1548.6777,1556.9559,1560.8699,1567.777,1572.3418,1575.9276,1583.8612,1589.7609,1594.4193,1600.9055,1605.6885
Professionals,2746.3079,2776.7341,2783.9338,2799.3872,2817.343,2852.577,2856.2932,2871.6814,2882.6262,2918.195,2925.8076,2936.5017
Sales Workers,1456.9673,1460.7616,1459.8483,1467.0071,1470.127,1473.8884,1477.1887,1480.9507,1485.333,1489.1902,1493.033,1497.5729
Technicians and Trades Workers,1737.0432,1740.4144,1737.0231,1741.7839,1746.3044,1747.288,1747.5742,1749.1079,1754.5765,1755.3107,1755.8834,1759.4784
Clerical and Administrative Workers-Full time,830.5957,830.0941,825.45264,828.09454,831.8151,831.05835,828.79926,829.72034,833.6038,833.01874,830.94055,832.1056
Clerical and Administrative Workers-Part time,507.14755,512.5799,513.71826,517.4024,521.1896,521.41486,524.0357,524.25305,528.4576,529.87695,534.29987,535.97205
Community and Personal Service Workers-Full time,560.42725,555.9197,555.5842,559.7124,564.3555,565.6798,567.97925,570.6805,573.90576,576.30707,579.0178,582.0387
Community and Personal Service Workers-Part time,681.1048,685.0398,692.9844,702.20703,705.4003,708.14886,715.959,722.29486,724.0158,727.8114,732.43866,737.3718
Labourers-Full time,618.5987,613.88965,611.464,622.17584,619.2341,613.2241,615.77014,619.88293,618.5674,616.57336,616.1074,615.841
Labourers-Part time,514.14105,516.85803,518.02563,520.3517,522.28796,523.66565,525.2097,526.4836,528.58276,529.88153,531.4208,533.38074
