,0,1,2,3,4,5,6,7,8,9,10,11
Aggregated,11924.959,11974.027,11981.09,12040.519,12088.239,12134.317,12160.58,12206.248,12245.051,12293.211,12322.969,12360.849
Clerical and Administrative Workers,1336.9553,1342.2988,1337.8114,1343.8926,1351.5363,1350.5817,1350.6375,1351.6696,1359.947,1360.1748,1362.2318,1365.1892
Community and Personal Service Workers,1241.3062,1239.4993,1246.5051,1259.8458,1267.9967,1271.2811,1281.2306,1290.7958,1295.888,1301.4336,1308.6116,1316.5203
Labourers,1124.0704,1122.6886,1121.4084,1134.1768,1133.1427,1128.9934,1132.6755,1138.2197,1138.8489,1138.4446,1139.4148,1140.9242
Machinery Operators and Drivers,741.39307,747.8879,742.0967,739.7645,740.6553,744.4104,746.9642,746.3076,745.40356,745.2212,746.88525,748.99457
Managers,1538.556,1542.0925,1550.2798,1554.1991,1560.5646,1564.7092,1568.4087,1576.8219,1582.513,1586.6055,1592.8829,1597.6655
Professionals,2745.8386,2775.2563,2782.5852,2797.2505,2815.1045,2850.7314,2853.668,2869.7373,2879.945,2915.2764,2922.558,2933.0056
Sales Workers,1452.4786,1456.3746,1454.5167,1461.3633,1464.7227,1468.2499,1471.0627,1475.003,1479.4174,1482.6909,1486.0795,1490.6151
Technicians and Trades Workers,1744.3602,1747.9285,1745.8862,1750.026,1754.5159,1755.3605,1755.9307,1757.6936,1763.0873,1763.3635,1764.303,1767.9333
Clerical and Administrative Workers-Full time,833.63824,833.58765,828.3448,830.86505,834.6771,833.81006,831.45825,832.2859,836.3187,835.5126,833.41254,834.668
Clerical and Administrative Workers-Part time,503.31702,508.71112,509.46667,513.0275,516.8591,516.77167,519.17914,519.38367,523.6283,524.6622,528.8192,530.5212
Community and Personal Service Workers-Full time,561.82794,556.8926,555.89435,560.58777,565.6394,566.5659,568.78345,571.8486,575.47906,577.54407,580.16,583.327
Community and Personal Service Workers-Part time,679.47833,682.60675,690.6108,699.25793,702.3573,704.7152,712.44714,718.94714,720.4089,723.8895,728.4516,733.1931
Labourers-Full time,613.01184,608.6113,605.80963,616.38617,613.66003,608.0499,610.233,614.5619,613.35925,611.5389,610.7892,610.4842
Labourers-Part time,511.0586,514.0773,515.59875,517.7905,519.48267,520.9435,522.4426,523.6578,525.4896,526.90564,528.62555,530.44006
Machinery Operators and Drivers-Full time,630.23456,632.5724,626.73914,623.4614,623.7444,626.84576,628.79266,627.675,626.09906,625.2974,626.2785,627.72906
Machinery Operators and Drivers-Part time,111.15849,115.31549,115.35751,116.303116,116.910866,117.56459,118.17146,118.63266,119.3045,119.92372,120.606705,121.26549
Managers-Full time,1337.6967,1344.6188,1348.1483,1354.2594,1359.3188,1364.1229,1369.276,1374.006,1379.3159,1384.1528,1389.332,1394.397
Managers-Part time,200.85939,197.47379,202.13138,199.93973,201.24567,200.58632,199.13275,202.81601,203.19705,202.45258,203.55093,203.26855
Professionals-Full time,2029.8433,2028.9753,2036.6196,2047.9619,2073.5515,2078.1855,2078.0454,2095.008,2111.8833,2116.314,2119.7676,2131.3877
Professionals-Part time,715.99536,746.281,745.9655,749.28864,741.553,772.5458,775.62256,774.72925,768.06177,798.96246,802.7905,801.618
Sales Workers-Full time,731.92584,732.1554,727.9147,730.2041,729.73914,729.81555,729.04565,729.31165,729.68506,729.50854,729.21094,729.79016
Sales Workers-Part time,720.55286,724.21924,726.60205,731.1591,734.98364,738.43427,742.017,745.6914,749.7323,753.1824,756.8685,760.825
Technicians and Trades Workers-Full time,1503.6337,1503.3937,1499.5613,1502.748,1505.6486,1504.4926,1503.4788,1504.641,1507.8557,1506.8232,1506.1877,1508.1757
Technicians and Trades Workers-Part time,240.7265,244.53485,246.32506,247.278,248.8674,250.86792,252.45192,253.05258,255.23166,256.54034,258.11523,259.7577
Clerical and Administrative Workers-Full time-Females,622.32086,622.64923,621.36176,622.37714,622.45685,622.26996,622.3434,622.28033,622.6307,622.52673,622.6631,622.8353
Clerical and Administrative Workers-Full time-Males,211.31737,210.93839,206.98302,208.48792,212.2203,211.5401,209.11488,210.00557,213.68808,212.98584,210.74945,211.83272
Clerical and Administrative Workers-Part time-Females,464.2593,468.30554,470.7424,473.34488,475.44196,477.2522,479.20917,481.0184,483.02515,484.7818,486.71207,488.65598
Clerical and Administrative Workers-Part time-Males,39.057713,40.40559,38.724274,39.68263,41.41712,39.519447,39.969986,38.365242,40.603176,39.880363,42.10713,41.865192
Community and Personal Service Workers-Full time-Females,328.30295,323.01416,320.1757,326.75336,329.3502,329.67545,330.72388,333.53113,335.70016,337.05206,338.75302,340.94214
Community and Personal Service Workers-Full time-Males,233.52498,233.8784,235.71867,233.83438,236.28925,236.89047,238.05956,238.31746,239.77892,240.49199,241.40694,242.38492
Community and Personal Service Workers-Part time-Females,523.2295,524.33875,528.2518,535.8736,538.8339,539.2894,545.4964,551.07135,551.23444,553.4077,556.8085,560.2786
Community and Personal Service Workers-Part time-Males,156.24884,158.26799,162.35902,163.38437,163.52335,165.42581,166.95078,167.87581,169.17445,170.48181,171.64313,172.9145
Labourers-Full time-Females,124.14701,127.52573,130.66692,129.9219,129.94588,129.34967,129.06436,128.38602,128.37773,127.82611,127.64577,127.47147
Labourers-Full time-Males,488.86484,481.0856,475.1427,486.46426,483.71417,478.70023,481.1686,486.1759,484.9815,483.71277,483.14343,483.01273
Labourers-Part time-Females,240.62822,240.84314,240.77542,241.0158,241.02246,241.04585,241.00444,240.8416,240.91576,240.9029,240.96336,241.06752
Labourers-Part time-Males,270.43036,273.2341,274.82336,276.77472,278.46024,279.89764,281.43817,282.81616,284.57385,286.00278,287.6622,289.37253
Machinery Operators and Drivers-Full time-Females,53.502544,53.56028,52.844696,53.35671,53.412598,53.351494,53.309803,53.240227,53.480755,53.45704,53.430336,53.54345
Machinery Operators and Drivers-Full time-Males,576.732,579.0121,573.8945,570.10474,570.3318,573.49426,575.48285,574.43475,572.6183,571.8404,572.84814,574.1856
Machinery Operators and Drivers-Part time-Females,21.265057,21.431837,21.13103,21.348171,21.370468,21.366983,21.3729,21.335573,21.389214,21.374924,21.424719,21.465734
Machinery Operators and Drivers-Part time-Males,89.89344,93.88365,94.22649,94.95494,95.5404,96.19761,96.79856,97.29709,97.91528,98.5488,99.181984,99.79975
Managers-Full time-Females,433.30017,435.9868,437.64194,440.68665,443.13638,445.372,447.84003,450.05438,452.63623,454.89328,457.3797,459.80527
Managers-Full time-Males,904.3965,908.632,910.5064,913.57275,916.18243,918.7509,921.436,923.9516,926.6797,929.2596,931.95233,934.59174
Managers-Part time-Females,129.63962,129.91812,129.0738,129.56093,129.74547,129.57507,129.51735,129.27788,129.60536,129.4735,129.4557,129.56226
Managers-Part time-Males,71.21977,67.555664,73.05757,70.37879,71.500206,71.011246,69.615395,73.538124,73.59169,72.97908,74.09523,73.70629
Professionals-Full time-Females,945.6966,945.84863,942.5502,951.6803,968.21545,969.3425,966.7149,975.4514,990.99475,992.8032,990.29236,999.34186
Professionals-Full time-Males,1084.1466,1083.1267,1094.0695,1096.2816,1105.336,1108.8429,1111.3306,1119.5566,1120.8887,1123.5107,1129.4752,1132.0459
Professionals-Part time-Females,544.14966,574.71594,576.67456,572.9395,566.2921,596.39374,599.65607,594.8369,588.4531,618.6354,622.0379,617.6315
Professionals-Part time-Males,171.8457,171.56505,169.29097,176.3491,175.26085,176.15201,175.96646,179.89236,179.60861,180.32707,180.75261,183.9865
Sales Workers-Full time-Females,329.84976,330.1119,328.3573,329.40985,329.59723,329.30295,329.1709,329.07047,329.50418,329.199,329.18793,329.39255
Sales Workers-Full time-Males,402.07608,402.0435,399.55734,400.79425,400.1419,400.51263,399.8748,400.2412,400.1809,400.30954,400.023,400.3976
Sales Workers-Part time-Females,522.7405,525.1083,526.85547,529.6925,532.1342,534.4183,536.7771,539.1864,541.73535,544.00256,546.4081,548.94745
Sales Workers-Part time-Males,197.81241,199.11098,199.74658,201.46661,202.84943,204.01599,205.23994,206.50504,207.99698,209.17981,210.46048,211.87758
Technicians and Trades Workers-Full time-Females,152.78415,152.05673,149.73308,152.21312,154.91966,153.84007,152.82376,154.30588,157.10677,156.13887,155.3277,157.1714
Technicians and Trades Workers-Full time-Males,1350.8495,1351.3369,1349.8282,1350.5349,1350.7289,1350.6525,1350.655,1350.3351,1350.7489,1350.6843,1350.86,1351.0043
Technicians and Trades Workers-Part time-Females,106.966545,106.842064,107.04669,109.01822,109.43314,110.00149,110.42006,110.797,111.86382,112.25614,112.875656,113.665695
Technicians and Trades Workers-Part time-Males,133.75996,137.69278,139.27837,138.25978,139.43425,140.86642,142.03186,142.25558,143.36783,144.2842,145.23958,146.09201
