,0,1,2,3,4,5,6,7,8,9,10,11
Aggregated,11985.813,12033.2705,12066.261,12108.158,12153.852,12206.071,12233.102,12283.697,12315.302,12368.864,12397.568,12432.233
Clerical and Administrative Workers,1339.601,1343.9751,1342.2344,1346.2444,1353.8291,1353.4393,1353.5614,1354.9623,1362.5331,1363.2598,1365.0857,1367.679
Community and Personal Service Workers,1243.5599,1242.5531,1252.7859,1264.6323,1272.9948,1277.0717,1287.0337,1297.1083,1302.0195,1308.2397,1315.5466,1323.3436
Labourers,1133.8926,1130.9213,1130.4028,1141.873,1140.1846,1136.3707,1140.4998,1146.6973,1146.2603,1146.4915,1147.2068,1148.185
Machinery Operators and Drivers,744.0459,750.4835,746.94165,742.81445,743.4728,747.483,749.9044,749.6292,747.8047,747.63666,749.0433,750.6492
Managers,1546.6915,1549.0525,1560.0417,1561.8627,1567.9182,1572.6755,1576.2719,1585.4479,1590.1853,1594.6466,1600.6888,1605.2544
Professionals,2759.1504,2789.9934,2803.0864,2813.647,2831.1428,2868.798,2871.432,2888.518,2897.028,2933.8938,2941.1318,2950.7456
Sales Workers,1463.9926,1468.4141,1469.3738,1474.1482,1477.1921,1481.5588,1484.9436,1488.9839,1492.548,1496.6587,1500.0487,1504.1815
Technicians and Trades Workers,1754.8794,1757.88,1761.3954,1762.9353,1767.1184,1768.6742,1769.4567,1772.3508,1776.9233,1778.0376,1778.8169,1782.1951
Clerical and Administrative Workers-Full time,832.3762,831.6096,828.4956,829.4656,833.2494,832.6935,830.23224,831.3333,834.9375,834.4149,832.1111,833.1244
Clerical and Administrative Workers-Part time,507.22467,512.3655,513.73883,516.7788,520.5797,520.7458,523.3292,523.62885,527.5955,528.8448,532.9747,534.5546
Community and Personal Service Workers-Full time,562.5343,557.7791,559.20496,561.98254,566.8113,568.3518,570.3535,573.59937,576.5517,578.98914,581.5553,584.4509
Community and Personal Service Workers-Part time,681.02563,684.7739,693.58093,702.6499,706.1835,708.71985,716.6801,723.5089,725.4678,729.2506,733.9913,738.89264
Labourers-Full time,621.1836,615.9296,614.30865,624.01843,620.9313,615.72424,618.13824,623.02924,621.19214,620.0107,619.1416,618.53345
Labourers-Part time,512.709,514.99164,516.0941,517.8547,519.2533,520.6465,522.3615,523.6681,525.06805,526.48083,528.06525,529.65155
Machinery Operators and Drivers-Full time,633.79034,636.2524,632.2865,627.48145,627.56085,631.0096,632.80493,631.97845,629.592,628.89233,629.73615,630.7566
Machinery Operators and Drivers-Part time,110.255554,114.23116,114.65513,115.33301,115.91188,116.47335,117.099464,117.650734,118.2127,118.744316,119.30711,119.89256
Managers-Full time,1340.0547,1346.1979,1350.8647,1355.9111,1360.8379,1365.9072,1370.9783,1375.9714,1380.9333,1385.9907,1391.0459,1396.0634
Managers-Part time,206.63678,202.85457,209.17703,205.95154,207.08035,206.76825,205.29355,209.47635,209.25203,208.65582,209.64299,209.19106
Professionals-Full time,2038.253,2038.2878,2049.4053,2057.3115,2082.4717,2088.421,2087.7063,2104.9155,2120.2239,2125.4312,2128.6907,2139.534
Professionals-Part time,720.89746,751.70557,753.6812,756.33545,748.67114,780.3771,783.72565,783.60266,776.8042,808.46277,812.44135,811.21155
Sales Workers-Full time,737.576,737.82526,736.5241,736.54724,735.7352,736.4374,735.76636,736.20044,735.79626,736.20605,735.84033,736.0395
Sales Workers-Part time,726.4165,730.58875,732.84973,737.601,741.4569,745.1216,749.17725,752.78345,756.7517,760.4526,764.2084,768.1421
Technicians and Trades Workers-Full time,1511.9404,1511.4395,1510.6627,1512.4097,1515.2025,1514.4048,1513.4531,1515.3823,1518.2832,1517.7172,1516.8696,1518.8307
Technicians and Trades Workers-Part time,242.939,246.44061,250.7327,250.52567,251.9159,254.2694,256.0035,256.96844,258.64008,260.32043,261.94727,263.36444
Clerical and Administrative Workers-Full time-Females,619.8419,619.8021,619.7065,619.7467,619.7858,619.80304,619.7854,619.8402,619.8787,619.9037,619.9086,619.9339
Clerical and Administrative Workers-Full time-Males,212.53433,211.80748,208.78912,209.71884,213.46355,212.89046,210.44685,211.49309,215.0588,214.51126,212.20244,213.1905
Clerical and Administrative Workers-Part time-Females,468.48035,472.4767,474.9442,477.45874,479.54153,481.52063,483.596,485.45984,487.35638,489.24326,491.17755,493.12613
Clerical and Administrative Workers-Part time-Males,38.744328,39.888763,38.7946,39.320087,41.038162,39.225166,39.733192,38.16903,40.239113,39.601536,41.797092,41.42852
Community and Personal Service Workers-Full time-Females,328.916,323.75833,322.11032,327.7126,330.2279,330.8745,331.74243,334.6526,336.55527,338.0797,339.7533,341.8794
Community and Personal Service Workers-Full time-Males,233.61833,234.02078,237.0946,234.26997,236.5834,237.47733,238.61107,238.94681,239.99643,240.90941,241.802,242.57152
Community and Personal Service Workers-Part time-Females,523.2528,524.75183,528.9356,536.9345,540.1759,540.70483,547.04803,552.7896,553.31085,555.63293,559.1158,562.7012
Community and Personal Service Workers-Part time-Males,157.77281,160.02208,164.64531,165.71536,166.00755,168.01501,169.63206,170.71933,172.15694,173.61765,174.8755,176.19148
Labourers-Full time-Females,126.161285,129.16943,132.67215,131.61064,131.3765,130.91849,130.73396,130.22275,129.84612,129.57567,129.28651,129.01642
Labourers-Full time-Males,495.02228,486.7602,481.6365,492.4078,489.5548,484.8058,487.40427,492.8065,491.346,490.43503,489.8551,489.517
Labourers-Part time-Females,241.38947,241.28185,241.22919,241.30557,241.3097,241.27603,241.31891,241.30405,241.33868,241.3312,241.3538,241.372
Labourers-Part time-Males,271.31955,273.70978,274.86493,276.5491,277.94363,279.37048,281.0426,282.36407,283.72937,285.1496,286.71143,288.27954
Machinery Operators and Drivers-Full time-Females,56.17616,56.509018,56.77327,56.359833,56.332027,56.54834,56.269684,56.370018,56.11903,56.179317,55.996906,55.83665
Machinery Operators and Drivers-Full time-Males,577.6142,579.74335,575.51324,571.1216,571.2288,574.46124,576.5352,575.60846,573.47296,572.713,573.73926,574.9199
Machinery Operators and Drivers-Part time-Females,21.628544,21.787062,21.812296,21.83429,21.852213,21.859901,21.864866,21.8762,21.89186,21.901497,21.903387,21.913141
Machinery Operators and Drivers-Part time-Males,88.627014,92.4441,92.842834,93.49872,94.05967,94.61345,95.2346,95.774536,96.32084,96.84282,97.403725,97.97942
Managers-Full time-Females,433.5108,435.68124,438.1565,440.32498,442.60773,444.96335,447.33255,449.6489,451.90872,454.27206,456.6452,458.96866
Managers-Full time-Males,906.5438,910.51666,912.70825,915.5861,918.23016,920.94385,923.6457,926.3226,929.0246,931.7187,934.40063,937.09467
Managers-Part time-Females,131.14108,131.16933,131.31558,131.27628,131.30383,131.33563,131.31833,131.35347,131.3194,131.32896,131.29996,131.2761
Managers-Part time-Males,75.4957,71.68524,77.86145,74.67527,75.77651,75.43262,73.97521,78.12289,77.93263,77.32685,78.34303,77.91496
Professionals-Full time-Females,949.29736,950.0666,948.2285,955.80634,972.10925,973.8846,970.9127,979.738,994.54987,996.7486,994.2255,1002.9825
Professionals-Full time-Males,1088.9557,1088.2212,1101.1768,1101.5052,1110.3623,1114.5364,1116.7936,1125.1776,1125.674,1128.6825,1134.4651,1136.5515
Professionals-Part time-Females,544.90576,575.6498,578.9249,574.7005,568.03314,598.47723,601.8826,597.45123,590.9134,621.43243,624.8978,620.44476
Professionals-Part time-Males,175.99171,176.0558,174.7563,181.63492,180.638,181.89981,181.84303,186.1514,185.89084,187.03036,187.5435,190.7668
Sales Workers-Full time-Females,332.718,332.94107,333.11063,332.84357,332.82462,332.9633,332.78204,332.8505,332.6786,332.72015,332.59442,332.4811
Sales Workers-Full time-Males,404.858,404.8842,403.41348,403.7037,402.91064,403.47412,402.98434,403.34998,403.11765,403.48593,403.2459,403.55838
Sales Workers-Part time-Females,526.09875,528.7338,530.3925,533.3391,535.8206,538.2082,540.8156,543.1604,545.6892,548.09033,550.52875,553.0556
Sales Workers-Part time-Males,200.31772,201.85493,202.45721,204.26189,205.63629,206.91338,208.3616,209.62302,211.0625,212.36224,213.6796,215.08647
Technicians and Trades Workers-Full time-Females,158.14706,157.4085,156.84375,158.3197,160.99084,160.13136,159.125,161.00656,163.68028,162.96309,162.05414,163.90501
Technicians and Trades Workers-Full time-Males,1353.7933,1354.031,1353.819,1354.09,1354.2117,1354.2734,1354.3281,1354.3757,1354.6029,1354.754,1354.8154,1354.9257
Technicians and Trades Workers-Part time-Females,107.23614,106.91895,108.25674,109.60524,109.82343,110.581696,111.079414,111.58471,112.25997,112.85176,113.48335,114.11514
Technicians and Trades Workers-Part time-Males,135.70287,139.52165,142.47595,140.92043,142.09247,143.6877,144.92409,145.38374,146.38011,147.46869,148.4639,149.24928
