,0,1,2,3,4,5,6,7,8,9,10,11
Aggregated,11894.012,11937.41,11962.057,12011.221,12056.903,12104.911,12133.551,12181.658,12216.259,12267.326,12296.745,12332.458
Clerical and Administrative Workers,1326.4071,1330.8184,1328.326,1333.2262,1340.9623,1340.1001,1340.2957,1341.3907,1349.5621,1350.0801,1351.9883,1354.7937
Community and Personal Service Workers,1254.4226,1252.7372,1262.9757,1274.4581,1282.4343,1286.5374,1296.6737,1306.6975,1311.0372,1317.2692,1324.5529,1332.1066
Labourers,1114.626,1111.7719,1111.4402,1123.6147,1122.1289,1117.959,1122.104,1128.2961,1128.4255,1128.4165,1129.1359,1130.1755
Machinery Operators and Drivers,735.8466,741.8724,737.7249,734.2168,734.8976,738.53,741.2589,740.7664,739.31757,739.03656,740.67017,742.5183
Managers,1549.6493,1552.1052,1564.5007,1565.4574,1571.2979,1576.3966,1580.1113,1589.5602,1593.8246,1598.5345,1604.75,1609.1588
Professionals,2734.6675,2763.7407,2772.7065,2786.179,2803.7148,2839.6484,2843.075,2858.9072,2868.6555,2904.4587,2911.8657,2921.8787
Sales Workers,1446.8844,1450.4584,1451.4697,1456.5796,1459.5621,1463.581,1466.9185,1470.9452,1474.744,1478.7164,1482.2456,1486.4812
Technicians and Trades Workers,1731.5087,1733.9055,1732.9138,1737.4884,1741.905,1742.1586,1743.115,1745.0935,1750.6923,1750.8141,1751.5367,1755.3472
Clerical and Administrative Workers-Full time,822.47595,821.7345,817.07776,819.23883,823.129,822.0398,819.7236,820.4023,824.5562,823.7087,821.4404,822.6797
Clerical and Administrative Workers-Part time,503.93115,509.08386,511.24832,513.98737,517.83325,518.06036,520.57214,520.98846,525.006,526.3714,530.5478,532.11395
Community and Personal Service Workers-Full time,566.77106,561.7971,562.4611,566.119,571.05646,572.4056,574.7233,577.95074,581.1858,583.63,586.2887,589.2697
Community and Personal Service Workers-Part time,687.65155,690.94006,700.5145,708.339,711.3778,714.1318,721.95044,728.7468,729.85144,733.63916,738.2641,742.837
Labourers-Full time,606.4387,601.1661,599.0106,609.56915,606.5974,600.938,603.4072,608.1006,606.7427,605.19293,604.3187,603.82367
Labourers-Part time,508.1872,510.60577,512.4295,514.04565,515.53143,517.021,518.6967,520.19556,521.68286,523.2236,524.81714,526.3518
Machinery Operators and Drivers-Full time,624.5005,626.5331,621.4056,617.62384,617.79535,620.7346,622.8911,621.7498,619.9096,618.98444,620.0256,621.371
Machinery Operators and Drivers-Part time,111.34617,115.33929,116.31937,116.592995,117.10225,117.795364,118.36784,119.016594,119.40794,120.052155,120.64459,121.14735
Managers-Full time,1343.4126,1349.7566,1355.6099,1359.8851,1364.6401,1370.0314,1375.0808,1380.3435,1384.8264,1390.0663,1395.1586,1399.9657
Managers-Part time,206.23672,202.34857,208.89085,205.57224,206.6577,206.36526,205.03046,209.21674,208.9982,208.46826,209.59134,209.19315
Professionals-Full time,2019.7764,2018.833,2026.2771,2037.4861,2063.0916,2067.684,2067.8071,2084.234,2101.2964,2105.8916,2109.4678,2120.9463
Professionals-Part time,714.891,744.90753,746.4295,748.69305,740.6232,771.9645,775.2677,774.67334,767.3591,798.5671,802.3981,800.9324
Sales Workers-Full time,726.80273,726.66974,724.29236,725.34265,724.5431,724.89575,724.39514,724.7291,724.62524,724.8523,724.5987,724.98047
Sales Workers-Part time,720.08167,723.78876,727.17737,731.2369,735.01904,738.68536,742.52325,746.216,750.11884,753.8642,757.6468,761.5008
Technicians and Trades Workers-Full time,1492.432,1491.4164,1486.9092,1491.3141,1494.3577,1492.5071,1491.6652,1492.9001,1496.7266,1495.3552,1494.4756,1496.8324
Technicians and Trades Workers-Part time,239.07668,242.48914,246.0047,246.17441,247.5473,249.6514,251.44975,252.19334,253.96573,255.4589,257.06116,258.51477
Clerical and Administrative Workers-Full time-Females,614.55225,614.51526,613.62085,614.2456,614.33093,614.0874,614.14685,613.9897,614.29443,614.15906,614.1813,614.32306
Clerical and Administrative Workers-Full time-Males,207.92368,207.21924,203.4569,204.99323,208.79811,207.95238,205.57674,206.4126,210.26178,209.54962,207.25914,208.3566
Clerical and Administrative Workers-Part time-Females,466.11142,470.0872,473.00937,475.31287,477.41107,479.4265,481.44,483.38507,485.29346,487.23187,489.18335,491.1119
Clerical and Administrative Workers-Part time-Males,37.819744,38.996685,38.23895,38.674473,40.422195,38.633842,39.132137,37.603386,39.71255,39.139503,41.364445,41.002018
Community and Personal Service Workers-Full time-Females,331.21512,325.90555,323.84396,329.95657,332.53418,333.06433,334.13245,337.02536,339.0442,340.58105,342.25763,344.3871
Community and Personal Service Workers-Full time-Males,235.55592,235.8916,238.61717,236.16246,238.5223,239.34125,240.59088,240.9254,242.14159,243.04893,244.0311,244.88263
Community and Personal Service Workers-Part time-Females,526.7716,528.02094,532.7151,539.99615,542.9644,543.6152,549.87805,555.60895,555.6477,557.9746,561.40045,564.7936
Community and Personal Service Workers-Part time-Males,160.87994,162.91911,167.79945,168.34285,168.4134,170.51662,172.07239,173.13788,174.20377,175.66455,176.86365,178.04338
Labourers-Full time-Females,118.10823,121.041756,124.375,123.726326,123.64636,123.00733,122.805664,122.308975,122.25809,121.788414,121.49813,121.29208
Labourers-Full time-Males,488.3305,480.12433,474.63565,485.84283,482.95105,477.93066,480.6016,485.7916,484.4846,483.40454,482.8206,482.5316
Labourers-Part time-Females,238.66698,238.56374,238.54807,238.55148,238.5044,238.44537,238.48875,238.43541,238.40628,238.378,238.3774,238.36095
Labourers-Part time-Males,269.5202,272.04202,273.88144,275.4942,277.02704,278.57562,280.20798,281.76016,283.27658,284.84558,286.43976,287.99084
