,0,1,2,3,4,5,6,7,8,9,10,11
Aggregated,11932.715,11978.797,12001.956,12053.273,12100.553,12147.76,12175.473,12222.846,12260.633,12310.789,12341.158,12378.37
Clerical and Administrative Workers,1325.854,1330.7198,1328.4536,1333.3267,1341.1421,1340.2577,1340.2227,1341.279,1349.5769,1349.995,1351.8522,1354.682
Community and Personal Service Workers,1253.3707,1251.3635,1261.6028,1273.2677,1281.2067,1285.1111,1295.4282,1305.3489,1309.8292,1315.9482,1323.3354,1330.9487
Labourers,1116.1174,1113.0878,1113.3177,1124.9282,1123.4552,1119.2097,1122.9277,1129.0515,1129.0176,1128.7496,1129.1727,1130.0999
Machinery Operators and Drivers,739.5968,745.7624,741.8413,738.3931,739.1388,742.8667,745.56995,745.1826,743.83167,743.60626,745.2908,747.2236
Managers,1550.6729,1554.082,1564.4421,1567.3403,1573.7434,1578.5183,1582.3301,1591.5851,1596.904,1601.5549,1607.7535,1612.5658
Professionals,2750.362,2780.2258,2788.541,2802.7234,2820.8074,2856.445,2859.7192,2875.286,2886.1821,2921.733,2929.6655,2940.2922
Sales Workers,1451.0966,1454.541,1455.4192,1460.6459,1463.7289,1467.5316,1470.6722,1474.5746,1478.644,1482.3286,1485.9403,1490.3055
Technicians and Trades Workers,1745.6462,1749.0146,1748.3373,1752.6472,1757.3302,1757.8213,1758.6022,1760.537,1766.6475,1766.874,1768.1489,1772.2522
Clerical and Administrative Workers-Full time,823.6681,823.199,818.82666,820.79285,824.7208,823.6315,821.13477,821.7846,826.01605,825.08923,822.866,824.13965
Clerical and Administrative Workers-Part time,502.1859,507.5209,509.62698,512.5339,516.42114,516.62616,519.0879,519.4944,523.5609,524.90576,528.9861,530.5425
Community and Personal Service Workers-Full time,565.0575,559.9512,560.8004,564.24884,569.0789,570.4087,572.7566,575.92444,579.07074,581.4806,584.19086,587.11707
Community and Personal Service Workers-Part time,688.3132,691.4125,700.80237,709.019,712.1277,714.70233,722.67163,729.4244,730.7585,734.4675,739.14453,743.8316
Labourers-Full time,611.0807,605.72784,603.90643,614.01294,611.037,605.3663,607.5546,612.1949,610.7519,609.04333,608.1186,607.587
Labourers-Part time,505.0367,507.35992,509.41132,510.91534,512.4182,513.84344,515.3731,516.8567,518.2657,519.70624,521.05414,522.5128
Machinery Operators and Drivers-Full time,629.4812,631.7046,626.7436,622.9705,623.2154,626.2245,628.31903,627.2517,625.52734,624.62195,625.7575,627.1964
Machinery Operators and Drivers-Part time,110.11561,114.0578,115.09773,115.42256,115.923416,116.64223,117.2509,117.93089,118.30433,118.98428,119.53325,120.027145
Managers-Full time,1342.0212,1348.9784,1353.6365,1359.0608,1364.1316,1369.3606,1374.4548,1379.6129,1384.6207,1389.862,1394.8359,1399.8059
Managers-Part time,208.65155,205.10364,210.80566,208.27954,209.61188,209.15768,207.87527,211.97217,212.28331,211.69295,212.91754,212.75995
