,0,1,2,3,4,5,6,7,8,9,10,11
Aggregated,11852.5205,11900.114,11902.24,11964.962,12012.354,12056.634,12083.047,12128.241,12167.636,12215.466,12244.722,12282.047
Clerical and Administrative Workers,1326.1179,1330.9639,1326.0636,1332.6394,1340.2072,1338.9537,1338.9985,1339.9668,1348.3514,1348.5356,1350.5211,1353.4043
Community and Personal Service Workers,1234.1981,1232.5436,1239.7444,1253.0431,1261.1538,1264.5066,1274.5026,1283.8855,1288.939,1294.5829,1301.701,1309.5535
Labourers,1117.956,1115.9392,1113.6299,1126.8347,1125.7756,1121.3868,1125.0563,1130.9531,1131.6415,1131.2268,1131.9885,1133.27
Machinery Operators and Drivers,733.3819,739.6793,733.85004,731.61566,732.4044,735.85156,738.51105,737.8129,736.83264,736.4807,738.1804,740.17584
Managers,1534.9786,1538.3977,1546.4088,1550.232,1556.7522,1561.0133,1564.6654,1573.0621,1578.8506,1583.0503,1589.2811,1594.1357
Professionals,2737.0786,2766.726,2773.3481,2788.2886,2806.0132,2841.4873,2844.4414,2860.3022,2870.43,2905.7563,2913.0132,2923.244
Sales Workers,1439.7476,1443.592,1440.2925,1447.9468,1451.2932,1454.4746,1457.2871,1460.9482,1465.6328,1468.8662,1472.2865,1476.8037
Technicians and Trades Workers,1729.063,1732.2743,1728.9053,1734.3612,1738.752,1738.9612,1739.5844,1741.3103,1746.9583,1746.9663,1747.753,1751.4596
Clerical and Administrative Workers-Full time,824.3524,823.92505,818.57623,821.18384,824.92084,823.8078,821.3669,822.0898,826.1362,825.21387,822.99243,824.18024
Clerical and Administrative Workers-Part time,501.76544,507.03882,507.48734,511.45554,515.2863,515.146,517.63165,517.87695,522.21515,523.32184,527.5287,529.2241
Community and Personal Service Workers-Full time,556.47595,551.49805,550.562,555.04663,559.998,560.9492,563.1531,566.08295,569.5718,571.6626,574.23517,577.3113
Community and Personal Service Workers-Part time,677.72217,681.0456,689.18243,697.99646,701.1559,703.5573,711.3495,717.8024,719.3672,722.9204,727.4658,732.2421
Labourers-Full time,608.3096,603.472,600.60254,611.3427,608.5262,602.8719,605.06744,609.6573,608.3734,606.6448,605.7935,605.33923
Labourers-Part time,509.6465,512.46716,513.02734,515.492,517.2495,518.51495,519.9889,521.2958,523.26807,524.582,526.19507,527.9308
Machinery Operators and Drivers-Full time,626.3677,628.6297,623.0477,619.68494,619.8613,622.8735,624.96655,623.8651,622.1001,621.2482,622.3376,623.7006
Machinery Operators and Drivers-Part time,107.01427,111.04961,110.80229,111.930756,112.54311,112.97812,113.5445,113.9478,114.732544,115.232445,115.842834,116.47524
Managers-Full time,1335.0215,1341.9446,1345.2166,1351.2161,1356.4176,1361.2803,1366.3176,1370.9454,1376.3982,1381.3153,1386.4393,1391.5381
Managers-Part time,199.95715,196.4532,201.19228,199.0159,200.33466,199.73303,198.3478,202.11678,202.45233,201.7349,202.84177,202.59764
Professionals-Full time,2024.2439,2023.6964,2030.5444,2042.1576,2067.749,2072.2695,2072.0496,2088.748,2105.7178,2110.1118,2113.561,2125.091
Professionals-Part time,712.8346,743.02954,742.8036,746.131,738.26404,769.2177,772.39166,771.5543,764.7121,795.64465,799.4523,798.1528
Sales Workers-Full time,722.57983,722.6803,717.70166,720.3365,719.8336,719.6848,718.9137,719.0559,719.5475,719.33887,719.0347,719.6117
Sales Workers-Part time,717.1677,720.9118,722.5907,727.6102,731.4596,734.78973,738.3734,741.89246,746.0854,749.52747,753.2517,757.1921
Technicians and Trades Workers-Full time,1492.0974,1491.5791,1486.7277,1490.7526,1493.5955,1492.0116,1490.9126,1492.1376,1495.5048,1494.2198,1493.3763,1495.4323
Technicians and Trades Workers-Part time,236.96562,240.6951,242.17763,243.60858,245.15646,246.94951,248.67172,249.17274,251.45355,252.74634,254.37668,256.02744
Clerical and Administrative Workers-Full time-Females,616.3187,616.4372,615.1737,616.05945,616.0888,615.8242,615.81,615.69336,615.9799,615.80786,615.8459,615.97437
Clerical and Administrative Workers-Full time-Males,208.03368,207.48788,203.40254,205.1244,208.83205,207.98358,205.5569,206.39641,210.15628,209.406,207.14656,208.20587
Clerical and Administrative Workers-Part time-Females,464.47067,468.53137,470.6467,473.52698,475.612,477.46545,479.46335,481.30777,483.37183,485.204,487.16864,489.15546
Clerical and Administrative Workers-Part time-Males,37.29477,38.50746,36.84064,37.92857,39.6743,37.680565,38.16832,36.569183,38.84335,38.11781,40.36002,40.068657
Community and Personal Service Workers-Full time-Females,325.58145,320.2628,317.3685,323.906,326.48157,326.79736,327.81335,330.5387,332.6885,334.0455,335.68457,337.85663
Community and Personal Service Workers-Full time-Males,230.8945,231.23528,233.19351,231.14066,233.51642,234.15189,235.33969,235.54424,236.88329,237.6171,238.55058,239.45468
