,0,1,2,3,4,5,6,7,8,9,10,11
Aggregated,11885.199,11982.352,11968.315,12050.449,12036.567,12134.197,12120.129,12202.122,12187.98,12286.043,12271.94,12353.804
Clerical and Administrative Workers,1332.3492,1337.451,1333.1173,1335.2697,1342.9187,1348.015,1343.6871,1345.8373,1353.4954,1358.5852,1354.255,1356.4084
Community and Personal Service Workers,1224.2039,1248.0747,1249.0034,1256.3654,1250.5764,1274.4585,1275.3845,1282.7494,1276.9545,1300.8433,1301.7684,1309.134
Labourers,1119.428,1122.2571,1106.6584,1129.6826,1125.659,1128.4802,1112.8718,1135.9052,1131.8802,1134.6975,1119.0858,1142.1189
Machinery Operators and Drivers,734.8508,735.4262,736.0214,736.67456,737.34973,737.91705,738.51086,739.1653,739.8568,740.4065,740.9996,741.6748
Managers,1545.645,1547.4396,1552.9542,1566.9127,1568.669,1570.4515,1575.9647,1589.9254,1591.6827,1593.4613,1598.9752,1612.9355
Professionals,2729.5188,2783.6992,2798.7903,2800.9326,2790.4312,2845.0513,2860.127,2862.11,2851.3462,2906.4104,2921.4624,2923.2878
Sales Workers,1452.1545,1463.974,1460.1665,1480.9307,1468.3507,1480.1792,1476.3643,1497.1321,1484.5435,1496.3782,1492.5585,1513.3322
Technicians and Trades Workers,1747.0492,1744.0287,1731.604,1743.682,1752.6155,1749.6453,1737.2179,1749.297,1758.2198,1755.2617,1742.8347,1754.912
Clerical and Administrative Workers-Full time,829.06415,823.89276,820.5381,822.70886,829.1381,823.9622,820.61414,822.7822,829.21716,824.0358,820.687,822.85675
Clerical and Administrative Workers-Part time,503.2851,513.5583,512.5792,512.5607,513.7806,524.05286,523.073,523.05505,524.2783,534.5494,533.5679,533.5516
Community and Personal Service Workers-Full time,551.2834,554.02783,556.77325,559.46454,562.1704,564.9149,567.6592,570.3522,573.0601,575.80286,578.5469,581.241
Community and Personal Service Workers-Part time,672.9205,694.0469,692.23016,696.9009,688.406,709.54346,707.72534,712.3972,703.8944,725.04047,723.2216,727.893
Labourers-Full time,615.88934,608.5076,596.3628,611.1724,615.85315,608.4707,596.3219,611.136,615.8143,608.4311,596.2813,611.09406
Labourers-Part time,503.53857,513.7494,510.29572,518.51013,509.8059,520.00946,516.55,524.76917,516.066,526.2665,522.80444,531.0249
Machinery Operators and Drivers-Full time,621.01636,621.0169,621.0176,621.018,621.037,621.03485,621.034,621.03674,621.06793,621.0528,621.05084,621.07495
Machinery Operators and Drivers-Part time,113.834465,114.4093,115.00385,115.65656,116.31272,116.8822,117.47685,118.12851,118.78888,119.353714,119.948715,120.59987
