,0,1,2,3,4,5,6,7,8,9,10,11
Aggregated,11883.367,11981.172,11967.248,12049.324,12034.38,12132.614,12118.661,12200.583,12185.392,12284.054,12270.074,12351.841
Clerical and Administrative Workers,1333.8114,1338.9631,1334.58,1336.7773,1344.3419,1349.4937,1345.1106,1347.3079,1354.8726,1360.0243,1355.6411,1357.8385
Community and Personal Service Workers,1219.7135,1243.541,1244.492,1251.75,1245.9166,1269.7439,1270.6947,1277.953,1272.1195,1295.947,1296.8976,1304.1559
Labourers,1123.2467,1126.1511,1110.5326,1133.6401,1129.592,1132.4961,1116.877,1139.9839,1135.9355,1138.839,1123.2194,1146.3259
Machinery Operators and Drivers,735.5893,736.1992,736.80914,737.41907,738.029,738.63885,739.2488,739.8587,740.4686,741.07855,741.6885,742.29834
Managers,1547.0773,1549.0272,1554.6102,1568.4904,1570.0978,1572.0475,1577.6307,1591.5109,1593.1183,1595.068,1600.6512,1614.5311
Professionals,2724.2366,2778.6792,2793.9722,2795.934,2784.9673,2839.8384,2855.1057,2856.9126,2845.6982,2900.9973,2916.2395,2917.8914
Sales Workers,1452.6146,1464.5402,1460.7126,1481.543,1468.7894,1480.7148,1476.8875,1497.7177,1484.9641,1496.8898,1493.0621,1513.8923
Technicians and Trades Workers,1747.0771,1744.0712,1731.5383,1743.7693,1752.646,1749.6401,1737.1074,1749.3384,1758.2153,1755.2094,1742.6765,1754.9075
Clerical and Administrative Workers-Full time,828.8019,823.6619,820.3076,822.44196,828.80194,823.6619,820.3076,822.4419,828.8019,823.6619,820.30756,822.442
Clerical and Administrative Workers-Part time,505.0095,515.30115,514.2724,514.3353,515.54004,525.8317,524.803,524.8659,526.0706,536.3623,535.33356,535.3965
Community and Personal Service Workers-Full time,550.7398,553.4554,556.17096,558.88654,561.6022,564.3177,567.0333,569.7489,572.4644,575.18005,577.8956,580.6112
Community and Personal Service Workers-Part time,668.97375,690.0857,688.32086,692.8635,684.3144,705.4263,703.66144,708.2041,699.655,720.7669,719.002,723.5447
Labourers-Full time,617.4298,610.0667,597.9216,612.75305,617.4298,610.0667,597.9216,612.75305,617.4298,610.0667,597.9216,612.75305
Labourers-Part time,505.8169,516.0845,512.611,520.887,512.1623,522.4293,518.9553,527.23083,518.5057,528.7722,525.29785,533.57294
Machinery Operators and Drivers-Full time,621.21356,621.21356,621.21356,621.21356,621.21356,621.21356,621.21356,621.21356,621.21356,621.21356,621.21356,621.21356
