,0,1,2,3,4,5,6,7,8,9,10,11
Aggregated,11871.067,11970.79,11951.704,12034.903,12024.078,12123.646,12104.229,12187.134,12176.291,12275.77,12256.312,12338.916
Clerical and Administrative Workers,1328.7648,1333.5869,1328.2771,1330.6774,1339.1692,1343.9106,1338.5826,1340.9579,1349.4886,1354.16,1348.8258,1351.1636
Community and Personal Service Workers,1225.23,1249.3081,1249.4664,1257.4182,1252.1387,1276.2029,1276.3306,1284.2742,1278.9818,1303.0112,1303.1373,1311.0774
Labourers,1110.4032,1114.8276,1099.5763,1121.3549,1116.3285,1120.6415,1105.3442,1127.1162,1122.1088,1126.3362,1111.0232,1132.7695
Machinery Operators and Drivers,735.9857,736.7031,736.92334,737.5769,738.541,739.2171,739.44135,740.06805,741.0543,741.687,741.93097,742.5345
Managers,1542.4442,1545.9647,1551.9049,1564.779,1565.4349,1568.9165,1574.799,1587.6504,1588.3301,1591.7604,1597.6611,1610.4696
Professionals,2736.1274,2787.7424,2800.2212,2805.0051,2798.1284,2850.0728,2862.464,2867.0662,2860.0256,2912.2913,2924.6335,2929.1135
Sales Workers,1447.9226,1460.7776,1456.6294,1477.3833,1464.2562,1477.0277,1472.8671,1493.6051,1480.478,1493.2051,1489.0544,1509.7627
Technicians and Trades Workers,1744.189,1741.8801,1728.7048,1740.7101,1750.0818,1747.6553,1734.3993,1746.3966,1755.8224,1753.3198,1740.045,1752.0262
Clerical and Administrative Workers-Full time,828.24207,822.72314,818.5,821.1193,828.3945,822.8074,818.5493,821.16125,828.48834,822.8289,818.5584,821.1563
Clerical and Administrative Workers-Part time,500.52274,510.86383,509.7771,509.55804,510.77472,521.10333,520.0333,519.79663,521.0003,531.3311,530.2674,530.00726
Community and Personal Service Workers-Full time,546.0,548.421,550.40784,553.2311,556.59717,558.9868,560.97,563.7866,567.141,569.50464,571.4826,574.2886
Community and Personal Service Workers-Part time,679.2299,700.8871,699.0586,704.18713,695.5416,717.216,715.36053,720.4874,711.8409,733.5066,731.65466,736.7888
Labourers-Full time,608.5162,602.68945,590.86566,604.5678,608.41205,602.48596,590.61334,604.31506,608.1736,602.17487,590.281,603.97076
Labourers-Part time,501.8871,512.13824,508.71057,516.78705,507.91644,518.1555,514.73083,522.80115,513.9352,524.1614,520.7422,528.7987
Machinery Operators and Drivers-Full time,622.1153,621.94183,621.5079,621.68774,622.2505,622.0345,621.5977,621.76874,622.3462,622.08856,621.65857,621.8196
Machinery Operators and Drivers-Part time,113.87047,114.76131,115.41545,115.88915,116.29051,117.18263,117.8436,118.29935,118.7081,119.598495,120.272385,120.71487
Managers-Full time,1336.6207,1339.4702,1345.1057,1357.4858,1357.7375,1360.5491,1366.1497,1378.5171,1378.7771,1381.5591,1387.1632,1399.5016
Managers-Part time,205.82355,206.49445,206.79927,207.29314,207.69746,208.36743,208.64922,209.13326,209.55302,210.20131,210.49796,210.96799
Professionals-Full time,2031.0405,2037.0771,2043.4238,2054.5654,2067.0854,2073.0168,2079.324,2090.4517,2103.0422,2108.8733,2115.1482,2126.2957
Professionals-Part time,705.08673,750.6653,756.79736,750.43976,731.04297,777.05597,783.1401,776.6145,756.9835,803.41797,809.48535,802.8177
Sales Workers-Full time,731.9796,729.84546,725.56104,735.9033,732.08386,729.877,725.5689,735.9073,732.08435,729.83655,725.5291,735.8445
Sales Workers-Part time,715.94305,730.9321,731.06836,741.48,732.17236,747.15063,747.2983,757.6979,748.3937,763.3686,763.5254,773.9183
Technicians and Trades Workers-Full time,1504.134,1495.2675,1482.3162,1493.6257,1504.6171,1495.634,1482.6096,1493.913,1504.9553,1495.8984,1482.8442,1494.1412
Technicians and Trades Workers-Part time,240.05504,246.61273,246.3887,247.08426,245.46475,252.02121,251.78967,252.48355,250.867,257.42148,257.20087,257.885
Clerical and Administrative Workers-Full time-Females,616.9656,616.79004,616.30756,616.56757,617.0872,616.876,616.3691,616.629,617.1732,616.92084,616.40826,616.6591
Clerical and Administrative Workers-Full time-Males,211.27652,205.93309,202.19247,204.55174,211.30727,205.93138,202.18024,204.53226,211.31512,205.9081,202.15015,204.4972
