,0,1,2,3,4,5,6,7
Aggregated,28727.643,28841.871,28944.195,29037.79,29057.375,29170.352,29259.314,29339.959
ACT,220.76042,216.35648,215.1191,212.70856,210.68448,209.40002,207.92505,207.157
NSW,10215.061,10239.246,10224.31,10233.291,10304.998,10329.068,10314.119,10323.286
NT,1142.2334,1143.5001,1144.8892,1145.9326,1146.9011,1147.8566,1149.0159,1150.047
QLD,5637.8887,5680.6353,5665.503,5691.0483,5724.4575,5738.4375,5707.567,5722.9766
SA,1981.6985,1986.0006,1996.9368,2007.9875,2019.206,2032.312,2043.7212,2056.0254
TAS,452.68958,468.85785,487.27722,485.00702,446.18225,464.0859,483.24988,480.6219
VIC,4537.153,4584.3115,4695.961,4752.209,4697.775,4743.047,4848.0757,4894.518
WA,4540.1636,4522.966,4514.1943,4509.6045,4507.163,4506.1416,4505.6367,4505.326
ACT-Female,13.66696,13.295061,14.407356,14.022092,13.762869,13.820294,13.388427,13.534159
ACT-Male,207.09348,203.06143,200.71173,198.68646,196.9216,195.57971,194.53662,193.62283
NSW-Female,740.5437,740.5952,740.7068,740.5991,740.5247,740.5453,740.62854,740.636
NSW-Male,9474.517,9498.65,9483.604,9492.691,9564.473,9588.522,9573.49,9582.65
NT-Female,47.95621,49.233906,50.57497,51.57844,52.558537,53.553726,54.641117,55.61513
NT-Male,1094.2772,1094.2661,1094.3142,1094.3542,1094.3427,1094.3029,1094.3748,1094.4319
QLD-Female,408.59247,411.06818,411.89984,412.94373,413.5064,414.01215,414.40918,414.66205
QLD-Male,5229.296,5269.567,5253.6035,5278.1045,5310.951,5324.426,5293.1577,5308.315
SA-Female,130.98305,130.93697,132.3917,131.9147,131.9685,132.11586,132.45181,132.63683
SA-Male,1850.7156,1855.0636,1864.5449,1876.0729,1887.2375,1900.196,1911.2695,1923.3887
TAS-Female,36.615746,36.176056,36.18849,37.639786,36.378098,36.390694,36.408974,37.122887
TAS-Male,416.0738,432.6818,451.08875,447.36725,409.80414,427.6952,446.8409,443.499
VIC-Female,312.4334,312.4945,312.4248,312.5152,312.53125,312.58942,312.655,312.75278
VIC-Male,4224.719,4271.817,4383.536,4439.6934,4385.2437,4430.4575,4535.421,4581.7656
WA-Female,375.56305,373.49704,372.53046,371.92908,371.53406,371.49887,371.5061,371.43628
WA-Male,4164.6006,4149.4688,4141.664,4137.6753,4135.629,4134.6426,4134.131,4133.8896
ACT-Female-Remanded,7.3992486,7.392805,7.3798294,7.3718643,7.4452963,7.4176435,7.4087505,7.4185247
ACT-Female-Sentenced,6.267711,5.9022565,7.0275264,6.6502275,6.3175726,6.402651,5.9796762,6.115634
ACT-Male-Remanded,77.45689,76.37193,76.451164,76.4061,76.32639,76.3508,76.42501,76.37676
ACT-Male-Sentenced,129.63658,126.68949,124.260574,122.280365,120.59521,119.22892,118.11162,117.24608
NSW-Female-Remanded,195.23392,195.23532,195.28923,195.2038,195.23163,195.2012,195.22409,195.25569
NSW-Female-Sentenced,545.3098,545.35986,545.4176,545.3953,545.2931,545.34406,545.4044,545.38025
NSW-Male-Remanded,2426.7627,2435.4678,2404.9487,2398.6086,2455.0518,2463.7046,2433.1938,2426.8481
NSW-Male-Sentenced,7047.754,7063.183,7078.6543,7094.083,7109.4214,7124.818,7140.297,7155.802
NT-Female-Remanded,9.571137,9.718961,9.928889,9.976394,9.948279,10.00183,10.11339,10.103428
NT-Female-Sentenced,38.385075,39.514946,40.64608,41.602047,42.610256,43.551895,44.52773,45.511703
NT-Male-Remanded,245.65498,245.63719,245.6077,245.60574,245.65462,245.60522,245.6219,245.63747
NT-Male-Sentenced,848.6222,848.62897,848.7064,848.7484,848.68805,848.69763,848.7529,848.79443
QLD-Female-Remanded,85.48681,87.064354,88.273544,89.12985,89.75856,90.23936,90.60748,90.853874
QLD-Female-Sentenced,323.10565,324.00385,323.62628,323.81384,323.74783,323.7728,323.8017,323.80817
QLD-Male-Remanded,1121.969,1142.424,1117.0205,1137.1143,1167.9727,1180.4677,1148.6799,1163.6124
QLD-Male-Sentenced,4107.327,4127.143,4136.583,4140.99,4142.9785,4143.958,4144.4775,4144.7026
SA-Female-Remanded,54.603996,55.22623,57.29482,57.259216,57.817627,58.34064,58.975067,59.46811
SA-Female-Sentenced,76.37906,75.71074,75.09688,74.65549,74.15088,73.77522,73.476746,73.168724
SA-Male-Remanded,617.7049,617.7787,623.24097,625.6172,629.229,634.67316,638.2839,642.89624
SA-Male-Sentenced,1233.0106,1237.2849,1241.3041,1250.4557,1258.0085,1265.523,1272.9856,1280.4924
TAS-Female-Remanded,10.445109,10.44393,10.426777,10.395021,10.432452,10.431752,10.4435215,10.441788
TAS-Female-Sentenced,26.170637,25.732126,25.761713,27.244762,25.945644,25.95894,25.96545,26.681097
TAS-Male-Remanded,83.58876,85.783615,95.343956,80.12324,78.27836,81.27652,91.30563,76.32484
TAS-Male-Sentenced,332.48505,346.8982,355.74478,367.24402,331.5258,346.4187,355.53528,367.17416
VIC-Female-Remanded,69.22126,69.29385,69.27472,69.35619,69.33085,69.3497,69.414406,69.47333
VIC-Female-Sentenced,243.21216,243.20067,243.15009,243.159,243.2004,243.23972,243.2406,243.27945
VIC-Male-Remanded,757.26746,768.1999,772.95404,781.09717,787.3784,794.7113,801.46454,808.51416
VIC-Male-Sentenced,3467.452,3503.6172,3610.582,3658.5964,3597.8652,3635.746,3733.9563,3773.2512
WA-Female-Remanded,63.161762,63.025883,63.030144,62.904743,62.77832,62.82499,62.87105,62.852913
WA-Female-Sentenced,312.40128,310.47116,309.5003,309.02435,308.75574,308.6739,308.63507,308.58334
WA-Male-Remanded,689.6466,689.75336,689.7605,689.7462,689.7308,689.7689,689.7936,689.8092
WA-Male-Sentenced,3474.954,3459.7153,3451.9036,3447.9292,3445.898,3444.8738,3444.337,3444.0806
ACT-Female-Remanded-ATSI,1.2835169,1.300358,1.3240569,1.3251045,1.3434904,1.3474414,1.3447654,1.3493392
ACT-Female-Remanded-Non-ATSI,6.1157317,6.092447,6.0557723,6.0467596,6.1018057,6.0702024,6.0639853,6.0691853
ACT-Female-Sentenced-ATSI,0.25860086,0.24536785,0.22473374,0.2261683,0.2704088,0.24176928,0.2128686,0.21557364
ACT-Female-Sentenced-Non-ATSI,6.0091105,5.6568885,6.8027925,6.4240594,6.047164,6.1608815,5.7668076,5.90006
ACT-Male-Remanded-ATSI,18.194124,18.189133,18.227474,18.212656,18.187267,18.169073,18.208258,18.187351
ACT-Male-Remanded-Non-ATSI,59.26276,58.1828,58.22369,58.193443,58.139126,58.18173,58.216755,58.18941
ACT-Male-Sentenced-ATSI,17.112995,17.135185,17.150145,17.165115,17.158346,17.153221,17.149687,17.193884
ACT-Male-Sentenced-Non-ATSI,112.52359,109.554306,107.11043,105.11525,103.43686,102.0757,100.96193,100.05219
NSW-Female-Remanded-ATSI,56.090614,56.07705,56.059235,56.015354,56.082848,56.044292,56.023296,56.037144
NSW-Female-Remanded-Non-ATSI,139.1433,139.15828,139.23,139.18845,139.14877,139.1569,139.20079,139.21855
NSW-Female-Sentenced-ATSI,146.15709,146.1483,146.17964,146.19125,146.12729,146.12395,146.16748,146.16891
NSW-Female-Sentenced-Non-ATSI,399.15274,399.21158,399.23795,399.20407,399.1658,399.22012,399.23697,399.21136
NSW-Male-Remanded-ATSI,526.6863,535.3605,504.8463,498.51263,554.9443,563.5868,533.0735,526.7343
NSW-Male-Remanded-Non-ATSI,1900.0763,1900.1072,1900.1024,1900.096,1900.1074,1900.1178,1900.1204,1900.1139
NSW-Male-Sentenced-ATSI,1610.5763,1626.019,1641.454,1656.887,1672.2894,1687.7134,1703.1648,1718.6282
NSW-Male-Sentenced-Non-ATSI,5437.1777,5437.164,5437.2,5437.1963,5437.132,5437.1045,5437.1323,5437.174
NT-Female-Remanded-ATSI,8.226533,8.246521,8.326123,8.29073,8.229885,8.253559,8.312717,8.274531
NT-Female-Remanded-Non-ATSI,1.3446043,1.47244,1.6027657,1.6856631,1.7183939,1.748271,1.8006728,1.8288966
NT-Female-Sentenced-ATSI,32.84442,33.77337,34.766285,35.65965,36.62548,37.54814,38.48134,39.466156
NT-Female-Sentenced-Non-ATSI,5.5406523,5.741578,5.879794,5.942399,5.984774,6.0037527,6.046389,6.045546
NT-Male-Remanded-ATSI,217.41159,217.3841,217.34895,217.33823,217.39424,217.343,217.3517,217.36475
NT-Male-Remanded-Non-ATSI,28.243395,28.253101,28.258749,28.267511,28.260374,28.262215,28.270203,28.272715
NT-Male-Sentenced-ATSI,693.29376,693.29926,693.3648,693.4124,693.3474,693.3465,693.3962,693.4435
NT-Male-Sentenced-Non-ATSI,155.32845,155.32971,155.34161,155.336,155.34064,155.35114,155.35675,155.35097
QLD-Female-Remanded-ATSI,30.158722,30.15202,30.136406,30.147394,30.16233,30.16063,30.153713,30.161257
QLD-Female-Remanded-Non-ATSI,55.328087,56.912334,58.137135,58.98246,59.596226,60.078728,60.45377,60.69262
QLD-Female-Sentenced-ATSI,107.00758,107.889694,107.51139,107.68688,107.61287,107.6424,107.66858,107.66832
QLD-Female-Sentenced-Non-ATSI,216.09808,216.11415,216.1149,216.12697,216.13496,216.1304,216.13312,216.13986
QLD-Male-Remanded-ATSI,346.12238,360.05215,329.74277,346.1403,374.15985,384.5435,351.15225,364.85522
QLD-Male-Remanded-Non-ATSI,775.8467,782.37177,787.2777,790.974,793.81274,795.92413,797.52765,798.7572
QLD-Male-Sentenced-ATSI,1210.12,1210.1283,1210.2153,1210.2322,1210.2102,1210.214,1210.229,1210.2487
QLD-Male-Sentenced-Non-ATSI,2897.207,2917.0146,2926.3674,2930.7583,2932.7683,2933.744,2934.2488,2934.4539
SA-Female-Remanded-ATSI,13.065415,13.057824,13.069745,13.035135,13.091218,13.029728,13.051017,13.012406
SA-Female-Remanded-Non-ATSI,41.53858,42.168407,44.225075,44.224083,44.72641,45.310913,45.92405,46.455704
SA-Female-Sentenced-ATSI,20.355776,19.65157,19.035599,18.567944,18.098866,17.697296,17.37342,17.062754
SA-Female-Sentenced-Non-ATSI,56.02328,56.05917,56.061283,56.087547,56.05201,56.077923,56.103325,56.10597
SA-Male-Remanded-ATSI,197.67874,197.70145,203.14972,205.53091,209.15912,214.60808,218.18425,222.8247
SA-Male-Remanded-Non-ATSI,420.02615,420.07724,420.09128,420.08624,420.06985,420.06506,420.0996,420.0715
SA-Male-Sentenced-ATSI,245.44852,242.18954,238.67097,240.31459,240.35947,240.35193,240.29787,240.2801
SA-Male-Sentenced-Non-ATSI,987.5621,995.09534,1002.63306,1010.1411,1017.6491,1025.171,1032.6877,1040.2123
TAS-Female-Remanded-ATSI,2.8064392,2.8000717,2.7752454,2.7634497,2.8083856,2.789618,2.7572532,2.7572136
TAS-Female-Remanded-Non-ATSI,7.63867,7.643858,7.6515317,7.6315722,7.6240664,7.642134,7.686268,7.6845737
TAS-Female-Sentenced-ATSI,4.4731045,4.470883,4.4850316,5.95168,4.67689,4.697971,4.7023544,5.4230886
TAS-Female-Sentenced-Non-ATSI,21.697533,21.261244,21.276682,21.293081,21.268755,21.26097,21.263096,21.258009
TAS-Male-Remanded-ATSI,16.190395,15.3349285,14.893956,14.6992235,14.549818,14.534903,14.547779,14.579119
TAS-Male-Remanded-Non-ATSI,67.39837,70.448685,80.45,65.42401,63.728542,66.741615,76.75785,61.74572
TAS-Male-Sentenced-ATSI,45.466618,45.16396,45.017876,44.934624,44.951897,44.946945,44.935036,44.923786
TAS-Male-Sentenced-Non-ATSI,287.01843,301.73422,310.7269,322.3094,286.57388,301.47174,310.60025,322.25037
VIC-Female-Remanded-ATSI,7.1081347,7.162761,7.1525655,7.217035,7.191677,7.204284,7.254652,7.2773256
VIC-Female-Remanded-Non-ATSI,62.11313,62.131096,62.12215,62.139156,62.13917,62.14542,62.159756,62.196
VIC-Female-Sentenced-ATSI,20.044605,20.061436,20.046024,20.014986,20.05066,20.062273,20.042192,20.027998
VIC-Female-Sentenced-Non-ATSI,223.16756,223.13924,223.10406,223.14401,223.14973,223.17744,223.19841,223.25145
VIC-Male-Remanded-ATSI,45.476643,45.473255,45.495445,45.468353,45.470303,45.4778,45.48889,45.462822
VIC-Male-Remanded-Non-ATSI,711.79083,722.7266,727.4586,735.6288,741.90814,749.2335,755.97565,763.05133
VIC-Male-Sentenced-ATSI,216.74648,220.52629,224.35765,228.1789,231.92682,235.70203,239.53629,243.36035
VIC-Male-Sentenced-Non-ATSI,3250.7053,3283.0908,3386.2244,3430.4175,3365.9385,3400.0442,3494.42,3529.8909
WA-Female-Remanded-ATSI,32.305485,32.306755,32.385975,32.356308,32.33345,32.341698,32.371895,32.389763
WA-Female-Remanded-Non-ATSI,30.856277,30.719128,30.644167,30.548435,30.44487,30.483292,30.499157,30.463152
WA-Female-Sentenced-ATSI,142.1505,142.18275,142.19931,142.18178,142.15668,142.19214,142.19733,142.18266
WA-Female-Sentenced-Non-ATSI,170.25078,168.2884,167.301,166.84258,166.59904,166.48175,166.43774,166.40068
WA-Male-Remanded-ATSI,266.3425,266.39124,266.38983,266.3912,266.3904,266.4052,266.396,266.41455
WA-Male-Remanded-Non-ATSI,423.3041,423.36212,423.3707,423.35498,423.34036,423.36374,423.39758,423.39462
WA-Male-Sentenced-ATSI,1314.3218,1314.3354,1314.3264,1314.3506,1314.3303,1314.3779,1314.4061,1314.3865
WA-Male-Sentenced-Non-ATSI,2160.6323,2145.38,2137.5771,2133.5786,2131.5676,2130.4958,2129.931,2129.694
