,0,1,2,3,4,5,6,7
Aggregated,28830.264,28938.162,29042.234,29131.133,29154.357,29265.898,29354.406,29432.252
ACT,247.37125,239.07956,238.19852,236.01053,238.10225,234.89467,232.80034,233.36485
NSW,10224.184,10250.08,10235.496,10243.898,10313.395,10338.631,10324.123,10331.958
NT,1162.5043,1161.1545,1162.0907,1164.712,1166.1196,1166.3203,1166.9167,1169.4242
QLD,5648.6274,5689.548,5674.646,5700.3276,5732.66,5746.748,5715.2603,5731.436
SA,1998.1367,1998.9312,2010.5266,2018.4401,2032.7148,2045.1512,2056.1523,2067.6074
TAS,458.27185,475.03705,493.86383,489.52704,452.19592,469.83524,489.3952,484.93686
VIC,4541.0054,4590.208,4702.4316,4756.89,4701.536,4748.017,4853.4126,4897.959
WA,4550.159,4534.122,4524.9834,4521.3223,4517.63,4516.302,4516.3438,4515.563
ACT-Female,21.57933,19.826736,21.329506,21.019762,21.886913,20.727962,20.845943,21.056534
ACT-Male,225.79192,219.25284,216.86902,214.99077,216.21533,214.16669,211.95439,212.30832
NSW-Female,741.483,744.0165,744.3638,744.31494,741.67505,743.6117,743.77856,743.15485
NSW-Male,9482.7,9506.063,9491.133,9499.584,9571.72,9595.02,9580.346,9588.803
NT-Female,65.10087,62.191307,63.07444,65.724335,68.24288,67.83069,68.109604,71.28582
NT-Male,1097.4034,1098.9631,1099.0162,1098.9878,1097.8767,1098.4896,1098.8071,1098.1384
QLD-Female,416.07465,417.4312,418.5409,419.60095,419.99603,420.5313,420.3891,421.35764
QLD-Male,5232.5527,5272.1167,5256.1055,5280.7266,5312.664,5326.217,5294.871,5310.0786
SA-Female,131.58232,131.58174,133.28693,130.4079,131.04095,131.73193,131.91669,130.52585
SA-Male,1866.5544,1867.3494,1877.2397,1888.0322,1901.6738,1913.4193,1924.2356,1937.0815
TAS-Female,38.574158,37.834274,37.87509,37.611004,37.60614,37.074406,37.18376,36.76936
TAS-Male,419.6977,437.20276,455.98874,451.91602,414.58978,432.76083,452.21143,448.1675
VIC-Female,309.3191,310.8017,311.26367,308.94415,308.30017,309.06396,309.77887,307.52606
VIC-Male,4231.6865,4279.4062,4391.1675,4447.9463,4393.2363,4438.953,4543.634,4590.4326
WA-Female,379.1797,377.89642,376.67218,376.78613,376.095,375.97162,376.03217,375.94608
WA-Male,4170.9795,4156.2256,4148.3105,4144.5356,4141.535,4140.33,4140.3115,4139.6167
ACT-Female-Remanded,7.771616,8.528339,8.695753,9.145755,9.075628,8.548004,9.38572,9.14106
ACT-Female-Sentenced,13.8077135,11.298398,12.633754,11.874007,12.811286,12.179958,11.460222,11.915475
ACT-Male-Remanded,89.49725,85.984344,85.94296,85.705505,87.75299,87.29674,86.34318,87.154915
ACT-Male-Sentenced,136.29466,133.2685,130.92606,129.28526,128.46234,126.86996,125.61122,125.153404
NSW-Female-Remanded,189.75235,192.08867,192.08105,193.06274,190.1488,191.8081,191.70583,191.88895
NSW-Female-Sentenced,551.7306,551.92786,552.2827,551.2522,551.52625,551.8036,552.07275,551.26587
NSW-Male-Remanded,2437.0413,2443.8286,2413.395,2406.3608,2464.2249,2471.9001,2441.549,2435.0063
NSW-Male-Sentenced,7045.6587,7062.2344,7077.7373,7093.2227,7107.495,7123.1196,7138.796,7153.797
NT-Female-Remanded,20.453068,17.835676,17.827475,18.313648,19.9002,18.716002,18.520422,19.477137
NT-Female-Sentenced,44.6478,44.355637,45.246964,47.41069,48.34268,49.114685,49.589184,51.808685
NT-Male-Remanded,249.4499,250.06595,250.29695,249.72818,249.75099,250.04091,250.32219,249.68793
NT-Male-Sentenced,847.9535,848.8972,848.7193,849.2595,848.1258,848.4487,848.485,848.45044
QLD-Female-Remanded,92.53725,92.950554,94.47464,94.88341,96.01199,96.41713,96.439026,97.11514
QLD-Female-Sentenced,323.5374,324.48065,324.06625,324.71756,323.984,324.11417,323.9501,324.2425
QLD-Male-Remanded,1121.8575,1143.1997,1117.8381,1138.9161,1168.1825,1181.4026,1149.6345,1165.0344
QLD-Male-Sentenced,4110.6953,4128.917,4138.267,4141.8105,4144.4814,4144.8145,4145.2363,4145.044
SA-Female-Remanded,56.62002,56.765182,58.97632,58.119442,58.885944,59.90512,59.99003,60.420868
SA-Female-Sentenced,74.962296,74.81656,74.310616,72.288445,72.155014,71.826805,71.92665,70.10497
SA-Male-Remanded,624.00964,622.8555,628.34467,631.12964,635.05566,640.5923,643.6598,649.4469
SA-Male-Sentenced,1242.5448,1244.4939,1248.895,1256.9026,1266.6182,1272.827,1280.5758,1287.6346
TAS-Female-Remanded,14.691875,14.13905,14.247338,12.445892,13.758439,13.7415085,13.4078,12.716356
TAS-Female-Sentenced,23.882286,23.695225,23.627754,25.165112,23.847698,23.332897,23.77596,24.053001
TAS-Male-Remanded,83.04501,85.82003,95.771164,80.02619,78.325005,80.98546,91.69806,75.78094
TAS-Male-Sentenced,336.65265,351.38272,360.21756,371.88983,336.26477,351.7754,360.5134,372.38657
VIC-Female-Remanded,65.85929,66.67623,66.96265,65.484116,64.547035,65.68113,65.70474,64.6178
VIC-Female-Sentenced,243.45981,244.12546,244.30103,243.46002,243.75314,243.38284,244.07414,242.90825
VIC-Male-Remanded,764.85406,775.60175,780.169,789.36865,795.88135,803.51245,809.7139,817.8487
VIC-Male-Sentenced,3466.8325,3503.8047,3610.9985,3658.5774,3597.3547,3635.4404,3733.92,3772.584
WA-Female-Remanded,61.655327,62.332302,61.99067,62.799046,61.86764,61.93927,62.0429,62.179386
WA-Female-Sentenced,317.52435,315.5641,314.68152,313.98706,314.22736,314.03235,313.98926,313.7667
