,0,1,2,3,4,5,6,7
Aggregated,28732.693,28846.146,28947.986,29041.938,29061.428,29174.36,29262.418,29342.992
ACT,221.56497,217.09686,215.80487,213.42279,211.32596,210.09708,208.53186,207.74042
NSW,10215.557,10239.631,10224.588,10233.698,10305.495,10329.586,10314.508,10323.628
NT,1142.309,1143.5691,1144.7804,1145.9176,1146.8801,1147.8911,1148.8696,1149.879
QLD,5638.488,5681.1465,5665.838,5691.3887,5724.7793,5738.7393,5707.7354,5723.155
SA,1982.8091,1986.9731,1997.9622,2009.0872,2020.274,2033.431,2044.7683,2057.2354
TAS,453.9198,469.95288,488.38757,486.16696,447.28186,465.13074,484.1958,481.55762
VIC,4537.9966,4585.114,4696.808,4752.9614,4698.495,4743.7407,4848.6587,4894.957
WA,4540.0474,4522.6553,4513.8193,4509.2925,4506.9062,4505.7476,4505.1455,4504.8438
ACT-Female,14.073101,13.687957,14.838309,14.482487,14.069204,14.216108,13.797148,13.95414
ACT-Male,207.49188,203.4089,200.96657,198.94029,197.25677,195.88097,194.73471,193.78629
NSW-Female,740.6502,740.6528,740.66785,740.67395,740.65924,740.6681,740.66846,740.67114
NSW-Male,9474.906,9498.979,9483.92,9493.024,9564.836,9588.918,9573.84,9582.957
NT-Female,48.21957,49.490234,50.682854,51.79708,52.805367,53.817074,54.796455,55.781826
NT-Male,1094.0895,1094.0789,1094.0975,1094.1205,1094.0747,1094.074,1094.0731,1094.0972
QLD-Female,409.02188,411.49573,412.27557,413.33954,413.86517,414.3524,414.68243,414.98013
QLD-Male,5229.466,5269.6504,5253.5625,5278.049,5310.914,5324.3867,5293.0527,5308.175
SA-Female,131.58493,131.51634,132.95065,132.45505,132.54211,132.71541,132.93623,133.2098
SA-Male,1851.2241,1855.4568,1865.0116,1876.6322,1887.7319,1900.7156,1911.832,1924.0256
TAS-Female,37.099777,36.652073,36.679054,38.1633,36.86709,36.879517,36.887215,37.621418
TAS-Male,416.82,433.3008,451.7085,448.00366,410.41476,428.25122,447.30856,443.9362
VIC-Female,312.8134,312.822,312.8442,312.83063,312.81512,312.83286,312.84402,312.8337
VIC-Male,4225.183,4272.292,4383.964,4440.131,4385.68,4430.908,4535.8145,4582.123
WA-Female,375.8437,373.687,372.62964,372.09387,371.789,371.6708,371.6004,371.5711
WA-Male,4164.2036,4148.9688,4141.1895,4137.198,4135.117,4134.0767,4133.5454,4133.2725
ACT-Female-Remanded,7.6320944,7.6310835,7.645388,7.6484666,7.625024,7.633137,7.6340885,7.6398973
ACT-Female-Sentenced,6.441007,6.0568733,7.192921,6.8340197,6.44418,6.5829716,6.1630588,6.314243
ACT-Male-Remanded,77.71278,76.59605,76.61027,76.59993,76.592255,76.61016,76.61417,76.60552
ACT-Male-Sentenced,129.7791,126.81287,124.3563,122.34036,120.66451,119.270805,118.12054,117.18076
NSW-Female-Remanded,195.28545,195.28018,195.2938,195.30553,195.29997,195.29637,195.29718,195.30133
NSW-Female-Sentenced,545.36475,545.37256,545.3741,545.36847,545.35925,545.3717,545.37134,545.3698
NSW-Male-Remanded,2426.953,2435.5942,2405.088,2398.7456,2455.16,2463.8037,2433.2896,2426.955
NSW-Male-Sentenced,7047.9536,7063.3843,7078.832,7094.279,7109.6763,7125.1143,7140.55,7156.0015
NT-Female-Remanded,9.6553955,9.78911,9.892336,9.983945,10.019599,10.051277,10.071717,10.107208
NT-Female-Sentenced,38.564175,39.701122,40.79052,41.813137,42.785767,43.765797,44.72474,45.674618
NT-Male-Remanded,245.52296,245.5194,245.53207,245.54248,245.51584,245.51682,245.51743,245.5306
NT-Male-Sentenced,848.56647,848.55945,848.5654,848.57806,848.55884,848.55725,848.55566,848.56665
QLD-Female-Remanded,85.65759,87.22364,88.38698,89.27866,89.89195,90.346725,90.689285,90.976105
QLD-Female-Sentenced,323.3643,324.2721,323.8886,324.06088,323.9732,324.00565,323.99316,324.00403
QLD-Male-Remanded,1121.9962,1142.4141,1117.0231,1137.1267,1167.9448,1180.4508,1148.6641,1163.5637
QLD-Male-Sentenced,4107.4697,4127.2363,4136.539,4140.9224,4142.969,4143.936,4144.3887,4144.611
SA-Female-Remanded,54.87227,55.48266,57.50014,57.52249,58.081097,58.636024,59.199257,59.772236
SA-Female-Sentenced,76.71267,76.033676,75.450516,74.932556,74.46103,74.079384,73.73697,73.43756
SA-Male-Remanded,617.84375,617.833,623.31104,625.7159,629.3202,634.7851,638.38306,643.0364
SA-Male-Sentenced,1233.3802,1237.6238,1241.7006,1250.9164,1258.4117,1265.9305,1273.449,1280.9893
TAS-Female-Remanded,10.62821,10.63006,10.642849,10.6461315,10.622402,10.632154,10.63298,10.639022
TAS-Female-Sentenced,26.471565,26.022013,26.036203,27.51717,26.244688,26.247364,26.254232,26.982397
TAS-Male-Remanded,84.06819,86.17266,95.733604,80.50816,78.680855,81.6358,91.60694,76.59411
TAS-Male-Sentenced,332.75183,347.12814,355.9749,367.49548,331.73392,346.61542,355.70163,367.34207
VIC-Female-Remanded,69.456375,69.45475,69.46884,69.4714,69.462204,69.46536,69.46972,69.468666
VIC-Female-Sentenced,243.35701,243.36725,243.37537,243.35925,243.35292,243.3675,243.37431,243.36504
VIC-Male-Remanded,757.4451,768.37994,773.11774,781.2839,787.5486,794.86536,801.60004,808.6573
VIC-Male-Sentenced,3467.738,3503.9119,3610.8462,3658.847,3598.1316,3636.0427,3734.2146,3773.466
WA-Female-Remanded,63.20264,62.99671,62.88774,62.83221,62.780403,62.764183,62.74919,62.750824
WA-Female-Sentenced,312.64105,310.6903,309.74188,309.26166,309.0086,308.90662,308.8512,308.82028
WA-Male-Remanded,689.5653,689.56464,689.58594,689.59045,689.5774,689.58386,689.5886,689.5868
WA-Male-Sentenced,3474.6382,3459.4038,3451.6035,3447.608,3445.54,3444.4927,3443.9565,3443.6855
ACT-Female-Remanded-ATSI,1.3805454,1.3859372,1.3966533,1.3949825,1.3864357,1.3954921,1.396118,1.395416
ACT-Female-Remanded-Non-ATSI,6.2515492,6.2451463,6.248735,6.2534842,6.2385883,6.237645,6.2379704,6.244481
ACT-Female-Sentenced-ATSI,0.2333479,0.2335499,0.24421163,0.24820274,0.23249422,0.23773086,0.24044225,0.24271382
ACT-Female-Sentenced-Non-ATSI,6.2076592,5.8233232,6.9487095,6.585817,6.2116857,6.3452406,5.9226165,6.071529
ACT-Male-Remanded-ATSI,18.224394,18.23429,18.243452,18.234653,18.240936,18.252367,18.2548,18.243986
ACT-Male-Remanded-Non-ATSI,59.488388,58.361755,58.366817,58.36528,58.351315,58.357796,58.359367,58.361538
ACT-Male-Sentenced-ATSI,17.18556,17.180096,17.17929,17.185568,17.187147,17.180067,17.178566,17.182749
ACT-Male-Sentenced-Non-ATSI,112.59354,109.63277,107.17701,105.15479,103.47736,102.09074,100.94197,99.99802
NSW-Female-Remanded-ATSI,56.049057,56.040924,56.050602,56.06227,56.052235,56.04617,56.047047,56.05426
NSW-Female-Remanded-Non-ATSI,139.23639,139.23926,139.2432,139.24326,139.24774,139.2502,139.25014,139.24707
NSW-Female-Sentenced-ATSI,146.16559,146.1753,146.18484,146.17654,146.17708,146.18951,146.19283,146.18361
NSW-Female-Sentenced-Non-ATSI,399.19916,399.1973,399.18924,399.19193,399.1822,399.1822,399.1785,399.18622
NSW-Male-Remanded-ATSI,526.69403,535.32996,504.81857,498.47516,554.8967,563.53503,533.02185,526.68445
NSW-Male-Remanded-Non-ATSI,1900.2589,1900.2642,1900.2694,1900.2704,1900.2632,1900.2687,1900.2677,1900.2708
NSW-Male-Sentenced-ATSI,1610.6847,1626.1158,1641.5544,1656.9967,1672.4126,1687.8463,1703.2798,1718.7262
NSW-Male-Sentenced-Non-ATSI,5437.269,5437.2686,5437.278,5437.282,5437.2637,5437.268,5437.27,5437.2754
NT-Female-Remanded-ATSI,8.26468,8.259753,8.262438,8.274376,8.263997,8.259427,8.257227,8.267074
NT-Female-Remanded-Non-ATSI,1.3907161,1.5293567,1.6298981,1.7095692,1.7556016,1.7918503,1.8144904,1.8401351
