,0,1,2,3,4,5,6,7
Aggregated,28649.197,28768.367,28837.648,28890.9,28901.152,29024.043,29091.377,29142.79
ACT,207.36491,209.44353,208.5202,207.21786,207.12444,209.59691,208.73085,207.36865
NSW,10204.627,10211.547,10174.123,10168.58,10232.068,10239.516,10199.904,10193.697
NT,1122.0677,1129.708,1134.1587,1138.3481,1143.625,1151.7003,1156.1477,1160.1718
QLD,5542.3154,5544.157,5542.491,5541.0728,5540.5747,5542.959,5541.3877,5539.8413
SA,2004.3882,2012.992,2018.3967,2023.3928,2029.2839,2038.031,2043.1583,2047.7898
TAS,449.58398,470.53796,472.6515,473.68378,448.36996,469.80515,472.0614,472.96243
VIC,4535.5,4598.427,4691.2847,4738.741,4695.097,4758.687,4851.699,4898.9453
WA,4583.348,4591.559,4596.0234,4599.867,4605.0093,4613.7456,4618.2896,4622.0146
ACT-Female,7.9958973,9.039247,8.623505,7.9458947,8.096489,9.392726,9.009503,8.254956
ACT-Male,199.36902,200.40428,199.8967,199.27197,199.02795,200.20418,199.72134,199.11371
NSW-Female,734.4651,735.7916,735.01465,734.24854,733.74023,735.35205,734.64514,733.8294
NSW-Male,9470.162,9475.755,9439.109,9434.332,9498.328,9504.164,9465.26,9459.868
NT-Female,38.46557,39.96024,39.766506,39.430706,39.557533,41.27054,41.017105,40.55673
NT-Male,1083.6022,1089.7477,1094.3922,1098.9175,1104.0674,1110.4297,1115.1306,1119.615
QLD-Female,402.4408,403.51633,402.73303,401.88638,401.6135,402.90137,402.182,401.26315
QLD-Male,5139.875,5140.6416,5139.758,5139.1865,5138.961,5140.0576,5139.2056,5138.578
SA-Female,125.673805,127.39142,127.54116,127.46828,128.00385,129.95724,130.1339,129.99823
SA-Male,1878.7144,1885.6006,1890.8555,1895.9246,1901.28,1908.0737,1913.0244,1917.7915
TAS-Female,29.71106,30.745811,30.206371,29.499445,29.36591,30.615078,30.14698,29.402641
TAS-Male,419.87292,439.79214,442.44513,444.18433,419.00406,439.19006,441.9144,443.55978
VIC-Female,300.53296,302.15466,301.41043,300.30417,299.80408,301.65625,300.98904,299.81232
VIC-Male,4234.967,4296.2725,4389.8745,4438.437,4395.293,4457.0312,4550.71,4599.1333
WA-Female,375.9014,377.13284,376.5473,375.77728,375.36044,376.75812,376.25836,375.4372
WA-Male,4207.447,4214.4263,4219.476,4224.09,4229.6484,4236.9873,4242.0312,4246.577
ACT-Female-Remanded,4.997449,5.7032804,5.600857,5.301523,5.4747086,6.2572346,6.175161,5.846094
ACT-Female-Sentenced,2.9984486,3.335966,3.022648,2.6443715,2.6217804,3.1354916,2.8343427,2.408862
ACT-Male-Remanded,69.516014,70.029144,69.75544,69.46233,69.30543,69.93674,69.6568,69.37366
ACT-Male-Sentenced,129.853,130.37514,130.14127,129.80965,129.72252,130.26744,130.06454,129.74005
NSW-Female-Remanded,189.43964,190.16406,189.76419,189.34096,189.02843,189.88577,189.52457,189.07852
NSW-Female-Sentenced,545.0254,545.62756,545.2505,544.9076,544.7118,545.46625,545.12054,544.7509
NSW-Male-Remanded,2426.5596,2431.44,2395.269,2390.902,2455.1753,2460.0688,2421.6396,2416.7227
NSW-Male-Sentenced,7043.602,7044.315,7043.84,7043.4297,7043.1523,7044.095,7043.6196,7043.1455
NT-Female-Remanded,6.4353704,7.0198812,6.6740284,6.2953405,6.04033,6.782189,6.4470897,6.0600066
NT-Female-Sentenced,32.030197,32.940357,33.092476,33.135365,33.517204,34.48835,34.570015,34.496723
NT-Male-Remanded,244.70908,250.49332,255.42924,260.24213,265.41125,271.30054,276.26294,281.03583
NT-Male-Sentenced,838.8931,839.2544,838.963,838.67535,838.6561,839.12915,838.8676,838.57916
QLD-Female-Remanded,80.584915,81.02686,80.61926,80.25158,80.20273,80.768425,80.379524,79.97009
QLD-Female-Sentenced,321.8559,322.48947,322.11377,321.63483,321.41077,322.13293,321.8025,321.29306
QLD-Male-Remanded,1074.3812,1074.6665,1074.2947,1074.0952,1074.0151,1074.4357,1074.0739,1073.8662
QLD-Male-Sentenced,4065.4937,4065.9746,4065.4631,4065.0913,4064.9458,4065.622,4065.1318,4064.712
SA-Female-Remanded,47.590748,48.053703,47.74117,47.31392,47.233154,47.80562,47.496624,47.025944
SA-Female-Sentenced,78.08306,79.337715,79.799995,80.15436,80.7707,82.15162,82.63727,82.97228
