,0,1,2,3,4,5,6,7
Aggregated,28887.863,28988.031,29069.857,29138.418,29148.031,29249.479,29328.775,29396.357
ACT,233.04861,233.20193,233.49315,233.92722,233.15662,233.83243,234.18533,234.53464
NSW,10242.495,10246.826,10211.058,10207.022,10271.451,10275.701,10237.6455,10233.051
NT,1152.3687,1158.0687,1163.9562,1170.0066,1175.2115,1180.7185,1186.6003,1192.6133
QLD,5565.3623,5565.3623,5565.3623,5565.3623,5565.3623,5565.3623,5565.3623,5565.3623
SA,2030.7454,2036.8639,2043.6302,2050.437,2056.7954,2062.5566,2069.0054,2075.5005
TAS,476.6634,494.4272,498.31085,501.72366,476.51074,494.42685,498.3342,501.7426
VIC,4564.837,4624.1543,4718.9224,4769.0615,4726.3022,4785.626,4880.3945,4930.54
WA,4622.344,4629.127,4635.123,4640.877,4643.2324,4651.247,4657.248,4663.0117
ACT-Female,19.839119,19.784746,20.058926,20.42422,20.607117,20.510822,20.801376,21.150137
ACT-Male,213.2095,213.4172,213.43423,213.50299,212.5495,213.32162,213.38397,213.38449
NSW-Female,748.8629,748.8629,748.8629,748.8629,748.8629,748.8629,748.8629,748.8629
NSW-Male,9493.633,9497.963,9462.194,9458.16,9522.588,9526.838,9488.783,9484.1875
NT-Female,53.955498,53.976524,54.600777,55.346546,55.87455,55.65806,56.266476,56.99025
NT-Male,1098.4131,1104.0922,1109.3555,1114.6599,1119.3369,1125.0604,1130.334,1135.623
QLD-Female,413.22723,413.22723,413.22723,413.22723,413.22723,413.22723,413.22723,413.22723
QLD-Male,5152.135,5152.135,5152.135,5152.135,5152.135,5152.135,5152.135,5152.135
SA-Female,138.44994,138.64667,139.58301,140.64688,141.3453,141.52505,142.46693,143.52634
SA-Male,1892.2954,1898.2173,1904.0472,1909.79,1915.4502,1921.0317,1926.5383,1931.9741
TAS-Female,42.79915,42.220497,42.50135,42.91896,42.69643,42.32576,42.621674,43.049965
TAS-Male,433.86423,452.2067,455.8095,458.80472,433.81433,452.10107,455.71252,458.69263
VIC-Female,314.95508,314.62863,314.74582,314.93036,314.8442,314.52423,314.64215,314.83325
VIC-Male,4249.882,4309.526,4404.1763,4454.131,4411.458,4471.1016,4565.7524,4615.707
WA-Female,388.70786,388.70786,388.70786,388.70786,388.70786,388.70786,388.70786,388.70786
WA-Male,4233.636,4240.419,4246.4155,4252.169,4254.525,4262.539,4268.5405,4274.3037
ACT-Female-Remanded,11.068112,11.158331,11.370215,11.626389,11.86147,11.938147,12.159327,12.407976
ACT-Female-Sentenced,8.771008,8.626416,8.68871,8.797831,8.745647,8.572676,8.64205,8.742162
ACT-Male-Remanded,76.39137,76.44112,76.43514,76.45251,76.11933,76.55172,76.551346,76.55201
ACT-Male-Sentenced,136.81813,136.97607,136.99908,137.05048,136.43016,136.7699,136.83261,136.83249
NSW-Female-Remanded,196.4625,196.4625,196.4625,196.4625,196.4625,196.4625,196.4625,196.4625
NSW-Female-Sentenced,552.4004,552.4004,552.4004,552.4004,552.4004,552.4004,552.4004,552.4004
NSW-Male-Remanded,2436.7007,2441.0317,2405.263,2401.2283,2465.733,2469.9065,2431.851,2427.2559
NSW-Male-Sentenced,7056.9316,7056.9316,7056.9316,7056.9316,7056.855,7056.9316,7056.9316,7056.9316
NT-Female-Remanded,14.4514675,14.373293,14.406399,14.5021,14.563542,14.370716,14.458684,14.601706
NT-Female-Sentenced,39.50403,39.603233,40.194374,40.844444,41.31101,41.287342,41.807793,42.388546
NT-Male-Remanded,251.11847,256.38004,261.6416,266.9032,272.16476,277.42633,282.6879,287.94952
NT-Male-Sentenced,847.2946,847.7121,847.71387,847.7568,847.17224,847.6341,847.646,847.67346
QLD-Female-Remanded,85.38472,85.38472,85.38472,85.38472,85.38472,85.38472,85.38472,85.38472
QLD-Female-Sentenced,327.84253,327.84253,327.84253,327.84253,327.84253,327.84253,327.84253,327.84253
QLD-Male-Remanded,1078.9053,1078.9053,1078.9053,1078.9053,1078.9053,1078.9053,1078.9053,1078.9053
QLD-Male-Sentenced,4073.2295,4073.2295,4073.2295,4073.2295,4073.2295,4073.2295,4073.2295,4073.2295
SA-Female-Remanded,54.211403,53.787876,53.891735,54.07907,54.090923,53.670067,53.7806,53.97148
SA-Female-Sentenced,84.23853,84.85878,85.69127,86.5678,87.25437,87.85499,88.68633,89.554855
SA-Male-Remanded,654.62463,660.5465,666.37646,672.1193,677.7794,683.3609,688.8676,694.3034
SA-Male-Sentenced,1237.6708,1237.6708,1237.6708,1237.6708,1237.6708,1237.6708,1237.6708,1237.6708
TAS-Female-Remanded,11.974993,11.62893,11.73032,11.899185,11.868419,11.523136,11.631471,11.805405
TAS-Female-Sentenced,30.824158,30.591564,30.77103,31.019775,30.828012,30.80262,30.990204,31.24456
TAS-Male-Remanded,87.74042,98.074455,99.71189,89.30663,87.690475,97.96882,99.61486,89.19452
