,0,1,2,3,4,5,6,7
Aggregated,29620.406,29728.7,29705.926,29919.045,29803.402,29989.396,30013.916,30146.203
ACT,272.94794,269.83795,268.82523,271.22635,273.51456,274.6747,274.35138,274.34128
NSW,9548.125,9635.045,9608.467,9574.908,9430.039,9512.408,9510.953,9460.159
NT,1466.8052,1490.6245,1507.1906,1531.3889,1554.218,1574.9739,1593.3231,1613.5353
QLD,5768.397,5741.3237,5725.388,5768.983,5786.6763,5795.5894,5784.7227,5767.03
SA,2143.856,2159.623,2172.2979,2190.2983,2208.0034,2223.1743,2236.6646,2251.405
TAS,464.57324,475.85648,496.25378,500.0641,469.19202,489.79938,495.65326,491.5791
VIC,5029.106,5042.558,5038.45,5190.2783,5173.118,5192.9595,5186.188,5345.8433
WA,4926.596,4913.83,4889.053,4891.8965,4908.6406,4925.8184,4932.059,4942.309
ACT-Female,13.879819,13.622877,13.041475,14.182525,15.175505,15.650898,15.3991995,15.16469
ACT-Male,259.0681,256.2151,255.78375,257.04382,258.33908,259.0238,258.95218,259.17657
NSW-Female,617.93945,626.3889,630.7285,629.141,612.2897,617.0412,622.49646,617.7864
NSW-Male,8930.186,9008.656,8977.738,8945.768,8817.749,8895.367,8888.457,8842.373
NT-Female,86.47147,90.407074,89.21734,92.49884,94.76762,96.37445,97.09581,98.4214
NT-Male,1380.3336,1400.2175,1417.9731,1438.8903,1459.4504,1478.5994,1496.2273,1515.1139
QLD-Female,457.29352,456.7965,456.88266,457.6265,454.85205,459.8236,462.50165,460.72604
QLD-Male,5311.1035,5284.5273,5268.5054,5311.3564,5331.824,5335.7656,5322.2217,5306.3037
SA-Female,137.93462,138.63977,137.84056,139.78958,140.37634,140.88571,140.18362,140.07794
SA-Male,2005.9214,2020.9834,2034.4572,2050.5088,2067.627,2082.2886,2096.481,2111.3271
TAS-Female,37.900185,38.916183,39.391796,42.06434,36.662445,39.580856,40.84243,42.793213
TAS-Male,426.67303,436.9403,456.862,457.99976,432.52957,450.21848,454.81082,448.78592
VIC-Female,342.4964,344.03067,345.22888,348.10883,350.28296,352.4325,354.04538,356.02643
VIC-Male,4686.6094,4698.5273,4693.221,4842.1694,4822.835,4840.5273,4832.1426,4989.817
WA-Female,433.94962,424.65308,419.10382,421.66968,426.77795,436.07227,444.4181,450.89392
WA-Male,4492.6465,4489.177,4469.949,4470.2266,4481.8633,4489.746,4487.641,4491.415
ACT-Female-Remanded,6.003095,6.219124,6.4216504,6.8604875,6.763504,6.94905,7.056618,7.188409
ACT-Female-Sentenced,7.876724,7.4037538,6.6198254,7.3220377,8.412001,8.701848,8.342582,7.976281
ACT-Male-Remanded,86.24211,83.67897,83.34026,84.27931,85.35945,85.71123,85.78135,86.04574
ACT-Male-Sentenced,172.82602,172.53612,172.4435,172.76451,172.97961,173.31256,173.17084,173.13083
NSW-Female-Remanded,200.08542,203.00078,203.53122,205.53476,208.96252,209.16757,209.22931,209.29102
NSW-Female-Sentenced,417.85406,423.3881,427.19727,423.60626,403.32712,407.87363,413.26718,408.4954
NSW-Male-Remanded,2509.2173,2496.505,2474.3613,2501.3467,2508.1611,2501.4043,2491.7117,2503.8506
