,0,1,2,3,4,5,6,7
Aggregated,29656.586,29839.498,29921.023,29914.076,29761.393,29955.104,30029.404,30031.133
ACT,284.9973,279.5171,278.43304,277.36728,282.1958,277.0645,276.6612,276.1032
NSW,9667.9375,9750.199,9767.006,9752.773,9689.369,9783.854,9787.686,9775.127
NT,1509.1417,1533.613,1551.256,1569.7834,1611.465,1626.1146,1650.4983,1671.1652
QLD,5749.968,5784.6416,5781.0815,5754.4595,5764.117,5796.892,5788.549,5765.533
SA,2156.1072,2152.5298,2154.9248,2152.35,2154.478,2159.476,2158.4146,2156.4436
TAS,464.39447,475.25827,483.38956,494.1691,464.37347,475.43823,484.33203,495.68567
VIC,4982.7686,5032.004,5104.2354,5150.6074,5089.838,5136.2705,5210.9463,5260.1797
WA,4841.277,4831.733,4800.7,4762.564,4705.5566,4699.9966,4672.315,4630.8945
ACT-Female,15.5268955,13.470018,13.086127,12.891232,14.66115,12.794903,12.524353,12.419608
ACT-Male,269.4704,266.04706,265.34692,264.47604,267.53467,264.26962,264.13684,263.6836
NSW-Female,646.9468,648.58435,648.343,648.0801,650.87744,652.18555,654.28516,655.17883
NSW-Male,9020.99,9101.615,9118.663,9104.693,9038.492,9131.668,9133.4,9119.947
NT-Female,91.59387,92.01481,91.885445,91.641525,92.044716,91.78973,92.015,92.349304
NT-Male,1417.5479,1441.5983,1459.3706,1478.1418,1519.4203,1534.3248,1558.4833,1578.8158
QLD-Female,455.00168,457.1017,458.6847,458.81268,456.8501,458.70264,459.5537,459.83582
QLD-Male,5294.966,5327.54,5322.3965,5295.6465,5307.2666,5338.1895,5328.995,5305.6973
SA-Female,141.77527,139.23318,138.98557,138.56454,140.66646,138.91975,138.44843,138.58754
SA-Male,2014.332,2013.2965,2015.9392,2013.7855,2013.8116,2020.5563,2019.966,2017.8561
TAS-Female,40.971268,41.756397,42.882973,44.053413,41.234978,41.961365,43.554268,44.752907
TAS-Male,423.42322,433.5019,440.5066,450.11566,423.13852,433.47687,440.77777,450.9328
VIC-Female,338.51047,340.45795,341.44214,342.20486,340.64633,342.4373,344.23514,344.97952
VIC-Male,4644.258,4691.546,4762.7935,4808.4023,4749.1914,4793.833,4866.7114,4915.2
WA-Female,442.23233,443.76172,442.73346,445.79593,443.03052,444.6596,447.64557,448.2827
WA-Male,4399.0444,4387.971,4357.967,4316.768,4262.5264,4255.337,4224.6694,4182.612
ACT-Female-Remanded,5.8529654,4.598508,4.367888,4.344653,5.198722,4.127116,3.93659,3.9723554
ACT-Female-Sentenced,9.67393,8.871511,8.718239,8.546579,9.462429,8.667787,8.587764,8.447252
ACT-Male-Remanded,91.65895,88.74096,88.031235,88.038704,90.122086,86.69943,86.80159,87.18464
ACT-Male-Sentenced,177.81145,177.30609,177.31567,176.43735,177.41257,177.57019,177.33525,176.49896
NSW-Female-Remanded,213.62018,211.55052,209.2138,207.79303,213.65384,210.70331,210.36218,209.77377
NSW-Female-Sentenced,433.32663,437.0338,439.1292,440.28708,437.22357,441.4822,443.92294,445.40503
NSW-Male-Remanded,2546.9277,2538.1172,2534.891,2529.016,2545.106,2545.2017,2530.227,2526.4758
NSW-Male-Sentenced,6474.0625,6563.498,6583.772,6575.677,6493.386,6586.4663,6603.173,6593.472
NT-Female-Remanded,26.080397,26.202646,26.031681,25.963696,26.308352,25.65429,25.774342,26.153568
NT-Female-Sentenced,65.51347,65.812164,65.85377,65.677826,65.73637,66.13544,66.24066,66.19574
NT-Male-Remanded,310.2808,317.60306,320.91553,325.5576,337.34097,338.97427,345.23425,350.40567
NT-Male-Sentenced,1107.2671,1123.9952,1138.4551,1152.5842,1182.0793,1195.3506,1213.249,1228.4102
QLD-Female-Remanded,98.681114,98.534775,98.70744,98.46834,98.76653,98.68298,98.80624,98.64481
QLD-Female-Sentenced,356.32056,358.56696,359.97723,360.34436,358.08356,360.01965,360.74747,361.19098
QLD-Male-Remanded,1115.554,1119.2911,1109.0057,1093.9445,1112.6494,1120.5881,1109.8893,1094.9012
QLD-Male-Sentenced,4179.412,4208.2485,4213.391,4201.702,4194.617,4217.6016,4219.106,4210.7964
SA-Female-Remanded,55.468136,54.60998,54.369644,53.996407,55.04461,54.014828,53.702934,53.751266
SA-Female-Sentenced,86.30713,84.6232,84.61591,84.568146,85.62186,84.90492,84.7455,84.83627
SA-Male-Remanded,613.69434,613.5281,612.24536,611.45807,616.2517,616.63574,615.7725,614.87115
SA-Male-Sentenced,1400.6377,1399.7684,1403.6938,1402.3275,1397.5599,1403.9205,1404.1934,1402.9849
TAS-Female-Remanded,9.128279,8.469854,7.944361,7.9546566,9.198092,8.488119,8.285957,8.132161
TAS-Female-Sentenced,31.842987,33.286545,34.938614,36.09876,32.03688,33.473244,35.26831,36.620747
TAS-Male-Remanded,85.771736,86.32338,86.91842,87.11037,86.140305,87.50387,88.42158,88.52229
TAS-Male-Sentenced,337.65146,347.1785,353.58817,363.0053,336.9982,345.973,352.35617,362.4105
VIC-Female-Remanded,95.56164,95.55002,95.67351,95.89818,96.697266,96.54035,97.23809,97.21784
VIC-Female-Sentenced,242.94882,244.90793,245.76863,246.30669,243.94907,245.89694,246.99706,247.76169
VIC-Male-Remanded,911.51807,918.82806,917.8717,916.8058,916.1304,921.1286,919.6548,920.56586
VIC-Male-Sentenced,3732.74,3772.718,3844.9219,3891.5967,3833.0613,3872.7043,3947.0566,3994.6343
WA-Female-Remanded,100.02757,100.23199,98.42933,99.62283,100.49306,98.55014,100.67752,101.408646
WA-Female-Sentenced,342.20477,343.52972,344.3041,346.1731,342.53748,346.1095,346.96808,346.87408
WA-Male-Remanded,883.40857,883.4905,886.68634,884.7417,883.7717,886.0685,889.68567,887.8421
WA-Male-Sentenced,3515.6357,3504.4807,3471.2808,3432.0264,3378.755,3369.2686,3334.9836,3294.7698
ACT-Female-Remanded-ATSI,1.5665778,1.2470157,1.1378655,1.1828814,1.3368429,0.72286904,0.6564259,0.75198567
ACT-Female-Remanded-Non-ATSI,4.2863874,3.3514924,3.2300224,3.161772,3.861879,3.404247,3.280164,3.2203698
ACT-Female-Sentenced-ATSI,3.1299822,2.4991064,2.3221254,2.3237176,2.857296,2.15574,2.0396678,2.064064
ACT-Female-Sentenced-Non-ATSI,6.5439477,6.3724046,6.396114,6.2228613,6.6051326,6.5120463,6.5480957,6.3831887
ACT-Male-Remanded-ATSI,19.93002,17.832655,17.136997,17.21006,19.636992,17.407784,17.403389,17.44725
ACT-Male-Remanded-Non-ATSI,71.728935,70.9083,70.89424,70.82864,70.48509,69.29165,69.3982,69.73739
ACT-Male-Sentenced-ATSI,32.282375,31.82734,31.58744,31.006786,32.237278,31.801912,31.676947,31.154228
ACT-Male-Sentenced-Non-ATSI,145.52907,145.47876,145.72824,145.43056,145.1753,145.76828,145.65831,145.34474
NSW-Female-Remanded-ATSI,76.17375,74.04071,72.60382,72.14567,75.676,73.51598,73.228676,73.02343
NSW-Female-Remanded-Non-ATSI,137.44643,137.50981,136.60999,135.64737,137.97783,137.18732,137.1335,136.75034
NSW-Female-Sentenced-ATSI,122.11307,123.872826,124.94709,125.46521,124.012115,126.106606,127.257965,128.04402
