,0,1,2,3,4,5,6,7
Aggregated,29576.783,29712.582,29763.328,29763.502,29646.846,29773.562,29826.146,29833.63
ACT,277.88214,277.90802,277.2101,276.586,278.78156,278.8658,277.95352,277.76526
NSW,9587.416,9667.144,9672.528,9651.393,9592.627,9668.814,9673.79,9654.453
NT,1494.7584,1520.3622,1543.4691,1567.2096,1593.7817,1618.824,1641.1267,1665.366
QLD,5737.753,5750.549,5737.3765,5721.157,5745.9736,5755.908,5744.414,5728.871
SA,2141.3186,2142.2559,2141.685,2139.9326,2142.59,2143.2876,2142.7964,2141.607
TAS,462.6348,474.8246,482.85013,493.28638,463.38275,475.1761,483.19952,493.97552
VIC,4980.039,5023.82,5099.1855,5149.4424,5086.5166,5130.185,5206.4824,5255.754
WA,4894.9834,4855.717,4809.0176,4764.488,4743.195,4702.511,4656.3765,4615.8364
ACT-Female,11.84399,11.937017,11.76572,11.397602,12.077193,12.001844,11.895628,11.660774
ACT-Male,266.03815,265.971,265.4444,265.18842,266.70435,266.86395,266.0579,266.10446
NSW-Female,637.3601,637.50183,636.9754,636.32324,637.39575,637.4031,636.87427,636.3991
NSW-Male,8950.057,9029.642,9035.553,9015.068,8955.23,9031.41,9036.916,9018.054
NT-Female,92.63659,92.782486,92.66824,92.48999,93.13133,93.2096,93.18344,93.019554
NT-Male,1402.1218,1427.5797,1450.8008,1474.7196,1500.6504,1525.6143,1547.9434,1572.3464
QLD-Female,458.49136,459.20282,459.2162,458.98358,460.11975,460.43106,460.42087,460.4095
QLD-Male,5279.2617,5291.346,5278.16,5262.1733,5285.8545,5295.4775,5283.993,5268.461
SA-Female,138.68704,139.02432,138.80264,138.33884,139.16791,139.36397,139.18625,138.93858
SA-Male,2002.6315,2003.2317,2002.8826,2001.5938,2003.4221,2003.9237,2003.6101,2002.6685
TAS-Female,39.73712,41.587395,43.538536,44.473866,40.566505,42.035934,44.03865,45.37655
TAS-Male,422.89767,433.23718,439.31158,448.81253,422.81625,433.14014,439.1609,448.599
VIC-Female,342.27063,342.63068,342.74356,342.5163,343.47592,343.78348,343.81503,343.74454
VIC-Male,4637.7686,4681.1895,4756.4424,4806.926,4743.0405,4786.402,4862.667,4912.0093
WA-Female,448.1803,449.31567,448.41315,447.25275,450.44733,450.81854,450.32828,449.50104
WA-Male,4446.8027,4406.4014,4360.6045,4317.2354,4292.7476,4251.693,4206.0483,4166.3354
ACT-Female-Remanded,3.9922647,3.9226553,3.8708572,3.7328959,3.994855,3.8216243,3.7832518,3.6705384
ACT-Female-Sentenced,7.8517256,8.014361,7.8948627,7.664706,8.082338,8.18022,8.112376,7.9902363
ACT-Male-Remanded,91.56654,91.4001,90.91105,90.65245,91.80414,91.89228,91.09251,91.1329
ACT-Male-Sentenced,174.47159,174.57092,174.53334,174.53595,174.9002,174.97168,174.9654,174.97157
