,0,1,2,3,4,5,6,7
Aggregated,29647.723,29813.059,29883.805,29908.67,29742.654,29905.58,29975.76,30000.11
ACT,273.0785,271.8129,271.3118,270.88116,273.30057,272.02887,271.49384,271.03162
NSW,9626.81,9711.568,9718.979,9705.827,9643.834,9727.243,9734.209,9720.648
NT,1503.795,1526.7976,1548.4072,1570.8358,1604.0096,1626.421,1648.0212,1670.4417
QLD,5749.6465,5770.4434,5762.512,5751.092,5760.166,5779.578,5771.622,5760.183
SA,2153.2773,2155.339,2155.871,2156.3318,2155.9111,2158.0317,2158.5586,2159.0151
TAS,456.9582,469.0053,477.50287,488.36908,456.89948,468.8487,477.34918,488.2181
VIC,4975.2627,5023.3936,5101.907,5154.259,5082.8564,5131.029,5209.529,5261.87
WA,4908.889,4884.7017,4847.3125,4811.074,4765.6772,4742.4014,4704.9727,4668.7017
ACT-Female,11.537462,11.114452,10.850615,10.727194,11.512779,11.076381,10.81319,10.690226
ACT-Male,261.54102,260.69846,260.46118,260.15396,261.78778,260.9525,260.68063,260.3414
NSW-Female,649.6572,651.8645,651.4336,651.46704,652.03296,654.1134,653.6769,653.7058
NSW-Male,8977.152,9059.703,9067.545,9054.36,8991.801,9073.13,9080.532,9066.942
NT-Female,97.520485,97.397484,97.17819,97.14358,98.55989,98.41096,98.18937,98.1527
NT-Male,1406.2745,1429.4,1451.229,1473.6923,1505.4497,1528.0101,1549.8318,1572.2888
QLD-Female,466.2782,470.15668,471.4491,472.34338,469.2172,472.9588,474.24377,475.13232
QLD-Male,5283.368,5300.287,5291.063,5278.749,5290.9487,5306.619,5297.378,5285.051
SA-Female,137.46187,137.50467,137.43796,137.46402,137.52396,137.54471,137.47864,137.50519
SA-Male,2015.8154,2017.8344,2018.4332,2018.8677,2018.3872,2020.4869,2021.0801,2021.51
TAS-Female,39.831608,41.923813,44.194355,45.76793,40.71689,42.806572,45.077103,46.65065
TAS-Male,417.1266,427.08148,433.30847,442.60114,416.18256,426.0421,432.2721,441.56744
VIC-Female,343.24066,344.89648,345.4285,345.99792,345.41956,347.18948,347.71783,348.28424
VIC-Male,4632.0215,4678.4976,4756.4785,4808.2607,4737.437,4783.8394,4861.8105,4913.586
WA-Female,448.5526,451.4063,451.84375,452.40677,450.62292,453.65973,454.0896,454.64636
WA-Male,4460.3364,4433.2954,4395.4688,4358.6675,4315.054,4288.7417,4250.8833,4214.0557
ACT-Female-Remanded,3.606598,3.2844913,3.1384597,3.0616179,3.4999216,3.176312,3.0308955,2.9545202
ACT-Female-Sentenced,7.930865,7.829961,7.712155,7.6655765,8.012857,7.9000688,7.782295,7.7357054
ACT-Male-Remanded,89.435646,88.51088,88.399765,88.34363,89.38921,88.45137,88.30737,88.22061
ACT-Male-Sentenced,172.10538,172.18756,172.06143,171.81033,172.39857,172.50113,172.37326,172.12079
NSW-Female-Remanded,207.63158,207.80133,207.32468,207.04926,208.41278,208.44678,207.96858,207.69186
NSW-Female-Sentenced,442.02563,444.06317,444.10892,444.41782,443.62018,445.6666,445.70834,446.01392
NSW-Male-Remanded,2488.056,2486.0627,2482.9695,2481.6155,2496.0476,2493.2256,2489.7114,2487.9678
NSW-Male-Sentenced,6489.0967,6573.6406,6584.575,6572.7446,6495.7534,6579.9043,6590.8203,6578.9746
NT-Female-Remanded,29.401636,29.183516,28.974358,28.87414,29.836481,29.592016,29.381933,29.28086
NT-Female-Sentenced,68.11884,68.21397,68.203835,68.26944,68.72341,68.81895,68.807434,68.87184
NT-Male-Remanded,313.92996,318.79126,322.80716,327.58215,338.34427,342.9815,346.99304,351.76398
NT-Male-Sentenced,1092.3446,1110.6088,1128.4219,1146.1101,1167.1055,1185.0286,1202.8387,1220.5249
QLD-Female-Remanded,99.57026,100.66895,101.08834,101.28415,100.369156,101.39421,101.81177,102.00632
QLD-Female-Sentenced,366.70795,369.4877,370.36075,371.05927,368.84805,371.56458,372.432,373.126
QLD-Male-Remanded,1099.0156,1106.5283,1095.7697,1082.7699,1098.8083,1106.1067,1095.3489,1082.3503
QLD-Male-Sentenced,4184.353,4193.7583,4195.2935,4195.9785,4192.1406,4200.512,4202.0293,4202.7
SA-Female-Remanded,52.860542,52.873104,52.858055,52.893044,52.813553,52.815125,52.80069,52.836197
SA-Female-Sentenced,84.60133,84.63156,84.57991,84.57097,84.7104,84.72958,84.67795,84.66899
SA-Male-Remanded,608.73364,609.3023,608.8252,608.55743,609.70197,610.2784,609.79785,609.5273
SA-Male-Sentenced,1407.0818,1408.532,1409.608,1410.3103,1408.6853,1410.2085,1411.2822,1411.9828
TAS-Female-Remanded,7.759041,7.693276,7.6224575,7.5838127,7.791066,7.7053223,7.6347475,7.5962925
TAS-Female-Sentenced,32.072567,34.230537,36.5719,38.184113,32.925827,35.10125,37.442356,39.05436
TAS-Male-Remanded,84.326035,84.73417,84.80706,84.75315,84.30133,84.65432,84.72755,84.67407
TAS-Male-Sentenced,332.80057,342.34732,348.50143,357.848,331.88123,341.3878,347.54453,356.89337
VIC-Female-Remanded,96.44321,97.243225,97.56055,97.95053,98.14098,98.92419,99.24014,99.628975
VIC-Female-Sentenced,246.79744,247.65327,247.86795,248.0474,247.27858,248.26529,248.47768,248.65524
VIC-Male-Remanded,926.484,929.2509,930.48566,931.4176,929.2814,932.0776,933.3052,934.23145
